P135 sqrt-fractional ladder
EX step0: s=248917971527329135823 r2=27021670877058826555117306596161562212987 n1=27021670877058826555366224567688891348810
  user n1=27021670877058826554937076559869210115698
=== ladder from y_135 start_bits=255 ===
  step 73: s_bits=86 r2_bits=171 n1_bits=171 in_band=False
  step 74: s_bits=86 r2_bits=168 n1_bits=168 in_band=False
  step 75: s_bits=84 r2_bits=167 n1_bits=167 in_band=False
  step 76: s_bits=84 r2_bits=165 n1_bits=165 in_band=False
  step 77: s_bits=83 r2_bits=165 n1_bits=165 in_band=False
  step 78: s_bits=83 r2_bits=162 n1_bits=162 in_band=False
  step 79: s_bits=81 r2_bits=161 n1_bits=161 in_band=False
  step 80: s_bits=81 r2_bits=161 n1_bits=161 in_band=False
  step 81: s_bits=81 r2_bits=161 n1_bits=161 in_band=False
  step 82: s_bits=81 r2_bits=160 n1_bits=160 in_band=False
  step 83: s_bits=80 r2_bits=160 n1_bits=160 in_band=False
  step 84: s_bits=80 r2_bits=158 n1_bits=158 in_band=False
  step 85: s_bits=79 r2_bits=158 n1_bits=158 in_band=False
  step 86: s_bits=79 r2_bits=158 n1_bits=158 in_band=False
  step 87: s_bits=79 r2_bits=156 n1_bits=156 in_band=False
  step 88: s_bits=78 r2_bits=156 n1_bits=156 in_band=False
  step 89: s_bits=78 r2_bits=154 n1_bits=154 in_band=False
  step 90: s_bits=77 r2_bits=154 n1_bits=154 in_band=False
  step 91: s_bits=77 r2_bits=154 n1_bits=154 in_band=False
  step 92: s_bits=77 r2_bits=153 n1_bits=153 in_band=False
  step 93: s_bits=77 r2_bits=153 n1_bits=153 in_band=False
  step 94: s_bits=77 r2_bits=151 n1_bits=151 in_band=False
  step 95: s_bits=76 r2_bits=150 n1_bits=150 in_band=False
  step 96: s_bits=75 r2_bits=149 n1_bits=149 in_band=False
  step 97: s_bits=75 r2_bits=148 n1_bits=148 in_band=False
  step 98: s_bits=74 r2_bits=148 n1_bits=148 in_band=False
  step 99: s_bits=74 r2_bits=148 n1_bits=148 in_band=False
  step 100: s_bits=74 r2_bits=147 n1_bits=147 in_band=False
  step 101: s_bits=74 r2_bits=146 n1_bits=146 in_band=False
  step 102: s_bits=73 r2_bits=145 n1_bits=145 in_band=False
  step 103: s_bits=73 r2_bits=142 n1_bits=142 in_band=False
  step 104: s_bits=71 r2_bits=142 n1_bits=142 in_band=False
  step 105: s_bits=71 r2_bits=141 n1_bits=141 in_band=False
  step 106: s_bits=71 r2_bits=138 n1_bits=138 in_band=False
  step 107: s_bits=69 r2_bits=138 n1_bits=138 in_band=False
  step 108: s_bits=69 r2_bits=137 n1_bits=137 in_band=False
  step 109: s_bits=69 r2_bits=136 n1_bits=136 in_band=False
  step 110: s_bits=68 r2_bits=135 n1_bits=135 in_band=True
    BAND d=22688155928286435576990207507021218122725 EC=False
  step 111: s_bits=68 r2_bits=134 n1_bits=134 in_band=False
  step 112: s_bits=67 r2_bits=130 n1_bits=130 in_band=False
  step 113: s_bits=65 r2_bits=129 n1_bits=129 in_band=False
  step 114: s_bits=65 r2_bits=129 n1_bits=129 in_band=False
  step 115: s_bits=65 r2_bits=128 n1_bits=128 in_band=False
  step 116: s_bits=64 r2_bits=127 n1_bits=127 in_band=False
  step 117: s_bits=64 r2_bits=125 n1_bits=125 in_band=False
  step 118: s_bits=63 r2_bits=121 n1_bits=121 in_band=False
  step 119: s_bits=61 r2_bits=118 n1_bits=118 in_band=False
  step 120: s_bits=59 r2_bits=115 n1_bits=115 in_band=False
  step 121: s_bits=58 r2_bits=115 n1_bits=115 in_band=False
  step 122: s_bits=58 r2_bits=111 n1_bits=111 in_band=False
  step 123: s_bits=56 r2_bits=110 n1_bits=110 in_band=False
  step 124: s_bits=55 r2_bits=108 n1_bits=108 in_band=False
  step 125: s_bits=54 r2_bits=108 n1_bits=108 in_band=False
  step 126: s_bits=54 r2_bits=106 n1_bits=106 in_band=False
  step 127: s_bits=53 r2_bits=106 n1_bits=106 in_band=False
  step 128: s_bits=53 r2_bits=106 n1_bits=106 in_band=False
  step 129: s_bits=53 r2_bits=105 n1_bits=105 in_band=False
  step 130: s_bits=53 r2_bits=105 n1_bits=105 in_band=False
  step 131: s_bits=53 r2_bits=103 n1_bits=103 in_band=False
  step 132: s_bits=52 r2_bits=102 n1_bits=102 in_band=False
  step 133: s_bits=51 r2_bits=102 n1_bits=102 in_band=False
  step 134: s_bits=51 r2_bits=101 n1_bits=101 in_band=False
  step 135: s_bits=51 r2_bits=101 n1_bits=101 in_band=False
  step 136: s_bits=51 r2_bits=100 n1_bits=100 in_band=False
  step 137: s_bits=50 r2_bits=100 n1_bits=100 in_band=False
  step 138: s_bits=50 r2_bits=100 n1_bits=100 in_band=False
  step 139: s_bits=50 r2_bits=99 n1_bits=99 in_band=False
  stop: collapsed at step 139
  band hits: 1
=== ladder from EX start_bits=136 ===
  step 0: s_bits=68 r2_bits=135 n1_bits=135 in_band=True
    BAND d=27021670877058826555366224567688891348810 EC=False
  step 1: s_bits=68 r2_bits=134 n1_bits=134 in_band=False
  step 2: s_bits=67 r2_bits=124 n1_bits=124 in_band=False
  step 3: s_bits=62 r2_bits=123 n1_bits=123 in_band=False
  step 4: s_bits=62 r2_bits=122 n1_bits=122 in_band=False
  step 5: s_bits=61 r2_bits=122 n1_bits=122 in_band=False
  step 6: s_bits=61 r2_bits=122 n1_bits=122 in_band=False
  step 7: s_bits=61 r2_bits=121 n1_bits=121 in_band=False
  step 8: s_bits=61 r2_bits=119 n1_bits=119 in_band=False
  step 9: s_bits=60 r2_bits=118 n1_bits=118 in_band=False
  step 10: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 11: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 12: s_bits=59 r2_bits=112 n1_bits=112 in_band=False
  step 13: s_bits=56 r2_bits=112 n1_bits=112 in_band=False
  step 14: s_bits=56 r2_bits=110 n1_bits=110 in_band=False
  step 15: s_bits=55 r2_bits=106 n1_bits=106 in_band=False
  step 16: s_bits=53 r2_bits=102 n1_bits=102 in_band=False
  step 17: s_bits=51 r2_bits=102 n1_bits=102 in_band=False
  step 18: s_bits=51 r2_bits=101 n1_bits=101 in_band=False
  step 19: s_bits=51 r2_bits=99 n1_bits=99 in_band=False
  stop: collapsed at step 19
  band hits: 1
=== ladder from user_n1_EX start_bits=135 ===
  step 0: s_bits=68 r2_bits=133 n1_bits=133 in_band=False
  step 1: s_bits=67 r2_bits=127 n1_bits=127 in_band=False
  step 2: s_bits=64 r2_bits=127 n1_bits=127 in_band=False
  step 3: s_bits=64 r2_bits=126 n1_bits=126 in_band=False
  step 4: s_bits=63 r2_bits=124 n1_bits=124 in_band=False
  step 5: s_bits=62 r2_bits=122 n1_bits=122 in_band=False
  step 6: s_bits=61 r2_bits=121 n1_bits=121 in_band=False
  step 7: s_bits=61 r2_bits=120 n1_bits=120 in_band=False
  step 8: s_bits=60 r2_bits=120 n1_bits=120 in_band=False
  step 9: s_bits=60 r2_bits=118 n1_bits=118 in_band=False
  step 10: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 11: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 12: s_bits=59 r2_bits=116 n1_bits=116 in_band=False
  step 13: s_bits=58 r2_bits=115 n1_bits=115 in_band=False
  step 14: s_bits=58 r2_bits=115 n1_bits=115 in_band=False
  step 15: s_bits=58 r2_bits=114 n1_bits=114 in_band=False
  step 16: s_bits=57 r2_bits=114 n1_bits=114 in_band=False
  step 17: s_bits=57 r2_bits=114 n1_bits=114 in_band=False
  step 18: s_bits=57 r2_bits=112 n1_bits=112 in_band=False
  step 19: s_bits=56 r2_bits=111 n1_bits=111 in_band=False
  step 20: s_bits=56 r2_bits=109 n1_bits=109 in_band=False
  step 21: s_bits=55 r2_bits=107 n1_bits=107 in_band=False
  step 22: s_bits=54 r2_bits=107 n1_bits=107 in_band=False
  step 23: s_bits=54 r2_bits=106 n1_bits=106 in_band=False
  step 24: s_bits=53 r2_bits=106 n1_bits=106 in_band=False
  step 25: s_bits=53 r2_bits=103 n1_bits=103 in_band=False
  step 26: s_bits=52 r2_bits=98 n1_bits=98 in_band=False
  stop: collapsed at step 26
  band hits: 0
=== ladder from ladder_n1_EX start_bits=135 ===
  step 0: s_bits=68 r2_bits=134 n1_bits=134 in_band=False
  step 1: s_bits=67 r2_bits=124 n1_bits=124 in_band=False
  step 2: s_bits=62 r2_bits=123 n1_bits=123 in_band=False
  step 3: s_bits=62 r2_bits=122 n1_bits=122 in_band=False
  step 4: s_bits=61 r2_bits=122 n1_bits=122 in_band=False
  step 5: s_bits=61 r2_bits=122 n1_bits=122 in_band=False
  step 6: s_bits=61 r2_bits=121 n1_bits=121 in_band=False
  step 7: s_bits=61 r2_bits=119 n1_bits=119 in_band=False
  step 8: s_bits=60 r2_bits=118 n1_bits=118 in_band=False
  step 9: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 10: s_bits=59 r2_bits=117 n1_bits=117 in_band=False
  step 11: s_bits=59 r2_bits=112 n1_bits=112 in_band=False
  step 12: s_bits=56 r2_bits=112 n1_bits=112 in_band=False
  step 13: s_bits=56 r2_bits=110 n1_bits=110 in_band=False
  step 14: s_bits=55 r2_bits=106 n1_bits=106 in_band=False
  step 15: s_bits=53 r2_bits=102 n1_bits=102 in_band=False
  step 16: s_bits=51 r2_bits=102 n1_bits=102 in_band=False
  step 17: s_bits=51 r2_bits=101 n1_bits=101 in_band=False
  step 18: s_bits=51 r2_bits=99 n1_bits=99 in_band=False
  stop: collapsed at step 18
  band hits: 0
=== ladder from y_sq_mod_p_low136 start_bits=135 ===
  step 0: s_bits=68 r2_bits=134 n1_bits=134 in_band=False
  step 1: s_bits=67 r2_bits=133 n1_bits=133 in_band=False
  step 2: s_bits=67 r2_bits=132 n1_bits=132 in_band=False
  step 3: s_bits=66 r2_bits=132 n1_bits=132 in_band=False
  step 4: s_bits=66 r2_bits=131 n1_bits=131 in_band=False
  step 5: s_bits=66 r2_bits=131 n1_bits=131 in_band=False
  step 6: s_bits=66 r2_bits=129 n1_bits=129 in_band=False
  step 7: s_bits=65 r2_bits=129 n1_bits=129 in_band=False
  step 8: s_bits=65 r2_bits=129 n1_bits=129 in_band=False
  step 9: s_bits=65 r2_bits=127 n1_bits=127 in_band=False
  step 10: s_bits=64 r2_bits=127 n1_bits=127 in_band=False
  step 11: s_bits=64 r2_bits=124 n1_bits=124 in_band=False
  step 12: s_bits=62 r2_bits=120 n1_bits=120 in_band=False
  step 13: s_bits=60 r2_bits=120 n1_bits=120 in_band=False
  step 14: s_bits=60 r2_bits=120 n1_bits=120 in_band=False
  step 15: s_bits=60 r2_bits=117 n1_bits=117 in_band=False
  step 16: s_bits=59 r2_bits=115 n1_bits=115 in_band=False
  step 17: s_bits=58 r2_bits=113 n1_bits=113 in_band=False
  step 18: s_bits=57 r2_bits=113 n1_bits=113 in_band=False
  step 19: s_bits=57 r2_bits=112 n1_bits=112 in_band=False
  step 20: s_bits=56 r2_bits=112 n1_bits=112 in_band=False
  step 21: s_bits=56 r2_bits=112 n1_bits=112 in_band=False
  step 22: s_bits=56 r2_bits=110 n1_bits=110 in_band=False
  step 23: s_bits=55 r2_bits=107 n1_bits=107 in_band=False
  step 24: s_bits=54 r2_bits=105 n1_bits=105 in_band=False
  step 25: s_bits=53 r2_bits=105 n1_bits=105 in_band=False
  step 26: s_bits=53 r2_bits=104 n1_bits=104 in_band=False
  step 27: s_bits=52 r2_bits=100 n1_bits=100 in_band=False
  step 28: s_bits=50 r2_bits=100 n1_bits=100 in_band=False
  step 29: s_bits=50 r2_bits=95 n1_bits=95 in_band=False
  stop: collapsed at step 29
  band hits: 0
no EC hit
