n,solved,wt,addr_y,a,b,c,a_tilde,b_tilde,theta_a,theta_b,k_rec,k_known,k_match
11,1,74,1618527934,87369073321236771466537185907279130528335866789424799475341877338976038016678,74176482545913873840703598589353692221990032652290413637415120195681788587722,41615606691402321582867386419334215630847531626784490745190042945836372906615,-28423015916079423957033799101408777324501697489650104907263285802542123477659,-41615606691402321582867386419334215630847531626784490745190042945836372906615,4.7408772172,4.0250123160,24700681885876620085225578021475774791206115487841118599033369939001416758487,24700681885876620085225578021475774791206115487841118599033369939001416758487,1
12,1,78,2282953163,55957308690621999137013528958999355152891032363901767461197141891729074743863,92148065926681316231292384284816802673313174301219798761450152054769885205332,23644023310634879192278600723871105179524389977855105621155011086748276289005,55957308690621999137013528958999355152891032363901767461197141891729074743863,-23644023310634879192278600723871105179524389977855105621155011086748276289005,3.0363917096,5.0001980077,100027963138292683020912635297796909748757500201601020807672893779563497858977,100027963138292683020912635297796909748757500201601020807672893779563497858977,1
13,1,78,1330674830,95032570700481692521880029878418380793459282886689806367745374894148604229812,97495776612183766393609244696391810883861291611987194270655944328426288181812,18296312625132429029961740312296096968976272667087710111949218813091873312525,-20759518536834502901690955130269527059378281392385098014859788247369557264525,-18296312625132429029961740312296096968976272667087710111949218813091873312525,5.1567188731,5.2903789469,36448203186894532190444021867176559949486588008508174276530304582867103568077,36448203186894532190444021867176559949486588008508174276530304582867103568077,1
14,1,80,1183258111,88743607050154929746284644671290030847106948371794769838535893318696877091960,38893683045490656213346405682334509080216510391308356647764211180322350470843,76898406191825539210224579326353398772621053887766547734840951961195811023494,-27048482187161265677286340337397877005730615907280134544069269822821284402377,38893683045490656213346405682334509080216510391308356647764211180322350470843,4.8154630562,2.1104742082,4235853312579167190951227198514456689588198148988689079668730764510741012667,4235853312579167190951227198514456689588198148988689079668730764510741012667,1
15,1,74,2554964791,9432944967012894758022335535618007629520516047918983073436281384526437978202,79791231465267751664951629158767883076712877070497508372115853472520691132396,36000857772048443758619355849920024776124687208577396010489309668997470361941,9432944967012894758022335535618007629520516047918983073436281384526437978202,-36000857772048443758619355849920024776124687208577396010489309668997470361941,0.5118565665,4.3296834567,82593296059758137473665508203807814739979983167594907835214245734005571247847,82593296059758137473665508203807814739979983167594907835214245734005571247847,1
16,1,96,617679621,33983429762099228046049024408304202383718015649538804209687266511548170578807,27420931082970957199892680154447503813416556401610324743497420565244493597224,88371158154345238223678304854240404039421007877464579639107742576273667897113,33983429762099228046049024408304202383718015649538804209687266511548170578807,27420931082970957199892680154447503813416556401610324743497420565244493597224,1.8440308658,1.4879323141,112932941017325606674947897237791680671395104748372968703514779757712762135111,112932941017325606674947897237791680671395104748372968703514779757712762135111,1
17,1,86,4104647536,35138018708013831708754086081722580740688970032597855587673779396732563215210,6175866674680325399791263321794753960971815033293874075761040122554630463671,109616222562635870023779721686893153891865749245781030306844123018963531030666,35138018708013831708754086081722580740688970032597855587673779396732563215210,6175866674680325399791263321794753960971815033293874075761040122554630463671,1.9066819186,0.3351188756,67045253240495175664677005318551288932198045020027088718036508243666299182947,67045253240495175664677005318551288932198045020027088718036508243666299182947,1
18,1,79,3519583217,60190751692492309195284734323492219764431665106541802867225529154234928143578,27821041765306409645087479705545634902639109576339066047747427146675099401008,87971047472009785778483505303142272950198454702735838334857735994843062093329,-55601337544823886228286250685195688088405899172533101515379633987283233350759,27821041765306409645087479705545634902639109576339066047747427146675099401008,3.2661095344,1.5096433789,68737406073106109293467157082892733213669172506774081333094626239017331712557,68737406073106109293467157082892733213669172506774081333094626239017331712557,1
19,1,93,2142989316,63040020006744406510282480819559134855145859385547481129896452638818721465083,58911645640555082631131773077159004366352581407982345225550693998427139886881,56880443596761112792439211931528903486484982871092559157054469143091021607456,-52752069230571788913288504189128772997691704893527423252708710502699440029254,-56880443596761112792439211931528903486484982871092559157054469143091021607456,3.4207183762,3.1967018537,1341208947492823290312737825452636494722071609835819045503973601520386885912,1341208947492823290312737825452636494722071609835819045503973601520386885912,1
20,1,80,773854600,103726149177761847811027636763068780759977997249849803253882852157638691132126,66919993255615901887558806990978980787702296790712378531527209747458799757058,48872095981700293536012178017708927065135267488362525851077953394059361737279,-12065940059554347612543348245619127092859567029225101128722310983879470362211,-48872095981700293536012178017708927065135267488362525851077953394059361737279,5.6284554565,3.6312559964,38528704779611600624905360068734103999371161074236311965473864706941836255421,38528704779611600624905360068734103999371161074236311965473864706941836255421,1
21,1,73,778347854,54539987758791494684670757964721649283861940721764569242255692123480497295862,115033669321845674279951610858533042692839865595077253707219502026452698597734,758419915470521143619374150154865159997698683997650675385661115065462896603,54539987758791494684670757964721649283861940721764569242255692123480497295862,-758419915470521143619374150154865159997698683997650675385661115065462896603,2.9594841236,6.2420314347,81150478115468323563139806194511312289466066807615262639648178376586578518535,81150478115468323563139806194511312289466066807615262639648178376586578518535,1
22,1,83,3982540055,83081471033452021672456457552386356156151397554275688082259512753915896142739,76484154143457152867596850016753279890592807529236123048935328588961829878628,39307935093859042555974134991934627962244756749838781333669834552556331615709,-32710618203864173751114527456301551696686166724799216300345650387602265351598,-39307935093859042555974134991934627962244756749838781333669834552556331615709,4.5082205661,4.1502326861,53564751622142283258840734743811484104454354552474197421207673634285286808788,53564751622142283258840734743811484104454354552474197421207673634285286808788,1
23,1,82,3840733353,59895064822205023976754957883503586824153096029677037312563412947218348019255,93571655059695966333122268530233439724185774661548696095540395468383935568828,22220434177620229090448716478454468128651789617526208287064767673134225925509,-55897024415111171446816027125184321028684468249397867070041750194299813475082,-22220434177620229090448716478454468128651789617526208287064767673134225925509,3.2500647820,5.0774457229,70376259747379725864376521531528685209847550373947712754032330703369975600252,70376259747379725864376521531528685209847550373947712754032330703369975600252,1
24,1,76,7373750,23954383371816377449182023365528228688806341744597884130959097089058608745654,57966377807020584095383021358307284779886697763296292756638923536490407588523,57825711430295611328187963650380623072950866515778611625966239605027753905814,23954383371816377449182023365528228688806341744597884130959097089058608745654,-57825711430295611328187963650380623072950866515778611625966239605027753905814,1.2998282580,3.1454091186,9503111566668580778778448130667211895840593799699261480758921950371462448996,9503111566668580778778448130667211895840593799699261480758921950371462448996,1
25,1,80,2127369292,14197607032820568143285737937686290395260657420471920959853963104868911799827,114110543270678582370323460562386149685236266498647949037247050422226483387098,1681545966637613053247524446301758167601297780426955345358112719291678107239,14197607032820568143285737937686290395260657420471920959853963104868911799827,-1681545966637613053247524446301758167601297780426955345358112719291678107239,0.7703997440,6.1919401713,64613554152039934379550124673955209371706653361385873510858191059989874399823,64613554152039934379550124673955209371706653361385873510858191059989874399823,1
26,1,81,997484431,75133039406169516950197948311316627935281633552647428213880993432341121139307,76695566629752093525861886689606321873713231562319026070447883617288653473308,39096522607564101897709098319081585979124332716755878312157279524229508021029,-40659049831146678473373036697371279917555930726427476168724169709177040355030,-39096522607564101897709098319081585979124332716755878312157279524229508021029,4.0769176236,4.1617044873,85199154614785358477094996470904981718613884620581492080422584723431949027057,85199154614785358477094996470904981718613884620581492080422584723431949027057,1
27,1,84,3268418873,73425012024331232527064930082399524265631608378329265487331091059406343603336,77815186877390648171699135493264120308348904443593495994542328445543738651371,37976902359925547251871849515423787544488659835481408388062834695974422842966,-42367077212984962896506054926288383587205955900745638895274072082111817891001,-37976902359925547251871849515423787544488659835481408388062834695974422842966,3.9842355360,4.2224580460,29639851753334044663593668818183152623203332656612199722543702995331753813851,29639851753334044663593668818183152623203332656612199722543702995331753813851,1
28,1,80,1826579559,105559531410344272044059577551191509339231314231903344322537578261562247514843,74813161836585138708762365171898489061514993574037655978048202490664876793605,40978927400731056714808619836789418791322570705037248404556960650853284700732,-10232557826971923379511407457496398513606250047171560060067584879955913979494,-40978927400731056714808619836789418791322570705037248404556960650853284700732,5.7279396301,4.0595602198,15818915343773005200867320181544707821875349821121417533089849743115433999723,15818915343773005200867320181544707821875349821121417533089849743115433999723,1
29,1,84,3468760472,71901528523336670785250349260964822637221712783786497989423683809077389350444,71486929618217967604720477016014753445988629755206565150585446463546777808880,44305159619098227818850507992673154406848934523868339232019716677971383685457,-43890560713979524638320635747723085215615851495288406393181479332440772143893,-44305159619098227818850507992673154406848934523868339232019716677971383685457,3.9015672880,3.8790700538,92243713732969772106988760911683585877544598228645190172161426524714907195708,92243713732969772106988760911683585877544598228645190172161426524714907195708,1
30,1,78,211619208,67567535993803347063288769968720682662163681068293902826085693116466640140757,113829236531543548503875753174632978870076038167568576374842021186471215932752,1962852705772646919695231834054928982761526111506328007763141955046945561585,-48224553243512848360282215039967225190673883210781001556519470025051521353580,-1962852705772646919695231834054928982761526111506328007763141955046945561585,3.6663933797,6.1766757230,38134794463284674719239579591313386383077929834652155355643959359771045265408,38134794463284674719239579591313386383077929834652155355643959359771045265408,1
31,1,89,1466732701,3147152490804684223744157974331853390357697779420080292370338315034205382565,108881875385833836460836208993854430564879263096166976884509324260416188281198,6910213851482358962734776014833477287958301182907927498095838881101973213139,3147152490804684223744157974331853390357697779420080292370338315034205382565,-6910213851482358962734776014833477287958301182907927498095838881101973213139,0.1707728258,5.9082188097,26771277666397894034367276520254162434939225392198592524902517686094783454937,26771277666397894034367276520254162434939225392198592524902517686094783454937,1
32,1,82,274477614,91068407497516486842393440858923106770863610780611950114181169622661185613394,91467296388477391055364084870525977123109855977317671506786547791978848940016,24324792848838804368206900138161930729727708301757232875818615349539312554321,-24723681739799708581177544149764801081973953498462954268423993518856975880943,-24324792848838804368206900138161930729727708301757232875818615349539312554321,4.9416128831,4.9632576503,66974088001705380699843317354726803172070607322559610695671165703064381471238,66974088001705380699843317354726803172070607322559610695671165703064381471238,1
33,1,89,656013710,84077065209169594100710415064690677596447669823650481270900129245919414584205,86746819508135873822087083098721402940883215059690897898290632375337835320732,29045269729180321601483901909966504911954349219384006484314530766180326173605,-31715024028146601322860569943997230256389894455424423111705033895598746910132,-29045269729180321601483901909966504911954349219384006484314530766180326173605,4.5622441418,4.7071120779,87771300029246402133628758172026826473737980312198534370852848250531181386542,87771300029246402133628758172026826473737980312198534370852848250531181386542,1
34,1,88,4005610399,55922335946580998085180489184828257623096485364258903245663764510987467075352,96048850678642321623227290501312252760845734118043782716653583807048857554562,19743238558673873800343694507375655091991830161031121665951579334469303939775,55922335946580998085180489184828257623096485364258903245663764510987467075352,-19743238558673873800343694507375655091991830161031121665951579334469303939775,3.0344939959,5.2118649152,3561464929861172569607839813917290970292127662296326525257180068189321530255,3561464929861172569607839813917290970292127662296326525257180068189321530255,1
35,1,88,3317088858,102596259100507178170409783246594015666701956488158358112590587458778402095022,72074321473371871246576123523490770416367616674179834555849682355362158718281,43717767763944324176994861485197137436469947604895069826755480786156002776056,-13195830136809017253161201762093892186135607790916546270014575682739759399315,-43717767763944324176994861485197137436469947604895069826755480786156002776056,5.5671446296,3.9109434910,15030918940409299791337495046337888532229005820559929055394593993565189685530,15030918940409299791337495046337888532229005820559929055394593993565189685530,1
36,1,82,3973304150,15744697187877625390185690287035570281189434977583386531060068890462370369866,87349196027166753844515376119810362281363448610647021844003756565068500839400,28442893210149441579055608888877545571474115668427882538601406576449660654937,15744697187877625390185690287035570281189434977583386531060068890462370369866,-28442893210149441579055608888877545571474115668427882538601406576449660654937,0.8543489515,4.7397986226,1629000199277021410903313869097240971426310024059399565156590204153838112388,1629000199277021410903313869097240971426310024059399565156590204153838112388,1
37,1,74,3385210865,79948770257865536399795949615037127534992184129248250351148739810209472440206,79570578827697334726460030232026651200217455582824361887379174706892049520017,36221510409618860697110954776661256652620108696250542495225988434626111974320,-35843318979450659023775035393650780317845380149826654031456423331308689054131,-36221510409618860697110954776661256652620108696250542495225988434626111974320,4.3382319286,4.3177102604,80094568180302280804693625261050239095783582706502295000301655704242859941339,80094568180302280804693625261050239095783582706502295000301655704242859941339,1
38,1,82,3672482103,90810488815211966871645697757659826891210283562937702261581969243740508392824,73551271541864442946288270097482597614009080649630690042106656788922929329132,42240817695451752477282714911205310238828483629444214340498506352595232165205,-24981600422104228551925287251028080961627280716137202121023193897777653101513,-42240817695451752477282714911205310238828483629444214340498506352595232165205,4.9276175326,3.9910867117,111482052564887350491956898026779362162039569975671587616204791176197413276274,111482052564887350491956898026779362162039569975671587616204791176197413276274,1
39,1,77,1568391795,51813392509006754303346530707057878451096415744030081568780413346348349726892,29121581611396148468242738927102568181212406391551307247737308648732756109389,86670507625920046955328246081585339671625157887523597134867854492785405384948,51813392509006754303346530707057878451096415744030081568780413346348349726892,29121581611396148468242738927102568181212406391551307247737308648732756109389,2.8115318471,1.5802141140,7775472500907821978441586413465064085314325923407643196142435756932455122453,7775472500907821978441586413465064085314325923407643196142435756932455122453,1
40,1,77,3146133197,62904218932617945772444591717044222568753522354693088219914939698024296052884,114685150017150075045360365993953195245984929922800737300314714449576558710174,1106939220166120378210619014734712606852634356274167082290448691941602784163,-52887870304698249651126393291643685284084041924381816162690223443493865441453,-1106939220166120378210619014734712606852634356274167082290448691941602784163,3.4133494504,6.2231198546,107730919825427118840803580826057672473072676199793254355439538344345028522730,107730919825427118840803580826057672473072676199793254355439538344345028522730,1
41,1,85,2970092885,81052116774820120716045797805007630214235543902246370486095117770587018348546,112922049465963934567581151386283211151971228349407009378124199628341689239896,2870039771352260855989833622404696700866335929667895004480963513176472254441,-34739972462496074707525187203680277638602020376828533896510045370931143145791,-2870039771352260855989833622404696700866335929667895004480963513176472254441,4.3981024316,6.1274493511,109299745711382358213830185083639815906671768119896008516953928495748572033015,109299745711382358213830185083639815906671768119896008516953928495748572033015,1
42,1,80,315959579,63329894189381741253413173092289010803283297755262923029914803588376053053844,79302977372122784168664558957372183513624783427109710088979070269492753654256,36489111865193411254906426051315724339212780851965194293626092872025407840081,-52462195047934454170157811916398897049554266523811981352690359553142108440493,-36489111865193411254906426051315724339212780851965194293626092872025407840081,3.4364477167,4.3031894970,36217358279420614434217334876103410363882532948726766904694331484503706814211,36217358279420614434217334876103410363882532948726766904694331484503706814211,1
43,1,76,3052316190,56539912073195670912293777730432566241066817891257537867923076713916563397101,112139054566418287545629600335007145941322523312797942660197799613584189778793,3653034670897907877941384673680761911515040966276961722407363527933971715544,56539912073195670912293777730432566241066817891257537867923076713916563397101,-3653034670897907877941384673680761911515040966276961722407363527933971715544,3.0680053115,6.0849619750,32203393368909930744392743248826086692932056134367164190066881363728263658904,32203393368909930744392743248826086692932056134367164190066881363728263658904,1
44,1,78,853334338,95645152652333469587862411555791960463823585393424338416195128316316775481754,93111285506066307176287794827572655931980354874133493559621959212315742803204,22680803731249888247283190181115251920857209404941410822983203929202418691133,-20146936584982725835708573452895947389013978885650565966410034825201386012583,-22680803731249888247283190181115251920857209404941410822983203929202418691133,5.1899591916,5.0524648521,101337051175838956871240039504377807380779161051807145955488402623215429304212,101337051175838956871240039504377807380779161051807145955488402623215429304212,1
45,1,82,2756440039,44121826961951539190955177264106754702754654436811509702506290639749652824668,69737117587140399488581862624838208380952405092598151130708209677362348596201,46054971650175795934989122383849699471885159186476753251896953464155812898136,44121826961951539190955177264106754702754654436811509702506290639749652824668,-46054971650175795934989122383849699471885159186476753251896953464155812898136,2.3941671380,3.7841206206,13319725776432587363446941517303000143749531530891788972439434112850767555784,13319725776432587363446941517303000143749531530891788972439434112850767555784,1
46,1,73,2266601326,32226573749927650787334447545218108297381578647602345880965185248352313075457,21221020288263587981445906990782972204575598312482821737121099562774725772632,94571068949052607442125078017904935648261965966592082645484063578743435721705,32226573749927650787334447545218108297381578647602345880965185248352313075457,21221020288263587981445906990782972204575598312482821737121099562774725772632,1.7486992075,1.1515087409,18163066486637230997009386569064771383315781012744162192739465538689762230693,18163066486637230997009386569064771383315781012744162192739465538689762230693,1
47,1,72,3907698068,30604796516436833206006337071575729550151657311571558600093810483779667588766,83655579128922769642758628855391176776417381911639302066802336925015669520276,32136510108393425780812356153296731076420182367435602315802826216502491974061,30604796516436833206006337071575729550151657311571558600093810483779667588766,-32136510108393425780812356153296731076420182367435602315802826216502491974061,1.6606972814,4.5393731913,54540514829000861116863036312915744379744759328936633778526566870874642486560,54540514829000861116863036312915744379744759328936633778526566870874642486560,1
48,1,85,3081353599,56927505474652209443204001433995441880397503377546106174914576515542290941434,81612242050079801124528122862645508519637256022877623566202837757502691147117,34179847187236394299042862146042399333200308256197280816402325384015470347220,56927505474652209443204001433995441880397503377546106174914576515542290941434,-34179847187236394299042862146042399333200308256197280816402325384015470347220,3.0890371555,4.4284963119,78380535498038840794154657675102720326447031675843602713683996217626714879990,78380535498038840794154657675102720326447031675843602713683996217626714879990,1
49,1,89,271177656,84968934866218553551843373168358977775340928344672615893858648936794270847276,107547590262249099753159626684526946641816194301364524555972534473106760017568,8244498975067095670411358324160961211021369977710379826632628668411401476769,-30823154371097641871727611840328930077496635934402288488746514204723890647061,-8244498975067095670411358324160961211021369977710379826632628668411401476769,4.6106393505,5.8358169665,27655932052302226091525199717768535206198573139964064290124994532156115742745,27655932052302226091525199717768535206198573139964064290124994532156115742745,1
50,1,84,2568680735,37567959120892283196718426754630415617832236004861172736205180304866762696639,103691344654560260166338078511265583835613128699880597561393541435780668805935,12100744582755935257232906497422324017224435579194306821211621705737492688402,37567959120892283196718426754630415617832236004861172736205180304866762696639,-12100744582755935257232906497422324017224435579194306821211621705737492688402,2.0385369184,5.6265668709,106928300370950612661247681192703166686442058938966667848151959296765462327596,106928300370950612661247681192703166686442058938966667848151959296765462327596,1
51,1,93,1400498031,15903972287534673688271884061163090881849836560672058130607449387749187176792,27056614317545495405181760275296054739114945652335787581494439882866631604613,88735474919770700018389224733391853113722618626739116801110723258651529889724,15903972287534673688271884061163090881849836560672058130607449387749187176792,27056614317545495405181760275296054739114945652335787581494439882866631604613,0.8629916401,1.4681635219,69375424413021309080771800321097532345150371177012264883839976710903391327225,69375424413021309080771800321097532345150371177012264883839976710903391327225,1
52,1,85,3315603118,56476824360493972943249631075203368227211126924982233368545868341089557031502,70794201141693869184070737723817890428615807299042186192202291173894088933974,44997888095622326239500247284870017424221756980032718190402871967624072560363,56476824360493972943249631075203368227211126924982233368545868341089557031502,-44997888095622326239500247284870017424221756980032718190402871967624072560363,3.0645820052,3.8414807728,64929466509939116550443212408820799356590776139168927669573270339371442884791,64929466509939116550443212408820799356590776139168927669573270339371442884791,1
53,1,76,1987513478,60046592472102860424536212608753494494808960580184954194638386604675295652455,29764232971001642646251887966410315221070047234434588123600302601104463585434,86027856266314552777319097042277592631767517044640316259004860540413697908903,-55745496765213334999034772399934413358028603698889950187966776536842865841882,29764232971001642646251887966410315221070047234434588123600302601104463585434,3.2582870734,1.6150860781,72693606279362891611792383469340978878488234786990712232903581266854379079720,72693606279362891611792383469340978878488234786990712232903581266854379079720,1
54,1,85,2505454808,32398660328850545034657001189433763143116897975774117443507238465188887772344,6887427701038225347154790138341657352044623991878221569701594024047038828176,108904661536277970076416194870346250500792940287196682812903569117471122666161,32398660328850545034657001189433763143116897975774117443507238465188887772344,6887427701038225347154790138341657352044623991878221569701594024047038828176,1.7580370809,0.3737300607,2517874474294915400098869718048020797389198472742242732786357500814874066078,2517874474294915400098869718048020797389198472742242732786357500814874066078,1
55,1,89,2695399111,110538936049320059336669747508213685249834255890477882036439386024379429114233,47064963895121214432764380171843932004631135912138380533771747456484506923742,68727125342194980990806604836843975848206428366936523848833415685033654570595,-5253153187996136086901237500474222603003308388597022346165777117138732380104,47064963895121214432764380171843932004631135912138380533771747456484506923742,5.9981353081,2.5538695396,66429679668761102027411664653380817375737682651088069165198651450808146584346,66429679668761102027411664653380817375737682651088069165198651450808146584346,1
56,1,80,1689308037,28829587449180004416722576159182556881221823839638125693119779979858371198632,95911579431343213931964861212335599575699491772702592906917880374420790643699,19880509805972981491606123796352308277138072506372311475687282767097370850638,28829587449180004416722576159182556881221823839638125693119779979858371198632,-19880509805972981491606123796352308277138072506372311475687282767097370850638,1.5643697377,5.2044162139,96831207804583946357117020290390985036437750505195663909896735701706509798377,96831207804583946357117020290390985036437750505195663909896735701706509798377,1
57,1,80,415524881,17136691461900928377746961999228492471393432548539109726337375682144480807534,87368142726875940792841785815973217790670704538855247027958344167419868939779,28423946510440254630729199192714690062166859740219657354646818974098292554558,17136691461900928377746961999228492471393432548539109726337375682144480807534,-28423946510440254630729199192714690062166859740219657354646818974098292554558,0.9298822460,4.7408267207,21250486528431025756762900792630069065433207576130586722440377230856526205241,21250486528431025756762900792630069065433207576130586722440377230856526205241,1
58,1,79,3159952474,80595583557787443583474470027613025800574178216381766403895509760316136832050,81389644794689205906751616921231956989411219390690537691005404077679113990978,34402444442626989516819368087455950863426344888384366691599759063839047503359,-35196505679528751840096514981074882052263386062693137978709653381202024662287,-34402444442626989516819368087455950863426344888384366691599759063839047503359,4.3733297306,4.4164175955,103898181989893384485023944548056109147497465876268156697223981253405458101210,103898181989893384485023944548056109147497465876268156697223981253405458101210,1
59,1,81,1868963471,50004088045063637774980172509949473636984770442792460022629236952880816309083,9903048195013907209595990854660445088650735292030999595285387173681786096748,105889041042302288213974994154027462764186828987043904787319775967836375397589,50004088045063637774980172509949473636984770442792460022629236952880816309083,9903048195013907209595990854660445088650735292030999595285387173681786096748,2.7133541969,0.5373656122,57605831365748855082081031980772579476148224903903240921276030177439744244798,57605831365748855082081031980772579476148224903903240921276030177439744244798,1
60,1,84,3113836772,24782721681389562848145983772568471074445015045614667992454669172804986503007,55987723686124738338391944597741721802368360718263311177832157351931114728735,59804365551191457085179040410946186050469203560811593204773005789587046765602,24782721681389562848145983772568471074445015045614667992454669172804986503007,55987723686124738338391944597741721802368360718263311177832157351931114728735,1.3447760876,3.0380421077,8517869204379815097370839780611378134631196542823100683376968427845686548046,8517869204379815097370839780611378134631196542823100683376968427845686548046,1
61,1,79,1945565472,72607086068666728672155034548805781612974763296048229719562208212318876456227,44166720729062420498804540828731508137623097945968489203401862978563143417756,71625368508253774924766444179956399715214466333106415179203300162955018076581,-43185003168649466751415950459882126239862800983026674663042954929199285038110,44166720729062420498804540828731508137623097945968489203401862978563143417756,3.9398527083,2.3966031927,42314601486530600763756830359364267874624786166428190149475337662527899210852,42314601486530600763756830359364267874624786166428190149475337662527899210852,1
62,1,80,4213721011,56910060993243265593622415034677504864201301217088680806712683027234414643312,115302606645197910877815225581200737594421791052186835578216901208491974156398,489482592118284545755759427487170258415773226888068804388261933026187337939,56910060993243265593622415034677504864201301217088680806712683027234414643312,-489482592118284545755759427487170258415773226888068804388261933026187337939,3.0880905718,6.2566246859,72087482015026756016611197918577992163335363367307484859659602232116872702893,72087482015026756016611197918577992163335363367307484859659602232116872702893,1
63,1,86,2475958327,41262767364163487216284052060568272538004887208093546788404687406565815057620,56779163892415571175687632573231870163156796421062050659137684945579419217079,59012925344900624247883352435456037689680767858012853723467478195938742277258,41262767364163487216284052060568272538004887208093546788404687406565815057620,56779163892415571175687632573231870163156796421062050659137684945579419217079,2.2390269952,3.0809877486,20472497289282758012841087424869008689184875795171545865264037687119162756724,20472497289282758012841087424869008689184875795171545865264037687119162756724,1
64,1,78,1096042307,5149304725046577665561554764120440408712808532526999760764600565519276440187,16648795885542803465805237229951702396474203650557736265425503588382589077780,99143293351773391957765747778736205456363360628517168117179659553135572416557,5149304725046577665561554764120440408712808532526999760764600565519276440187,16648795885542803465805237229951702396474203650557736265425503588382589077780,0.2794149065,0.9034077404,62115200739056725544359456585902292121692753247877277166490547572648682718459,62115200739056725544359456585902292121692753247877277166490547572648682718459,1
