n,solved,wt,wt_rank,sCHK_rank,sVH_rank,Delta_Rk_full,s_r_inv,s_r_inv_rank,s_inv_z,s_inv_z_rank,s_inv_r
32,1,82,87,14,35,-23,91068407497516486842393440858923106770863610780611950114181169622661185613394,75,42566556614586332462025681764503099947201221673436733379514341268678155287984,28,18124545869765413804177400902681782912140608239024617399608282959319890927483
33,1,89,143,28,110,62,84077065209169594100710415064690677596447669823650481270900129245919414584205,68,102403618059386487707294664691466569159613956151936194868921023298867616366109,73,49081891745387506577523583772712818599278776502114989100703234767698151055677
34,1,88,138,155,25,-45,55922335946580998085180489184828257623096485364258903245663764510987467075352,44,8326994374159703121195520360724864597233039679886289737655499408754160398164,7,89375593396626118565980377363802745790237354961526128179411294063171977043166
35,1,88,139,125,153,30,102596259100507178170409783246594015666701956488158358112590587458778402095022,81,63600363689478026811334964755270920631066473817581163801134620902054151657588,44,32552169816109863068632785305504649044378722436943900259219177628594578829842
36,1,82,88,152,154,32,15744697187877625390185690287035570281189434977583386531060068890462370369866,12,6595284286110795264256808280502796210208592193701646727108806706360074607532,4,111516133995353097940543252258392616892943773701745509093011686372517107451840
37,1,74,21,126,86,18,79948770257865536399795949615037127534992184129248250351148739810209472440206,62,105315078392108262653421023529832528504629715593226052173127344094030390779165,77,35485254684883942162622295773525806967919845362802570015958205255533100203931
38,1,82,89,137,56,56,90810488815211966871645697757659826891210283562937702261581969243740508392824,74,79020260730961780221008996801053977172350952563320634467075223660886753881475,55,81358570243097405663349914319104196860409229985712070370973171248693349884607
39,1,77,38,58,13,0,51813392509006754303346530707057878451096415744030081568780413346348349726892,42,45521817150585105646174841358661752302762748308105043224612665692058462117743,30,2219264408105374794253683303290953821078416438530926404028525819726149892846
40,1,77,39,117,146,18,62904218932617945772444591717044222568753522354693088219914939698024296052884,53,80337490547013538975229409763625142143936202788001544221692548708402011774708,57,81188449055149480784508709136743117568500810163632562298972960234379487590660
41,1,85,115,113,148,16,81052116774820120716045797805007630214235543902246370486095117770587018348546,65,85432741712163675853681170770107236777808033203376962209854185131025477542357,60,90405348248346524065112953209517173445621960588373267773798957889054433725162
42,1,80,69,16,119,68,63329894189381741253413173092289010803283297755262923029914803588376053053844,55,63865008425714846325160586550540643960614594072614375396395421978113200711700,45,72047210428236177783153764479597499254786094399229937987034772240983035666951
43,1,76,31,114,55,-1,56539912073195670912293777730432566241066817891257537867923076713916563397101,47,109732216438183420118929296292660224196129830850180522482839957625664157784800,82,65442235358827447989486055664814258686446759368321503565510466710105830752686
44,1,78,49,34,140,-1,95645152652333469587862411555791960463823585393424338416195128316316775481754,78,4984458464294652380617092940023899619065039540627603593588446604802600612824,2,60838755108873278702642020327354347579386016624110261419161330240459918212183
45,1,82,90,109,113,-13,44121826961951539190955177264106754702754654436811509702506290639749652824668,37,113200298422999355977262359367982099680340127346371508913252713849130565210266,86,8904854380861566689334185588478231105427579732530257324334777396204948276785
46,1,73,15,88,71,28,32226573749927650787334447545218108297381578647602345880965185248352313075457,29,64783945614436533617749517652085511057358119614006532905308480530926323383999,46,36402695611714068762435566566567923218392205671268519257948230978575860767137
47,1,72,10,149,16,-43,30604796516436833206006337071575729550151657311571558600093810483779667588766,27,71293809316470641868400277103072786505322169611818240044819175147139568457142,51,111982769220156392373981461357051524884752341927204513936583888701405218405211
48,1,85,116,115,4,29,56927505474652209443204001433995441880397503377546106174914576515542290941434,49,40806162138488066684475819121812082840620394794889126369787491983560327447241,25,18460656763558381653784888673124382571297832907955272054164228603012258176285
49,1,89,144,13,108,-26,84968934866218553551843373168358977775340928344672615893858648936794270847276,69,108984731962500511271372754045026612327872757886141680208307453605757154600502,81,82578634415113452174583767105041138286226682047168277493693064271825786396218
50,1,84,110,102,82,0,37567959120892283196718426754630415617832236004861172736205180304866762696639,35,113823329692944237844307039931435246564775192226328929266100060049027110115181,87,52507654992104380435344990660258081478922756239812626162207935658303556557394
51,1,93,154,53,2,11,15903972287534673688271884061163090881849836560672058130607449387749187176792,13,13396502898685136163756291678863794512318659285037702934537439478790356482818,9,78013043225834369984039364687257432707205092582746688766317462927346495372792
52,1,85,117,124,10,-29,56476824360493972943249631075203368227211126924982233368545868341089557031502,46,44865616574001612406981417374976663849462364865802149578736979516496109325510,29,50395499999092429518438652649248912995815013036452432604689027361439396001327
53,1,76,32,76,109,-30,60046592472102860424536212608753494494808960580184954194638386604675295652455,51,61548257624102330923033391369150556166434046930867227024769135092530013798118,40,17186733763716766320532066918001838694435773223545320083975770294491361526774
54,1,85,118,99,123,34,32398660328850545034657001189433763143116897975774117443507238465188887772344,30,14772335973188638365807076112929087917971653634282613257066969223093856066178,10,93488751026839062661035668852376218978576610396583811102078433631741062671972
55,1,89,145,107,137,45,110538936049320059336669747508213685249834255890477882036439386024379429114233,87,40158442191934421227900057069364428617556090826793334011018465309375679576200,24,112593163509354105897540078908679698244927273779003954224405529062643747688502
56,1,80,70,62,27,-52,28829587449180004416722576159182556881221823839638125693119779979858371198632,26,50533452522857283586058014050041289543916600305811087575652924227860880533772,31,53212098705660541385354197278447604631313324708952672392133483189895174904347
57,1,80,71,18,41,25,17136691461900928377746961999228492471393432548539109726337375682144480807534,15,26253063075961035955868280756787290283930594920565571133294656588015950890131,15,30092475982322533003511269703476099839473936065876164083095901528424519853349
58,1,79,59,118,11,-20,80595583557787443583474470027613025800574178216381766403895509760316136832050,63,61232558879937015829377924809313090900681092399574186228619863488337618608543,39,88491955737983556206262678946066955284052181384179105951732252277435460355609
59,1,81,79,68,84,22,50004088045063637774980172509949473636984770442792460022629236952880816309083,40,108800278928729477467469552364829964107454600910069112364138055822180004557656,80,21740153361005718975073537258801531171238445383801452045212498382062793370051
60,1,84,111,116,40,-39,24782721681389562848145983772568471074445015045614667992454669172804986503007,23,54548596068758840117761383766097597362020785797991380108378990712351321014483,33,78850125410467744083585363691407641161540380108030411264671277414007686294642
61,1,79,60,74,60,-41,72607086068666728672155034548805781612974763296048229719562208212318876456227,59,38094126266375298508953554737490966977179032256265030146310343425480939497409,22,83250846537823218849063273851812022609249849025361137015170681092941666182418
62,1,80,72,159,21,-6,56910060993243265593622415034677504864201301217088680806712683027234414643312,48,12834435002539041127666787569101598961070837654673468111267842001234997736953,8,93799824205575122594034743052396960849098354362516737724126421561194465700899
63,1,86,124,98,23,15,41262767364163487216284052060568272538004887208093546788404687406565815057620,36,55330309087239778963131386562773669773288342107047972266927193057212145752844,34,23419360844891061443022199358039282335959026578266027519274663389306340394711
64,1,78,50,43,8,-20,5149304725046577665561554764120440408712808532526999760764600565519276440187,3,100434492136816936837694330845109084865983925860561094792250105140960662967492,69,18572904640332878098065163165335604799678325998750507753195853188714552113658
65,1,82,91,158,159,-61,18276349950746649239347369774909207890265594483271191203265926023305731841128,16,35277719443716086739775426531471636485072153398121156990866353729849177406404,20,107147651928110036535480392407704239534760751971572426315304497514824015012161
66,1,73,16,154,67,-8,108739117917082676881057068278429995170726918442306997607674405852115045234608,85,18386056748095829825848009851196102710523120945607946565034222016737812139474,12,38845208637013964221877514526380277921683041133839720048625048217348039523237
67,1,83,101,71,79,-74,6184790236699273714199548043089077526287407985520619593192091162867618989826,7,41432944162974482476375200186629806191490771004306932461823496443656023132932,26,75520525462462933144852415725217446458236690182239648785811249109836729587829
68,1,87,126,35,36,5,108924597879572934886336098231613454493363950089204375424536319276065715785120,86,5674327706782052408054914703364762102817404643967449713380568574608553952354,3,94866623689946675078653933055388535495084864570228414357264655850951361109691
69,1,78,51,127,144,-37,20573013250606973564334856196697430095215655644021288364283584486062171818083,19,62396054120313649120206640875020382725426464698085867808240009998986069813502,42,99047583432354351132545937922705840383087277763480359879030943740176862328884
70,1,78,52,45,76,-18,89518158310551130147560612598697241059079255797422424741246981465461119916531,73,26737287439432693317500955882155585153052262616723402341642142361947154737890,17,61984122923682553325511324888442906476596446531282940166874089727024084124967
75,1,87,129,110,157,-8,34741155001182303619033978744157489409516154611772184292603452092264277878663,33,98618777779166471296552827417426017594235124117738624370156460320680107738232,68,19552464070797606942179419474458742768388295220669247432807228824645098518672
80,1,92,151,70,74,17,110615807871609475108728210219804406332072013403518481763640718364840951176222,88,57649997450136075054711083397043703938026365514556787370340996043707585054384,36,105571306292997389644484729179710876700302180051748756919238295531471366414087
85,1,79,62,5,124,9,21760541027668544306677623850649482311589013315311290174109406609009651713951,20,93403905324421443683761378689958268375902134421209413145548909353003235802193,65,23643461336905274509070289591602980814054445447498212952425555222356364533605
90,1,76,34,132,20,-20,6033734256503644793717175260006624723977180272911027840248859991865636098084,6,83365573002147687197100585554979574467884897773291385168666164001826381908454,58,107376436555205272845918773585004089374059472035855039899219507978004825860617
95,1,75,24,78,80,5,18502784967498889434523483166453203017198748356605235581884817520401253661896,17,110865705366197928019863147634350414185101622439953790755258770496463183512340,83,45659713361976651978927175655626347220812923995399294068257335068445630813631
100,1,90,147,47,97,28,27573610686844589436272478182898300523778929196876179306945156580097704651081,25,71114972018207395355725507990517892841842902114331626508181720308625876878211,50,9496435256233764927221943931132798371145578639744119785530821028067747721878
105,1,88,141,64,87,70,16983467441638145272839516138492459249704781794818376222090519690887648057227,14,71590823099945896594677968982173357141307226298854070505157009396936607052645,52,76538939192970333448899797344584871380426445772805551353205240312459553363103
110,1,75,26,46,92,1,5225992061622980374483736662256331551346591531827925761212131709425649282299,4,8157978524134058073440232192157700947429814267892137678262399286146935002448,6,30506804099618546278096557716888472156445613789000125203159753260952432167201
115,1,91,149,94,91,-7,24869615737577754303223076135923783722543667329673553813615562967429066856974,24,86874659991626658367842946831010452263861893694230642949560985482174775996871,62,60894732304542701099942680192746697748355923893092256151138433975540340419245
120,1,82,94,160,64,62,51618569799486891394208708199615774146408011269890278083717078717312658116761,41,106780618697364301013160752901085269143349141625189969218751813687858527715970,78,88229261775934111436687493603237769366627865185234434353051403271255924369856
125,1,82,95,82,38,8,100657891521244337877537134262383673062354877212792169836507656734328357748343,79,90345062456241089547374089876416006867450826118829152088302203361935572915920,64,50693189439774508914704621227888780990358822144403204335777156394050480151796
130,1,73,18,12,93,-18,80769153475847677179517375657442821068266152461624146761719517145425317491176,64,34389896416174319577427630963188846310852824141986584417052060375549257995306,19,79851619466071777947253609711062627577421366342248219101587924916120261626597
135,0,82,96,79,85,-26,22192401509268247531352677264766230259437929368547539113374518388727980930059,21,101357152476904605881668180826081588268075454883116911551757598187049186127564,71,42518748094800190364691662520829255725760545190387351376607655495124216557634
140,0,94,155,72,118,-73,12073378448676905095132011177367844962889897514908349847370461312047268783422,10,114012260715894187604563676959982200966170021821506604558401881108288925839437,88,37682839292896009698132018742135350100610558344640733576038097697553974989704
145,0,81,83,75,102,38,83752346590217785247777603150112492317335954948942395545885497995750588282202,67,37659667418765753629186260291067808644558675815502241757551560374364498596565,21,111300563032070482318973143595299319687837285883102786179729024583681494066605
150,0,86,125,7,58,-76,104523178172597573440342604478369950284711382359022447840112682978912410874045,83,53627858098635402858334708487951655465069024493011033412401842300937851233584,32,111478728513025045662831244027341471302735160025668400805782543727342364651988
155,0,90,148,135,62,-44,102125875217226733650586921032604551773140287009686124390410024274255487914870,80,111111639152443814359060444769977169935216320518025024254708230142670328859404,84,101747430403106175409840743682529562531848517351279724422516531729092958789896
160,0,81,85,56,101,11,47750153593033158193257876061741717750340622829984053723045268748760395373840,39,101955082354000805383711518450597291462255586377694244072532620027299259493273,72,88012277890383746043092956569653857222470698200393086067459149582471976034856
