family,param,n_used,r,close01,mae,p_perm
offset,c=15 (m=n-c),48,0.134102,0.333333,0.305759,0.427146
offset,c=16 (m=n-c),47,0.171472,0.297872,0.260100,0.255489
offset,c=17 (m=n-c),46,-0.004810,0.260870,0.326607,0.976048
offset,c=18 (m=n-c),45,-0.094076,0.177778,0.352570,0.548902
offset,c=19 (m=n-c),44,0.088026,0.363636,0.274473,0.542914
offset,c=20 (m=n-c),43,-0.166172,0.232558,0.311906,0.333333
proportional,alpha=0.25,70,-0.117031,0.200000,0.362976,0.349301
proportional,alpha=0.35,70,0.052716,0.285714,0.304695,0.678643
proportional,alpha=0.5,70,0.043797,0.357143,0.278679,0.738523
proportional,alpha=0.6,70,-0.120654,0.271429,0.308933,0.315369
proportional,alpha=0.75,70,0.078485,0.328571,0.274769,0.548902
proportional,alpha=0.85,70,-0.056453,0.271429,0.318136,0.646707
proportional,alpha=1.0,70,0.188489,0.271429,0.267702,0.111776
ridge_n_ge_m,m=8,63,0.200110,0.253968,0.285317,0.101796
ridge_n_ge_m,m=9,62,-0.115476,0.241935,0.315111,0.399202
ridge_n_ge_m,m=10,61,0.157738,0.213115,0.337430,0.219561
ridge_n_ge_m,m=11,60,-0.043853,0.216667,0.331653,0.736527
ridge_n_ge_m,m=12,59,-0.137652,0.220339,0.319787,0.263473
ridge_n_ge_m,m=13,58,0.230176,0.362069,0.274663,0.075848
ridge_n_ge_m,m=14,57,-0.117653,0.175439,0.355959,0.385230
ridge_n_ge_m,m=15,56,-0.141992,0.196429,0.344581,0.279441
ridge_n_ge_m,m=16,55,0.220310,0.327273,0.288406,0.099800
ridge_n_ge_m,m=17,54,-0.103866,0.203704,0.361824,0.449102
ridge_n_ge_m,m=18,53,-0.324855,0.207547,0.352495,0.017964
ridge_n_ge_m,m=19,52,0.131578,0.307692,0.319897,0.359281
ridge_n_ge_m,m=20,51,0.126432,0.294118,0.295495,0.385230
ridge_n_ge_m,m=21,50,-0.346104,0.240000,0.315043,0.015968
ridge_n_ge_m,m=22,49,-0.020125,0.285714,0.319721,0.902196
ridge_n_ge_m,m=23,48,0.190736,0.333333,0.276763,0.187625
ridge_n_ge_m,m=24,47,0.002878,0.234043,0.278045,0.986028
ridge_n_ge_m,m=25,46,-0.241982,0.152174,0.345522,0.105788
ridge_n_ge_m,m=26,45,0.377017,0.377778,0.255711,0.007984
ridge_n_ge_m,m=27,44,-0.146806,0.136364,0.344320,0.305389
ridge_n_ge_m,m=28,43,-0.344206,0.232558,0.321558,0.035928
ridge_n_ge_m,m=29,42,-0.034028,0.309524,0.330795,0.808383
ridge_n_ge_m,m=30,41,0.287655,0.390244,0.236341,0.063872
ridge_n_ge_m,m=31,40,-0.170624,0.200000,0.287360,0.279441
ridge_n_ge_m,m=32,39,-0.253122,0.179487,0.302591,0.093812
ridge_n_ge_m,m=33,38,0.309660,0.368421,0.264951,0.051896
ridge_n_ge_m,m=34,37,0.000918,0.324324,0.311831,0.998004
ridge_n_ge_m,m=35,36,-0.331533,0.194444,0.320331,0.029940
ridge_n_ge_m,m=36,35,-0.236669,0.114286,0.338455,0.167665
ridge_n_ge_m,m=37,34,0.442443,0.441176,0.217825,0.005988
ridge_n_ge_m,m=38,33,0.074520,0.303030,0.324565,0.694611
ridge_n_ge_m,m=39,32,-0.398994,0.218750,0.338028,0.019960
ridge_n_ge_m,m=40,31,-0.284910,0.129032,0.370878,0.123752
ridge_n_ge_m,m=41,30,0.553413,0.466667,0.212847,0.001996
ridge_n_ge_m,m=42,29,-0.124339,0.206897,0.376545,0.550898
ridge_n_ge_m,m=43,28,-0.408508,0.250000,0.354410,0.031936
ridge_n_ge_m,m=44,27,-0.298085,0.148148,0.374439,0.133733
ridge_n_ge_m,m=45,26,0.553254,0.384615,0.221797,0.001996
ridge_n_ge_m,m=46,25,-0.015565,0.200000,0.363315,0.946108
ridge_n_ge_m,m=47,24,-0.384175,0.208333,0.338801,0.043912
ridge_n_ge_m,m=48,23,-0.267307,0.130435,0.353275,0.203593
ridge_n_ge_m,m=49,22,0.492807,0.409091,0.208272,0.021956
ridge_n_ge_m,m=50,21,0.259472,0.238095,0.319645,0.289421
ridge_n_ge_m,m=51,20,-0.448702,0.200000,0.354159,0.045908
ridge_n_ge_m,m=52,19,-0.299916,0.157895,0.360247,0.207585
ridge_n_ge_m,m=53,18,0.244405,0.388889,0.233575,0.277445
ridge_n_ge_m,m=54,17,0.308786,0.294118,0.286094,0.273453
ridge_n_ge_m,m=55,16,-0.462814,0.125000,0.362506,0.053892
ridge_n_ge_m,m=56,15,-0.266121,0.266667,0.350240,0.371257
ridge_n_ge_m,m=57,14,0.269672,0.357143,0.234718,0.305389
ridge_n_ge_m,m=58,13,0.099722,0.230769,0.303284,0.742515
ridge_n_ge_m,m=59,12,-0.231678,0.166667,0.389488,0.457086
ridge_n_ge_m,m=60,11,-0.194182,0.181818,0.358358,0.544910
ridge_n_ge_m,m=61,10,0.542578,0.400000,0.249950,0.105788
ridge_all,m=8,70,0.132690,0.271429,0.293214,0.277445
ridge_all,m=10,70,0.139652,0.200000,0.330713,0.269461
ridge_all,m=12,70,-0.127492,0.214286,0.321677,0.297405
ridge_all,m=14,70,-0.109760,0.185714,0.351791,0.353293
ridge_all,m=16,70,0.173325,0.285714,0.303612,0.151697
ridge_all,m=18,70,-0.232183,0.200000,0.337450,0.063872
ridge_all,m=20,70,0.033574,0.271429,0.319513,0.790419
ridge_all,m=22,70,-0.028833,0.257143,0.320704,0.810379
ridge_all,m=24,70,0.075306,0.271429,0.283269,0.530938
ridge_all,m=26,70,0.294578,0.314286,0.287505,0.019960
ridge_all,m=28,70,-0.282683,0.214286,0.323634,0.013972
ridge_all,m=30,70,0.150043,0.342857,0.293388,0.205589
ridge_all,m=32,70,-0.182697,0.228571,0.313588,0.141717
ridge_all,m=34,70,0.004468,0.285714,0.330545,0.976048
ridge_all,m=36,70,-0.155498,0.171429,0.323364,0.203593
ridge_all,m=38,70,0.053847,0.257143,0.328539,0.622754
ridge_all,m=40,70,-0.179579,0.185714,0.341721,0.137725
ridge_all,m=42,70,-0.061134,0.257143,0.346968,0.634731
ridge_all,m=44,70,-0.184109,0.171429,0.347836,0.127745
ridge_all,m=46,70,-0.055209,0.242857,0.348465,0.648703
ridge_all,m=48,70,-0.194182,0.171429,0.341798,0.127745
ridge_all,m=50,70,-0.008556,0.257143,0.341974,0.950100
ridge_all,m=52,70,-0.189386,0.200000,0.322217,0.127745
ridge_all,m=54,70,-0.056944,0.228571,0.344891,0.618762
ridge_all,m=56,70,-0.187044,0.228571,0.306799,0.115768
ridge_all,m=58,70,0.037903,0.271429,0.321209,0.750499
ridge_all,m=60,70,-0.205527,0.242857,0.311475,0.079840
ridge_all,m=62,70,0.304568,0.328571,0.274979,0.015968
ridge_all,m=64,70,-0.229533,0.171429,0.319881,0.061876
ridge_all,m=66,70,0.269608,0.285714,0.287173,0.019960
ridge_all,m=68,70,-0.280610,0.214286,0.324517,0.013972
ridge_all,m=70,70,0.118434,0.300000,0.302753,0.333333
ridge_all,m=72,70,-0.115602,0.271429,0.343503,0.357285
ridge_all,m=74,70,-0.008961,0.228571,0.297926,0.950100
ridge_all,m=76,70,-0.014727,0.242857,0.341427,0.894212
ridge_all,m=78,70,-0.207630,0.242857,0.308035,0.067864
ridge_all,m=80,70,0.192830,0.314286,0.294856,0.135729
ridge_all,m=82,70,-0.212620,0.200000,0.324286,0.095808
ridge_all,m=84,70,0.161847,0.271429,0.297746,0.149701
ridge_all,m=86,70,-0.175190,0.271429,0.341060,0.149701
ridge_all,m=88,70,0.026094,0.228571,0.296920,0.846307
ridge_all,m=90,70,-0.009531,0.214286,0.346979,0.934132
ridge_all,m=92,70,-0.202416,0.228571,0.311628,0.097804
ridge_all,m=94,70,0.182709,0.300000,0.309195,0.117764
ridge_all,m=96,70,-0.262538,0.185714,0.342602,0.023952
ridge_all,m=98,70,0.053929,0.285714,0.313256,0.646707
ridge_all,m=100,70,-0.107867,0.285714,0.349341,0.373253
ridge_all,m=102,70,0.000337,0.271429,0.285440,0.998004
ridge_all,m=104,70,0.115342,0.300000,0.318294,0.337325
ridge_all,m=106,70,-0.192763,0.214286,0.325594,0.115768
ridge_all,m=108,70,0.176397,0.257143,0.293184,0.141717
ridge_all,m=110,70,-0.170077,0.285714,0.344811,0.155689
ridge_all,m=112,70,0.060132,0.257143,0.283356,0.662675
ridge_all,m=114,70,-0.007579,0.214286,0.341287,0.970060
ridge_all,m=116,70,-0.207979,0.200000,0.316610,0.089820
ridge_all,m=118,70,0.177315,0.257143,0.296629,0.123752
ridge_all,m=120,70,-0.168078,0.271429,0.348083,0.155689
ridge_all,m=122,70,0.022672,0.271429,0.285183,0.884232
ridge_all,m=124,70,-0.051122,0.214286,0.349413,0.700599
ridge_all,m=126,70,-0.199211,0.185714,0.318860,0.109780
ridge_all,m=128,70,0.180563,0.285714,0.287247,0.133733
ridge_all,m=160,70,0.183486,0.271429,0.309737,0.111776
ridge_all,m=192,70,0.104278,0.271429,0.299306,0.397206
ridge_all,m=224,70,0.001100,0.228571,0.301248,0.992016
ridge_all,m=256,70,-0.062273,0.171429,0.367430,0.580838
