puzzle,d_max_k,d_frac,lower_max_k,lower_frac,Px_lo_max_k,Px_lo_frac,Px_hi_max_k,Px_hi_frac,Py_lo_frac,Px_lo_nm1_frac,map_lo_frac
46,16,0.125000,15,0.800000,16,0.062500,16,0.187500,0.066667,0.062500,0.125000
47,16,0.312500,16,0.125000,16,0.312500,16,0.375000,0.187500,0.062500,0.187500
48,16,0.562500,16,0.125000,16,0.437500,16,0.437500,0.187500,0.400000,0.812500
49,17,0.058824,16,0.375000,16,0.562500,17,0.058824,0.312500,0.562500,0.750000
50,17,0.058824,16,0.125000,16,0.375000,17,0.176471,0.117647,0.375000,0.058824
51,17,0.294118,17,0.117647,17,0.058824,17,0.176471,0.352941,0.058824,0.176471
52,17,0.647059,17,0.294118,17,0.588235,17,0.647059,0.117647,0.176471,0.058824
53,18,0.055556,17,0.352941,17,0.823529,18,0.055556,0.933333,0.117647,0.055556
54,18,0.055556,17,0.117647,18,0.055556,18,0.055556,0.058824,0.058824,0.764706
55,18,0.222222,18,0.055556,18,0.111111,18,0.111111,0.222222,0.111111,0.166667
56,18,0.333333,18,0.055556,17,0.882353,18,0.611111,0.277778,0.882353,0.333333
57,19,0.052632,18,0.555556,19,0.052632,18,0.777778,0.611111,0.611111,0.277778
58,19,0.052632,18,0.444444,18,0.111111,19,0.052632,0.944444,0.111111,0.052632
59,19,0.210526,19,0.052632,19,0.210526,19,0.105263,0.210526,0.105263,0.052632
60,19,0.473684,19,0.210526,19,0.263158,19,0.263158,0.368421,0.333333,0.157895
61,19,0.578947,19,0.105263,19,0.368421,19,0.526316,0.894737,0.368421,0.578947
62,20,0.050000,19,0.684211,19,1.000000,20,0.050000,0.050000,0.055556,0.050000
63,20,0.150000,20,0.050000,20,0.150000,20,0.150000,0.050000,0.050000,0.050000
64,20,0.350000,20,0.150000,19,0.684211,20,0.150000,0.350000,0.684211,0.250000
65,20,0.600000,20,0.200000,20,0.650000,20,0.550000,0.150000,0.250000,0.500000
66,20,0.950000,20,0.150000,21,0.047619,20,0.900000,0.047619,0.550000,0.350000
67,21,0.095238,21,0.047619,21,0.095238,21,0.047619,0.800000,0.047619,0.100000
68,21,0.190476,21,0.047619,21,0.095238,21,0.238095,0.142857,0.050000,0.047619
69,21,0.238095,19,0.894737,20,0.300000,21,0.285714,0.047619,0.300000,0.476190
70,21,0.857143,21,0.333333,21,0.333333,21,0.619048,0.333333,0.333333,0.380952
