level,index,value,abs_bit_length,sign,popcount_abs
2,59,-319224773562071591,59,-1,37
2,60,2191838807490008480,61,1,32
2,61,2602272407127480626,62,1,27
2,62,3721580001037119154,62,1,32
2,63,3962272546432199367,62,1,37
2,64,3009130283796166644,62,1,28
2,65,70532885813757787705,66,1,36
2,66,930596558889862947,60,1,29
2,67,-9865096903869917544,64,-1,37
2,68,595786256377587918698,70,1,35
3,1,-5,3,-1,2
3,2,15,4,1,4
3,3,3,2,1,2
3,4,-16,5,-1,1
3,5,122,7,1,5
3,6,-26,5,-1,3
3,7,-291,9,-1,4
3,8,790,10,1,5
3,9,293,9,1,4
3,10,118,7,1,5
3,11,1790,11,1,9
3,12,8200,14,1,2
3,13,-2675,12,-1,7
3,14,11350,14,1,7
3,15,38863,16,1,11
3,16,-2513,12,-1,6
3,17,290896,19,1,6
3,18,95749,17,1,8
3,19,-195373,18,-1,12
3,20,1148268,21,1,9
3,21,4843015,23,1,11
3,22,3688384,22,1,9
3,23,-7330439,23,-1,15
3,24,33461206,25,1,17
3,25,22215662,25,1,17
3,26,-883369,20,-1,12
3,27,401988685,29,1,19
3,28,-22605427,25,-1,15
3,29,-514915481,29,-1,17
3,30,3131023039,32,1,23
3,31,-101211688,27,-1,10
3,32,-3967503757,32,-1,19
3,33,17310933163,35,1,18
3,34,19293793874,35,1,24
3,35,-46732707045,36,-1,18
3,36,141177270966,38,1,19
3,37,373139555320,39,1,21
3,38,-728498663484,40,-1,22
3,39,1207847206935,41,1,18
3,40,2094792592927,41,1,27
3,41,403200065838,39,1,18
3,42,-6883763593604,43,-1,13
3,43,30223755312209,45,1,23
3,44,10025275571054,44,1,25
3,45,-33563454682828,45,-1,24
3,46,143089287925094,48,1,20
3,47,-162261953942652,48,-1,20
3,48,1261497767047716,51,1,23
3,49,-535510322390161,49,-1,22
3,50,-320634898030112,49,-1,21
3,51,274120733710559,48,1,31
3,52,16196581033213011,54,1,28
3,53,-22757747420919808,55,-1,24
3,54,85751248263928440,57,1,27
3,55,-112149772370037162,57,-1,34
3,56,295658914769102945,59,1,29
3,57,21514442462877464,55,1,27
3,58,-604102023241377640,60,-1,30
3,59,2511063581052080071,62,1,31
3,60,410433599637472146,59,1,29
3,61,1119307593909638528,60,1,24
3,62,240692545395080213,58,1,28
3,63,-953142262636032723,60,-1,31
3,64,67523755529961621061,66,1,34
3,65,-69602289254867924758,66,-1,38
3,66,-10795693462759780491,64,-1,28
3,67,605651353281457836242,70,1,34
