delta_id,delta,small_factorization,remaining_cofactor,remaining_bits,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97
27,115684467,3^1 * 31^1,1243919,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,173074486,2^1 * 13^1,6656711,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,632453190,2^1 * 3^1 * 5^1 * 19^1,1109567,21,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1069226467,1,1069226467,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,991084263,3^1 * 13^1 * 61^1,416597,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,4043965098,2^1 * 3^1 * 37^1,18216059,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6995634245,5^1,1399126849,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5979799635,3^1 * 5^1,398653309,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,22274898188,2^2 * 47^1,118483501,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,57863790615,3^1 * 5^1,3857586041,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,46719975997,1,46719975997,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,176753432345,5^1 * 7^2,721442581,30,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,679926444013,1,679926444013,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,454600792197,3^2,50511199133,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1437122347316,2^2,359280586829,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4514436495362,2^1 * 29^1,77835111989,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7994950709246,2^1 * 19^1,210393439717,38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4591701329526,2^1 * 3^2 * 53^1,4813104119,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,31412207262015,3^2 * 5^1,698049050267,40,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,68257988765558,2^1,34128994382779,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,71540315586273,3^1 * 23^1,1036816167917,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,217911930332082,2^1 * 3^1 * 7^1,5188379293621,43,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,202021591135239,3^7,92373841397,37,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1447629018986112,2^7 * 3^1,3769867236943,42,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2157726124446824,2^3 * 29^1 * 47^1 * 53^1,3733658627,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
52,2547188331877424,2^4,159199270742339,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3210771273018583,1,3210771273018583,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,20070935247372753,3^1 * 73^1,91648106152387,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,14173351800807115,5^1 * 7^1,404952908594489,49,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,94027016618169917,43^1,2186674805073719,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,61730909065495557,3^2,6858989896166173,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,325093716281924142,2^1 * 3^1 * 7^1,7740326578141051,53,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,609970965961230191,1,609970965961230191,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,290746192399158600,2^3 * 3^2 * 5^2 * 13^1,12425050957229,44,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2482584999889167080,2^3 * 5^1 * 19^1,3266559210380483,52,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5084857407016647706,2^1 * 19^1,133812037026753887,57,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,8806437408053766860,2^2 * 5^1,440321870402688343,59,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,12768709954485966227,1,12768709954485966227,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,15777840238282132871,7^1,2253977176897447553,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,86310726052039920576,2^6 * 3^2,149845010507013751,58,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,87241322610929783523,3^1,29080440870309927841,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,77376225707059865979,3^1,25792075235686621993,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,673162482084647784677,7^1,96166068869235397811,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
