delta_id,rw_x,rw_y,rw_z,cluster,stationary_probability
30,-0.002753907793844184,-0.011576056689225123,0.0016494009422023724,3,0.015538461856412495
31,-0.00326057303239255,-0.004192576599961865,-0.009107500078257115,6,0.013972668986618905
32,0.004601649078726637,-0.0032934724340130113,-0.010074658430261086,6,0.014482270372774785
33,-0.003609967000780732,-0.012706567862204829,-0.005562657013963308,6,0.015021542821232936
34,-0.0008567175591144682,-0.01187431657447629,-0.009803371887891663,6,0.014769177018791277
35,-0.0037516487593456426,0.0034036634789081466,-0.0074508199098698704,4,0.013767731034294019
36,-0.006246355572998871,-0.012189595513425097,-0.009257670923369585,6,0.01477476197686315
37,-0.003438620995675499,-0.012438733238259125,0.0027087363273586794,3,0.015394860029190358
38,-0.006916332938111952,-0.0018970349491780844,-0.00432640257717154,4,0.01381107663539296
39,-0.005212953400549005,-0.008176873092014921,0.004037066287726828,3,0.015386253605322002
40,-0.0059629915666640325,-0.009419307068561778,-0.007224270140348421,3,0.014913415339546524
41,-0.004077113904591492,-0.0007836850396680638,-0.008492732923256635,4,0.014796674607395185
42,0.0045367058113575925,0.00504425525811879,-0.009483162040558383,4,0.01462315488834078
43,-0.00773071603401951,0.011184848534050579,-0.003974213874806535,4,0.014476481283771355
44,-0.0074410926041908795,0.00799331554719471,-0.009466494660321427,2,0.014240554448381208
45,-0.009711480955879781,0.005377852276279841,-0.007343781625762892,2,0.014069687050558305
46,-0.0022072162624432426,0.0029275587699985678,-0.006857142024610136,4,0.014933150295488487
47,-0.008215347131191658,-0.002364230982973129,-0.005770547821878704,3,0.014611797496557189
48,-0.009051341151712751,0.009082374959221306,-0.008286486207912645,2,0.014386269000007706
49,-0.009831600543666311,0.0077953199063942585,-0.00666865985479254,2,0.013709340951278107
50,-0.00881192149640156,0.013531634489944894,-0.007545894296815245,2,0.013583869197217623
51,0.0006020434546588866,0.01168215085420574,-0.007507815019849634,2,0.013868907155904449
52,-0.009544227723979861,0.013615226605024951,-0.0034577362396344797,2,0.013995563684352735
53,-0.00674090453111604,-0.00860991007717301,0.0064540889508871765,3,0.015230032281264995
54,-0.010370566692375353,-0.003694563743238638,0.0022146185170315537,3,0.014443545583300283
55,-0.011014695286596026,-0.0037044893801840245,0.004073252533298675,3,0.014211792290905214
56,-0.007973732768453604,0.001566362288537279,0.006058146136800163,3,0.01382652503675728
57,-0.010948441833055269,-0.005523955610594451,0.0009702748966182898,3,0.014606791971541782
58,-0.006302537731081047,0.005383925639046881,0.00019186025634054606,5,0.014323968994447147
59,-0.008983112566747957,-9.451235887436663e-05,0.012867883633938003,7,0.014902610802395404
60,-0.011034813084871786,0.011213337056968416,0.003008979781584447,5,0.012924560013779023
61,-0.013736737555524623,0.013044822402637938,0.009087448469474587,5,0.013514666087716955
62,-0.010767418714676426,0.010578332372059589,0.009744952877729402,5,0.013819731204021236
63,-0.011408494704775887,0.004017513782046449,0.00665097766961711,5,0.014375498797452976
64,-0.009621360412521242,-0.002696713966781819,0.015114842317889189,3,0.015049556248156144
65,-0.010679719693125964,-0.004682943473858427,0.010753028738705291,5,0.01447926075146317
66,-0.011878482738359746,0.010379862610100057,0.005780925973833006,5,0.01332696721815909
67,-0.009275134440654212,-0.00747192943380544,0.006375987399731112,5,0.014688678262563107
68,-0.009304153275422332,-0.00017492716010880497,0.005684859357293342,5,0.014305982245334477
69,-0.00752177481523776,-0.0013357409356334123,0.009918126155943478,5,0.013562707852182294
