puzzle,d,d_bit_length,d_popcount_256,quadratic_class,quadratic_test,cubic_class,cubic_test,x,y,compressed_prefix,x_popcount_256,y_popcount_256,d_mod_2,d_mod_3,d_mod_5,d_mod_7,d_mod_11,d_mod_13,d_mod_17,d_mod_19,d_mod_23,d_mod_29,d_mod_31,d_mod_37,d_mod_41,d_mod_43,d_mod_47,d_mod_53,d_mod_59,d_mod_61,d_mod_67,d_mod_71,d_mod_73,d_mod_79,d_mod_83,d_mod_89,d_mod_97,x_mod_2,x_mod_3,x_mod_5,x_mod_7,x_mod_11,x_mod_13,x_mod_17,x_mod_19,x_mod_23,x_mod_29,x_mod_31,x_mod_37,x_mod_41,x_mod_43,x_mod_47,x_mod_53,x_mod_59,x_mod_61,x_mod_67,x_mod_71,x_mod_73,x_mod_79,x_mod_83,x_mod_89,x_mod_97,y_mod_2,y_mod_3,y_mod_5,y_mod_7,y_mod_11,y_mod_13,y_mod_17,y_mod_19,y_mod_23,y_mod_29,y_mod_31,y_mod_37,y_mod_41,y_mod_43,y_mod_47,y_mod_53,y_mod_59,y_mod_61,y_mod_67,y_mod_71,y_mod_73,y_mod_79,y_mod_83,y_mod_89,y_mod_97
17,95823,17,11,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,28680425603065441115290152280488699295594719576682295038107311098738046478531,25891784853872784916698406928566284655180782352356802345945352320731968056623,03,127,134,1,0,3,0,2,0,11,6,5,7,2,30,6,19,37,52,7,53,13,44,47,75,41,59,84,1,0,1,6,2,4,10,5,15,16,15,6,40,29,44,18,32,33,43,9,16,66,24,2,1,1,0,3,4,0,1,0,6,3,25,18,8,4,8,17,2,17,8,42,51,21,43,75,35,38
18,198669,18,6,QR,1,C0,1,5831721406635063654683117253506846208566679410118154188144422804291796683505,61770026510604113021686089777374557608174938587526483912023179154647723408296,02,141,115,1,0,4,2,9,3,7,5,18,19,21,16,24,9,0,25,16,53,14,11,36,63,50,21,13,1,0,0,2,2,12,3,9,19,9,19,33,38,37,41,38,12,51,31,20,44,23,58,32,0,0,2,1,5,9,5,14,16,18,14,5,35,3,23,17,15,25,57,53,28,38,65,47,6,71
19,357535,19,12,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,60338245119404298188752055094151291956247541820833238489095541627141964729881,31432635976074881250581475377260990518299484384225785790788933914681598133873,03,118,133,1,1,0,3,2,9,8,12,0,23,12,4,15,33,6,50,54,14,23,50,54,60,54,22,90,1,0,1,4,2,2,5,6,0,24,26,34,14,31,22,31,12,9,19,13,33,36,31,32,55,1,0,3,1,1,9,1,7,5,17,6,11,23,36,19,13,43,37,53,39,61,20,16,61,14
20,863317,20,10,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,27269999313721489064003814688126459473916071371077568700989584042678664122236,61518159794260916008520957000838288631389138584881336375456078921081169337009,03,138,111,1,1,2,0,4,0,6,14,12,16,29,33,21,6,21,0,29,45,22,28,19,5,34,17,17,0,0,1,5,1,5,3,5,18,25,16,30,12,18,13,3,43,9,10,39,36,62,3,19,39,1,0,4,4,7,4,10,4,18,24,19,11,2,37,11,34,56,25,39,59,48,29,57,51,25
21,1811764,21,11,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,11965836972506588223997128401045962469020054936532040942669396711946779550878,20508170458539512907339144104761652653989862605562274795589281214845594026553,03,126,137,0,1,4,3,9,6,6,0,8,18,0,22,15,2,8,12,51,3,17,57,50,57,40,80,95,0,0,3,4,2,4,10,15,10,20,24,15,4,15,2,44,43,30,34,36,67,44,16,43,36,1,2,3,1,2,8,13,7,15,13,19,6,16,36,45,51,17,44,50,7,51,55,71,24,50
22,3007503,22,12,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,28427543130978074585626614985345471977959286787477589552057226505098203151171,50682816582500312841297567883708830117558309276952202558634043072443816047348,02,131,119,1,0,3,2,4,5,16,12,0,0,7,32,30,40,20,18,37,20,7,14,49,52,81,15,18,1,0,1,5,3,7,14,15,1,14,16,4,38,14,23,50,32,23,24,36,28,53,67,13,68,0,2,3,2,2,8,13,6,14,7,21,11,22,5,14,43,0,17,9,7,71,49,70,1,13
23,5598802,23,12,QR,1,C0,1,112242605370855911626219397372182973708357660307191681275644769547017645510731,68390115887979834732633364824402183781075100352900279452463611034517340924735,03,124,142,0,1,2,6,0,1,5,15,4,4,16,36,6,30,21,41,56,39,14,26,67,72,37,79,59,1,0,1,0,3,0,16,18,11,24,17,30,17,10,4,24,35,36,58,6,62,67,27,16,38,1,2,0,1,8,7,3,18,6,21,13,24,35,41,31,48,57,10,59,33,18,16,9,58,43
24,14428676,24,9,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,50051642716414720463187965900760752759743717926024251995580996834432353782028,95977329040668870486165415718601595529707258475317259821694622043699258647209,03,128,124,0,2,1,3,9,2,11,0,17,16,5,8,38,26,5,9,49,41,25,56,7,37,39,85,23,0,1,3,1,10,4,13,2,6,27,13,18,37,17,6,43,1,46,20,37,72,35,20,82,53,1,2,4,6,7,4,7,3,11,14,0,28,33,42,26,33,36,20,17,32,46,75,44,56,41
25,33185509,25,17,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,2487269563521372588638256629682732896198248350279877738175192749508256023898,83166736743316151169117427554752633507423263386878521247276704816202397537877,03,124,131,1,1,4,0,5,6,13,14,5,26,9,24,27,1,31,36,15,45,7,38,1,58,34,79,63,0,0,3,0,6,6,13,0,4,28,11,27,33,19,45,29,6,40,1,59,0,37,39,4,8,1,1,2,1,8,5,12,4,20,28,11,4,21,39,34,37,51,45,61,38,25,52,3,41,12
26,54538862,26,11,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,35420539632094692837984746081431277047695579008914218444685265805648713712655,3358784347258280833624896144913156994018140069677567813380874750873563501770,02,126,117,0,2,2,0,4,1,6,8,20,12,4,11,6,27,15,7,29,43,58,70,51,27,60,18,30,1,1,0,0,2,2,3,6,19,27,25,21,24,39,43,36,7,8,5,13,54,0,66,56,19,0,1,0,2,9,3,1,4,15,7,3,6,19,3,36,27,39,4,6,5,50,61,70,60,67
27,111949941,27,14,QR,1,C0,1,11997413897869137388527643229179287173219648582998689290732186100840539639502,1470943697971973524954639516409046856461552667680474329056749594236581993569,03,133,116,1,0,1,5,4,12,11,3,17,23,13,3,15,0,30,2,37,57,43,52,61,68,39,45,10,0,0,2,6,6,4,2,2,17,2,28,23,37,22,16,48,36,22,8,25,58,66,18,26,65,1,0,4,2,1,8,12,10,10,6,4,29,21,32,7,17,53,55,4,32,59,9,27,6,9
28,227634408,28,14,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,105795941560543818913296116066690952042698430189737497838953392383707833745575,4504033619411268082483771859364632124471726090349020722551531509720449239959,03,126,124,0,0,3,1,1,1,5,6,4,10,13,11,30,19,13,44,18,37,32,30,41,16,19,87,46,1,0,0,3,9,0,6,4,14,23,12,14,24,20,1,37,17,24,36,42,37,69,72,82,30,1,0,4,1,7,12,6,6,20,18,6,20,23,31,46,48,54,57,5,55,0,55,75,13,71
29,400708894,29,16,QR,1,C0,1,49151630029556619633156338398973320854679402706053926415074712059863391894326,111171837080378547467348261794472043463254055018894513032574226962726028294900,02,129,121,0,1,4,5,3,1,7,15,19,2,11,4,27,21,7,9,10,16,51,17,68,38,0,11,51,0,2,1,3,3,10,9,0,1,9,4,33,21,9,43,11,29,29,34,41,10,39,37,2,73,0,2,0,2,5,3,7,2,8,10,21,14,38,0,44,43,3,60,52,42,13,74,1,48,38
30,1033162084,30,16,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,5951051142208904686425222322481077221567316087439359378589043642169505163867,79964921717795829095410138525196146121807237625496125940956045028689169447181,03,125,133,0,1,4,3,9,6,4,15,14,22,5,21,9,9,0,12,45,21,41,46,19,5,79,66,49,1,0,2,3,8,0,1,2,2,24,10,14,34,23,23,16,43,7,45,44,11,9,73,65,13,1,2,1,2,7,9,6,17,13,5,11,26,27,27,22,43,21,24,0,56,27,35,75,42,91
31,2102388551,31,21,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,61451719815341661281682897810187322803922811401468501217986913974289877761320,30947091983295757773862695542244568955870624650687256254668336429089021717649,03,127,127,1,2,1,4,10,3,13,0,20,27,16,7,22,0,14,27,15,5,40,25,12,24,45,24,75,0,2,0,0,5,11,0,11,2,10,2,4,17,19,33,50,36,57,6,35,69,41,75,2,47,1,0,4,4,3,7,3,13,12,5,20,6,34,12,18,13,19,46,49,35,43,52,41,0,17
32,3093472814,32,15,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,4419783485594778575869456570338791525369265264676694041444820246718062386793,36101104813710326932550768335617430651283103709568167696655528050073806182880,02,124,128,0,2,4,5,3,3,1,12,0,10,19,13,18,10,24,31,36,5,2,45,67,57,66,45,30,1,2,3,1,9,5,4,0,6,13,15,15,24,35,22,33,17,48,39,21,68,8,29,84,87,0,1,0,4,5,7,9,16,15,12,7,11,0,19,46,38,1,8,17,56,11,50,53,26,24
33,7137437912,33,16,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,73878352155540948447620718403427774498001293452248256430485902449521386501497,1848435387922639343210666794185885301104293211960891296513791058289918232927,03,138,117,0,2,2,3,0,7,16,18,11,20,20,13,21,8,5,45,55,54,4,38,6,27,71,53,14,1,2,2,4,2,3,16,0,22,3,12,7,3,22,40,47,1,10,59,20,8,40,11,17,41,1,1,2,5,10,7,4,12,6,17,1,1,5,27,25,10,10,27,38,33,24,61,17,71,54
34,14133072157,34,16,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,27530330645108713416987374469727331790531665526622602610141848066918764259216,90457806451997906746295114102505195833866791735127929013755472762572742813627,03,130,140,1,1,2,1,6,9,12,0,3,22,14,6,0,29,43,43,52,30,32,23,13,44,66,50,79,0,0,1,2,3,9,0,8,9,2,17,6,14,42,36,44,17,43,32,69,16,20,48,15,21,1,1,2,5,8,7,1,2,5,17,0,12,37,32,37,1,49,57,60,40,41,56,34,32,91
35,20112871792,35,15,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,111565932824107072002273648098027536630611694584547792392039443258564110295357,65073319313695146178520529869101114308349376191091055110226007524833442301678,02,111,125,0,1,2,6,2,0,7,11,14,5,27,19,24,20,18,1,4,43,20,28,49,65,44,45,71,1,2,2,0,2,0,8,16,12,9,17,3,36,34,5,12,13,3,65,28,27,46,56,29,15,0,1,3,6,4,2,9,13,9,23,6,14,22,21,28,46,2,28,34,56,50,59,23,68,75
36,42387769980,36,17,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,81372929267933625950466299134420767116313809747786657449875828371774815844854,49801825835509570606281703408037944345584045565504136549095842398335950992396,02,131,131,0,0,0,3,6,10,2,2,20,20,22,32,12,24,18,48,19,5,19,56,21,30,71,38,37,0,1,4,4,2,7,14,7,1,23,30,15,15,33,11,34,34,2,11,50,21,11,62,39,94,0,2,1,6,6,11,8,6,0,18,14,21,16,10,22,38,4,2,40,69,63,15,24,7,29
37,100251560595,37,22,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,56616873331361319339778585167167551785831939866134116855199265267823699497557,43995996907931450546017529821179402661741047506605583961822715323191270746432,02,129,119,1,0,0,4,10,4,4,1,3,10,16,26,21,32,26,8,8,29,12,14,18,11,54,14,24,1,1,2,3,3,8,4,3,18,25,3,26,23,35,33,3,44,8,64,5,64,69,31,87,62,0,1,2,0,9,2,10,12,15,4,22,26,20,34,10,0,23,26,49,45,32,52,36,46,5
38,146971536592,38,17,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,87015243271585780626985033128071698022561841908393138262300130220799103430854,25209357855024485003220583383100568569907435221588726049011254238934071668031,03,118,140,0,1,2,6,1,10,7,3,8,12,13,25,8,19,2,12,5,20,51,10,32,29,60,61,32,0,1,4,4,9,9,9,14,4,20,22,12,39,39,32,34,55,4,21,20,51,11,76,49,54,1,1,1,0,6,11,6,18,10,16,1,5,13,9,0,15,22,53,3,3,22,22,11,6,80
39,323724968937,39,20,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,20565748395003466184666204343636157310765094829742621599321518588759629653315,24311842649879211620913578563307151382181113982951839068539255115674165497966,02,120,129,1,0,2,6,7,6,10,16,10,10,14,29,28,30,25,44,17,54,19,53,42,73,47,48,76,1,1,0,0,2,7,10,2,13,0,16,31,30,41,25,31,28,35,25,46,42,78,11,1,74,0,1,1,3,10,5,5,8,19,19,3,10,10,5,5,33,10,23,37,6,13,44,6,13,49
40,1003651412950,40,22,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,73698089885969865917178217585365130397293864653143545863290470632977971667156,55920112788027504860697624221258924004816541552996850637631037640326076931751,03,126,131,0,1,0,4,10,4,14,6,8,2,20,19,36,31,43,14,27,39,5,47,34,15,16,87,96,0,2,1,3,2,0,13,8,14,12,0,17,28,31,8,3,58,6,32,39,3,77,2,87,34,1,2,1,1,3,11,16,18,13,6,19,14,29,39,42,16,3,17,63,20,72,55,29,2,96
41,1458252205147,41,21,QR,1,C0,1,81119306557295043947776230900539651493257160932663731932698523086255548483211,69833235478127881789123626297864036834549011744885041054439092651501655231589,03,130,123,1,1,2,3,1,10,4,7,0,5,13,27,33,7,33,50,17,53,52,55,55,59,39,54,11,1,2,1,0,8,4,10,18,9,25,13,21,35,20,26,3,43,59,34,67,20,24,54,88,14,1,0,4,4,8,10,8,1,19,3,4,16,16,39,46,41,36,42,36,21,72,22,58,36,51
42,2895374552463,42,19,QR,1,C0,1,108004735110291605052926238280029015934272711127582669764909355573652864904374,18403329601810133637568039936681058795765401650711307099623243826143290446421,03,131,126,1,0,3,1,8,3,15,3,2,2,22,29,20,32,9,2,0,46,10,9,17,53,47,25,33,0,2,4,3,0,10,15,0,21,26,20,21,11,26,25,29,24,59,6,48,22,20,27,24,73,1,2,1,4,8,7,5,5,14,19,14,19,32,27,3,35,19,33,53,29,3,1,28,9,24
43,7409811047825,43,24,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,75172231921983061963707078453586218075235954430194816683547821744757539658477,89836151575228064517341400809867031783033609174401477513286549833346046540900,02,124,134,1,2,0,4,10,4,6,13,12,2,2,27,18,31,2,18,44,26,44,61,8,59,42,13,73,1,1,2,4,10,3,11,0,2,9,17,21,9,42,12,28,0,24,27,11,69,77,3,36,35,0,1,0,0,6,10,7,14,6,15,29,2,1,2,21,46,14,58,48,16,13,57,58,68,43
44,15404761757071,44,22,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,42641850349376588048456683523298482342861890575005255055023690152751482106678,53863954730306949225788464513829000943283845993231532239006941853900022216012,02,137,131,1,1,1,1,5,11,5,13,10,9,6,10,38,11,15,47,30,47,48,50,37,57,68,54,2,0,2,3,5,5,6,7,4,17,3,16,27,12,12,23,11,35,56,42,20,1,67,14,31,82,0,1,2,0,3,9,7,5,0,5,26,0,38,2,37,9,8,33,55,57,33,33,79,52,63
45,19996463086597,45,19,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,50112622098186670293522308964212376217170487478698098151184560544369839286042,77166245647879752064031295604889546052840057843077005375531342667030458077622,02,136,128,1,1,2,4,8,10,12,7,16,19,26,15,9,30,45,47,39,5,19,24,14,23,16,50,52,0,2,2,0,9,8,6,1,19,2,6,27,3,12,3,9,55,45,64,42,10,54,27,51,37,0,1,2,5,8,3,1,1,18,18,7,33,38,36,3,26,38,54,51,48,20,26,64,15,46
46,51408670348612,46,19,QR,1,C0,1,114584500658952982261284867257664334263474393257290087756987875227521301436489,72377802498278766546639322951454786203104057764824801286631323494589545738903,03,130,120,0,1,2,3,5,5,5,4,10,23,29,17,30,23,46,51,11,10,48,65,65,52,17,86,71,1,0,4,2,8,4,6,15,2,5,28,11,18,10,37,22,44,55,0,44,19,14,20,51,40,1,1,3,0,4,9,7,8,12,11,24,26,5,24,45,25,31,48,26,34,38,5,19,9,3
47,119666659114170,47,24,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,26267254531086005924446289926216963278177394500745127274874595717966452048278,87001101956910744728114859046409945791202748241449154110581074788749206277690,02,135,136,0,0,0,0,3,12,0,5,5,8,16,26,26,28,34,10,12,22,31,34,61,18,13,0,22,0,0,3,6,2,11,5,6,22,28,21,36,29,26,36,23,39,51,27,64,29,6,59,31,29,0,2,0,6,3,0,1,13,20,10,0,9,14,28,21,17,32,41,10,0,63,3,15,44,33
48,191206974700443,48,31,QR,1,C0,1,65922650075410856534993974163056939852640429077251888193523115047858400845499,41869000666969933530739468879784369787478474775480842047778880811132270629206,02,122,127,1,0,3,2,9,0,1,16,5,20,23,35,12,37,35,47,26,44,13,27,34,27,65,25,81,1,0,4,6,9,10,11,9,19,0,1,8,28,25,4,5,50,41,66,55,27,42,25,59,3,0,1,1,0,7,2,0,0,12,18,17,36,2,7,25,2,39,46,38,64,12,30,11,40,26
49,409118905032525,49,25,QR,1,C0,1,40307801063138778132376559836123589321449883390877564180282544683931835372676,84487168443727713049778009853790282775917750548090902002744386003675529530292,02,119,125,1,0,0,2,6,12,12,5,0,12,8,28,3,12,24,10,49,10,19,46,28,32,67,83,39,0,0,1,3,3,4,4,9,7,1,18,1,4,3,29,10,21,16,58,24,34,52,50,33,46,0,1,2,6,3,12,16,11,19,2,4,20,27,17,13,33,3,27,41,33,7,56,56,39,88
50,611140496167764,50,24,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,110560903758971929709743161563183868968201998016819862389797221564458485814982,106403041512432555215316396882584033752066537554388330180776939978150437217531,03,124,120,0,0,4,3,2,4,16,11,13,15,26,32,15,4,9,18,52,57,30,13,36,17,29,36,59,0,0,2,1,8,0,1,2,22,26,6,11,9,2,12,16,48,43,41,33,13,21,38,41,60,1,0,1,1,6,6,9,13,17,10,13,25,5,10,41,1,3,49,14,67,11,66,71,85,95
