delta_id,transition,delta,bit_length,popcount,delta2,delta3,prev_ratio_num,prev_ratio_den,next_ratio_num,next_ratio_den,prev_ratio_cf,next_ratio_cf,small_prime_factor_exponents,remaining_cofactor,addition_carry_count,addition_longest_carry_chain,subtraction_borrow_count,subtraction_longest_borrow_chain,x,y,x_popcount,y_popcount,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97
17,17->18,102846,17,10,56020,290896,34282,14771,79433,51423,"[2, 3, 8, 1, 1, 1, 1, 15, 7]","[1, 1, 1, 5, 10, 1, 2, 1, 5, 1, 15]",1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0,281,15,10,15,10,115131057152593849589438289805164281814918414747281525085907528508483102872541,91476899356914528993526527712685725432338553893404056659187335190172664628474,135,133,0,0,1,2,7,3,13,18,13,12,19,23,18,33,10,26,9,0,1,38,62,67,9,51,26
18,18->19,158866,18,8,346916,95749,79433,51423,252891,79433,"[1, 1, 1, 5, 10, 1, 2, 1, 5, 1, 15]","[3, 5, 2, 3, 1, 13, 1, 4, 1, 5, 3]",1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,79433,2,1,2,1,107138133324307390104304265488341594924130756785672098597573245262033193109970,22968162315206179694592401590959235299116106198732235885783847913209925851171,127,120,0,1,1,1,4,6,1,7,5,4,22,25,32,24,6,25,38,22,9,39,18,76,4,1,77
19,19->20,505782,19,14,442665,-195373,252891,79433,105383,56198,"[3, 5, 2, 3, 1, 13, 1, 4, 1, 5, 3]","[1, 1, 7, 74, 1, 1, 1, 1, 5, 1, 2]",1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,28099,16,7,16,7,114171289326782387731949292937610769642113045865965643276841615636064370975268,30614055813407165947823918191282498552351498123721176219900055191092730710732,125,145,0,0,2,4,2,4,15,2,12,22,17,29,6,16,15,3,34,31,66,49,38,24,63,84,24
20,20->21,948447,20,14,247292,1148268,105383,56198,1195739,948447,"[1, 1, 7, 74, 1, 1, 1, 1, 5, 1, 2]","[1, 3, 1, 5, 13, 1, 2, 1, 2, 3, 1, 3]",0|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6199,13,5,13,5,103507003061124404359217885625999106749238852704100241687991213401614565713190,112533788253005367093815151524258145663707059858194606106203169460440044670157,121,136,1,0,2,3,5,6,0,5,19,2,2,26,35,39,34,12,22,19,62,29,31,52,6,63,78
21,21->22,1195739,21,13,1395560,4843015,1195739,948447,2591299,1195739,"[1, 3, 1, 5, 13, 1, 2, 1, 2, 3, 1, 3]","[2, 5, 1, 61, 1, 2, 3, 7, 1, 6, 1, 4]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1195739,12,10,12,10,19959666983252678914947480959945627639318018036207802224938713752812078533348,67574640301477196297306366697772754682776972013037421237041598830065564454744,129,125,1,2,4,6,6,12,10,12,15,11,7,10,15,38,12,6,45,17,57,28,72,74,41,24,20
22,22->23,2591299,22,10,6238575,3688384,2591299,1195739,8829874,2591299,"[2, 5, 1, 61, 1, 2, 3, 7, 1, 6, 1, 4]","[3, 2, 2, 4, 1, 12, 1, 2, 1, 1, 2, 5]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2591299,10,5,10,5,78351722286100846369331424678882052638373050846134447859666924689665199851922,5233322420104855498984511605050786906573377882086655717368242730904489779860,134,132,1,1,4,4,7,9,6,3,4,4,9,4,17,33,1,23,19,19,7,12,18,20,39,64,41
23,23->24,8829874,24,13,9926959,-7330439,8829874,2591299,18756833,8829874,"[3, 2, 2, 4, 1, 12, 1, 2, 1, 1, 2, 5]","[2, 8, 20, 1, 1, 1, 1, 1, 19, 1, 1, 9]",1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,4414937,16,15,16,15,27226532973027591411008554288011831660902829763346910349644649695523749508777,20960141247925478933517256717253601955383234763141380228972385007820949516451,141,129,0,1,4,4,9,1,6,4,13,12,20,9,32,39,31,21,52,2,11,30,13,44,2,6,61
24,24->25,18756833,25,12,2596520,33461206,18756833,8829874,21353353,18756833,"[2, 8, 20, 1, 1, 1, 1, 1, 19, 1, 1, 9]","[1, 7, 4, 2, 7, 4, 1, 3, 1, 3, 2, 3]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,18756833,4,3,4,3,101956575034986562771985105112858365382767459583079156593353541600885274832154,62086276773742300603528149506966928408013462221963522993478629765814637891427,118,129,1,2,3,4,7,4,2,14,11,10,4,16,30,18,26,27,25,4,49,53,67,21,78,83,40
25,25->26,21353353,25,12,36057726,22215662,21353353,18756833,57411079,21353353,"[1, 7, 4, 2, 7, 4, 1, 3, 1, 3, 2, 3]","[2, 1, 2, 4, 1, 2, 1, 2, 23, 1, 2, 1]",0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3050479,18,11,18,11,105322640988744343791364464286838299040250420584281983703716072936678616260940,97553202327406840682551260424995952382753981058642247633836980644116972652100,117,129,1,1,3,0,10,8,10,13,15,15,26,24,20,26,31,24,14,59,51,32,50,48,26,28,64
26,26->27,57411079,26,11,58273388,-883369,57411079,21353353,115684467,57411079,"[2, 1, 2, 4, 1, 2, 1, 2, 23, 1, 2, 1]","[2, 66, 1, 1, 2, 1, 2, 4, 451, 2, 11]",0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5219189,8,3,8,3,61428701072109214742252812306884747665520736043679095049823504878248528260926,105605931114468548013009160209898816222836710311260514027869277920517098291452,122,133,1,1,4,5,0,11,5,14,20,11,9,29,9,16,15,48,8,14,52,53,10,41,62,27,77
27,27->28,115684467,27,15,57390019,401988685,115684467,57411079,173074486,115684467,"[2, 66, 1, 1, 2, 1, 2, 4, 451, 2, 11]","[1, 2, 63, 2, 4, 1, 65, 1, 6, 2, 2, 1]",0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1243919,15,3,15,3,74216924894693692395068102926305731679857430442880471835513553971008253279407,21484526722289737291824715675503056219462907206279162975592950116753709122044,132,131,1,0,2,3,8,2,11,3,10,16,0,8,15,19,30,42,40,41,56,49,53,27,63,42,36
28,28->29,173074486,28,12,459378704,-22605427,173074486,115684467,316226595,86537243,"[1, 2, 63, 2, 4, 1, 65, 1, 6, 2, 2, 1]","[3, 1, 1, 1, 8, 3, 1, 3, 1, 1, 1, 4]",1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6656711,10,4,10,4,54526850869951331341993816869757142058360343057886462430094690089603181436453,27902144921198304253354746252270260741872663580485806314164434111904023164113,124,135,0,1,1,4,2,0,2,9,15,21,29,30,38,2,41,18,51,40,19,58,27,22,64,13,5
29,29->30,632453190,30,14,436773277,-514915481,316226595,86537243,1069226467,632453190,"[3, 1, 1, 1, 8, 3, 1, 3, 1, 1, 1, 4]","[1, 1, 2, 4, 3, 4, 4, 1, 6, 2, 1, 1]",1|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1109567,14,6,14,6,37576276976846244804835815270310698086240245224565474223209968506112878102608,72691450806623834189882786808960049230933172146986830710375656916888107028555,114,133,0,0,0,5,6,5,14,0,18,20,25,17,23,31,40,3,35,5,57,29,24,46,79,55,95
30,30->31,1069226467,30,20,-78142204,3131023039,1069226467,632453190,991084263,1069226467,"[1, 1, 2, 4, 3, 4, 4, 1, 6, 2, 1, 1]","[0, 1, 12, 1, 2, 6, 2, 3, 3, 1, 1, 7]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1069226467,15,7,15,7,111341049321165310839375783956643391966966568263710226669243561615632619966968,39027493391536585189215338306367652233265442233679468141774657632016381728908,128,123,1,1,2,1,1,10,9,4,6,5,11,23,13,34,14,15,29,45,66,50,66,19,49,47,26
31,31->32,991084263,30,19,3052880835,-101211688,991084263,1069226467,1347988366,330361421,"[0, 1, 12, 1, 2, 6, 2, 3, 3, 1, 1, 7]","[4, 12, 2, 4, 6, 48, 3, 5, 6, 1, 11, 3]",0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0,416597,25,15,25,15,1408169039872782121359086336396574983046663221805182293198154974983938304533,26243615960107317143639967974862522713851255110242871670419747748854913481784,135,132,1,0,3,1,4,0,5,12,3,12,3,6,37,10,10,4,21,0,29,20,55,33,21,21,52
32,32->33,4043965098,32,12,2951669147,-3967503757,1347988366,330361421,6995634245,4043965098,"[4, 12, 2, 4, 6, 48, 3, 5, 6, 1, 11, 3]","[1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 1, 1]",1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0,18216059,11,4,11,4,63804666839603770035731136515491495901516426203389137411076388540960323145153,50396061889300861656443115792556582459819317202024607487863841339439264984520,118,127,0,0,3,5,8,4,15,6,11,10,1,0,3,41,28,14,19,49,2,64,12,49,5,8,81
33,33->34,6995634245,33,15,-1015834610,17310933163,6995634245,4043965098,1195959927,1399126849,"[1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 1, 1]","[0, 1, 5, 1, 7, 1, 4, 2, 10, 23, 3, 4]",0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1399126849,15,6,15,6,73710629930623752083012732527641178236977333351096851043031971594836725245944,74130549566393142388734234104405867707679627047049418988690153418950092848547,134,121,1,2,0,5,6,2,13,1,15,2,25,30,20,21,38,51,56,37,28,56,7,17,78,86,65
34,34->35,5979799635,33,13,16295098553,19293793874,1195959927,1399126849,22274898188,5979799635,"[0, 1, 5, 1, 7, 1, 4, 2, 10, 23, 3, 4]","[3, 1, 2, 1, 1, 1, 3, 25, 1, 1, 2, 1]",0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,398653309,14,5,14,5,78986322856149087470497564677932410288520752057047086803830738228751059075701,39590978535869254801743154116768761533267377642052907880276396324792999115271,115,122,1,0,0,5,7,4,12,11,11,12,13,13,24,34,22,11,11,13,55,5,36,21,61,84,89
35,35->36,22274898188,35,21,35588892427,-46732707045,22274898188,5979799635,57863790615,22274898188,"[3, 1, 2, 1, 1, 1, 3, 25, 1, 1, 2, 1]","[2, 1, 1, 2, 17, 11, 5, 1, 2, 3, 4, 1]",2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0,118483501,19,16,19,16,101068821350240982216085283342467146798910468133112268892131790273190216356175,62636882427433543887598552992742022933737683973357687277427655803025013683209,130,131,0,2,3,4,4,10,12,10,6,15,26,13,29,4,0,47,15,23,66,28,45,44,27,82,63
36,36->37,57863790615,36,19,-11143814618,141177270966,57863790615,22274898188,46719975997,57863790615,"[2, 1, 1, 2, 17, 11, 5, 1, 2, 3, 4, 1]","[0, 1, 4, 5, 5, 9, 1, 1, 1, 3, 1, 5]",0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,3857586041,14,6,14,6,88361616842679379910899458840394680920615619297725287491605230003914127084236,108771846048280174789009663899574822133583969439710461981954178822311502227486,112,118,1,0,0,1,4,7,2,18,6,19,25,31,9,8,8,13,48,24,60,29,70,60,66,65,84
37,37->38,46719975997,36,17,130033456348,373139555320,46719975997,57863790615,176753432345,46719975997,"[0, 1, 4, 5, 5, 9, 1, 1, 1, 3, 1, 5]","[3, 1, 3, 1, 1, 1, 1, 2, 3, 43, 1, 24]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,46719975997,22,7,22,7,53715133510339148267298649422606601706653415477974878296935484805445348612924,75360388630779861290822274967368826319571870533969343214630703369977044774328,125,132,1,1,2,2,2,6,3,2,5,2,28,36,28,30,23,4,56,52,39,67,14,18,6,47,8
38,38->39,176753432345,38,19,503173011668,-728498663484,176753432345,46719975997,679926444013,176753432345,"[3, 1, 3, 1, 1, 1, 1, 2, 3, 43, 1, 24]","[3, 1, 5, 1, 1, 9, 2, 1, 2, 2, 1, 53]",0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,721442581,16,13,16,13,56973583791653046856013452755561769663948329189868521893051677593583400662949,79902422857981375957863079624916310880530789556093499191716709329824651760360,136,125,1,2,0,0,6,9,3,13,2,27,1,4,20,11,23,32,12,34,35,43,10,44,70,76,44
39,39->40,679926444013,40,24,-225325651816,1207847206935,679926444013,176753432345,454600792197,679926444013,"[3, 1, 5, 1, 1, 9, 2, 1, 2, 2, 1, 53]","[0, 1, 2, 57, 19, 3, 1, 1, 13, 1, 1, 2]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,679926444013,22,7,22,7,101534388430763267205850652773412422591243612785503755047882785626350520741005,110827720446366091551251591062437926125589923469877804331450439924989173606082,119,120,1,1,3,5,3,11,4,9,21,21,6,27,8,1,18,23,10,46,53,65,65,21,52,39,20
40,40->41,454600792197,39,17,982521555119,2094792592927,454600792197,679926444013,1437122347316,454600792197,"[0, 1, 2, 57, 19, 3, 1, 1, 13, 1, 1, 2]","[3, 6, 4, 1, 171, 1, 65, 12, 1, 16, 1, 1]",0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,50511199133,18,6,18,6,115316026077730597072630117410502581681501138339686907058782980601839837258364,3569723153798761502460629563374660691052016054392180320904084731580440072130,128,127,1,0,2,6,2,6,7,1,15,3,24,8,38,19,37,36,49,14,47,8,21,44,23,56,12
41,41->42,1437122347316,41,19,3077314148046,403200065838,1437122347316,454600792197,2257218247681,718561173658,"[3, 6, 4, 1, 171, 1, 65, 12, 1, 16, 1, 1]","[3, 7, 12, 1, 76, 1, 6, 1, 1, 1, 2, 1]",2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,359280586829,21,6,21,6,84285443279083094339277864911115839350352262919972333170772573319423440423953,12606329704618862084659993247892122741492260579563393127163387980188087077632,139,137,0,2,1,5,7,6,11,15,2,26,9,2,28,25,23,5,42,54,25,25,35,73,8,60,22
42,42->43,4514436495362,43,15,3480514213884,-6883763593604,2257218247681,718561173658,3997475354623,2257218247681,"[3, 7, 12, 1, 76, 1, 6, 1, 1, 1, 2, 1]","[1, 1, 3, 2, 1, 2, 1, 2, 2, 1, 5, 1]",1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,77835111989,10,3,10,3,27674215454063596926689248515433734151434043117993898015904523015302911144919,70752347747586067375106351390436251890575931746113126520545507461880847434755,125,119,0,2,2,3,2,1,8,10,10,0,11,35,39,42,40,16,44,41,34,52,64,6,78,77,40
43,43->44,7994950709246,43,26,-3403249379720,30223755312209,3997475354623,2257218247681,2295850664763,3997475354623,"[1, 1, 3, 2, 1, 2, 1, 2, 2, 1, 5, 1]","[0, 1, 1, 2, 1, 6, 3, 54, 2, 3, 1, 5]",1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,210393439717,28,9,28,9,43252723417120389279664815736183953962051798131267645628006110592372107507238,97874329195132701425540235869720287877714219306494424679576049218905703687932,130,139,0,2,1,4,6,7,16,0,21,7,4,20,20,23,13,29,45,21,4,60,29,77,26,41,26
44,44->45,4591701329526,43,20,26820505932489,10025275571054,2295850664763,3997475354623,3490245251335,510189036614,"[0, 1, 1, 2, 1, 6, 3, 54, 2, 3, 1, 5]","[6, 1, 5, 3, 2, 2, 1, 1, 4, 1, 2, 4]",1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0,4813104119,23,10,23,10,111155769697758751409047075411357458812002296369666556187206407465595210302756,5628293179219424469892119609095273255819096129203590104025001044825630722858,134,119,0,0,1,3,3,12,7,13,6,10,20,5,12,19,30,0,9,19,38,45,50,45,31,85,50
45,45->46,31412207262015,45,25,36845781503543,-33563454682828,3490245251335,510189036614,68257988765558,31412207262015,"[6, 1, 5, 3, 2, 2, 1, 1, 4, 1, 2, 4]","[2, 5, 1, 3, 1, 1, 3, 7, 1, 24, 3, 10]",0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,698049050267,25,11,25,11,115483053304469251127221863260967918132496016959341425969090437176701714846683,3183823407776651571801373742499578356013632847682295506744680424276284671080,133,124,1,0,0,6,8,8,10,16,17,4,3,2,21,36,1,4,31,5,29,41,51,29,1,36,19
46,46->47,68257988765558,46,24,3282326820715,143089287925094,68257988765558,31412207262015,71540315586273,68257988765558,"[2, 5, 1, 3, 1, 1, 3, 7, 1, 24, 3, 10]","[1, 20, 1, 3, 1, 8, 3, 4, 1, 4, 1, 6]",1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,34128994382779,19,5,19,5,44210186862164150421148832569974639651005107428271888015318377680803491738886,5318196305894906198908365233243068771564416940952141968663672620811569732322,125,128,0,2,3,4,9,7,12,1,18,14,18,9,37,5,35,12,1,12,50,40,69,45,79,3,48
47,47->48,71540315586273,47,21,146371614745809,-162261953942652,71540315586273,68257988765558,72637310110694,23846771862091,"[1, 20, 1, 3, 1, 8, 3, 4, 1, 4, 1, 6]","[3, 21, 1, 2, 1, 4, 1, 1, 2, 1, 1, 4]",0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1036816167917,14,7,14,7,53042127605425775909208126613710717883444198533755854105082451090529201102522,77917635013841204071538536135677808599389318092705349114232938849629172218128,120,113,1,0,3,2,6,1,1,11,0,12,7,9,27,9,1,37,14,22,49,64,46,9,52,25,59
48,48->49,217911930332082,48,21,-15890339196843,1261497767047716,72637310110694,23846771862091,67340530378413,72637310110694,"[3, 21, 1, 2, 1, 4, 1, 1, 2, 1, 1, 4]","[0, 1, 12, 1, 2, 2, 25, 15, 1, 5, 1, 1]",1|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5188379293621,27,10,27,10,83868128703564544030010903710668215183790819186596087947846582054854114425702,35264049401229354292854602763285024044927855333704876664740619501942444696727,132,138,0,0,2,0,8,12,11,8,18,21,16,30,32,18,36,16,23,27,6,19,67,5,2,58,55
49,49->50,202021591135239,48,25,1245607427850873,-535510322390161,67340530378413,72637310110694,482543006328704,67340530378413,"[0, 1, 12, 1, 2, 2, 25, 15, 1, 5, 1, 1]","[7, 6, 29, 379, 1, 4, 1, 86, 1, 2, 3, 1]",0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,92373841397,26,8,26,8,87840352079991856930613778145118012295199315438718080383751018985809960247953,85671389384237385746243830479263228763603456681037717402012699484991745475856,118,125,1,0,4,1,7,5,4,6,13,3,18,4,12,35,32,8,3,47,11,38,8,64,45,42,20
