from_delta,to_delta,numerator,denominator,decimal,continued_fraction
40,41,1437122347316,454600792197,3.1612843003872877,"[3, 6, 4, 1, 171, 1, 65, 12, 1, 16, 1, 1, 1, 1, 1, 1]"
41,42,2257218247681,718561173658,3.141302829082894,"[3, 7, 12, 1, 76, 1, 6, 1, 1, 1, 2, 1, 1, 1, 10, 1]"
42,43,3997475354623,2257218247681,1.7709742328770774,"[1, 1, 3, 2, 1, 2, 1, 2, 2, 1, 5, 1, 1, 5, 1, 33]"
43,44,2295850664763,3997475354623,0.5743251580295285,"[0, 1, 1, 2, 1, 6, 3, 54, 2, 3, 1, 5, 1, 1, 1, 1]"
44,45,3490245251335,510189036614,6.841082424073448,"[6, 1, 5, 3, 2, 2, 1, 1, 4, 1, 2, 4, 4, 1, 2, 3]"
45,46,68257988765558,31412207262015,2.1729765182117116,"[2, 5, 1, 3, 1, 1, 3, 7, 1, 24, 3, 10, 4, 1, 1, 1]"
46,47,71540315586273,68257988765558,1.0480870720054267,"[1, 20, 1, 3, 1, 8, 3, 4, 1, 4, 1, 6, 1, 8, 4, 15]"
47,48,72637310110694,23846771862091,3.046001803965965,"[3, 21, 1, 2, 1, 4, 1, 1, 2, 1, 1, 4, 58, 6, 1, 1]"
48,49,67340530378413,72637310110694,0.9270790765212934,"[0, 1, 12, 1, 2, 2, 25, 15, 1, 5, 1, 1, 25, 1, 6, 3]"
49,50,482543006328704,67340530378413,7.1657143716734115,"[7, 6, 29, 379, 1, 4, 1, 86, 1, 2, 3, 1, 8, 1, 2, 4]"
50,51,269715765555853,180953627373264,1.4905242269584016,"[1, 2, 25, 1, 7, 1, 1, 4, 3, 1, 1, 15, 3, 1, 1, 2]"
51,52,318398541484678,269715765555853,1.1804965899138133,"[1, 5, 1, 1, 5, 1, 2, 2, 2, 1, 3, 1, 18, 1, 2, 2]"
52,53,3210771273018583,2547188331877424,1.2605158530433673,"[1, 3, 1, 5, 5, 5, 1, 6, 1, 1, 4, 1, 2, 2, 4, 44]"
53,54,20070935247372753,3210771273018583,6.251125832611306,"[6, 3, 1, 54, 1, 3, 4, 14, 2, 1, 1, 6, 54, 1, 12, 5]"
54,55,14173351800807115,20070935247372753,0.7061629976940103,"[0, 1, 2, 2, 2, 11, 1, 11, 6, 2, 5, 6, 9, 4, 241, 2]"
55,56,94027016618169917,14173351800807115,6.634070609382282,"[6, 1, 1, 1, 2, 1, 2, 1, 7, 8, 9, 1, 2, 26, 1, 2]"
56,57,61730909065495557,94027016618169917,0.6565231067170388,"[0, 1, 1, 1, 10, 3, 2, 13, 2, 1, 1, 4, 1, 1, 1021, 1]"
57,58,108364572093974714,20576969688498519,5.266303723747282,"[5, 3, 1, 3, 11, 1, 46, 2, 2, 3, 2, 219, 1, 6, 1, 4]"
58,59,609970965961230191,325093716281924142,1.876292697802433,"[1, 1, 7, 11, 1, 25, 2, 2, 14, 1, 1, 10, 1, 3, 1, 18]"
59,60,290746192399158600,609970965961230191,0.47665578957677546,"[0, 2, 10, 4, 1, 3, 1, 1, 60, 2, 3, 1, 3, 6, 1, 1]"
60,61,62064624997229177,7268654809978965,8.538667280226614,"[8, 1, 1, 5, 1, 27, 1, 10, 1, 1, 1, 1, 1, 37, 4, 5]"
61,62,133812037026753887,65331184207609660,2.0482107993255645,"[2, 20, 1, 2, 1, 7, 3, 3, 1, 1, 3, 1, 26, 3, 9, 1]"
62,63,4403218704026883430,2542428703508323853,1.731894663536026,"[1, 1, 2, 1, 2, 1, 2, 2, 1, 4, 4, 35, 1, 19, 37, 1]"
63,64,12768709954485966227,8806437408053766860,1.449929110131252,"[1, 2, 4, 2, 34, 1, 4, 2, 3, 3, 1, 1, 5, 2, 4, 3]"
64,65,15777840238282132871,12768709954485966227,1.2356643932333182,"[1, 4, 4, 9, 9, 8, 2, 1, 1, 2, 47, 16, 1, 1, 1, 2]"
65,66,86310726052039920576,15777840238282132871,5.470376474127444,"[5, 2, 7, 1, 15, 2, 5, 2, 2, 1, 2, 1, 3, 15, 18, 6]"
66,67,29080440870309927841,28770242017346640192,1.0107819340823152,"[1, 92, 1, 2, 1, 26, 1, 7, 1, 1, 2, 1, 9, 10, 4, 6]"
67,68,25792075235686621993,29080440870309927841,0.8869217406541932,"[0, 1, 7, 1, 5, 2, 1, 1, 2, 2, 17, 2, 1, 2, 1, 16]"
68,69,673162482084647784677,77376225707059865979,8.699861952858576,"[8, 1, 2, 3, 72, 7, 5, 5, 1, 1, 2, 1, 4, 2, 1, 5]"
