puzzle,anchor_k,num_indices,first_minus1,count_minus1,max_streak_minus1,ladder,gaps
37,34,13,0,2,1,34 29 26 23 20 18 15 14 10 8 6 2 1,"5,3,3,3,2,3,1,4,2,2,4,1"
38,35,16,0,3,1,35 33 31 29 27 25 23 20 14 11 8 7 5 4 2 1,"2,2,2,2,2,2,3,6,3,3,1,2,1,2,1"
39,36,17,0,5,1,36 33 31 30 27 23 22 20 19 16 14 11 10 8 7 5 1,"3,2,1,3,4,1,2,1,3,2,3,1,2,1,2,4"
40,37,15,1,4,1,37 36 34 30 29 23 19 16 13 11 10 7 5 4 2,"1,2,4,1,6,4,3,3,2,1,3,2,1,2"
41,38,18,1,7,4,38 37 34 32 30 28 26 23 16 15 10 8 7 6 5 4 2 1,"1,3,2,2,2,2,3,7,1,5,2,1,1,1,1,2,1"
42,39,17,1,6,2,39 38 36 34 32 25 23 22 21 18 17 14 13 7 5 2 1,"1,2,2,2,7,2,1,1,3,1,3,1,6,2,3,1"
43,40,18,1,6,3,40 39 38 37 33 29 28 25 24 22 20 17 13 11 10 8 5 1,"1,1,1,4,4,1,3,1,2,2,3,4,2,1,2,3,4"
44,41,17,0,5,1,41 39 38 33 32 27 25 22 20 18 17 15 13 12 6 2 1,"2,1,5,1,5,2,3,2,2,1,2,2,1,6,4,1"
45,42,16,1,4,1,42 41 39 36 35 32 30 25 18 15 12 8 5 4 2 1,"1,2,3,1,3,2,5,7,3,3,4,3,1,2,1"
46,43,18,1,5,2,43 42 40 36 33 32 29 27 24 20 18 13 11 6 5 4 2 1,"1,2,4,3,1,3,2,3,4,2,5,2,5,1,1,2,1"
47,44,21,0,5,1,44 42 41 38 35 33 29 28 25 24 22 19 17 15 14 11 10 8 6 4 1,"2,1,3,3,2,4,1,3,1,2,3,2,2,1,3,1,2,2,2,3"
48,45,21,0,6,2,45 43 41 39 38 36 33 32 30 26 24 23 21 19 17 13 8 7 6 2 1,"2,2,2,1,2,3,1,2,4,2,1,2,2,2,4,5,1,1,4,1"
49,46,21,1,9,3,46 45 39 38 36 33 30 29 28 27 24 23 21 20 18 17 15 14 11 4 1,"1,6,1,2,3,3,1,1,1,3,1,2,1,2,1,2,1,3,7,3"
50,47,20,1,6,2,47 46 45 42 39 30 29 27 26 23 19 17 14 13 10 8 6 4 2 1,"1,1,3,3,9,1,2,1,3,4,2,3,1,3,2,2,2,2,1"
51,48,18,0,4,1,48 46 45 43 39 35 33 32 27 25 24 22 21 18 15 11 8 1,"2,1,2,4,4,2,1,5,2,1,2,1,3,3,4,3,7"
52,49,19,1,6,2,49 48 47 44 41 35 33 31 27 24 23 22 19 17 14 12 11 5 4,"1,1,3,3,6,2,2,4,3,1,1,3,2,3,2,1,6,1"
53,50,21,0,4,1,50 48 45 43 42 39 38 36 34 32 28 25 23 18 17 14 11 10 8 4 1,"2,3,2,1,3,1,2,2,2,4,3,2,5,1,3,3,1,2,4,3"
54,51,23,1,7,1,51 50 46 45 42 41 39 37 36 33 31 30 26 24 23 20 17 15 11 7 6 4 1,"1,4,1,3,1,2,2,1,3,2,1,4,2,1,3,3,2,4,4,1,2,3"
55,52,18,0,4,1,52 48 47 43 41 39 37 36 33 28 24 23 20 14 13 11 7 1,"4,1,4,2,2,2,1,3,5,4,1,3,6,1,2,4,6"
56,53,24,0,7,1,53 51 50 48 46 42 39 38 35 34 30 28 25 21 20 18 17 15 12 11 7 5 4 1,"2,1,2,2,4,3,1,3,1,4,2,3,4,1,2,1,2,3,1,4,2,1,3"
57,54,21,1,9,2,54 53 52 48 46 45 43 42 40 39 38 36 35 31 25 21 20 12 6 5 1,"1,1,4,2,1,2,1,2,1,1,2,1,4,6,4,1,8,6,1,4"
58,55,27,1,9,4,55 54 52 50 48 46 43 39 38 36 35 33 32 30 23 21 19 17 15 14 13 12 11 7 5 4 1,"1,2,2,2,2,3,4,1,2,1,2,1,2,7,2,2,2,2,1,1,1,1,4,2,1,3"
59,56,25,1,7,2,56 55 54 52 46 42 41 39 38 36 34 30 27 25 23 19 16 12 10 8 7 5 4 2 1,"1,1,2,6,4,1,2,1,2,2,4,3,2,2,4,3,4,2,2,1,2,1,2,1"
60,57,23,0,7,2,57 54 53 52 50 47 43 38 35 32 30 29 25 23 20 19 17 16 14 13 7 6 4,"3,1,1,2,3,4,5,3,3,2,1,4,2,3,1,2,1,2,1,6,1,2"
61,58,23,0,4,1,58 56 52 48 45 42 39 38 33 30 29 26 24 22 21 18 14 12 10 8 4 2 1,"2,4,4,3,3,3,1,5,3,1,3,2,2,1,3,4,2,2,2,4,2,1"
62,59,23,1,4,1,59 58 56 54 52 49 48 46 44 42 39 37 36 32 29 27 25 21 19 18 13 8 1,"1,2,2,2,3,1,2,2,2,3,2,1,4,3,2,2,4,2,1,5,5,7"
63,60,19,1,5,2,60 59 58 51 50 49 44 41 39 36 33 30 29 27 23 21 13 7 2,"1,1,7,1,1,5,3,2,3,3,3,1,2,4,2,8,6,5"
64,61,22,0,4,2,61 58 56 50 44 38 36 32 30 29 26 24 23 22 19 17 12 10 7 4 2 1,"3,2,6,6,6,2,4,2,1,3,2,1,1,3,2,5,2,3,3,2,1"
65,62,27,1,10,3,62 61 60 59 54 53 51 46 43 42 39 38 35 34 31 27 24 23 21 16 14 12 10 7 5 4 3,"1,1,1,5,1,2,5,3,1,3,1,3,1,3,4,3,1,2,5,2,2,2,3,2,1,1"
66,63,24,1,5,2,63 62 61 59 56 54 51 47 46 43 39 35 33 32 29 27 24 19 16 14 11 10 6 4,"1,1,2,3,2,3,4,1,3,4,4,2,1,3,2,3,5,3,2,3,1,4,2"
67,64,26,0,7,2,64 62 58 54 52 51 50 47 46 42 40 39 34 33 30 28 21 19 17 16 14 12 7 4 2 1,"2,4,4,2,1,1,3,1,4,2,1,5,1,3,2,7,2,2,1,2,2,5,3,2,1"
68,65,27,1,9,2,65 64 59 57 56 54 52 47 46 43 39 36 35 34 31 29 23 22 21 18 17 15 14 10 7 4 1,"1,5,2,1,2,2,5,1,3,4,3,1,1,3,2,6,1,1,3,1,2,1,4,3,3,3"
69,66,23,0,3,1,66 64 59 58 56 53 50 48 44 41 39 37 35 32 31 26 24 22 15 14 12 3 1,"2,5,1,2,3,3,2,4,3,2,2,2,3,1,5,2,2,7,1,2,9,2"
70,67,25,1,7,2,67 66 63 62 59 56 50 48 45 44 39 34 30 28 27 23 22 21 17 13 11 10 8 4 1,"1,3,1,3,3,6,2,3,1,5,5,4,2,1,4,1,1,4,4,2,1,2,4,3"
