# offset_in_band	d	left5	hash160_decimal	dist_l5_P160
47	730750818665451459101842416358141509827966271535	13749	1374900281513751828059379183198250892617305315832	489
48	730750818665451459101842416358141509827966271536	13873	1387315038717563701976574674775344397433357074196	613
49	730750818665451459101842416358141509827966271537	71582	715827811330052572068285662490874502166229836558	58322
50	730750818665451459101842416358141509827966271538	10834	1083453977197322837883846708971587050819112488869	2426
51	730750818665451459101842416358141509827966271539	11128	1112810277239602642170521956725155813043716416757	2132
52	730750818665451459101842416358141509827966271540	13146	1314693707020543270948761959868205318945017740043	114
53	730750818665451459101842416358141509827966271541	13821	1382129399277377580558265987341287961838373891457	561
54	730750818665451459101842416358141509827966271542	28539	285399896963722003500730578202967278625525808776	15279
55	730750818665451459101842416358141509827966271543	36546	365462014007252182051075729432791587209244540236	23286
56	730750818665451459101842416358141509827966271544	54129	541294803064049578930605588546649616283573007766	40869
57	730750818665451459101842416358141509827966271545	32019	32019524294019235205838560539127101031694088806	18759
58	730750818665451459101842416358141509827966271546	10955	1095592365543715203540672271829702303159659914592	2305
59	730750818665451459101842416358141509827966271547	14631	146315554530251811317802654398137203118601206146	1371
60	730750818665451459101842416358141509827966271548	10831	1083115340709033473843105048780305497978741342424	2429
61	730750818665451459101842416358141509827966271549	68660	686603226053250792702392896423349197745986593677	55400
62	730750818665451459101842416358141509827966271550	12354	1235437665125768471296740873318981392686181298655	906
63	730750818665451459101842416358141509827966271551	61234	612341701672244265118703337891562246481689739699	47974
64	730750818665451459101842416358141509827966271552	72411	724117520505967109239287697814409124205839185356	59151
65	730750818665451459101842416358141509827966271553	12912	1291212223382179150206367341712960498689353930123	348
66	730750818665451459101842416358141509827966271554	13768	1376809182088387176418625902297736485440671409187	508
67	730750818665451459101842416358141509827966271555	99481	994810093328721417457748508510167506169205185696	86221
68	730750818665451459101842416358141509827966271556	69618	696187545920262728410200504445026323155429726560	56358
69	730750818665451459101842416358141509827966271557	64752	647521241585081182523866531352120777520117680808	51492
70	730750818665451459101842416358141509827966271558	13014	1301459107412015409622263004795797044448085674914	246
71	730750818665451459101842416358141509827966271559	78825	788256909749108366217117161528672569333959153610	65565
72	730750818665451459101842416358141509827966271560	64571	645713085913699276329097748801143322316826039866	51311
73	730750818665451459101842416358141509827966271561	30682	306820017941584390488244196153553711581443682191	17422
74	730750818665451459101842416358141509827966271562	12590	1259041566131568070277500154941871945549253199744	670
75	730750818665451459101842416358141509827966271563	16121	161219581101369945727457831620484140861984628748	2861
76	730750818665451459101842416358141509827966271564	16109	161094477041721658188593168476893094722090396147	2849
77	730750818665451459101842416358141509827966271565	43776	437765995197669150723907215630961251283211669234	30516
78	730750818665451459101842416358141509827966271566	69017	690170686228411187117292350301694601899168667561	55757
79	730750818665451459101842416358141509827966271567	63868	638688292286751438486095832473213932747509718637	50608
80	730750818665451459101842416358141509827966271568	86835	868352839600142886603536443930501652817214437047	73575
81	730750818665451459101842416358141509827966271569	87314	873147182044822856845721149692815204479116078198	74054
82	730750818665451459101842416358141509827966271570	72084	720843861988923982454297191732087718197186042966	58824
83	730750818665451459101842416358141509827966271571	14132	1413246618866556171371895007896066287492450124643	872
84	730750818665451459101842416358141509827966271572	12665	1266528239690203643906383241770122668503511576900	595
85	730750818665451459101842416358141509827966271573	17064	170646434372554482897907197430330019869192608094	3804
86	730750818665451459101842416358141509827966271574	72025	720250881410327741923358586843538712102134856762	58765
87	730750818665451459101842416358141509827966271575	14295	1429520532682784244164757809460998078658450899057	1035
88	730750818665451459101842416358141509827966271576	80899	808993604550793526566409822953226015218734440536	67639
89	730750818665451459101842416358141509827966271577	10305	1030530464173570741695890478489214314284178573891	2955
90	730750818665451459101842416358141509827966271578	84500	845001540146677239769643904058892065892454354093	71240
91	730750818665451459101842416358141509827966271579	13312	1331247186466439092177795402764890918169882220765	52
92	730750818665451459101842416358141509827966271580	30467	30467462194182843966410487422279950431376810300	17207
93	730750818665451459101842416358141509827966271581	47516	475162108717053684383248825067424730665085363489	34256
94	730750818665451459101842416358141509827966271582	61803	61803796715149400644556374628287999942225006964	48543
95	730750818665451459101842416358141509827966271583	13218	1321805604123789815744077188701725735337276421329	42
96	730750818665451459101842416358141509827966271584	34829	348296194739590903009016054108126028237662339395	21569
97	730750818665451459101842416358141509827966271585	86048	860489442671041602168179475635974577078651657715	72788
98	730750818665451459101842416358141509827966271586	93183	931837438358355521698364776660832963602640696302	79923
99	730750818665451459101842416358141509827966271587	11568	1156821093888529469169422943475431809553284285528	1692
100	730750818665451459101842416358141509827966271588	41225	412254506919261751603632436730803075256918616505	27965
101	730750818665451459101842416358141509827966271589	73718	737181667778796480651733680357128045068933284117	60458
102	730750818665451459101842416358141509827966271590	80653	806539692798013250047000653659698455840403521098	67393
103	730750818665451459101842416358141509827966271591	87445	874459906336912948149715146178877161265061318913	74185
104	730750818665451459101842416358141509827966271592	13735	1373535690487362174319044844767032052674250801353	475
105	730750818665451459101842416358141509827966271593	12643	1264305512004543035289241031456046591990137523863	617
106	730750818665451459101842416358141509827966271594	10020	1002044079449673146800584762034705135143073411567	3240
107	730750818665451459101842416358141509827966271595	34697	346973658836331954680899907380473029241880623524	21437
108	730750818665451459101842416358141509827966271596	76174	761744214280119717097313852324176332028096131704	62914
109	730750818665451459101842416358141509827966271597	66076	660760422724640036888021481676056570641414687233	52816
110	730750818665451459101842416358141509827966271598	14343	1434383339676345563728032356186217261686479381152	1083
111	730750818665451459101842416358141509827966271599	26305	263053282226354293260918985812828568511329948351	13045
112	730750818665451459101842416358141509827966271600	38856	388562001819180723356357803477372177085986979305	25596
113	730750818665451459101842416358141509827966271601	17841	178412204611407194644971265558217343385219170912	4581
114	730750818665451459101842416358141509827966271602	12532	1253259249996284533482807591886671505980462313659	728
115	730750818665451459101842416358141509827966271603	13587	1358736429115251555634812231299059210020095638852	327
116	730750818665451459101842416358141509827966271604	17706	177069415106138539630631800403279802814870466684	4446
117	730750818665451459101842416358141509827966271605	66059	660599290239403104750799620805235545841564374918	52799
118	730750818665451459101842416358141509827966271606	29840	298409483599391353391203206071228229419946025803	16580
119	730750818665451459101842416358141509827966271607	41436	414361754819036809601581975934106078723053929916	28176
120	730750818665451459101842416358141509827966271608	59682	596828953888307641215077479863014544158410428804	46422
121	730750818665451459101842416358141509827966271609	68187	681872323759835354431049052910637602766390814245	54927
122	730750818665451459101842416358141509827966271610	11254	1125451879768405622995616289898399847833902542004	2006
123	730750818665451459101842416358141509827966271611	56159	561594008934700161162211509822581322938977678314	42899
124	730750818665451459101842416358141509827966271612	14363	1436393846945131463270687097500731650398997850614	1103
125	730750818665451459101842416358141509827966271613	55718	557185499262447830618385862921175715033301656699	42458
126	730750818665451459101842416358141509827966271614	57804	578046100405116545751305045830590086211825741076	44544
127	730750818665451459101842416358141509827966271615	41922	419222537573723078931682868591517398017664706801	28662
128	730750818665451459101842416358141509827966271616	72133	721336065975899601975776742795766283695447676418	58873
129	730750818665451459101842416358141509827966271617	58316	583165192304230047516896135952726403890897169615	45056
130	730750818665451459101842416358141509827966271618	16127	161278534798417424798511847122115379077767772715	2867
131	730750818665451459101842416358141509827966271619	19349	193492394457451903128217223989476386656333913799	6089
132	730750818665451459101842416358141509827966271620	31813	318139181717287659584628182105183328754262806201	18553
133	730750818665451459101842416358141509827966271621	68331	683317854014800115695239651904504117940117008125	55071
134	730750818665451459101842416358141509827966271622	13184	131847741555207651934028035948955910230311771956	76
135	730750818665451459101842416358141509827966271623	10847	1084776141560206642771671311449203216548391232416	2413
136	730750818665451459101842416358141509827966271624	61855	618550870824775769472981497256997776203174832853	48595
137	730750818665451459101842416358141509827966271625	10498	1049849987147517303640947344808875417916983316584	2762
138	730750818665451459101842416358141509827966271626	30133	301336744392140927267445559537466435731494284760	16873
139	730750818665451459101842416358141509827966271627	89597	895971303612662915899443516770859814918108268677	76337
140	730750818665451459101842416358141509827966271628	76010	760104599634930427873830723908690778907182614403	62750
141	730750818665451459101842416358141509827966271629	39207	392077845921491382641305711002538957206096627260	25947
142	730750818665451459101842416358141509827966271630	10064	1006440512332491966389697631644867759042854021542	3196
143	730750818665451459101842416358141509827966271631	84273	842731899040671208941927797215762779892856357878	71013
144	730750818665451459101842416358141509827966271632	13919	139197548633282714226230314687296966940384498349	659
145	730750818665451459101842416358141509827966271633	13018	1301846624442319410628065355833714176800419824001	242
146	730750818665451459101842416358141509827966271634	11569	1156943599989630752513285067641329048206894222364	1691
147	730750818665451459101842416358141509827966271635	15303	15303809562093678191769563577577021979492589118	2043
148	730750818665451459101842416358141509827966271636	75989	759891637968910075034922621701896873061012563666	62729
149	730750818665451459101842416358141509827966271637	10691	1069109042300586479995550781566587366810127613162	2569
150	730750818665451459101842416358141509827966271638	10976	1097645668159131345391135177665946207069548797091	2284
151	730750818665451459101842416358141509827966271639	10040	1004042472289101997158380192465009315845696513656	3220
152	730750818665451459101842416358141509827966271640	11874	118740866705109218032648813072841586416094439853	1386
153	730750818665451459101842416358141509827966271641	14207	1420758916573731173383253370366352435112142241413	947
154	730750818665451459101842416358141509827966271642	55854	558548509278937674254526729104146641268624718771	42594
155	730750818665451459101842416358141509827966271643	61708	61708937349313684953211743156363773333129967273	48448
156	730750818665451459101842416358141509827966271644	11708	1170831659717674485138167724027096263957558935891	1552
157	730750818665451459101842416358141509827966271645	12037	1203741524810470582868276167679499546680993135532	1223
158	730750818665451459101842416358141509827966271646	96292	96292361330891871854522307974427939053896531906	83032
159	730750818665451459101842416358141509827966271647	43079	430796104245935237580541534081735177728589093519	29819
160	730750818665451459101842416358141509827966271648	13475	134757953202910028182644120316907710611047233873	215
161	730750818665451459101842416358141509827966271649	12907	1290717808182336673389573045691862186105668883420	353
162	730750818665451459101842416358141509827966271650	24764	247642657414473405436644270181021987843355745405	11504
163	730750818665451459101842416358141509827966271651	61242	612421298591497679350247546567885353852309474184	47982
164	730750818665451459101842416358141509827966271652	10680	1068058393141830220173578231594631893709169835842	2580
165	730750818665451459101842416358141509827966271653	88045	880453409447945483186261053371088929300881472558	74785
166	730750818665451459101842416358141509827966271654	11716	1171602492996469141571041292298253199559745595743	1544
167	730750818665451459101842416358141509827966271655	37437	374379841571708089738957666839720268583096806108	24177
168	730750818665451459101842416358141509827966271656	93017	930171156253172104506689972871687879157145270070	79757
169	730750818665451459101842416358141509827966271657	51166	511661030937434847094086100444933066572637441029	37906
170	730750818665451459101842416358141509827966271658	99074	990744789794631825978838050652997003049613488310	85814
171	730750818665451459101842416358141509827966271659	43830	438303680450483096766653028483745655737744523781	30570
172	730750818665451459101842416358141509827966271660	10339	1033916460692355809875478700019993794554417694535	2921
173	730750818665451459101842416358141509827966271661	24208	242084338270789499939131082294689701783069898250	10948
174	730750818665451459101842416358141509827966271662	42135	421355225752114475043959338526610821838884479390	28875
175	730750818665451459101842416358141509827966271663	10174	1017430776681019319246737049617530225209528920552	3086
176	730750818665451459101842416358141509827966271664	25530	25530834819417243624315538440686392164176281274	12270
177	730750818665451459101842416358141509827966271665	51976	51976267757923148464016382090203223818740797178	38716
178	730750818665451459101842416358141509827966271666	15787	157879354751232665924271733769664424761604747280	2527
179	730750818665451459101842416358141509827966271667	12122	1212247539163168994188584680002658608451850139205	1138
180	730750818665451459101842416358141509827966271668	14065	1406505179296935047687295059431947531004845733964	805
181	730750818665451459101842416358141509827966271669	14348	1434811774957447943658982416042155029498987701749	1088
182	730750818665451459101842416358141509827966271670	68377	683771885570056572478497130105430924491401570911	55117
183	730750818665451459101842416358141509827966271671	10292	1029285598795872579559655314374677309749348184066	2968
184	730750818665451459101842416358141509827966271672	28922	289225655408243052536586078627649235096173062679	15662
185	730750818665451459101842416358141509827966271673	51513	515136199733718438129878726765385513435386780153	38253
186	730750818665451459101842416358141509827966271674	11135	1113542297139661406764451462965955511234181768769	2125
187	730750818665451459101842416358141509827966271675	10312	1031213156330038080459736790629501052296698537177	2948
188	730750818665451459101842416358141509827966271676	32372	32372925216959973697822223832529615716123907170	19112
189	730750818665451459101842416358141509827966271677	42026	420264264152814236455369659658824674573452199070	28766
190	730750818665451459101842416358141509827966271678	84851	848518524861158710983950815532019186878030981690	71591
191	730750818665451459101842416358141509827966271679	14227	1422792208966562567587977147122555915348511414583	967
192	730750818665451459101842416358141509827966271680	61620	616209022851164803658651236896893947782236410879	48360
193	730750818665451459101842416358141509827966271681	11505	1150516447836081791192731007581659741454726888769	1755
194	730750818665451459101842416358141509827966271682	10851	1085117098359200598262120828231507454428719358570	2409
195	730750818665451459101842416358141509827966271683	52306	523060794337389054976932908938388783571635211752	39046
196	730750818665451459101842416358141509827966271684	10785	1078519264893557550955287207039948081387228831756	2475
197	730750818665451459101842416358141509827966271685	74334	743346416575463542786303240077732427015098438808	61074
198	730750818665451459101842416358141509827966271686	11098	1109879605480412785286233413476216495951668943660	2162
199	730750818665451459101842416358141509827966271687	52686	526867178688590767614148637662966353543365934587	39426
200	730750818665451459101842416358141509827966271688	36255	362553251160351989585650706144506728078577918731	22995
201	730750818665451459101842416358141509827966271689	91778	917785218306273423254261504668598615028882631563	78518
202	730750818665451459101842416358141509827966271690	12664	1266421278121662715915160829516368561147931336997	596
203	730750818665451459101842416358141509827966271691	11700	1170004965543276133131934800231121256701971818812	1560
204	730750818665451459101842416358141509827966271692	13886	1388647352029815326274093834856516560022998314052	626
205	730750818665451459101842416358141509827966271693	11387	1138719510420094809449143767042835161200521906453	1873
206	730750818665451459101842416358141509827966271694	52721	527216942168702153575404255598021631866841346647	39461
207	730750818665451459101842416358141509827966271695	10861	1086176960437622929327503271994078944864492252367	2399
208	730750818665451459101842416358141509827966271696	10831	108314947536330594379203475225153033075909799612	2429
209	730750818665451459101842416358141509827966271697	55231	552312026907629557290350030731921065543617995646	41971
210	730750818665451459101842416358141509827966271698	57768	577689775057813601842080695916075367906451162495	44508
211	730750818665451459101842416358141509827966271699	42914	429146847823197385990562446637835326453052016109	29654
212	730750818665451459101842416358141509827966271700	10216	1021675740530810021136970884104926462187002008144	3044
213	730750818665451459101842416358141509827966271701	58811	588111492792338561991586445563389860236508699685	45551
214	730750818665451459101842416358141509827966271702	46423	464230378682269392370695317155469462785566523219	33163
215	730750818665451459101842416358141509827966271703	72279	722793846997942512417860792358552630817413182794	59019
216	730750818665451459101842416358141509827966271704	83851	838512707912807328842379245222660815741223831549	70591
217	730750818665451459101842416358141509827966271705	55003	550037134417398632670094944430312524587816293439	41743
218	730750818665451459101842416358141509827966271706	90531	905319316232418261902075434916131050979330207953	77271
219	730750818665451459101842416358141509827966271707	57507	575077180166863306665374778103578186757812143091	44247
220	730750818665451459101842416358141509827966271708	26781	267815828026383320031767692386956026200130623836	13521
221	730750818665451459101842416358141509827966271709	30157	301570969866931640116134796483559401789218844155	16897
222	730750818665451459101842416358141509827966271710	12389	1238958100538238948427140675674366218882513688034	871
223	730750818665451459101842416358141509827966271711	53709	537097175677282489885014172906699287232356030245	40449
224	730750818665451459101842416358141509827966271712	27918	279186831170143332971279359619862418112601327738	14658
225	730750818665451459101842416358141509827966271713	13856	1385640039536193322296121352228354490111528007783	596
226	730750818665451459101842416358141509827966271714	14957	14957388131974169089500497572589003816338910047	1697
227	730750818665451459101842416358141509827966271715	42684	426847589262857983190327121074620663359302996669	29424
228	730750818665451459101842416358141509827966271716	10213	1021315493154364978314234406897598820316862667092	3047
229	730750818665451459101842416358141509827966271717	66346	663461548646660348558687263088696700532840907000	53086
230	730750818665451459101842416358141509827966271718	14306	1430684834561266650004832954799017700050545846390	1046
231	730750818665451459101842416358141509827966271719	72577	72577434550423965776889246871719978833908948360	59317
232	730750818665451459101842416358141509827966271720	11889	1188913482461202275338461046136089239400398812425	1371
233	730750818665451459101842416358141509827966271721	34781	347818185014453379073256328567436098079780807769	21521
234	730750818665451459101842416358141509827966271722	12423	1242382719509986600543485221702084328874624832458	837
235	730750818665451459101842416358141509827966271723	37342	373426987551495001853306866763373442890463912757	24082
236	730750818665451459101842416358141509827966271724	88498	884989353932795721545397494407136591255526139884	75238
237	730750818665451459101842416358141509827966271725	10705	1070532439274434300958436919050612632733768440282	2555
238	730750818665451459101842416358141509827966271726	97076	970769625924326361964250171675830654469181706848	83816
239	730750818665451459101842416358141509827966271727	14337	1433791179073874488623379610894084567336002909198	1077
240	730750818665451459101842416358141509827966271728	13374	1337480895627001690771872967014021484411035051219	114
241	730750818665451459101842416358141509827966271729	44292	44292688872285044771070641382560797233937866285	31032
242	730750818665451459101842416358141509827966271730	54551	545515310904809831540283231573392837400567931264	41291
243	730750818665451459101842416358141509827966271731	11040	110404654087000336040377211536958492017511524332	2220
244	730750818665451459101842416358141509827966271732	11562	1156296470641129203066154014742422749821783691211	1698
245	730750818665451459101842416358141509827966271733	15673	156736946621704538738072963717175184365830982908	2413
246	730750818665451459101842416358141509827966271734	48343	4834318013092031782384317047621618260937788401	35083
247	730750818665451459101842416358141509827966271735	14589	1458918579504293531943321412389574475674110019501	1329
248	730750818665451459101842416358141509827966271736	27682	276822179336998879626441369753051760406276363495	14422
249	730750818665451459101842416358141509827966271737	11391	1139190616771173302942948207164519482081147153816	1869
250	730750818665451459101842416358141509827966271738	88579	885799176832495911753134781139970294336573383227	75319
251	730750818665451459101842416358141509827966271739	34145	341459955489356856977372415897476393923101454077	20885
252	730750818665451459101842416358141509827966271740	11563	1156342289915914645516186488684488311404060154257	1697
253	730750818665451459101842416358141509827966271741	46352	463527741341814491314690807505555417173202689598	33092
254	730750818665451459101842416358141509827966271742	10470	1047036679708757997437863185056401819803954689729	2790
255	730750818665451459101842416358141509827966271743	32683	326834497976994606126983152306793792000491349129	19423
256	730750818665451459101842416358141509827966271744	76233	762337718149182279276576600391957645695489026439	62973
257	730750818665451459101842416358141509827966271745	61957	61957790533522845659908884428625533862965401231	48697
258	730750818665451459101842416358141509827966271746	85568	855687086312239586385764682471309847861091577662	72308
259	730750818665451459101842416358141509827966271747	13649	1364972478582628994207337808916635587295712027706	389
260	730750818665451459101842416358141509827966271748	29877	298779132470572269146268189406644788298922787679	16617
261	730750818665451459101842416358141509827966271749	68589	685899084828842118907115922001404945131232382643	55329
262	730750818665451459101842416358141509827966271750	10688	106887448642743348615471312846180329185872228526	2572
263	730750818665451459101842416358141509827966271751	34727	347275098311897673146522194890049961519528093115	21467
264	730750818665451459101842416358141509827966271752	12633	1263358814309723878589777555256879778391043342391	627
265	730750818665451459101842416358141509827966271753	73090	730909721073087308394674896542844755449049546325	59830
266	730750818665451459101842416358141509827966271754	58754	587548434650888451440509083198246280093880631790	45494
267	730750818665451459101842416358141509827966271755	61391	613917799246961039391704161148430002013174343756	48131
268	730750818665451459101842416358141509827966271756	11102	1110234525843593147131488283695935596882165812909	2158
269	730750818665451459101842416358141509827966271757	14319	1431951173172297010711735660981492048160419372203	1059
270	730750818665451459101842416358141509827966271758	79147	791478106367790016718705640839738255206128544220	65887
271	730750818665451459101842416358141509827966271759	14486	144862810240517148203342263460905801104926147770	1226
272	730750818665451459101842416358141509827966271760	60440	604402644378677758313802975841293852718165643885	47180
273	730750818665451459101842416358141509827966271761	87423	874235816403706809677373626823739790195694125554	74163
274	730750818665451459101842416358141509827966271762	32425	324259403811007372425160450966983364827011329972	19165
275	730750818665451459101842416358141509827966271763	10389	1038995629061334158560737423390303363310872943983	2871
276	730750818665451459101842416358141509827966271764	88783	88783875088374364521570248480903302527252252273	75523
277	730750818665451459101842416358141509827966271765	97606	976065316679609861741097101868297273632051765109	84346
278	730750818665451459101842416358141509827966271766	14228	1422830698815410393910895105670283288440046589195	968
279	730750818665451459101842416358141509827966271767	11895	1189522147080208885727676235516479961464264872796	1365
280	730750818665451459101842416358141509827966271768	12281	1228142296473895407388505846316807920739500540084	979
281	730750818665451459101842416358141509827966271769	11627	1162738774233720706509808411938409539880475898326	1633
282	730750818665451459101842416358141509827966271770	95368	953684046319822084289072352453694676671181085746	82108
283	730750818665451459101842416358141509827966271771	77362	773629543648192491124662296905566634207825255139	64102
284	730750818665451459101842416358141509827966271772	93390	933904201632229917424895309642674534844015539355	80130
285	730750818665451459101842416358141509827966271773	10214	1021475446297390105135248887004463316688172024694	3046
286	730750818665451459101842416358141509827966271774	14589	145890795958433820131089227731759012043819578941	1329
287	730750818665451459101842416358141509827966271775	89165	891652946259862929155622122826033209375114229239	75905
288	730750818665451459101842416358141509827966271776	12386	1238683668114317362950679358489426697970015817185	874
289	730750818665451459101842416358141509827966271777	13276	1327680450763202852860694236937226250233877027009	16
290	730750818665451459101842416358141509827966271778	19629	196291920083423705924506631732981838319143918656	6369
291	730750818665451459101842416358141509827966271779	53737	537370329824757385514646591617532403507127767129	40477
292	730750818665451459101842416358141509827966271780	26518	265186562863925985536523317948673762713243250376	13258
293	730750818665451459101842416358141509827966271781	10694	1069410210360277953317817995980809105288788244829	2566
294	730750818665451459101842416358141509827966271782	10238	1023840266017715186112528547344511223819337013901	3022
295	730750818665451459101842416358141509827966271783	10739	1073914837683704375113917704114968258537728065327	2521
296	730750818665451459101842416358141509827966271784	93694	936940932055716059093437781531523651777514726816	80434
297	730750818665451459101842416358141509827966271785	43553	435534203541216949676698659659851604254896113302	30293
298	730750818665451459101842416358141509827966271786	10075	1007566916954479431557390510828212007734669134876	3185
299	730750818665451459101842416358141509827966271787	37481	374810429021772939033503778393197178874114505059	24221
300	730750818665451459101842416358141509827966271788	35192	351921271236895582915203906386811305721195089725	21932
301	730750818665451459101842416358141509827966271789	87288	872889676035876395596477450931721772283445199865	74028
302	730750818665451459101842416358141509827966271790	96372	963728041821819493921356795719669733139040912305	83112
303	730750818665451459101842416358141509827966271791	10926	1092626696918729362820570669772878990843941430255	2334
304	730750818665451459101842416358141509827966271792	28141	281415056747683895777018892204917742307761024341	14881
305	730750818665451459101842416358141509827966271793	12013	120139683224960047071052067172351223597046451791	1247
306	730750818665451459101842416358141509827966271794	92484	924849650360588072095189896423706259036788895029	79224
307	730750818665451459101842416358141509827966271795	12873	1287370907734515347441416515902834083093300601147	387
308	730750818665451459101842416358141509827966271796	67474	674744388848992420091185175298257910369446494445	54214
309	730750818665451459101842416358141509827966271797	36479	364790288826748122241826366448422872006013519651	23219
310	730750818665451459101842416358141509827966271798	51451	514512710218974688605448889077334826102903446802	38191
311	730750818665451459101842416358141509827966271799	40455	404555514287016701359290797001534174730680833909	27195
312	730750818665451459101842416358141509827966271800	72679	726794835915400859795422853684260738941389302021	59419
313	730750818665451459101842416358141509827966271801	11761	1176184491279440762065244370191414914442251621191	1499
314	730750818665451459101842416358141509827966271802	11357	113571928826330716116210070035631700826048652973	1903
315	730750818665451459101842416358141509827966271803	14292	1429280061553750562651077350712059151097110756115	1032
316	730750818665451459101842416358141509827966271804	85205	852050932130062954426591942654165482309998329364	71945
317	730750818665451459101842416358141509827966271805	12033	1203380699208692640664966234941066597460224313248	1227
318	730750818665451459101842416358141509827966271806	11196	1119697823538962241392294320654208819933994693656	2064
319	730750818665451459101842416358141509827966271807	34315	343150066208789024398278476317462973195846438958	21055
320	730750818665451459101842416358141509827966271808	12000	1200065903610652540786445378455211493480443408307	1260
321	730750818665451459101842416358141509827966271809	78935	789358873836137034111520226234173186746054706128	65675
322	730750818665451459101842416358141509827966271810	13146	131466637959469700000534615087243818495522461226	114
323	730750818665451459101842416358141509827966271811	44312	443127321058119012039960402998409058526348378892	31052
324	730750818665451459101842416358141509827966271812	85550	855503429038020848855858638104839442388470535782	72290
325	730750818665451459101842416358141509827966271813	15217	152176788144669678494667168518507209783695462404	1957
326	730750818665451459101842416358141509827966271814	68618	686186605831722035815629572708344487702885717603	55358
327	730750818665451459101842416358141509827966271815	10418	1041830801247141765317682532196175869863019608274	2842
328	730750818665451459101842416358141509827966271816	63183	631830993422416774202687332480540296040762032714	49923
329	730750818665451459101842416358141509827966271817	75417	754174080114486660701958821342833266411181861636	62157
