SOLVED PUZZLE 2^n STACK (relative: row k = 2^(p-1-k))
# = bit set   . = clear   - = no private key in 53125
====================================================================================================

Puzzle: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
 k\P |  1|  2|  3|  4|  5|  6|  7|  8|  9| 10| 11| 12| 13| 14| 15| 16| 17| 18| 19| 20| hits |
 63  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   12 |
 64  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   10 |
 65  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   13 |
 66  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 67  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 68  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 69  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    6 |
 70  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 71  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    7 |
 72  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    9 |
 73  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 74  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    8 |
 75  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 76  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 77  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 78  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
 79  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    7 |
 80  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
 81  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 82  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 83  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 84  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 85  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 86  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 87  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    7 |
 88  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 89  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
 90  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 91  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 92  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    6 |
 93  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
 94  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 95  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
 96  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
 97  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
 98  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
 99  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
100  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
101  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
102  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
103  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    5 |
104  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
105  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
106  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
107  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    4 |
108  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
109  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
110  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
111  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
112  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    3 |
113  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
114  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
115  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
116  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
117  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
118  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
119  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
120  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
121  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
122  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    2 |
123  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
124  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    0 |
125  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    0 |
126  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |
127  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    0 |
128  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    0 |
129  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    1 |

Puzzle: 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40
 k\P | 21| 22| 23| 24| 25| 26| 27| 28| 29| 30| 31| 32| 33| 34| 35| 36| 37| 38| 39| 40| hits |
---------------------------------------------------------------------------------------------
  0  |  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|   82 |
  1  |  #|  .|  .|  #|  #|  #|  #|  #|  .|  #|  #|  .|  #|  #|  .|  .|  .|  .|  .|  #|   41 |
  2  |  .|  #|  #|  .|  #|  .|  .|  .|  #|  #|  #|  #|  .|  .|  .|  .|  #|  .|  .|  #|   42 |
  3  |  #|  #|  .|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  #|  .|  #|  .|   44 |
  4  |  #|  .|  #|  #|  #|  .|  .|  #|  #|  .|  #|  #|  .|  .|  .|  #|  #|  #|  .|  #|   40 |
  5  |  #|  #|  .|  #|  #|  .|  #|  .|  #|  #|  .|  .|  #|  .|  #|  #|  .|  .|  #|  .|   33 |
  6  |  .|  #|  #|  .|  .|  .|  .|  .|  #|  #|  #|  .|  .|  #|  .|  .|  #|  .|  #|  .|   33 |
  7  |  #|  #|  .|  .|  #|  .|  #|  #|  #|  .|  .|  .|  .|  .|  #|  #|  .|  .|  .|  #|   38 |
  8  |  .|  #|  #|  .|  .|  .|  #|  .|  .|  .|  #|  .|  #|  #|  #|  #|  #|  #|  #|  #|   42 |
  9  |  .|  .|  #|  .|  .|  .|  .|  .|  .|  #|  .|  #|  .|  .|  #|  #|  .|  #|  .|  .|   23 |
 10  |  #|  .|  .|  #|  #|  .|  .|  .|  .|  .|  .|  #|  #|  .|  .|  #|  #|  #|  #|  #|   33 |
 11  |  .|  #|  #|  .|  .|  .|  .|  #|  #|  #|  #|  .|  #|  #|  #|  .|  #|  .|  #|  .|   34 |
 12  |  #|  .|  #|  #|  #|  #|  .|  .|  .|  .|  #|  .|  .|  #|  #|  #|  #|  .|  #|  #|   40 |
 13  |  .|  .|  #|  .|  #|  #|  #|  #|  .|  .|  #|  .|  #|  .|  .|  .|  .|  .|  #|  #|   38 |
 14  |  .|  .|  .|  #|  #|  .|  #|  #|  #|  #|  #|  #|  #|  .|  #|  .|  #|  .|  #|  #|   39 |
 15  |  #|  .|  .|  .|  #|  .|  #|  .|  .|  #|  #|  .|  .|  #|  .|  .|  #|  .|  #|  .|   33 |
 16  |  #|  .|  #|  .|  .|  #|  .|  #|  #|  .|  #|  #|  .|  .|  .|  .|  #|  #|  .|  .|   27 |
 17  |  .|  .|  .|  .|  #|  .|  .|  #|  .|  .|  #|  .|  #|  #|  #|  .|  .|  .|  .|  #|   30 |
 18  |  #|  #|  #|  .|  #|  .|  .|  .|  #|  #|  .|  #|  .|  #|  .|  #|  #|  #|  .|  .|   32 |
 19  |  .|  #|  .|  .|  #|  #|  .|  .|  .|  #|  .|  .|  #|  .|  .|  .|  .|  #|  .|  .|   34 |
 20  |  .|  #|  .|  .|  .|  #|  #|  #|  #|  .|  #|  .|  .|  .|  .|  .|  #|  #|  .|  #|   27 |
 21  |  .|  #|  #|  #|  .|  .|  #|  #|  .|  #|  #|  #|  #|  #|  .|  .|  .|  #|  #|  .|   36 |
 22  |  .|  .|  .|  .|  #|  #|  #|  #|  .|  .|  #|  #|  .|  .|  #|  .|  #|  #|  #|  .|   30 |
 23  |  .|  .|  .|  .|  .|  #|  .|  .|  .|  #|  .|  .|  .|  .|  .|  .|  #|  .|  .|  #|   24 |
 24  |  .|  .|  .|  .|  #|  #|  #|  #|  #|  #|  #|  .|  .|  .|  .|  #|  .|  #|  .|  .|   23 |
 25  |  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|  .|  #|  #|  .|  .|  #|  .|  .|  .|   26 |
 26  |  .|  .|  .|  .|  .|  .|  #|  .|  #|  .|  .|  #|  #|  .|  #|  #|  .|  #|  .|  #|   30 |
 27  |  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  .|  .|  .|  .|  .|  .|  #|  #|  .|  #|   26 |
 28  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  #|  .|  #|  .|  .|  .|  .|  .|   25 |
 29  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  #|  #|  #|  #|  #|  .|  #|  .|   22 |
 30  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  .|  #|  #|  #|  .|  #|  #|  #|   33 |
 31  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  #|  .|  #|  #|  #|   21 |
 32  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|  .|  #|  #|   28 |
 33  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  #|  .|  #|  #|  #|   26 |
 34  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   20 |
 35  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  #|  #|   24 |
 36  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  .|  .|  .|   23 |
 37  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|   20 |
 38  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  #|  #|   18 |
 39  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   22 |
 40  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   24 |
 41  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   24 |
 42  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   21 |
 43  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   21 |
 44  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   17 |
 45  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   19 |
 46  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   21 |
 47  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   20 |
 48  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   18 |
 49  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   14 |
 50  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   13 |
 51  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   14 |
 52  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   19 |
 53  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   11 |
 54  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   13 |
 55  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   13 |
 56  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   12 |
 57  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   17 |
 58  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   14 |
 59  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   15 |
 60  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    9 |
 61  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    7 |
 62  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|    9 |
 63  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   12 |
 64  |  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|  .|   10 |
