group	label	puzzle_n	lane3	lane5	scalar	mod	eq1_lhs	eq1_rhs	eq1_h2	eq1_h3	eq2_lhs	eq2_rhs	eq2_h2	eq2_h3
solved	P4	4	1	4	8	N	12174172660090946557013724640407511124422564464530571462147272695223059382287	101976839019529094096218545694698801408892002081381786444447260354245214513449	12->10	121->101	40753396941762584072111188380829239918029589208543014716524800175085538358114	76155417979254032744691718810982935918358573819055106508294315835211301910549	40->76	407->761
solved	P4	4	1	4	8	delta	100764058310116692730487743719430464092	18237418776004769953143341649156851590	10->18	100->182	2687557809060207679449789302478321655	196627673151737789538567590565978511851	26->19	268->196
solved	P5	5	2	0	21	p	71355287026221043031892875888979967678338174342476311301060821258280072270295	71355287026221043031892875888979967678338174342476311301060821258280072270295	71->71	713->713	51217881659317905003871387367561212292390672075224176426750526119898585903063	84200057463484869905957770835392791892181829416237816394097198114716378004899	51->84	512->842
solved	P5	5	2	0	21	N	84039147331544340437248756999976761703869223700784603201760623590961324052795	40069875814676489677148225429621289917399610254080550068797275171080407505088	84->40	840->400	105982779231342308283675208271699530469674672489339609580142691135318251096729	100670013809858434508055547356964025036449035259588074980961566953109117329758	10->10	105->100
solved	P5	5	2	0	21	delta	430771507997769974649823840572405106670	317303539821434497356733835386615932900	43->31	430->317	335479280087132304004989665447467307455	413642181905024543382251225883917552965	33->41	335->413
solved	P6	6	0	1	49	p	39174481976096429720936214824980480828094112001748029707786701133077380044647	39174481976096429720936214824980480828094112001748029707786701133077380044647	39->39	391->391	69429208469318455486443948191406298821025178652269389773220250423244653539069	20085671427958896732653702383376712887315617845190906171813820208103916405908	69->20	694->200
solved	P6	6	0	1	49	N	86674924150002988604519953519674155506281895734680812752634846542253572254822	4660628758189174500986196304170572764575555368658825355593606458094249348183	86->46	866->466	26051324998878414827959495880365092974248124854013483667538353273084216201536	6007746490685112524740622926072671740125603580607446401439787131712531024707	26->60	260->600
solved	P6	6	0	1	49	delta	287726497681382807614927246100116386539	294456010302740774768790956124320164279	28->29	287->294	336956646508859253922894774757066679886	173231019247990887197756066688708199706	33->17	336->173
solved	P7	7	1	2	76	p	97773680733204752392493929633224121452646826688444399460210185162626204743306	97773680733204752392493929633224121452646826688444399460210185162626204743306	97->97	977->977	53515859704843399611070847681068474851444395827176075573068012297801791559913	39165789492067577566642241779890527141920237069689191762801173671305312397489	53->39	535->391
solved	P7	7	1	2	76	N	4946188784839955357545252253975029997853884632475296524919411534948273440171	45345339648179904280226931703994959213975478999129545865996098172200430804613	49->45	494->453	40101804311106292365210898195512684083810361196872806813901694865018915671973	65567866792762766951425678106210416990094830562757515430904099673844055717468	40->65	401->655
solved	P7	7	1	2	76	delta	115798030721705166983546742784188395594	107332347984866024929606795933983689812	11->10	115->107	330881335223322515961957857455298756881	373923953509088789972418600741452475599	33->37	330->373
solved	P8	8	2	3	224	p	11266534501875276596310535973797634902233161900624011692289979135733900695590	11266534501875276596310535973797634902233161900624011692289979135733900695590	11->11	112->112	34252093159821394317831677912322003208949329937442962982843704154846946731361	89130042528313571916757514024012453224277977995359902938944009555453020627547	34->89	342->891
solved	P8	8	2	3	224	N	48138467640585654946209221394700013939997175056850108979407615470801785749724	45808066505677662047333775936005478021591991761407306594896199233112957667245	48->45	481->458	51733903498538892845750613321075112780991505196927638933716623897173022924618	60472410752688119957717829596908974801597080892239701730214991191191374426214	51->60	517->604
solved	P8	8	2	3	224	delta	54719565112156283225905544901483641269	410703207979296357344427216121976613813	54->41	547->410	408314739318363464477445766681639659486	168685797492000367381738152650738928382	40->16	408->168
solved	P9	9	0	4	467	p	2568621595033825728409218013079588026113191208417633224157170797387184903017	2568621595033825728409218013079588026113191208417633224157170797387184903017	25->25	256->256	9640392942870393193781958894831795090904290097024316666830603000297581981437	65307221239534493821610454987021060654694377507394348222866496517440667245679	96->65	964->653
solved	P9	9	0	4	467	N	100034183821562329031149230585609604229720106867986847150148982085113140103302	36211831225835875403357696133566875948276960966160776432276595074009774624486	10->36	100->362	5362249707992727908265144617318618816926847568855790045685748460428568535363	42268016579940853488586836458044900164318317206108131524988523485445161378448	53->42	536->422
solved	P9	9	0	4	467	delta	382001309530781201962742949905474317042	89601845998794948955565380602518794114	38->89	382->896	350746195518786085426227974295118188807	416156182961925877506106990233456750587	35->41	350->416
solved	P10	10	1	0	514	p	37386530427035747593092203140326004575935230797043020097287622115435418192091	37386530427035747593092203140326004575935230797043020097287622115435418192091	37->37	373->373	102140008440400276200986097753363314827716944114780456539808881958261056694935	52279652353607271484995652126259712489683498272822512827053586729758834678848	10->52	102->522
solved	P10	10	1	0	514	N	31055284190396582243399221036546884194202829339916838570407097379657669346265	34166572113748067410670589505498691491343249591908965399892263650602681736288	31->34	310->341	26868985404685250095871558945478936878994793041668628803623178058954815816623	48169962750101220018286804072678728987985521211192794425597137108081052302463	26->48	268->481
solved	P10	10	1	0	514	delta	409963588957646496466840853840310999180	428091712494124414429310116770445391653	40->42	409->428	140064672251189004835881487035722685487	139178187874521846425546709300038224124	14->13	140->139
solved	P11	11	2	1	1155	p	27804305488909649267144788011321533077235461066739027967831759202207767171739	27804305488909649267144788011321533077235461066739027967831759202207767171739	27->27	278->278	100455062048284722382626135830014484570219687843583427195331876708594798399532	56719711117888440804094642905148748788799189328888684736933292642148589254481	10->56	100->567
solved	P11	11	2	1	1155	N	79796760177505090350707234919233408036861102194806860524633791081260265229119	90611525751070751210558361299579867814481265610795185490913781751650247909604	79->90	797->906	66715068583043773172872876639129744468967939651487470601530321778811056235861	61266464479220829236245873091203584059476272110896294352714553406077861739562	66->61	667->612
solved	P11	11	2	1	1155	delta	400930268482578470547440917993176577016	101337697786501044104386188668525267967	40->10	400->101	198174402618537572225695953770149019959	382501140435002030717320763624701886986	19->38	198->382
solved	P12	12	0	2	2683	p	112914658509136730185450118897227110042440745220661858894878824566570755467799	112914658509136730185450118897227110042440745220661858894878824566570755467799	11->11	112->112	40035888776311293194475049855812714074865291440544584537403527640141982925954	62666425287343656905741709119232063938348512098526043902222331911801135551085	40->62	400->626
solved	P12	12	0	2	2683	N	9733471762099543277483876118144608451163458713467994668356210443148650149601	1328858001908486085257513880680348195539437853329458752746655065928853611896	97->13	973->132	39742746019459097253893918354735030642569027350286588006907412126890276674897	30303571636202099570688793456431200610954318260747955223490078273146132701487	39->30	397->303
solved	P12	12	0	2	2683	delta	144751337564764436394437253760527549291	84272617960827085359944705182334540761	14->84	144->842	77757104227707280059421231566622450030	382264544085941350288273118660951677154	77->38	777->382
solved	P13	13	1	3	5216	p	105736499594273499432646928166661569529179759807764294964948419906043103751681	105736499594273499432646928166661569529179759807764294964948419906043103751681	10->10	105->105	75644060806944914858592704485677487123521649382424897905041435289241904568053	36335465614035349236196034709838844634861402384552341369749039324326946680014	75->36	756->363
solved	P13	13	1	3	5216	N	103371273970696855437987617404466749326108004679028302820605989625319156376664	92203381930198223148576352216310426870115452268218573331009611182919032326330	10->92	103->922	59542269573544256877044589016567538394663102308562177512016020815074606421482	70389103620053060597674363048010318538473971523576490999962800679819109103212	59->70	595->703
solved	P13	13	1	3	5216	delta	381655193379304453974085823154430997748	268151868000766157452346120036448671815	38->26	381->268	280651360274405186780374789653374365165	296713853390774399752569776369704335906	28->29	280->296
solved	P14	14	2	4	10544	p	26389475783465458717100181606697705712460614445019491968299428763826484084819	26389475783465458717100181606697705712460614445019491968299428763826484084819	26->26	263->263	3601083574520571810497319117093416074545287072181624000452238599367136251397	10631658927808165428402573635120322645287595746930044101569649371788721097526	36->10	360->106
solved	P14	14	2	4	10544	N	105632605744075288346987068403583210193696798516798627015260317620914192722028	82228207724787929158602867694931772503557685292559397034695276421915240005959	10->82	105->822	50421165194972374940672828660374554177291457490878761054809172559937832596862	41235958553169023028161203240608477854762475859598907963915291455659499285028	50->41	504->412
solved	P14	14	2	4	10544	delta	402657826709182616888935219110455652260	160723580809478282791681548299352501933	40->16	402->160	339706803732838328391792366705794796931	51515267433207588791645703591987653110	33->51	339->515
solved	P15	15	0	0	26867	p	89588762327936588195255683737191321062385465571928869773089968883667569659098	89588762327936588195255683737191321062385465571928869773089968883667569659098	89->89	895->895	4494535446359966530532298397037211613916152619813261489967697088201189863618	14396008141362765635167396991888095832044997483698729081989025829251225329361	44->14	449->143
solved	P15	15	0	0	26867	N	66244903633836783611466538225733530488669417493038336631141336471913191143495	90450303902751322622994168001686340206479746396299124159849580093222343029133	66->90	662->904	72471127930417101425158830260457691135896608867840773601410264555616101806721	75414785360895228992677389906804933366925677667275216120197163456011434858182	72->75	724->754
solved	P15	15	0	0	26867	delta	181431754297012905394816844196176958353	258112924593401836948617977951856444768	18->25	181->258	113419056502558840889410458965006081902	298574291476500430932010138389469671247	11->29	113->298
solved	P16	16	1	1	51510	p	1271602034777058394657085276496461443109823647464934225465040684311727435239	1271602034777058394657085276496461443109823647464934225465040684311727435239	12->12	127->127	607142588727814933440989672555743007069678431576183549956784244881554353896	17721356554166643943682969218890020083858115648729694991808116260048296445796	60->17	607->177
solved	P16	16	1	1	51510	N	14437603780638490636536281353851644860632243887894820972111449698077403529492	115474569532113568458444314635440780778802858052807043778917546266159440376431	14->11	144->115	13189040580554877060295100085266299164129718032647193055767577960852893735281	94605761487052153460333643696204387739148197446990388913456283430383515245554	13->94	131->946
solved	P16	16	1	1	51510	delta	258428104285582916751485841299392948755	290124103248982657518185301390303858802	25->29	258->290	201921726751314910029649300587745323772	153799380960188093392130869915115582019	20->15	201->153
solved	P17	17	2	2	95823	p	93048250670864490272321329975337294747347997662224989491112583048205539385614	93048250670864490272321329975337294747347997662224989491112583048205539385614	93->93	930->930	22023651756567625109182566044602126817091051562828907403117953862857250973686	57649332944523331086995370948236364857758870181148342939845722479026635292098	22->57	220->576
solved	P17	17	2	2	95823	N	33552143877017350007909097125240114962996196488797498456741969712262240265154	95124948956966011400612177151264430470340228800869075951450714025634534399628	33->95	335->951	98663467443683281592640613404917719600219982864981567083311302177121761196768	83157203403937329481253220464587301540507020204840753374076603539864480357833	98->83	986->831
solved	P17	17	2	2	95823	delta	261988603730128168354246142503533534658	38335452460612025242679900015911121547	26->38	261->383	97510522849263221220116751363167295225	9640138403056834668844799215473551668	97->96	975->964
solved	P18	18	0	3	198669	p	87450468766358250327487930823944303621568559046404589778197734136995072542716	87450468766358250327487930823944303621568559046404589778197734136995072542716	87->87	874->874	36149519589688317117691162321004138849396539532707002484121719110975270302614	65074492530391080178970057563660698981501088044366117316898943868398511028057	36->65	361->650
solved	P18	18	0	3	198669	N	8526149143822656059963252023066943759628318125063825830657645489236617716320	7917796806072208225748036453939911808419720580222259776367195860047090951504	85->79	852->791	41258897359492553037379065082661086121196462891763985739672651615202789638942	91480826906017243418620019246171947503299692006505272954658911051699468166645	41->91	412->914
solved	P18	18	0	3	198669	delta	169490539472395268816632700530574928946	275116010054536230389197428492520936774	16->27	169->275	81627181890532518590985624439973471541	159071494444907720333582103647700642261	81->15	816->159
solved	P19	19	1	4	357535	p	93022824074755329888600612644653625305983201223213834321965224518659963238007	93022824074755329888600612644653625305983201223213834321965224518659963238007	93->93	930->930	64141324085269807261430019854886162546544489426743605994347146760252710406132	68213805622773925758559936197199928731590490900614658924348197999594855512262	64->68	641->682
solved	P19	19	1	4	357535	N	47488063012634713797785051240251755230637921389738713470441481157390699760491	105278860894629821422355276891823261359698720209568816799333235712816198698957	47->10	474->105	3112942801844198300796076987453508623138649628970411395308646340995051205200	12982795615188425179879721469925753551353447787153585599771930787564474402516	31->12	311->129
solved	P19	19	1	4	357535	delta	187995822017641647145503756959165839414	163776003803879001741880193266846290945	18->16	187->163	401340536885064336280986018398960035161	389040616453675601240990722715886152512	40->38	401->389
solved	P20	20	2	0	863317	p	100855348930755252482626254136436704857874851190039074633241858099336600476720	100855348930755252482626254136436704857874851190039074633241858099336600476720	10->10	100->100	42019450678528771578792687268419943049872297429456899189830177738875574812232	115383905028616721518780997897126853577448403638601280492048091979928221941309	42->11	420->115
solved	P20	20	2	0	863317	N	52399061471842964765410111160300611870042791571429264783812426939486873652052	113114124074577615147491564270934241832265653858617639760815296797517569037586	52->11	523->113	48415599124881461383421713537913066304552579476807007572425511878313863034050	81581832479593766657686529298426956566401499130972046207499946144571275920710	48->81	484->815
solved	P20	20	2	0	863317	delta	230100234295769496023133537863815051825	160859912951936263443348545336462560227	23->16	230->160	114028040746348888539953512561753368990	240967660590828427148758155678710647102	11->24	114->240
solved	P21	21	0	1	1811764	p	29858229004847033381631258142656226768924472558881703787592204124333520920763	29858229004847033381631258142656226768924472558881703787592204124333520920763	29->29	298->298	125281281893214633693092874072273130821386925730839768969188020134353305431	104560557020584607200388545709607132163350733187365285447203815344834579304432	12->10	125->104
solved	P21	21	0	1	1811764	N	98593061098513706030124001671745525215723409090350410763576109838682827844749	68837859093248490213280284946209770280123869532238851388609763825174110676090	98->68	985->688	96172172266489932311129368376928026912158490392590042463469215634903042322893	79812646141604153868536545287348437647778074211295000457420585918854165450915	96->79	961->798
solved	P21	21	0	1	1811764	delta	285450886696741491169640702370534996967	349625035689363796776212191168079858653	28->34	285->349	271038556525483713490053787121705189712	395872258286929447743358589829660423372	27->39	271->395
solved	P22	22	1	2	3007503	p	96887440732731150586099639448145815700812789564457450045028574786843391032526	96887440732731150586099639448145815700812789564457450045028574786843391032526	96->96	968->968	52261464572922569158145632259204515080983912612362478275379493965944188874178	31388545999198654484523402497162349972912485633167125073240322354702336873180	52->31	522->313
solved	P22	22	1	2	3007503	N	95813621643247078953309504316492681439017226692049208987578223028555646383000	13125855644168477707187903504428091726059464737031711201352250688803779322545	95->13	958->131	106995419772638676626349756644592567092635464774116761056355990556239166074562	13651236719563572996152617562925184790628159593026002346545164404672626455483	10->13	106->136
solved	P22	22	1	2	3007503	delta	14433346019744963119162400601800687632	112024841084180458951576153975066990420	14->11	144->112	365582111567760814189105688535748903527	330010606340104540346493052521499126629	36->33	365->330
solved	P23	23	2	3	5598802	p	4851446481394088661653065050832460411529653764036649776966087770294398087843	4851446481394088661653065050832460411529653764036649776966087770294398087843	48->48	485->485	41220661030959168167763918117344217646081559727667321681967676419340756195008	83068434596746526192602987353584661623691780399301950759283723410493214766013	41->83	412->830
solved	P23	23	2	3	5598802	N	11883486322620302828979121881677087215100813060128134970837278331117118012751	48131835629899399405326550414366474183910662933804885902560647963115585430307	11->48	118->481	55364453140915287321913514740903228326593584871849937136706009909441524948235	46438784923844313534867467711932443405237590268950423353269043238646952318480	55->46	553->464
solved	P23	23	2	3	5598802	delta	411791814744636800026888939326126796576	70607842927777900920932246860369125109	41->70	411->706	186995539595806704865107003388315721751	221213213089760439728500624090001234988	18->22	186->221
solved	P24	24	0	4	14428676	p	65853714836830184540880015716859124605011413408466748430679548171429868059385	65853714836830184540880015716859124605011413408466748430679548171429868059385	65->65	658->658	83688564659606202371673666558123995449751001389630524296698931878237134882406	50614445901022054887454995129391059647730215086518051440754073391897800235755	83->50	836->506
solved	P24	24	0	4	14428676	N	23551067986661574626943932749352154397196359614130353939410577220598881800707	47632317667274667101766573184198033336580745862359519464068379554055538163017	23->47	235->476	93001739479971152524520166745946725301188584096332244958011012899584753037652	28242625937464636012220808231548867059209186750263147384985037350064528667341	93->28	930->282
solved	P24	24	0	4	14428676	delta	277860801095105828207073319172475983141	299215446070237392259652198679556771507	27->29	277->299	369176202946981571376581465332013448346	102161205472900544132597426768546508648	36->10	369->102
solved	P25	25	1	0	33185509	p	81786079839118765480984352516374274859183293675424089730046602444850022218449	81786079839118765480984352516374274859183293675424089730046602444850022218449	81->81	817->817	35048525942249759189182628683087423410420454228058976542444852005343909138305	98991444908680588232200570602284656411714412979925549913151048231636807402359	35->98	350->989
solved	P25	25	1	0	33185509	N	8007036671351315322733719035956286022931591356645586274648779095194627097402	2385164307070883553209520010214010889681791434042590043255588872948112798153	80->23	800->238	91199854181936023311069401391502360480327381923665894721658306103342600102468	20376583038288558126655011189683215727907245746028143578856197610914153084410	91->20	911->203
solved	P25	25	1	0	33185509	delta	244519748848243614201444796405618876183	229054627389208025703932260309312065037	24->22	244->229	209116280946024717928830286180106449050	164188808277454746081640233576815916842	20->16	209->164
solved	P26	26	2	1	54538862	p	65130384049844948541515279364130290051617767025604873290036615935372201918240	65130384049844948541515279364130290051617767025604873290036615935372201918240	65->65	651->651	102751661210226585591741305943477262578370262882314143217813703166791402609598	86789038072725686936550772913652277150726550553652754829087597984167747179602	10->86	102->867
solved	P26	26	2	1	54538862	N	81904739528642202112626073930156691716820421679050305603417023165014067879516	47940908244798731444676582335647817103544651074298776991936152400649702061093	81->47	819->479	24420449369163573736491188757147402228510055108208950516054450065471673736402	72556407463503148112420003309555698869235395094576662620226215867909345624391	24->72	244->725
solved	P26	26	2	1	54538862	delta	200077886218178467645139740339106922554	94769010893802899715914959568525036608	20->94	200->947	112291217630423246246785120694492447719	70367073457744309171763290632062658659	11->70	112->703
solved	P27	27	0	2	111949941	p	4465398825630579147054643457259554384309080880128448850348566809658493516250	4465398825630579147054643457259554384309080880128448850348566809658493516250	44->44	446->446	34220208474936981454693977536059971721412930514331978364554334143345063788560	24004920197159159072134743304397580449794468893246901135270870658134674648878	34->24	342->240
solved	P27	27	0	2	111949941	N	35541869787202830856238160962426104465397538092570334490179112944051036648258	63785429920282546029161024767723156316227191079151341226247365749521710141424	35->63	355->637	20274904900038814929028372301665169787209456512540899303256633630822416079357	21684094407416396065440275747550817840952676823377340420046107022962356830358	20->21	202->216
solved	P27	27	0	2	111949941	delta	337361645539358144650222570315934428093	74434505145380756958090058910000745111	33->74	337->744	109008673522535304953531892035233131582	143499989047633364220996299581581394696	10->14	109->143
solved	P28	28	1	3	227634408	p	66171649858776583974173898529110806807369274556556760081810852058286881831535	66171649858776583974173898529110806807369274556556760081810852058286881831535	66->66	661->661	22837753530491022289343684500842951539342409471568811898982107511520007785207	111236964937157510965268387572510838783969949751233757935277084328448022383934	22->11	228->111
solved	P28	28	1	3	227634408	N	65857620791587824239611869226509981236456931939083137625313268189491624851886	18233635799478138522288408103647402538710255861364000951930070974255376056335	65->18	658->182	108924087081598536909962494059404220444179476087260543940118111206961319306189	32345413083297665258396787346226600231138405954320233878309264901900511745823	10->32	108->323
solved	P28	28	1	3	227634408	delta	138519999772128804053766296043481868386	2592893457880097402038089532450125843	13->25	138->259	130522350108704356655137143483473217033	226070006938572391663541287214745795184	13->22	130->226
solved	P29	29	2	4	400708894	p	57750067752607193639767614171355142716652590295571028311046794659533878863929	57750067752607193639767614171355142716652590295571028311046794659533878863929	57->57	577->577	12913328267373139916472070499669532330059291886643801145967905289474406915804	2065157695649455897992952327090418901555831008448982882935377612570414193043	12->20	129->206
solved	P29	29	2	4	400708894	N	36727251926468953518088282352617467905324834535375262173161466900818148766211	81663293728713249533601382562519685207378202189595177596266029613846560429908	36->81	367->816	85415642640364657600477025996381278084299372183017930100494686574032632111833	73324035293899061287247167300861081676631810186016078843175260134493592584493	85->73	854->733
solved	P29	29	2	4	400708894	delta	173517504804178309258178185619440672137	107764830774503252926105540817148401638	17->10	173->107	288917815193865624490883274737620769566	3289991061127547076673599174693834915	28->32	288->328
solved	P30	30	0	0	1033162084	p	56511531810813390531630581985586811489056569276244883492669141859587326019968	56511531810813390531630581985586811489056569276244883492669141859587326019968	56->56	565->565	26625460554361003051819727300710588958780743444402476530781130080663226405549	109346408689983882657067031323883789587298787054077612072498263040765655374718	26->10	266->109
solved	P30	30	0	0	1033162084	N	114660488266720219632195646525378855004031763085633125129930834190806470527630	104883577359543078983408263617764301106810169261582438426803193876304667094510	11->10	114->104	92990747488748684886498431020604111348045319709711172401728823527631242080362	53043529701308107937139579852718232140388893083983329439404637680340258148061	92->53	929->530
solved	P30	30	0	0	1033162084	delta	264867148428313478821710450576246324664	281198866681546120757909664040656488221	26->28	264->281	274783201395808063418357065929873714789	54189955382931450644304721894173879666	27->54	274->541
solved	P31	31	1	1	2102388551	p	6834238154976450849129580588611804041168048088511414771764122407555173426620	6834238154976450849129580588611804041168048088511414771764122407555173426620	68->68	683->683	95912317873857509245389236342303424849098477482578889360798810696407248929632	81197257089776269699353732025318639660754249114083700396083339836499861256881	95->81	959->811
solved	P31	31	1	1	2102388551	N	25454224935669037641707837214416663456908621669516259195290503619916122585	58932422173014271536527922314465066535205145239668374747830382240284144358497	25->58	254->589	70245928881602063532552023338719354494463871072236094455708029292018732934806	75510754257113561630616509668092094635260879151053369872083720609698623634228	70->75	702->755
solved	P31	31	1	1	2102388551	delta	75560719697138692831526343966910413291	418362959628893737196269549223513762763	75->41	755->418	135879761264746406844150437879110696480	93073560061122803602756984907340147814	13->93	135->930
solved	P32	32	2	2	3093472814	p	27260550831004819366492195269641854370406191922976795645188917295178610000527	27260550831004819366492195269641854370406191922976795645188917295178610000527	27->27	272->272	100798797110747544371874843836727414344198481216032943713306816228418330152999	104480633074510222104311478667517153129210559670073036385946589611059443706076	10->10	100->104
solved	P32	32	2	2	3093472814	N	46367619709033860137702227525350987985795987751426861031893977196247497586481	62360391883948398237641864284466104852625468733234300133793191697242663002035	46->62	463->623	108969703013502878014872640690553946790718572445546770229182503113510155353588	22151536239414737451178123826635582954075459880157686883187291188269618085436	10->22	108->221
solved	P32	32	2	2	3093472814	delta	307192427146631788495679188311014599062	231033330997916109996989062170177196876	30->23	307->231	257306170591844657213016723528274591219	326657426358281092374615406521854865551	25->32	257->326
solved	P33	33	0	3	7137437912	p	1438416677028868026774013204191445639109550806706890850161076011768854899538	1438416677028868026774013204191445639109550806706890850161076011768854899538	14->14	143->143	88814562196973184202357315544214540378762979948819675958354537835349037699926	69287918155685405605248987109710216267346045828644531893186184670946590827595	88->69	888->692
solved	P33	33	0	3	7137437912	N	6604787496570607426543416284914280788050322002181558288632712881779944058109	44351482647338390717163375040698322914210570940599811066586220427486901957967	66->44	660->443	12644542502779595381943583113986968666252027726776693687550116628153556400291	42399348268593060189935658984604718068271591999484784649144764500053429302738	12->42	126->423
solved	P33	33	0	3	7137437912	delta	335691451145512075865745140885509898028	72677189097291916479804520374928387951	33->72	335->726	69334746116219077474575351242456240833	144214746398800246968789487199985988460	69->14	693->144
solved	P34	34	1	4	14133072157	p	30173195431671656428943607703441256124379860698004457530210708892299313823719	30173195431671656428943607703441256124379860698004457530210708892299313823719	30->30	301->301	4518094436549010434416505267311365113025177875833769741385491506678868440758	2557253915612763937632896164759417629444753829554776739297165306942873967487	45->25	451->255
solved	P34	34	1	4	14133072157	N	14656923245185705582235219032011445676039446196903377847294440386095512352133	36580657649713158779195963838205953299583827809509651048229471797265585525270	14->36	146->365	23643766174311993124580373136705102836688311015415537498716735301457120204812	14322123045880979965292102157520113564935085025041032128784636542168902869206	23->14	236->143
solved	P34	34	1	4	14133072157	delta	67350192012179142179769222240318731971	426971922926268202963209214784246690485	67->42	673->426	110072367392732611902281631376283121198	90826995423956232407561331232164222842	11->90	110->908
solved	P35	35	2	0	20112871792	p	37516098159681485119841995840008428165248069785144454874323032396600376251522	37516098159681485119841995840008428165248069785144454874323032396600376251522	37->37	375->375	49465561091101775587151019108889925979749566601912966652258841237319992208888	70687419110708268628878131715145156741159818019411832893840277360865715616788	49->70	494->706
solved	P35	35	2	0	20112871792	N	678325315848808307085055467917836300050450705393324373182286602247210368142	31884879642988018536459632573646462361665203333431393674602981671264393299949	67->31	678->318	72026893628982569938759920552895053717457631373257841114028615200299026822225	86596436908810011493053761509256547180891858124911733228328949982611357632716	72->86	720->865
solved	P35	35	2	0	20112871792	delta	9840749741022852828976021152992012904	170936588143374621376166678763567817474	98->17	984->170	148757161791756570137415045878104898155	86639440863252680035028110208572899371	14->86	148->866
solved	P36	36	0	1	42387769980	p	72396831519769445064949424449525278116711537583900172094397325980078877174674	72396831519769445064949424449525278116711537583900172094397325980078877174674	72->72	723->723	57809086444578984111311150209694600520030613426880210268216562373160100911172	34328775569273376287070870558625420051390737082584217902303398526933070375525	57->34	578->343
solved	P36	36	0	1	42387769980	N	43922304843449931773050948603058178774727924114603498597307166868275542685311	70697436122023750546998277631640243209915378368423087951298110900484481666682	43->70	439->706	40275869050486288594049450737406822939489471374347897869559642008675183746778	97138226305586849545639816594089550239301309217524491518105159006030189395791	40->97	402->971
solved	P36	36	0	1	42387769980	delta	259470823167412349159038746598457436431	364686712427456204330131897690818480460	25->36	259->364	401652052095517328249540502999239168956	308793741381579363659651236891219424565	40->30	401->308
solved	P37	37	1	2	100251560595	p	106227455657816087717133121086217520599782125967329794551483874871000376118011	106227455657816087717133121086217520599782125967329794551483874871000376118011	10->10	106->106	85092345321158782973934155374666646563920798213050251088013939088108286927115	26796711443815831398574590683340175975640401458050864614028258423628264039502	85->26	850->267
solved	P37	37	1	2	100251560595	N	73351064282123036311525668500477339459901270695121929522260405666090397054454	43058765362597811608889665207378872417264439804347282603316861463973656653185	73->43	733->430	33307179419384431740055898784097000606327467382399755690090249233352725661384	26290328492147672482171837647742412755395157451560393275555309485314173613193	33->26	333->262
solved	P37	37	1	2	100251560595	delta	109769243904603708397978568890004293994	154670065157742757255789758027717825826	10->15	109->154	192026459071793390852976342619859398147	349000598099276453183487632596840132025	19->34	192->349
