d,d_bits,gap_target,gap_observed,offset,offset_bits,o_probe,direction,source,ec_hit,in_gap_tier
26607242161454981736388648770829085659585,135,1,1,12426311375559917536356644487861276804224,134,12426311375559917536356644487861276804224,+,sample:g1:+:o=12426311375559917536356644487861276804224,False,True
26649944262401923033764444799996993827297,135,1,1,12469013476506858833732440517029184971936,134,12469013476506858833732440517029184971936,+,sample:g1:+:o=12469013476506858833732440517029184971936,False,True
26692646363348864331140240829164901995009,135,1,1,12511715577453800131108236546197093139648,134,12511715577453800131108236546197093139648,+,sample:g1:+:o=12511715577453800131108236546197093139648,False,True
26735348464295805628516036858332810162721,135,1,1,12554417678400741428484032575365001307360,134,12554417678400741428484032575365001307360,+,sample:g1:+:o=12554417678400741428484032575365001307360,False,True
26778050565242746925891832887500718330433,135,1,1,12597119779347682725859828604532909475072,134,12597119779347682725859828604532909475072,+,sample:g1:+:o=12597119779347682725859828604532909475072,False,True
26820752666189688223267628916668626498145,135,1,1,12639821880294624023235624633700817642784,134,12639821880294624023235624633700817642784,+,sample:g1:+:o=12639821880294624023235624633700817642784,False,True
26863454767136629520643424945836534665857,135,1,1,12682523981241565320611420662868725810496,134,12682523981241565320611420662868725810496,+,sample:g1:+:o=12682523981241565320611420662868725810496,False,True
26906156868083570818019220975004442833569,135,1,1,12725226082188506617987216692036633978208,134,12725226082188506617987216692036633978208,+,sample:g1:+:o=12725226082188506617987216692036633978208,False,True
26948858969030512115395017004172351001281,135,1,1,12767928183135447915363012721204542145920,134,12767928183135447915363012721204542145920,+,sample:g1:+:o=12767928183135447915363012721204542145920,False,True
26991561069977453412770813033340259168993,135,1,1,12810630284082389212738808750372450313632,134,12810630284082389212738808750372450313632,+,sample:g1:+:o=12810630284082389212738808750372450313632,False,True
27034263170924394710146609062508167336705,135,1,1,12853332385029330510114604779540358481344,134,12853332385029330510114604779540358481344,+,sample:g1:+:o=12853332385029330510114604779540358481344,False,True
27076965271871336007522405091676075504417,135,1,1,12896034485976271807490400808708266649056,134,12896034485976271807490400808708266649056,+,sample:g1:+:o=12896034485976271807490400808708266649056,False,True
27119667372818277304898201120843983672129,135,1,1,12938736586923213104866196837876174816768,134,12938736586923213104866196837876174816768,+,sample:g1:+:o=12938736586923213104866196837876174816768,False,True
27162369473765218602273997150011891839841,135,1,1,12981438687870154402241992867044082984480,134,12981438687870154402241992867044082984480,+,sample:g1:+:o=12981438687870154402241992867044082984480,False,True
27205071574712159899649793179179800007553,135,1,1,13024140788817095699617788896211991152192,134,13024140788817095699617788896211991152192,+,sample:g1:+:o=13024140788817095699617788896211991152192,False,True
27247773675659101197025589208347708175265,135,1,1,13066842889764036996993584925379899319904,134,13066842889764036996993584925379899319904,+,sample:g1:+:o=13066842889764036996993584925379899319904,False,True
27290475776606042494401385237515616342977,135,1,1,13109544990710978294369380954547807487616,134,13109544990710978294369380954547807487616,+,sample:g1:+:o=13109544990710978294369380954547807487616,False,True
27333177877552983791777181266683524510689,135,1,1,13152247091657919591745176983715715655328,134,13152247091657919591745176983715715655328,+,sample:g1:+:o=13152247091657919591745176983715715655328,False,True
27375879978499925089152977295851432678401,135,1,1,13194949192604860889120973012883623823040,134,13194949192604860889120973012883623823040,+,sample:g1:+:o=13194949192604860889120973012883623823040,False,True
27418582079446866386528773325019340846113,135,1,1,13237651293551802186496769042051531990752,134,13237651293551802186496769042051531990752,+,sample:g1:+:o=13237651293551802186496769042051531990752,False,True
27461284180393807683904569354187249013825,135,1,1,13280353394498743483872565071219440158464,134,13280353394498743483872565071219440158464,+,sample:g1:+:o=13280353394498743483872565071219440158464,False,True
27480144799013509077690748705992024324577,135,1,1,13299214013118444877658744423024215469216,134,13299214013118444877658744423024215469216,+,bridge:matrix t1 col2-col1,False,True
27503986281340748981280365383355157181537,135,1,1,13323055495445684781248361100387348326176,134,13323055495445684781248361100387348326176,+,sample:g1:+:o=13323055495445684781248361100387348326176,False,True
27546688382287690278656161412523065349249,135,1,1,13365757596392626078624157129555256493888,134,13365757596392626078624157129555256493888,+,sample:g1:+:o=13365757596392626078624157129555256493888,False,True
27589390483234631576031957441690973516961,135,1,1,13408459697339567375999953158723164661600,134,13408459697339567375999953158723164661600,+,sample:g1:+:o=13408459697339567375999953158723164661600,False,True
27632092584181572873407753470858881684673,135,1,1,13451161798286508673375749187891072829312,134,13451161798286508673375749187891072829312,+,sample:g1:+:o=13451161798286508673375749187891072829312,False,True
27674794685128514170783549500026789852385,135,1,1,13493863899233449970751545217058980997024,134,13493863899233449970751545217058980997024,+,sample:g1:+:o=13493863899233449970751545217058980997024,False,True
27717496786075455468159345529194698020097,135,1,1,13536566000180391268127341246226889164736,134,13536566000180391268127341246226889164736,+,sample:g1:+:o=13536566000180391268127341246226889164736,False,True
27760198887022396765535141558362606187809,135,1,1,13579268101127332565503137275394797332448,134,13579268101127332565503137275394797332448,+,sample:g1:+:o=13579268101127332565503137275394797332448,False,True
27802900987969338062910937587530514355521,135,1,1,13621970202074273862878933304562705500160,134,13621970202074273862878933304562705500160,+,sample:g1:+:o=13621970202074273862878933304562705500160,False,True
27845603088916279360286733616698422523233,135,1,1,13664672303021215160254729333730613667872,134,13664672303021215160254729333730613667872,+,sample:g1:+:o=13664672303021215160254729333730613667872,False,True
27888305189863220657662529645866330690945,135,1,1,13707374403968156457630525362898521835584,134,13707374403968156457630525362898521835584,+,sample:g1:+:o=13707374403968156457630525362898521835584,False,True
27931007290810161955038325675034238858657,135,1,1,13750076504915097755006321392066430003296,134,13750076504915097755006321392066430003296,+,sample:g1:+:o=13750076504915097755006321392066430003296,False,True
27973709391757103252414121704202147026369,135,1,1,13792778605862039052382117421234338171008,134,13792778605862039052382117421234338171008,+,sample:g1:+:o=13792778605862039052382117421234338171008,False,True
28016411492704044549789917733370055194081,135,1,1,13835480706808980349757913450402246338720,134,13835480706808980349757913450402246338720,+,sample:g1:+:o=13835480706808980349757913450402246338720,False,True
28059113593650985847165713762537963361793,135,1,1,13878182807755921647133709479570154506432,134,13878182807755921647133709479570154506432,+,sample:g1:+:o=13878182807755921647133709479570154506432,False,True
28101815694597927144541509791705871529505,135,1,1,13920884908702862944509505508738062674144,134,13920884908702862944509505508738062674144,+,sample:g1:+:o=13920884908702862944509505508738062674144,False,True
28144517795544868441917305820873779697217,135,1,1,13963587009649804241885301537905970841856,134,13963587009649804241885301537905970841856,+,sample:g1:+:o=13963587009649804241885301537905970841856,False,True
28187219896491809739293101850041687864929,135,1,1,14006289110596745539261097567073879009568,134,14006289110596745539261097567073879009568,+,sample:g1:+:o=14006289110596745539261097567073879009568,False,True
28229921997438751036668897879209596032641,135,1,1,14048991211543686836636893596241787177280,134,14048991211543686836636893596241787177280,+,sample:g1:+:o=14048991211543686836636893596241787177280,False,True
28272624098385692334044693908377504200353,135,1,1,14091693312490628134012689625409695344992,134,14091693312490628134012689625409695344992,+,sample:g1:+:o=14091693312490628134012689625409695344992,False,True
28315326199332633631420489937545412368065,135,1,1,14134395413437569431388485654577603512704,134,14134395413437569431388485654577603512704,+,sample:g1:+:o=14134395413437569431388485654577603512704,False,True
28358028300279574928796285966713320535777,135,1,1,14177097514384510728764281683745511680416,134,14177097514384510728764281683745511680416,+,sample:g1:+:o=14177097514384510728764281683745511680416,False,True
28361861571790128400064008565935617710722,135,1,1,14180930785895064200032004282967808855361,134,14180930785895064200032004282967808855361,+,bridge:L2-L1 mod LO,False,True
28400730401226516226172081995881228703489,135,1,1,14219799615331452026140077712913419848128,134,14219799615331452026140077712913419848128,+,sample:g1:+:o=14219799615331452026140077712913419848128,False,True
28443432502173457523547878025049136871201,135,1,1,14262501716278393323515873742081328015840,134,14262501716278393323515873742081328015840,+,sample:g1:+:o=14262501716278393323515873742081328015840,False,True
28486134603120398820923674054217045038913,135,1,1,14305203817225334620891669771249236183552,134,14305203817225334620891669771249236183552,+,sample:g1:+:o=14305203817225334620891669771249236183552,False,True
28528836704067340118299470083384953206625,135,1,1,14347905918172275918267465800417144351264,134,14347905918172275918267465800417144351264,+,sample:g1:+:o=14347905918172275918267465800417144351264,False,True
28571538805014281415675266112552861374337,135,1,1,14390608019119217215643261829585052518976,134,14390608019119217215643261829585052518976,+,sample:g1:+:o=14390608019119217215643261829585052518976,False,True
28614240905961222713051062141720769542049,135,1,1,14433310120066158513019057858752960686688,134,14433310120066158513019057858752960686688,+,sample:g1:+:o=14433310120066158513019057858752960686688,False,True
28656943006908164010426858170888677709761,135,1,1,14476012221013099810394853887920868854400,134,14476012221013099810394853887920868854400,+,sample:g1:+:o=14476012221013099810394853887920868854400,False,True
28699645107855105307802654200056585877473,135,1,1,14518714321960041107770649917088777022112,134,14518714321960041107770649917088777022112,+,sample:g1:+:o=14518714321960041107770649917088777022112,False,True
28742347208802046605178450229224494045185,135,1,1,14561416422906982405146445946256685189824,134,14561416422906982405146445946256685189824,+,sample:g1:+:o=14561416422906982405146445946256685189824,False,True
28785049309748987902554246258392402212897,135,1,1,14604118523853923702522241975424593357536,134,14604118523853923702522241975424593357536,+,sample:g1:+:o=14604118523853923702522241975424593357536,False,True
28827751410695929199930042287560310380609,135,1,1,14646820624800864999898038004592501525248,134,14646820624800864999898038004592501525248,+,sample:g1:+:o=14646820624800864999898038004592501525248,False,True
28870453511642870497305838316728218548321,135,1,1,14689522725747806297273834033760409692960,134,14689522725747806297273834033760409692960,+,sample:g1:+:o=14689522725747806297273834033760409692960,False,True
28913155612589811794681634345896126716033,135,1,1,14732224826694747594649630062928317860672,134,14732224826694747594649630062928317860672,+,sample:g1:+:o=14732224826694747594649630062928317860672,False,True
28955857713536753092057430375064034883745,135,1,1,14774926927641688892025426092096226028384,134,14774926927641688892025426092096226028384,+,sample:g1:+:o=14774926927641688892025426092096226028384,False,True
28998559814483694389433226404231943051457,135,1,1,14817629028588630189401222121264134196096,134,14817629028588630189401222121264134196096,+,sample:g1:+:o=14817629028588630189401222121264134196096,False,True
29041261915430635686809022433399851219169,135,1,1,14860331129535571486777018150432042363808,134,14860331129535571486777018150432042363808,+,sample:g1:+:o=14860331129535571486777018150432042363808,False,True
29083964016377576984184818462567759386881,135,1,1,14903033230482512784152814179599950531520,134,14903033230482512784152814179599950531520,+,sample:g1:+:o=14903033230482512784152814179599950531520,False,True
29126666117324518281560614491735667554593,135,1,1,14945735331429454081528610208767858699232,134,14945735331429454081528610208767858699232,+,sample:g1:+:o=14945735331429454081528610208767858699232,False,True
29169368218271459578936410520903575722305,135,1,1,14988437432376395378904406237935766866944,134,14988437432376395378904406237935766866944,+,sample:g1:+:o=14988437432376395378904406237935766866944,False,True
29212070319218400876312206550071483890017,135,1,1,15031139533323336676280202267103675034656,134,15031139533323336676280202267103675034656,+,sample:g1:+:o=15031139533323336676280202267103675034656,False,True
29254772420165342173688002579239392057729,135,1,1,15073841634270277973655998296271583202368,134,15073841634270277973655998296271583202368,+,sample:g1:+:o=15073841634270277973655998296271583202368,False,True
29297474521112283471063798608407300225441,135,1,1,15116543735217219271031794325439491370080,134,15116543735217219271031794325439491370080,+,sample:g1:+:o=15116543735217219271031794325439491370080,False,True
29340176622059224768439594637575208393153,135,1,1,15159245836164160568407590354607399537792,134,15159245836164160568407590354607399537792,+,sample:g1:+:o=15159245836164160568407590354607399537792,False,True
29382878723006166065815390666743116560865,135,1,1,15201947937111101865783386383775307705504,134,15201947937111101865783386383775307705504,+,sample:g1:+:o=15201947937111101865783386383775307705504,False,True
29425580823953107363191186695911024728577,135,1,1,15244650038058043163159182412943215873216,134,15244650038058043163159182412943215873216,+,sample:g1:+:o=15244650038058043163159182412943215873216,False,True
29468282924900048660566982725078932896289,135,1,1,15287352139004984460534978442111124040928,134,15287352139004984460534978442111124040928,+,sample:g1:+:o=15287352139004984460534978442111124040928,False,True
29510985025846989957942778754246841064001,135,1,1,15330054239951925757910774471279032208640,134,15330054239951925757910774471279032208640,+,sample:g1:+:o=15330054239951925757910774471279032208640,False,True
29553687126793931255318574783414749231713,135,1,1,15372756340898867055286570500446940376352,134,15372756340898867055286570500446940376352,+,sample:g1:+:o=15372756340898867055286570500446940376352,False,True
29596389227740872552694370812582657399425,135,1,1,15415458441845808352662366529614848544064,134,15415458441845808352662366529614848544064,+,sample:g1:+:o=15415458441845808352662366529614848544064,False,True
29639091328687813850070166841750565567137,135,1,1,15458160542792749650038162558782756711776,134,15458160542792749650038162558782756711776,+,sample:g1:+:o=15458160542792749650038162558782756711776,False,True
29681793429634755147445962870918473734849,135,1,1,15500862643739690947413958587950664879488,134,15500862643739690947413958587950664879488,+,sample:g1:+:o=15500862643739690947413958587950664879488,False,True
29724495530581696444821758900086381902561,135,1,1,15543564744686632244789754617118573047200,134,15543564744686632244789754617118573047200,+,sample:g1:+:o=15543564744686632244789754617118573047200,False,True
29767197631528637742197554929254290070273,135,1,1,15586266845633573542165550646286481214912,134,15586266845633573542165550646286481214912,+,sample:g1:+:o=15586266845633573542165550646286481214912,False,True
29809899732475579039573350958422198237985,135,1,1,15628968946580514839541346675454389382624,134,15628968946580514839541346675454389382624,+,sample:g1:+:o=15628968946580514839541346675454389382624,False,True
29852601833422520336949146987590106405697,135,1,1,15671671047527456136917142704622297550336,134,15671671047527456136917142704622297550336,+,sample:g1:+:o=15671671047527456136917142704622297550336,False,True
29895303934369461634324943016758014573409,135,1,1,15714373148474397434292938733790205718048,134,15714373148474397434292938733790205718048,+,sample:g1:+:o=15714373148474397434292938733790205718048,False,True
29938006035316402931700739045925922741121,135,1,1,15757075249421338731668734762958113885760,134,15757075249421338731668734762958113885760,+,sample:g1:+:o=15757075249421338731668734762958113885760,False,True
29980708136263344229076535075093830908833,135,1,1,15799777350368280029044530792126022053472,134,15799777350368280029044530792126022053472,+,sample:g1:+:o=15799777350368280029044530792126022053472,False,True
30023410237210285526452331104261739076545,135,1,1,15842479451315221326420326821293930221184,134,15842479451315221326420326821293930221184,+,sample:g1:+:o=15842479451315221326420326821293930221184,False,True
30066112338157226823828127133429647244257,135,1,1,15885181552262162623796122850461838388896,134,15885181552262162623796122850461838388896,+,sample:g1:+:o=15885181552262162623796122850461838388896,False,True
30108814439104168121203923162597555411969,135,1,1,15927883653209103921171918879629746556608,134,15927883653209103921171918879629746556608,+,sample:g1:+:o=15927883653209103921171918879629746556608,False,True
30151516540051109418579719191765463579681,135,1,1,15970585754156045218547714908797654724320,134,15970585754156045218547714908797654724320,+,sample:g1:+:o=15970585754156045218547714908797654724320,False,True
30194218640998050715955515220933371747393,135,1,1,16013287855102986515923510937965562892032,134,16013287855102986515923510937965562892032,+,sample:g1:+:o=16013287855102986515923510937965562892032,False,True
30236920741944992013331311250101279915105,135,1,1,16055989956049927813299306967133471059744,134,16055989956049927813299306967133471059744,+,sample:g1:+:o=16055989956049927813299306967133471059744,False,True
30279622842891933310707107279269188082817,135,1,1,16098692056996869110675102996301379227456,134,16098692056996869110675102996301379227456,+,sample:g1:+:o=16098692056996869110675102996301379227456,False,True
30322324943838874608082903308437096250529,135,1,1,16141394157943810408050899025469287395168,134,16141394157943810408050899025469287395168,+,sample:g1:+:o=16141394157943810408050899025469287395168,False,True
30365027044785815905458699337605004418241,135,1,1,16184096258890751705426695054637195562880,134,16184096258890751705426695054637195562880,+,sample:g1:+:o=16184096258890751705426695054637195562880,False,True
30407729145732757202834495366772912585953,135,1,1,16226798359837693002802491083805103730592,134,16226798359837693002802491083805103730592,+,sample:g1:+:o=16226798359837693002802491083805103730592,False,True
30450431246679698500210291395940820753665,135,1,1,16269500460784634300178287112973011898304,134,16269500460784634300178287112973011898304,+,sample:g1:+:o=16269500460784634300178287112973011898304,False,True
30493133347626639797586087425108728921377,135,1,1,16312202561731575597554083142140920066016,134,16312202561731575597554083142140920066016,+,sample:g1:+:o=16312202561731575597554083142140920066016,False,True
30514484398100110446273985439692683005248,135,1,1,16333553612205046246241981156724874149887,134,16333553612205046246241981156724874149887,+,sample:g1:+:o=16333553612205046246241981156724874149887,False,True
30535835448573581094961883454276637089089,135,1,1,16354904662678516894929879171308828233728,134,16354904662678516894929879171308828233728,+,sample:g1:+:o=16354904662678516894929879171308828233728,False,True
30578537549520522392337679483444545256801,135,1,1,16397606763625458192305675200476736401440,134,16397606763625458192305675200476736401440,+,sample:g1:+:o=16397606763625458192305675200476736401440,False,True
30589153469019228022882028317786154113192,135,1,1,16408222683124163822850024034818345257831,134,16408222683124163822850024034818345257831,+,bridge:dy residue (shelf_y^3 mod LO),False,True
30621239650467463689713475512612453424513,135,1,1,16440308864572399489681471229644644569152,134,16440308864572399489681471229644644569152,+,sample:g1:+:o=16440308864572399489681471229644644569152,False,True
30663941751414404987089271541780361592225,135,1,1,16483010965519340787057267258812552736864,134,16483010965519340787057267258812552736864,+,sample:g1:+:o=16483010965519340787057267258812552736864,False,True
30706643852361346284465067570948269759937,135,1,1,16525713066466282084433063287980460904576,134,16525713066466282084433063287980460904576,+,sample:g1:+:o=16525713066466282084433063287980460904576,False,True
30749345953308287581840863600116177927649,135,1,1,16568415167413223381808859317148369072288,134,16568415167413223381808859317148369072288,+,sample:g1:+:o=16568415167413223381808859317148369072288,False,True
30792048054255228879216659629284086095361,135,1,1,16611117268360164679184655346316277240000,134,16611117268360164679184655346316277240000,+,sample:g1:+:o=16611117268360164679184655346316277240000,False,True
30834750155202170176592455658451994263073,135,1,1,16653819369307105976560451375484185407712,134,16653819369307105976560451375484185407712,+,sample:g1:+:o=16653819369307105976560451375484185407712,False,True
30877452256149111473968251687619902430785,135,1,1,16696521470254047273936247404652093575424,134,16696521470254047273936247404652093575424,+,sample:g1:+:o=16696521470254047273936247404652093575424,False,True
30920154357096052771344047716787810598497,135,1,1,16739223571200988571312043433820001743136,134,16739223571200988571312043433820001743136,+,sample:g1:+:o=16739223571200988571312043433820001743136,False,True
30962856458042994068719843745955718766209,135,1,1,16781925672147929868687839462987909910848,134,16781925672147929868687839462987909910848,+,sample:g1:+:o=16781925672147929868687839462987909910848,False,True
31005558558989935366095639775123626933921,135,1,1,16824627773094871166063635492155818078560,134,16824627773094871166063635492155818078560,+,sample:g1:+:o=16824627773094871166063635492155818078560,False,True
31048260659936876663471435804291535101633,135,1,1,16867329874041812463439431521323726246272,134,16867329874041812463439431521323726246272,+,sample:g1:+:o=16867329874041812463439431521323726246272,False,True
31090962760883817960847231833459443269345,135,1,1,16910031974988753760815227550491634413984,134,16910031974988753760815227550491634413984,+,sample:g1:+:o=16910031974988753760815227550491634413984,False,True
31133664861830759258223027862627351437057,135,1,1,16952734075935695058191023579659542581696,134,16952734075935695058191023579659542581696,+,sample:g1:+:o=16952734075935695058191023579659542581696,False,True
31134337624412287880693950229388965314545,135,1,1,16953406838517223680661945946421156459184,134,16953406838517223680661945946421156459184,+,bridge:cube lift - shelf (dy),False,True
31176366962777700555598823891795259604769,135,1,1,16995436176882636355566819608827450749408,134,16995436176882636355566819608827450749408,+,sample:g1:+:o=16995436176882636355566819608827450749408,False,True
31219069063724641852974619920963167772481,135,1,1,17038138277829577652942615637995358917120,134,17038138277829577652942615637995358917120,+,sample:g1:+:o=17038138277829577652942615637995358917120,False,True
31261771164671583150350415950131075940193,135,1,1,17080840378776518950318411667163267084832,134,17080840378776518950318411667163267084832,+,sample:g1:+:o=17080840378776518950318411667163267084832,False,True
31304473265618524447726211979298984107905,135,1,1,17123542479723460247694207696331175252544,134,17123542479723460247694207696331175252544,+,sample:g1:+:o=17123542479723460247694207696331175252544,False,True
31347175366565465745102008008466892275617,135,1,1,17166244580670401545070003725499083420256,134,17166244580670401545070003725499083420256,+,sample:g1:+:o=17166244580670401545070003725499083420256,False,True
31389877467512407042477804037634800443329,135,1,1,17208946681617342842445799754666991587968,134,17208946681617342842445799754666991587968,+,sample:g1:+:o=17208946681617342842445799754666991587968,False,True
31432579568459348339853600066802708611041,135,1,1,17251648782564284139821595783834899755680,134,17251648782564284139821595783834899755680,+,sample:g1:+:o=17251648782564284139821595783834899755680,False,True
31475281669406289637229396095970616778753,135,1,1,17294350883511225437197391813002807923392,134,17294350883511225437197391813002807923392,+,sample:g1:+:o=17294350883511225437197391813002807923392,False,True
31517983770353230934605192125138524946465,135,1,1,17337052984458166734573187842170716091104,134,17337052984458166734573187842170716091104,+,sample:g1:+:o=17337052984458166734573187842170716091104,False,True
31555214318705735702687228502948652721391,135,1,1,17374283532810671502655224219980843866030,134,17374283532810671502655224219980843866030,+,bridge:L3-L2 mod LO,False,True
31560685871300172231980988154306433114177,135,1,1,17379755085405108031948983871338624258816,134,17379755085405108031948983871338624258816,+,sample:g1:+:o=17379755085405108031948983871338624258816,False,True
31603387972247113529356784183474341281889,135,1,1,17422457186352049329324779900506532426528,134,17422457186352049329324779900506532426528,+,sample:g1:+:o=17422457186352049329324779900506532426528,False,True
31646090073194054826732580212642249449601,135,1,1,17465159287298990626700575929674440594240,134,17465159287298990626700575929674440594240,+,sample:g1:+:o=17465159287298990626700575929674440594240,False,True
31688792174140996124108376241810157617313,135,1,1,17507861388245931924076371958842348761952,134,17507861388245931924076371958842348761952,+,sample:g1:+:o=17507861388245931924076371958842348761952,False,True
31731494275087937421484172270978065785025,135,1,1,17550563489192873221452167988010256929664,134,17550563489192873221452167988010256929664,+,sample:g1:+:o=17550563489192873221452167988010256929664,False,True
