n,d,d_bits,row,row_eq_n_mod3,shelf2,offset,offset_bits,gap,h_minus_10,h10,h_minus_1,h1,h_minus_2,h2,gap1,gap2,gap10,has_rsz,lambda_unified,law_p,law_n,bridge_ok,d_minus_lo,shelf2_minus_lo,d_mod3,shelf2_mod3,offset_mod3
27,111949941,27,0,True,78726191,33223750,25,2,17,False,26,False,25,True,False,True,False,False,False,True,True,True,44841077,11617327,0,2,1
28,227634408,28,2,False,173343145,54291263,26,2,18,False,27,False,26,True,False,True,False,False,False,True,True,True,93416680,39125417,0,1,2
29,400708894,29,2,True,517899194,151245156,28,1,19,False,28,True,27,False,True,False,False,False,False,True,True,True,132273438,249463738,1,2,0
30,1033162084,30,0,True,858998920,174163164,28,2,20,False,29,False,28,True,False,True,False,False,False,True,True,True,496291172,322128008,1,1,0
31,2102388551,31,2,False,1884476743,217911808,28,3,21,False,30,False,29,False,False,False,False,False,False,True,True,True,1028646727,810734919,2,1,1
32,3093472814,32,0,False,3152916054,2088040408,31,1,22,False,31,True,30,False,True,False,False,False,True,True,True,True,945989166,1005432406,2,0,1
33,7137437912,33,1,False,5752324416,1385113496,31,2,23,False,32,False,31,True,False,True,False,False,True,True,True,True,2842470616,1457357120,2,0,2
34,14133072157,34,0,False,12306360703,1826711454,31,3,24,False,33,False,32,False,False,False,False,False,True,True,True,True,5543137565,3716426111,1,1,0
35,20112871792,35,2,True,26216768188,11075972788,34,1,25,False,34,True,33,False,True,False,False,False,True,True,True,True,2933002608,9036899004,1,1,1
36,42387769980,36,1,False,48215414897,28532093451,35,1,26,False,35,True,34,False,True,False,False,False,False,True,True,True,8028031612,13855676529,0,2,0
37,100251560595,37,2,False,90082854918,10168705677,34,3,27,False,36,False,35,False,False,False,False,False,False,True,True,True,31532083859,21363378182,0,0,0
38,146971536592,38,1,False,232078700070,52331789994,36,2,28,False,37,False,36,True,False,True,False,False,True,True,True,True,9532583120,94639746598,1,0,0
39,323724968937,39,0,True,475836709360,122766166521,37,2,29,False,38,False,37,True,False,True,False,False,True,True,True,True,48847061993,200958802416,0,1,0
40,1003651412950,40,1,True,816623387713,187028025237,38,2,30,False,39,False,38,True,False,True,False,False,False,True,True,True,453895599062,266867573825,1,1,0
41,1458252205147,41,1,False,1690887836016,866875996907,40,1,31,False,40,True,39,False,True,False,False,False,True,True,True,True,358740577371,591376208240,1,0,2
42,2895374552463,42,2,False,2603398696624,291975855839,39,3,32,False,41,False,40,False,False,False,False,False,True,True,True,True,696351296911,404375441072,0,1,2
43,7409811047825,43,1,True,5948052167863,1461758879962,41,2,33,False,42,False,41,True,False,True,False,False,False,True,True,True,3011764536721,1550005656759,2,1,1
44,15404761757071,44,1,False,16929103318391,7271751460888,43,1,34,False,43,True,42,False,True,False,False,False,False,True,True,True,6608668734863,8133010296183,1,2,1
45,19996463086597,45,2,False,32369346273419,5219302857594,43,2,35,False,44,False,43,True,False,True,False,False,False,True,True,True,2404277042181,14777160229003,1,2,0
46,51408670348612,46,2,False,62138735230010,24454307207434,45,1,36,False,45,True,44,False,True,False,False,False,False,True,True,True,16224298259780,26954363141178,1,2,1
47,119666659114170,47,0,False,93430915664698,26235743449472,45,2,37,False,46,False,45,True,False,True,False,False,True,True,True,True,49297914936506,23062171487034,0,1,2
48,191206974700443,48,1,False,148251928943932,42955045756511,46,2,38,False,47,False,46,True,False,True,False,False,True,True,True,True,50469486345115,7514440588604,0,1,2
49,409118905032525,49,0,False,460101264222456,230492617520725,48,1,39,False,48,True,47,False,True,False,False,False,True,True,True,True,127643928321869,178626287511800,0,0,1
50,611140496167764,50,2,True,640438131312561,533652318276515,49,1,40,False,49,True,48,False,True,False,False,False,True,True,True,True,48190542746452,77488177891249,0,0,2
51,2058769515153876,51,0,True,2181151738783335,1003517683213165,50,1,41,False,50,True,49,False,True,False,False,False,False,True,True,True,932869608311252,1055251831940711,0,0,1
53,6763683971478124,53,0,False,6277087054631904,486596916846220,49,4,43,False,52,False,51,False,False,False,False,False,False,True,True,True,2260084344107628,1773487427261408,1,0,1
54,9974455244496707,54,1,False,12021170713277008,6960483785960691,53,1,44,False,53,True,52,False,True,False,False,False,True,True,True,True,967255989755715,3013971458536016,2,1,0
55,30045390491869460,55,0,False,21638300771029740,8407089720839720,53,2,45,False,54,False,53,True,False,True,False,False,True,True,True,True,12030991982387476,3623902261547756,2,0,2
56,44218742292676575,56,0,False,42946673445893703,1272068846782872,51,5,46,False,55,False,54,False,False,False,False,False,False,True,True,True,8189945273712607,6917876426929735,0,0,0
57,138245758910846492,57,1,False,113933081397773000,24312677513073492,55,2,47,False,56,False,55,True,False,True,False,False,False,True,True,True,66188164872918556,41875487359845064,2,2,0
58,199976667976342049,58,0,False,175940942241534016,24035725734808033,55,3,48,False,57,False,56,False,False,False,False,False,True,True,True,True,55861479900486177,31825754165678144,2,1,1
59,525070384258266191,59,0,False,395448734382470980,129621649875795211,57,2,49,False,58,False,57,True,False,True,False,False,False,True,True,True,236840008106554447,107218358230759236,2,1,1
60,1135041350219496382,60,0,True,759873055057288186,375168295162208196,59,1,50,False,59,True,58,False,True,False,False,False,False,True,True,True,558580597916072894,183412302753864698,1,1,0
61,1425787542618654982,61,1,True,2252553116730458978,326155930495042980,59,2,51,False,60,False,59,True,False,True,False,False,True,True,True,True,272866038011808006,1099631612123612002,1,2,0
62,3908372542507822062,62,0,False,4429344777293922388,1784870774427593626,61,1,52,False,61,True,60,False,True,False,False,False,True,True,True,True,1602529533294128110,2123501768080228436,0,1,1
63,8993229949524469768,63,1,False,5921527906642063405,3071702042882406363,62,1,53,False,62,True,61,False,True,False,False,False,False,True,True,True,4381543931097081864,1309841888214675501,1,1,0
64,17799667357578236628,64,0,False,17147141970386739939,652525387191496689,60,4,54,False,63,False,62,False,False,False,False,False,False,True,True,True,8576295320723460820,7923769933531964131,0,0,0
65,30568377312064202855,65,1,False,29361463802237623404,1206913509826579451,61,4,55,False,64,False,63,False,False,False,False,True,True,True,True,True,12121633238354651239,10914719728528071788,2,0,2
66,46346217550346335726,66,0,True,59541461647819170327,23698244049946268631,65,1,56,False,65,True,64,False,True,False,False,False,True,True,True,True,9452729402927232494,22647973500400067095,1,0,0
67,132656943602386256302,67,0,False,85074071435681002769,47582872166705253533,66,1,57,False,66,True,65,False,True,False,False,False,True,True,True,True,58869967307548049838,11287095140842796305,1,2,2
68,219898266213316039825,68,0,False,269498205841612052990,97974012961380399763,67,1,58,False,67,True,66,False,True,False,False,False,False,True,True,True,72324313623639626897,121924253251935640062,1,2,1
69,297274491920375905804,69,1,False,500294442087543331020,92127955012185400640,67,2,59,False,68,False,67,True,False,True,False,False,False,True,True,True,2126586741023079948,205146536908190505164,1,0,2
70,970436974005023690481,70,2,False,922428805196605782052,48008168808417908429,66,4,60,False,69,False,68,False,False,False,False,True,False,True,True,True,380141163646318038769,332132994837900130340,0,1,2
