PUZZLE NUMERIC RATIOS (solved only, through P130)
  height = 2^n - 1
  result = height - d
  complement = N - result

P    n   d/height   result/height   d/LO      result/d    d/d_prev   result/result_prev
P64  64  0.964922   0.035078      1.929844  0.036353   1.979230  2.811640
P65  65  0.828558   0.171442      1.657115  0.206917   1.717357  9.774901
P66  66  0.628108   0.371892      1.256217  0.592082   1.516149  4.338384
P67  67  0.898918   0.101082      1.797837  0.112448   2.862304  0.543608
P68  68  0.745044   0.254956      1.490089  0.342202   1.657646  5.044553
P69  69  0.503603   0.496397      1.007205  0.985693   1.351873  3.893990
P70  70  0.821992   0.178008      1.643984  0.216557   3.264448  0.717199
P75  75  0.596584   0.403416      1.193169  0.676209   23.224922  72.520921
P80  80  0.914465   0.085535      1.828929  0.093536   49.050678  6.784886
P85  85  0.545172   0.454828      1.090344  0.834284   19.077281  170.157886
P90  90  0.701175   0.298825      1.402349  0.426178   41.156908  21.024230
P95  95  0.644363   0.355637      1.288725  0.551921   29.407228  38.083776
P100  100  0.684906   0.315094      1.369812  0.460055   34.013435  28.351952
P105  105  0.716957   0.283043      1.433914  0.394784   33.497488  28.744980
P110  110  0.839895   0.160105      1.679790  0.190625   37.487105  18.100989
P115  115  0.757471   0.242529      1.514942  0.320182   28.859652  48.473959
P120  120  0.691637   0.308363      1.383274  0.445845   29.218787  40.686347
P125  125  0.885160   0.114840      1.770320  0.129739   40.953735  11.917372
P130  130  0.810999   0.189001      1.621997  0.233048   29.318934  52.665067
