n,solved,gap_head2,gap_head3,lhs_tail,rhs_tail,rx_tail,r_source,offset_bits
140,False,11,110,943,962,000,hashkeys RSZ r -> R (puzzle 140 spend tx),"137,138,139"
141,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"138,139"
142,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"139,140"
143,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"140,141"
144,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"141,142"
145,False,62,629,794,962,203,hashkeys RSZ r -> R (puzzle 145 spend tx),"142,143,144"
146,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"143,144"
147,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"144,145"
148,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"145,146"
149,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"146,147"
150,False,10,105,264,962,479,hashkeys RSZ r -> R (puzzle 150 spend tx),"147,148,149"
151,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"148,149"
152,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"149,150"
153,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"150,151"
154,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"151,152"
155,False,69,690,055,962,452,hashkeys RSZ r -> R (puzzle 155 spend tx),"152,153,154"
156,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"153,154"
157,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"154,155"
158,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"155,156"
159,False,52,529,255,962,739,bridge row 3 (no known_k / no RSZ),"156,157"
160,False,73,733,898,962,020,hashkeys RSZ r -> R (puzzle 160 spend tx),"157,158,159"
