puzzle,solved,ID01_H_minus_sqrt_y_eq_frac_Dy,ID04_curve_y2_eq_x3_plus_7,ID05_neg_scalar_same_x,ID06_y_plus_neg_y_eq_p,ID02_band_frac_eq_2_sqrt_d,ID03_band_frac_eq_log2d_minus_n1,S01_d_in_band,S02_complement_eq_height_minus_d,S03_px_is_cube_root_slot,S04_true_slot_index,H06_y_closer_hinge_than_x,H07_x_closer_hinge_than_y,H01_tight_Ex,H02_tight_Ey_plus_y,H03_tight_Ey_minus_y,H05_neg_y_beats_plus_y_on_Ey,H04_tight_Ex_minus_Ed,GZ01_P27_x_offset,GZ02_P27_y_offset,GZ03_P27_yx_offset,GZ01_tight_001,T01_tightest_xd_in_dataset,M01_mirror_sum_mod1,M03_mirror_sum_neg_mod1,M02_combined_mirror_ratio,ALG01_yx_link,L01_lambda_band_Ex_minus_Ed
20,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
21,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES
22,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
23,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
24,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
25,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
26,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
27,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO
28,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
29,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
30,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
31,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
32,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES
33,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
34,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
35,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO
36,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
37,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
38,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
39,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
40,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
41,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO
42,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
43,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
44,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
45,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES
46,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
47,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
48,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
49,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO
50,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
51,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
52,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NA
53,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
54,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
55,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
56,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
57,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
58,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO
59,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO
60,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
61,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES
62,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
63,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
64,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
65,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
66,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
67,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO
68,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
69,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
70,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
75,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES
80,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
85,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
90,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO
95,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO
100,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
105,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
110,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
115,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
120,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
125,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,1,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
130,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,0,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
135,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,YES,NO,YES,YES,NO,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
140,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,YES,NO,NO,NO,YES,YES,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
145,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
150,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,YES,NO,YES,NO,YES,YES,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
155,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,YES,NO,NO,NO,NO,YES,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
160,NO,YES,YES,NA,YES,NA,NA,NA,NA,YES,NA,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA
