n,solved,rsz,bridge_row,lane3,lane5,gap_h2,gap_h3,lhs_tail,rhs_tail,rx_tail,gap,lhs_n,rhs_n,r_source
12,True,True,1,0,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
13,True,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
14,True,True,2,2,4,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
15,True,True,3,0,0,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
16,True,True,2,1,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
17,True,True,1,2,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
18,True,True,1,0,3,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
19,True,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
20,True,True,2,2,0,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
21,True,True,2,0,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
22,True,True,2,1,2,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
23,True,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
24,True,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
25,True,True,1,1,0,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
26,True,True,2,2,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
27,True,True,1,0,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
28,True,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
29,True,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
30,True,True,1,0,0,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
31,True,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
32,True,True,1,2,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
33,True,True,2,0,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
34,True,True,1,1,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
35,True,True,3,2,0,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
36,True,True,2,0,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
37,True,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
38,True,True,2,2,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
39,True,True,1,0,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
40,True,True,2,1,0,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
41,True,True,2,2,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
42,True,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
43,True,True,2,1,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
44,True,True,2,2,4,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
45,True,True,3,0,0,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
46,True,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
47,True,True,1,2,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
48,True,True,2,0,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
49,True,True,1,1,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
50,True,True,3,2,0,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
51,True,True,1,0,1,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
53,True,True,1,2,3,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
54,True,True,2,0,4,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
55,True,True,1,1,0,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
56,True,True,1,2,1,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
57,True,True,2,0,2,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
58,True,True,1,1,3,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
59,True,True,1,2,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
60,True,True,1,0,0,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
61,True,True,2,1,1,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
62,True,True,1,2,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
63,True,True,2,0,3,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
64,True,True,1,1,4,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
65,True,True,,2,0,55,556,292,962,962,55675285724139947964345049873384318848885451531880726567540974120147409218007,99887841593329831535435868953378859726570892684820866702193419345690626459292,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
66,True,True,1,0,1,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
67,True,True,1,1,2,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
68,True,True,1,2,3,29,292,776,962,219,29286685975899721188836330959375323971773258340115146635416820399643287445186,10484352104253862887373602858699946750845521597511542251712409924676586737776,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 1 (no known_k / no RSZ)
69,True,True,2,0,4,14,148,768,962,368,14891216110272241377756063318957640422262002593900921218990858127611733871194,24879821969881342698453870499117630300356777343725767668138372196708140311768,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 2 (no known_k / no RSZ)
70,True,True,,1,0,10,101,760,962,294,101151717615771610008543510134859512852136982387828467327930239941465024950539,54411409701698169491237408691903665723319361828873125941804153524373010726760,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
71,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
72,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
73,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
74,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
75,True,True,,0,0,92,924,873,962,981,92470096445335202085188528936509231413345432541610346327081250133565937898426,63093030872134577414592389890253947162110911675091246942653143332272097778873,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
76,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
77,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
78,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
79,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
80,True,True,,2,0,80,804,268,962,472,80488933318403899442212665304016038423091176760528320284884253189055862812031,75074193999065880057568253522747140152365167456173272984850140276782172865268,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
81,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
82,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
83,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
84,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
85,True,True,,1,0,93,935,384,962,703,93535489516954898010358560444329634002381798723138307449384435149252941769915,62027637800514881489422358382433544573074545493563285820349958316585093907384,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
86,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
87,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
88,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
89,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
90,True,True,,0,0,61,611,532,962,142,61176116988236087723012502065394755776035458818623834752895495633406157635767,94387010329233691776768416761368422799420885398077758516838897832431878041532,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
91,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
92,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
93,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
94,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
95,True,True,,2,0,46,461,066,962,850,46115769281510129696340634376651171832051736347429404567728786708525817902233,109447358035959649803440284450112006743404607869272188702005606757312217775066,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
96,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
97,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
98,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
99,False,True,3,0,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
100,True,True,,1,0,35,355,078,962,660,35502672304563947872668075770353396895710218849971321747067318095021857443884,4268365775589636203541858047721873826908561087655367140061912229298016739078,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
101,False,True,3,2,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
102,False,True,3,0,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
103,False,True,3,1,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
104,False,True,3,2,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
105,True,True,,0,0,42,426,157,962,826,42635726751670142158603399513169263787748329352968964652832840395612848120142,112927400565799637341177519313593914787708014863732628616901553070225187557157,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
106,False,True,3,1,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
107,False,True,3,2,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
108,False,True,3,0,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
109,False,True,3,1,4,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
110,True,True,,2,0,10,101,216,962,400,101444710855369847202816124868943094476880460806915047204363456858939329600083,54118416462099932296964793957820084098575883409786546065370936606898706077216,39771038080153584076209933818075270722618779937626688887129230324319874182962,k*G_gen from known_k (hashkeys RSZ when available)
111,False,True,3,0,1,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
112,False,True,3,1,2,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
113,False,True,3,2,3,52,529,255,962,739,5293597410154139910193700026630175873435457359764659897865122845449990427707,34477440669999444166016233791445094849183322577862028989264107478869883755255,39771038080153584076209933818075270722618779937626688887129230324319874182962,bridge row 3 (no known_k / no RSZ)
