puzzle,source,k_bits,k_mod_2_134,k_plus_2_134,k_mod_2_135_m1,dist_result1,dist_result1_bits,dist_result2,dist_result2_bits,circ_result1_mod_lo,circ_result1_bits,circ_result2_mod_lo,circ_result2_bits,result1_in_band,result2_in_band
55,k_x_map,251,7917522056010268027893139028252937127963,29695593538950329689549113903886102661147,7917591925915778999011739055024583493825,29695593538950329689549083858495610791687,135,7917591925915778999011709009634091624365,133,2021430675613447,51,5990740629587,43,False,False
55,k_y_same,254,20686997732716406310674100652103164172742,42465069215656467972330075527736329705926,20687647033366259117415654469803936474748,42465069215656467972330045482345837836466,135,20687647033366259117415624424413444605288,134,8218987450124110,53,2826032741516648,52,False,False
55,k_y_opp,256,658653363657995694129453357135033214842,22436724846598057355785428232768198748026,22438734001939774380789682029187987135171,22436724846598057355785398187377706878566,135,22438734001939774380789651983797495265711,135,7341910457271910,53,3703109734368849,52,False,False
60,k_x_map,255,9669611065722153454069358647935473141616,31447682548662215115725333523568638674800,31448916286682046912663604624252824583827,31447682548662215115724198482218419178418,135,31448916286682046912662469582902605087445,135,39780235217253454,56,230344843103599915,58,False,False
60,k_y_same,255,3316424273148328280325162072957016404363,25094495756088389941981136948590181937547,25095471783261341214190560248181749833621,25094495756088389941980001907239962441165,135,25095471783261341214189425206831530337239,135,191716137033632307,58,199891586266653655,58,False,False
60,k_y_opp,256,18029226823226073724478391936281180983221,39807298306166135386134366811914346516405,18030909252044692284014776250810173776298,39807298306166135386133231770564127020023,135,18030909252044692284013641209459954279916,134,214632555761292279,58,176975167538993684,58,False,False
65,k_x_map,255,19557104469091198997668975443328772176662,41335175952031260659324950318961937709846,41336040890853273575726381829744411641138,41335175952031260659294381941649873506991,135,41336040890853273575695813452432347438283,135,5043265557582114129,63,2076183222782991563,61,False,False
65,k_y_same,255,1144674452819574964130181766822028032154,22922745935759636625786156642455193565338,1145799869057434418472404001900649954944,22922745935759636625755588265143129362483,135,1145799869057434418441835624588585752089,130,6842506958348201933,63,4853090326690114023,63,False,False
65,k_y_opp,256,20200976643554827040673372242416169355430,41979048126494888702329347118049334888614,41980581166248599079732932497091273654975,41979048126494888702298778740737270685759,135,41980581166248599079702364119779209452120,135,3578545353125978049,62,5567961984784065960,63,False,False
65,rsz_k_Px,255,4399575378030868749267806352742459261994,26177646860970930410923781228375624795178,26178624754802760236061602139051799051416,26177646860970930410893212851063560592323,135,26178624754802760236031033761739734848561,135,5590394559081489469,63,5454304453630815183,63,False,False
65,rsz_k_Py,256,16078400041895863600003723747925447616324,37856471524835925261659698623558613149508,37859069004436209904172363036218766210303,37856471524835925261629130246246548946653,135,37859069004436209904141794658906702007448,135,6741498778836746531,63,5854301303507176600,63,False,False
65,ecdsa_k,255,4904520751853878579542583119397448564829,26682592234793940241198557995030614098013,4905604367016395271255222718689536310066,26682592234793940241167989617718549895158,135,4905604367016395271224654341377472107211,132,2005833979517380618,61,4688317704920142539,63,False,False
70,k_x_map,255,17963765492698793478776003911014333625776,39741836975638855140431978786647499158960,17964641152654375545897399984964378496451,39741836975638855139461541812642475468479,135,17964641152654375544926963010959354805970,134,102903957070488594111,67,147531495212744359634,67,False,False
70,k_y_same,256,9337926014263256100030795500854366765668,31115997497203317761686770376487532298852,9339526580268374949577205565378581347297,31115997497203317760716333402482508608371,135,9339526580268374948606768591373557656816,133,29366899652752356211,65,258812855328160181488,68,False,False
70,k_y_opp,255,12007725082111145904772758508383830621916,33785796565051207566428733384016996155100,33786854455037658548628130933613342262622,33785796565051207565458296410011972464619,135,33786854455037658547657693959608318572141,135,277764922789995417621,68,83084931893302408813,67,False,False
70,rsz_k_Px,252,6961918216419805519860901194960830357205,28739989699359867181516876070593995890389,28740126183396465956898539446974362393739,28739989699359867180546439096588972199908,135,28740126183396465955928102472969338703258,135,195810976919507300380,68,190019158088185852518,68,False,False
70,rsz_k_Py,255,12573084259963043368329576069465054645511,34351155742903105029985550945098220178695,34352190733112698262692746432419528559777,34351155742903105029015113971093196488214,135,34352190733112698261722309458414504869296,135,16285306193388257770,64,96017110297592889936,67,False,False
70,ecdsa_k,255,13796418475710014788250881309212538491022,35574489958650076449906856184845704024206,35575750041608817767648862158210574945281,35574489958650076448936419210840680333725,135,35575750041608817766678425184205551254800,135,17403434593371127395,64,251943499651315581680,68,False,False
75,k_x_map,256,424416747942776057055602124467412702752,22202488230882837718711577000100578235936,427043979248236129277067004521995765741,22202488230882837696173253759110754412569,135,427043979248236106738743763532171942374,129,8011810153099129858073,73,7983912350377962871270,73,False,False
75,k_y_same,254,5223287384854947535839030062208314936912,27001358867795009197495004937841480470096,5223873047512387748989513896567160387293,27001358867795009174956681696851656646729,135,5223873047512387726451190655577336563926,132,8569531980082198929335,73,6877119444827932210986,73,False,False
75,k_y_opp,256,16122363711519454468964523947029882450672,37900435194459516130620498822663047983856,37902507987793645749215822602424763222626,37900435194459516108082175581673224160489,135,37902507987793645726677499361434939399259,135,2373997475573811660009,72,681584940319544941659,70,False,False
75,rsz_k_Px,256,1112357694329485436188143592783631876831,22890429177269547097844118468416797410015,22892068533144504014295537456337560652656,22890429177269547075305795227426973586648,135,22892068533144503991757214215347736829289,135,2655661826352360942376,72,1245169587650264408727,71,False,False
75,rsz_k_Py,251,5148841539906617928961808010777848690788,26926913022846679590617782886411014223972,26926962070315318367374925592807179024298,26926913022846679568079459645421190400605,135,26926962070315318344836602351817355200931,135,4118105721184577145437,72,6411975139180856773027,73,False,False
75,ecdsa_k,253,12299877802018392601677039913242290761343,34077949284958454263333014788875456294527,34078138358177779584252427362740327040879,34077949284958454240794691547885632471160,135,34078138358177779561714104121750503217512,135,7157936950324730511480,73,8709085526805552224616,73,False,False
80,k_x_map,255,9193064817192790673602684133335472446688,30971136300132852335258659008968637979872,30972304459563622013538695285288821199564,30971136300132851229738628419734150040416,135,30972304459563620908018664696054333260108,135,69764818423336210254688,76,261506015897003756306764,78,False,False
80,k_y_same,256,1818625235765762057695080936408509482443,23596696718705823719351055812041675015627,1821278523230128811109936966718847714793,23596696718705822613831025222807187076171,135,1821278523230127705589906377484359775337,131,22563230835388089873483,75,216812631104094654772329,78,False,False
80,k_y_opp,247,19527025860608639947108473072829687905141,41305097343548701608764447948462853438325,41305102512075904687095399532273075895126,41305097343548700503244417359228365498869,135,41305102512075903581575368943038587955670,135,267996655025570558187019,78,142216854513037464267222,77,False,False
80,rsz_k_Px,256,6223995979946739745417170616340993331233,28002067462886801407073145491974158864417,6225898531169788193018081002883381033812,28002067462886800301553114902739670924961,135,6225898531169787087498050413648893094356,133,25088962797207217634977,75,299359628453786866067924,78,False,False
80,rsz_k_Py,256,8550850520533857312372085648169967798067,30328922003473918974028060523803133331251,30331556300261399632118968830531969965551,30328922003473917868508029934568645391795,135,30331556300261398526598938241297482026095,135,272549539097382195361203,78,61446318485306284929937,76,False,False
80,ecdsa_k,256,20252948984069976923226576397219553142918,42031020467010038584882551272852718676102,20254483628001079693504311155599196943040,42031020467010037479362520683618230736646,135,20254483628001078587984280566364709003584,134,161591285547395382384390,78,11585600227645514522944,74,False,False
85,k_x_map,255,15372395756442544767458487855264912188146,37150467239382606429114462730898077721330,37151309804898690620221811240022941051205,37150467239382585338798696319391933294410,135,37151309804898669529906044828516796624285,135,7301341427672386780633270,83,9019113810233788641284707,83,False,False
85,k_y_same,256,7021395113629532835015079839182767670154,28799466596569594496671054714815933203338,28800918206029940975938702727970037847018,28799466596569573406355288303309788776418,135,28800918206029919885622936316463893420098,135,1353651690888406269458462,81,4897289465953096993577026,83,False,False
85,k_y_opp,255,14324255982744869169788474170055429717430,36102327465684930831444449045688595250614,14325462829276092522266633771021885762901,36102327465684909741128682634182450823694,135,14325462829276071431950867359515741335981,134,8286733760024218301710862,83,2035792603182715038675373,81,False,False
85,rsz_k_Px,255,13436409768834425958213782372827222681529,35214481251774487619869757248460388214713,13437597074822999384409406533449497871607,35214481251774466529553990836954243787793,135,13437597074822978294093640121943353444687,134,9669425892597027161500689,83,4783575258161277957584561,82,False,False
85,rsz_k_Py,255,10638625699265013469035917297712604195534,32416697182205075130691892173345769728718,10639844862859698810671422335542058907879,32416697182205054040376125761839625301798,135,10639844862859677720355655924035914480959,133,1474530686711633647341786,81,3684387191347367664239297,82,False,False
85,ecdsa_k,253,16674445284242341874396273406160696133392,38452516767182403536052248281793861666576,38452776213135201518679898014630760240677,38452516767182382445736481870287717239656,135,38452776213135180428364131603124615813757,135,3104268947720546494417768,82,2909842649256040943491709,82,False,False
90,k_x_map,256,6120544928950713762251585233874064601338,27898616411890775423907560109507230134522,27899998526334102501705345226804730434289,27898616411889907411717142383104510585659,135,27899998526333234489514927500402010885426,135,102342635979827657502288699,87,230100787390921142239497522,88,False,False
90,k_y_same,255,15808977903160098630723815895443848905479,37587049386100160292379790771077014438663,15810108044891719084038857166484044323256,37587049386099292280189373044674294889800,135,15810108044890851071848439440081324774393,134,15222352394090637478675128,84,35003654279646401761547257,85,False,False
90,k_y_opp,256,5536673193214303374079738113794348482105,27314744676154365035735712989427514015289,27316272990414314414166479332507879286663,27314744676153497023545295263024794466426,135,27316272990413446401976061606105159737800,135,85577639505009866424813446,87,135803646178746905665035832,87,False,False
90,rsz_k_Px,256,11002895711643184088198325367248022393086,32780967194583245749854300242881187926270,32783581947552351888557230005570340926248,32780967194582377737663882516478468377407,135,32783581947551483876366812279167621377385,135,159131979399797472098956481,88,38162437082589485594727063,85,False,False
90,rsz_k_Py,256,14766489386829925890339084385115405845799,36544560869769987551995059260748571378983,36547079868151153320984233386359769448306,36544560869769119539804641534345851830120,135,36547079868150285308793815659957049899443,135,79942204688207189268365160,87,22863840390408862596610483,85,False,False
90,ecdsa_k,251,13923827688117989793604882417175891621577,35701899171058051455260857292809057154761,35701964106183756872861615395434331396516,35701899171057183443070439566406337605898,135,35701964106182888860671197669031611847653,135,9640577136217646550397194,83,221004112557547047366044699,88,False,False
95,k_x_map,256,10036959178142389035219181851872408583258,31815030661082450696875156727505574116442,10038910384299071438536863085401703351599,31815030661056924864918512613888560368230,135,10038910384273545606580218971784689603387,133,7940092952043850145727870362,93,1559637233085737465419803845,91,False,False
95,k_y_same,256,1432334092134788396393800816993966986348,23210405575074850058049775692627132519532,23212154882247970545389344607505671478767,23210405575049324226093131579010118771320,135,23212154882222444713432700493888657730555,135,5255718540754575952598867336,93,5959740096792779573877451771,93,False,False
95,k_y_opp,255,19913317004239613608409753192244230401236,41691388487179675270065728067877395934420,19914226153058062952815991891486252131152,41691388487154149438109083954260382186208,135,19914226153032537120859347777869238382940,134,8451730686031362703319759584,93,2763727951515992823156559524,92,False,False
95,rsz_k_Px,255,11159919806347767515882221466957634986088,32937991289287829177538196342590800519272,11160893747394096546733275634021890756643,32937991289262303345581552228973786771060,135,11160893747368570714776631520404877008431,134,142837531448856470925267340,87,378596871048296864558686673,89,False,False
95,rsz_k_Py,253,5669956061650442750776740876671337268892,27448027544590504412432715752304502802076,5670206999596590836297946842261322218454,27448027544564978580476071638687489053864,135,5670206999571065004341302728644308470242,133,8816564541148575223024069464,93,4307016800355435296852773346,92,False,False
95,ecdsa_k,256,1172055938807926342545903760801647585584,22950127421747988004201878636434813118768,22951989879180865495137003862571458839492,22950127421722462172245234522817799370556,135,22951989879155339663180359748954445091280,135,7862902102519591927546136772,93,8217675916999491909556933072,93,False,False
100,k_x_map,254,18458399061626912332909545440932475860862,40236470544566973994565520316565641394046,18458985207185722292017222682760791242657,40236470543698752760876193818225262210904,135,18458985206317501058327896184420412059515,134,982617556035041755118186328,90,232120453758672273269942227077,98,False,False
100,k_y_same,255,14774899648926242580311891722133912850064,36552971131866304241967866597767078383248,36554197259635744534198576686118637198900,36552971130998083008278540099426699200106,135,36554197258767523300509250187778258015758,135,105646688089123978109553195414,97,226626450622364833046824916494,98,False,False
100,k_y_opp,256,6570751447448159424491662287104284537520,28348822930388221086147637162737450070704,6572183775670288964006759812873286411019,28348822929519999852458310664397070887562,135,6572183774802067730317433314532907227877,133,166471472082851422471510125194,98,165801666628637388684867986715,98,False,False
100,rsz_k_Px,255,17251684024296322731496033781142739424387,39029755507236384393152008656775904957571,17252908382811801075651689638072697351037,39029755506368163159462682158435525774429,135,17252908381943579841962363139732318167895,134,242933597456114362034478068643,98,158209788325549993650377743529,97,False,False
100,rsz_k_Py,254,21416323767352680472947970595662414980216,43194395250292742134603945471295580513400,21416679176275733675705266212632163914323,43194395249424520900914618972955201330258,135,21416679175407512442015939714291784731181,134,82144310538267233579668775854,97,177424103998189555705795299885,98,False,False
100,ecdsa_k,253,3862498788293764355439660204286104017951,25640570271233826017095635079919269551135,25640848238106933485576805600171154755182,25640570270365604783406308581578890367993,135,25640848237238712251887479101830775572040,135,172939996832208480595536948231,98,79501226190490047067583022664,97,False,False
105,k_x_map,251,17649492884378963265243772751887865901053,39427564367319024926899747627521031434237,17649534497700750227070590494904888121319,39427564338235794781981701920732502241802,135,17649534468617520082152544788116358928884,134,1875650875481676868124802338294,101,8058370606882569064867419022860,103,False,False
105,k_y_same,256,5204409634934017587361803173801421727471,26982481117874079249017778049434587260655,5206972489533260632081922149286255014612,26982481088790849104099732342646058068220,135,5206972460450030487163876442497725822177,132,9111388981922272280411468650244,103,775155845026417568295366227169,100,False,False
105,k_y_opp,252,16141241461440384417441750835436775660113,37919312944380446079097725711069941193297,37919408545772772866123414349705668595307,37919312915297215934179680004281412000862,135,37919408516689542721205368642917139402872,135,9786472953728884375228769803358,103,100071873219805473478065074056,97,False,False
105,rsz_k_Px,256,1416974886521617789683657214486023464701,23195046369461679451339632090119188997885,23196535801370799017094055578057609593209,23195046340378449306421586383330659805450,135,23196535772287568872176009871269080400774,135,5976035318083520955752017832202,103,864089276579638122707750157434,100,False,False
105,rsz_k_Py,253,11380794711139326219469246460766213217931,33158866194079387881125221336399378751115,33159157519305577017702806163390467226007,33158866164996157736207175629610849558680,135,33159157490222346872784760456601938033572,135,6311316452887597072252112838504,103,2665735434747688600368754588580,102,False,False
105,ecdsa_k,249,6360144854077979669912568652563193348783,28138216337018041331568543528196358881967,6360156915173408655918401005188486702909,28138216307934811186650497821407829689532,135,6360156886090178511000355298399957510474,133,5047901087038919453219102786748,102,1890384099699150442770119038646,101,False,False
110,k_x_map,252,17160100985880279485991005083481916592174,38938172468820341147646979959115082125358,38938307246512355663771271649222182024106,38938171378574242993659807411374623173610,135,38938306156266257509784099101481723072358,135,123409551480058967259857024068586,107,98616755909335082842940435755162,107,False,False
110,k_y_same,255,5397683737844864620519315463426727679046,27175755220784926282175290339059893212230,5398736221443467482153719297591648301230,27175754130538828128188117791319434260482,135,5398735131197369328166546749851189349482,132,56435157486819052160020416237566,106,311024622561486332883986244989846,108,False,False
110,k_y_opp,256,15947967358529537384284238545811469708538,37726038841469599045940213421444635241722,37727644813862566016051617201400275308689,37726037751223500891953040873704176289974,135,37727643723616467862064444653659816356941,135,239798630230862251271813526386506,108,14790834843805029452152302365773,104,False,False
110,rsz_k_Px,256,6901065214947852540828277581440745307742,28679136697887914202484252457073910840926,6903027802818654037891323549906570764957,28679135607641816048497079909333451889178,135,6903026712572555883904151002166111813209,133,105974987459195531347041032119782,107,206316712126976069906187651858855,108,False,False
110,rsz_k_Py,253,18453768546496397383361705689126289185461,40231840029436459045017680564759454718645,18453954350428274626166368384505047614105,40231838939190360891030508017018995766897,135,18453953260182176472179195836764588662357,134,217686463411606694524356242934159,108,38367278788889751794221254123947,105,False,False
110,ecdsa_k,256,9772451486828173105737246401340190801082,31550522969768234767393221276973356334266,9774559305726605953759137768460573071372,31550521879522136613406048729232897382518,135,9774558215480507799771965220720114119624,133,78499046069459130205355221542794,106,316911928955399031346567538521032,108,False,False
115,k_x_map,255,19661039616028344894809985747832285472319,41439111098968406556465960623465451005503,41439776398953842072028423429059524543152,41439079634845175982613796349791086578553,135,41439744934830611498176259155385160116202,135,2251689174997937842927830323694457,111,2937676718055563853829894257059818,112,False,False
115,k_y_same,255,17172165479858500612625318382659848824355,38950236962798562274281293258293014357539,17172935903401545919436513868607065476120,38950205498675331700429128984618649930589,135,17172904439278315345584349594932701049170,134,3691689414991212983673106247863133,112,5655297397143535156645596739940690,113,False,False
115,k_y_opp,256,4173485616515901392178235626578348563229,25951557099455963053834210502211514096413,25953445131904487578768822630384858133799,25951525635332732479982046228537149669463,135,25953413667781257004916658356710493706849,135,10216560452932934170986596544626601,113,8589018999054054170162898280176225,113,False,False
115,rsz_k_Px,254,18879688312607960029797051875417285052423,40657759795548021691453026751050450585607,18880072671499996817752489379099445165523,40657728331424791117600862477376086158657,135,18880041207376766243900325105425080738573,134,8548728545133776692265021680201025,113,1706940666725167638549017180413171,111,False,False
115,rsz_k_Py,256,3065716503331409415847885392826051434799,24843787986271471077503860268459216967983,3068027715684829975375970717338339142258,24843756522148240503651695994784852541033,135,3067996251561599401523806443663974715308,132,7589617177634937717232482924166761,113,7347022025408311779105360278728788,113,False,False
115,ecdsa_k,256,20592999308054039331995671486560158232554,42371070790994100993651646362193323765738,20594638486217782844527687364650867954252,42371039326870870419799482088518959338788,135,20594607022094552270675523090976503527302,134,6965170170293733846941419139863844,113,5377526616800735247182669816035206,113,False,False
120,k_x_map,256,17713239783174496834465318968215253864046,39491311266114558496121293843848419397230,17714823458111031958978553376559831378575,39490391922613717515787753332797800632907,135,17713904114610190978645012865509212614252,134,307218158240610247902524601096547765,118,52771217490401607571923316799377812,116,False,False
120,k_y_same,256,16251205093231099432243854262978265784212,38029276576171161093899829138611431317396,38030999534948401198852280693595789226027,38028357232670320113566288627560812553073,135,38030080191447560218518740182545170461704,135,191112738230552275179463529705593999,118,202618043224636804368284394371970056,118,False,False
120,k_y_opp,255,5094446003143302572559699746259931603372,26872517486083364234215674621893097136556,5095381500357632299353055805396134383892,26871598142582523253882134110842478372233,135,5094462156856791319019515294345515619569,132,75020205336032741229419784967576183,116,195863011101236115674735821095032049,118,False,False
120,rsz_k_Px,256,1403450393808561129953605968141385243342,23181521876748622791609580843774550776526,1406084186516159930402228874161597855371,23180602533247781811276040332723932012203,135,1405164843015318950068688363110979091048,131,195514754633903706549008495002951339,118,170851470662872409364300394654874216,118,False,False
120,rsz_k_Py,256,5535046097270927492191573129804772424429,27313117580210989153847548005437937957613,5536963740356451936859175760840846694219,27312198236710148173514007494387319193290,135,5536044396855610956525635249790227929896,133,114006680410724976968076723060982070,117,190205588563654118721156277407229144,118,False,False
120,ecdsa_k_recovered,253,3803768686106123986588016363788675308027,25581840169046185648243991239421840841211,25582151808756601470717150062790381952368,25580920825545344667910450728371222076888,135,25581232465255760490383609551739763188045,135,71953335361306123316146724009288232,116,239686375054516349842676644531822925,118,False,False
125,k_x_map,255,7803376472727424644468892019200323557676,29581447955667486306124866894833489090860,7804506417518913958392006192991902854042,29543797405949743761619092884956173869440,135,7766855867801171413886232183114587632622,133,3034427625773402204884777285796012416,122,4164372417262716127998951077375308782,122,False,False
125,k_y_same,256,13112925252320403135917515657939943037393,34890996735260464797573490533573108570577,34893636247358656763256192226558339433645,34853346185542722253067716523695793349157,135,34855985697640914218750418216681024212225,135,4328775920911597961719825095962811867,122,1689263822719632279018132110731948799,121,False,False
125,k_y_opp,249,8232725844053998868886038351298254350191,30010797326994060530542013226931419883375,8232744787947376734949144272433584176274,29973146777276317986036239217054104661955,135,8195094238229634190443370262556268954854,133,7030840301174547292812850094016540611,123,7049784194552413355918771229346366694,123,False,False
125,rsz_k_Px,255,8750111384272901567513564675402084050519,30528182867212963229169539551035249583703,30529294244046318946618215727919049921326,30490532317495220684663765541157934362283,135,30491643694328576402112441718041734699906,135,7274817793889103241183649914291589461,123,6163440960533385792507473030491251838,123,False,False
125,rsz_k_Py,255,17609239737176159879674044381348192883516,39387311220116221541330019256981358416700,17610021997292872590113319617400539628166,39349660670398478996824245247104043195280,135,17572371447575130045607545607523224406746,134,4511995164969158871556262805843745680,122,5294255281681869310831498858190490330,122,False,False
125,ecdsa_k_recovered,256,19692655903152630818370811449563071220898,41470727386092692480026786325196236754082,19694139571746807274904482356126723312612,41433076836374949935521012315318921532662,135,19656489022029064730398708346249408091192,134,3698663750692008855153860501141787894,122,5182332344868465388824767064793879608,122,False,False
130,k_x_map,256,11761574933252588110207668049847490553380,33539646416192649771863642925480656086564,11763934444516468317713673987491816747345,32435772431239142332235697574336650256987,135,10660060459562960878085728636347810917768,133,231334793170950160248264739113098042789,128,228975281907069952742258801468771848824,128,False,False
130,k_y_same,256,13540396499220007441027035920664736151634,35318467982160069102683010796297901684818,13542306521262171004247577629802121952128,34214593997206561663055065445153895855241,135,12438432536308663564619632278658116122551,134,186357305112715316717604701977074709641,128,188267327154878879938146411114460510135,128,False,False
130,k_y_opp,255,7805254597154394563776518088573461235950,29583326080094456225432492964206626769134,29584074514043862493957758869189801657791,28479452095140948785804547613062620939557,135,28480200529090355054329813518045795828214,135,104266726217882145118919411205908822747,127,103518292268475876593653506222733934090,127,False,False
130,rsz_k_Px,253,3640925700828554370540117308419615602766,25418997183768616032196092184052781135950,3641235793291701642088178667094798285096,24315123198815108592568146832908775306373,135,2537361808338194202460233315950792455519,131,185207219492460776794824902178535918459,128,184897127029313505246763543503353236129,128,False,False
