n,y_d,frac_d,log_pos,h160_hex,checksum,address
16,0.061142831717,0.571960449219,0.652564919611,7025b4efb3ff42eb4d6d71fab6b53b4f4967e3dd,24d10b05,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY
17,0.064640954536,0.462142944336,0.548084361224,b67cb6edeabc0c8b927c9ea327628e7aa63e2d52,f4a7f370,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm
18,0.068750028315,0.515724182129,0.600007248708,ad1e852b08eba53df306ec9daa8c643426953f94,d1c893f1,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE
19,0.072061425595,0.363887786865,0.447724952285,ebfbe6819fcdebab061732ce91df7d586a037dee,7fbb6c04,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w
20,0.077029417469,0.646646499634,0.719530872026,b907c3a2a3b27789dfb509b730dd47703c272868,2e201588,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum
21,0.081206889109,0.727832794189,0.788963611792,29a78213caa9eea824acf08022ab9dfc83414f56,2e64a54e,14oFNXucftsHiUMY8uctg6N487riuyXs4h
22,0.084063026351,0.434089183807,0.520134745822,7ff45303774ef7a52fffd8011981034b258cb86b,ed60bd17,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv
23,0.087565182538,0.334858417511,0.416686729788,d0a79df189fe1ad5c306cc70497b358415da579e,e4ecf0a9,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac
24,0.092900139008,0.720032215118,0.782435585948,0959e80121f36aea13b3bad361c15dac26189e2f,007083b6,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7
25,0.097593945573,0.978010475636,0.984050066697,2f396b29b27324300d0c59b17c3abc1835bd3dbb,7ecd144c,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP
26,0.100393676804,0.625384747982,0.700781261713,bfebb73562d4541b32a02ba664d140b5a574792f,3b74678f,1JVnST957hGztonaWK6FougdtjxzHzRMMg
27,0.104446400496,0.668184116483,0.738278526959,0c7aaf6caa7e5424b63d317f0f8f1f9fa40d5560,c2d01d39,128z5d7nN7PkCuX5qoA4Ys6pmxUYnEy86k
28,0.108445872669,0.696008503437,0.762143403295,1306b9e4ff56513a476841bac7ba48d69516b1da,6cdf6467,12jbtzBb54r97TCwW3G1gCFoumpckRAPdY
29,0.111632731605,0.492756955326,0.577979290797,5a416cc9148f4a377b672c8ae5d3287adaafadec,cec11598,19EEC52krRUK1RkUAEZmQdjTyHT7Gp1TYT
30,0.116970388508,0.924414344132,0.944419458082,d39c4704664e1deb76c9331e637564c257d68a08,0c9d0d88,1LHtnpd8nU5VHEMkG2TMYYNUjjLc992bps
31,0.120974149134,0.958001918159,0.969382178281,d805f6f251f7479ebd853b3d0f4b9b2656d92f1d,576c909d,1LhE6sCTuGae42Axu1L1ZB7L96yi9irEBE
32,0.123150703943,0.440510532819,0.526580209328,9e42601eeaedc244e15f17375adb0e2cd08efdc9,105c322e,1FRoHA9xewq7DjrZ1psWJVeTer8gHRqEvR
33,0.127862340409,0.661814263090,0.732759144628,4e15e5189752d1eaf444dfd6bff399feb0443977,2719f98e,187swFMjz1G54ycVU56B7jZFHFTNVQFDiu
34,0.131712328330,0.645306143560,0.718356052473,f6d67d7983bf70450f295c9cb828daab265f1bfa,eec0c39f,1PWABE7oUahG2AFFQhhvViQovnCr4rEv7Q
35,0.133700781401,0.170723221265,0.227400038686,f6d8ce225ffbdecec170f8298c3fc28ae686df25,c5b6c25a,1PWCx5fovoEaoBowAvF5k91m2Xat9bMgwb
36,0.137902066473,0.233646470937,0.302929017097,74b1e012be1521e5d8d75e745a26ced845ea3d37,ecd3cf56,1Be2UF9NLfyLFbtm3TCbmuocc9N1Kduci1
37,0.142753256792,0.458852211290,0.544833738747,28c30fb9118ed1da72e7c4f89c0164756e8a021d,c9c637f1,14iXhn8bGajVWegZHJ18vJLHhntcpL4dex
38,0.144909163378,0.069358670735,0.096745824716,b190e2d40cfdeee2cee072954a2be89e7ba39364,dae5a137,1HBtApAFA9B2YZw3G2YKSMCtb3dVnjuNe2
39,0.149359287847,0.177704576319,0.235977688802,0b304f2a79a027270276533fe1ed4eff30910876,5d7bc273,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8
40,0.155735919608,0.825631285010,0.868395419757,95a156cd21b4a69de969eb6716864f4c8b82a82a,bb862ecd,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv
41,0.157841317947,0.326272654430,0.407377394423,d1562eb37357f9e6fc41cb2359f4d3eda4032329,b1080555,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E
42,0.161706590349,0.316663907557,0.396887129360,8efb85f9c5b5db2d55973a04128dc7510075ae23,12d5291b,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N
43,0.167002241768,0.684795972284,0.752573892537,f92044c7924e5525c61207972c253c9fc9f086f7,b5eea61e,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1
44,0.171126725016,0.751318650016,0.808441604030,80df54e1f612f2fc5bdc05c9d21a83aa8d20791e,32dcd942,1CkR2uS7LmFwc3T2jV8C1BhWb5mQaoxedF
45,0.172596914362,0.136667326966,0.184810076602,f0225bfc68a6e17e87cd8b5e60ae3be18f120753,a44befe7,1NtiLNGegHWE3Mp9g2JPkgx6wUg4TW7bbk
46,0.177918269265,0.461122290852,0.547076931750,9a012260d01c5113df66c8a8438c9f7a1e3d5dac,8719976e,1F3JRMWudBaj48EhwcHDdpeuy2jwACNxjP
47,0.182679744456,0.700565506925,0.766014580698,f828005d41b0f4fed4c8dca3b06011072cfb07d4,e8eabd94,1Pd8VvT49sHKsmqrQiP61RsVwmXCZ6ay7Z
48,0.185320814368,0.358607269001,0.442128478218,8661cb56d9df0a61f01328b55af7e56a3fe7a2b2,b7a9b97f,1DFYhaB2J9q1LLZJWKTnscPWos9VBqDHzv
49,0.189607474738,0.453482330165,0.539513532886,0d2f533966c6578e1111978ca698f8add7fffdf3,1029d7b8,12CiUhYVTTH33w3SPUBqcpMoqnApAV4WCF
50,0.191869130509,0.085603600202,0.118497410307,de081b76f840e462fa2cdf360173dfaf4a976a47,991af51f,1MEzite4ReNuWaL5Ds17ePKt2dCxWEofwk
51,0.198713686518,0.828554654496,0.870703748688,ef6419cffd7fad7027994354eb8efae223c2dbe7,5379e76f,1NpnQyZ7x24ud82b7WiRNvPm6N8bqGQnaS
52,0.202753772991,0.872500216927,0.904965885818,36af659edbe94453f6344e920d143f1778653ae7,c5a016ae,15z9c9sVpu6fwNiK7dMAFgMYSK4GqsGZim
53,0.205416916702,0.501839535285,0.586730675691,2f4870ef54fa4b048c1365d42594cc7d3d269551,76770c86,15K1YKJMiJ4fpesTVUcByoz334rHmknxmT
54,0.207606091695,0.107386987053,0.147159473916,cb66763cf7fde659869ae7f06884d9a0f879a092,955634d8,1KYUv7nSvXx4642TKeuC2SNdTk326uUpFy
55,0.213820285900,0.667854215396,0.737993190511,db53d9bbd1f3a83b094eeca7dd970bd85b492fa2,a0a886c7,1LzhS3k3e9Ub8i2W1V8xQFdB8n2MYCHPCa
56,0.215998076209,0.227316645332,0.295507509568,48214c5969ae9f43f75070cea1e2cb41d5bdcccd,64b0cb85,17aPYR1m6pVAacXg1PTDDU7XafvK1dxvhi
57,0.222421925138,0.918545307495,0.940012835374,328660ef43f66abe2653fa178452a5dfc594c2a1,18c46811,15c9mPGLku1HuW9LRtBf4jcHVpBUt8txKz
58,0.224502380071,0.387616882345,0.472609298293,8c2a6071f89c90c4dab5ab295d7729d1b54ea60f,bc590c5a,1Dn8NF8qDyyfHMktmuoQLGyjWmZXgvosXf
59,0.229942532962,0.821703844226,0.865288438177,b14ed3146f5b2c9bde1703deae9ef33af8110210,6f661e8f,1HAX2n9Uruu9YDt4cqRgYcvtGvZj1rbUyt
60,0.234286916268,0.968982876430,0.977450564669,cdf8e5c7503a9d22642e3ecfc87817672787b9c5,b99960e4,1Kn5h2qpgw9mWE5jKpk8PP4qvvJ1QVy8su
61,0.235572127848,0.236673560968,0.306464728993,68133e19b2dfb9034edf9830a200cfdf38c90cbd,73f6f920,1AVJKwzs9AskraJLGHAZPiaZcrpDr1U6AB
62,0.241254975384,0.694986400588,0.761273698209,e26646db84b0602f32b34b5a62ca3cae1f91b779,fb2847b3,1Me6EfpwZK5kQziBwBfvLiHjaPGxCKLoJi
63,0.245951347913,0.950095889787,0.963545065677,ef58afb697b094423ce90721fbb19a359ef7c50e,93942037,1NpYjtLira16LfGbGwZJ5JbDPh3ai9bjf4
64,0.249798765949,0.929843801861,0.948484083037,3ee4133d991f52fdf6a25c9834e0745ac74248a4,41544743,16jY7qLJnxb7CHZyqBP8qca9d51gAjyXQN
65,0.252846381927,0.657115054555,0.728673773273,52e763a7ddc1aa4fa811578c491c1bc7fd570137,f87b0e47,18ZMbwUFLMHoZBbfpCjUJQTCMCbktshgpe
66,0.255191739859,0.256216743864,0.329085403975,20d45a6a762535700ce9e0b216e31994335db8a5,ee6612b2,13zb1hQbWVsc2S7ZTZnP2G4undNNpdh5so
67,0.261118211288,0.797836830612,0.846262089624,739437bb3dd6d1983e66629c5f08c70e52769371,72874b1a,1BY8GQbnueYofwSuFAT3USAhGjPrkxDdW9
68,0.263966398934,0.490088612214,0.575398127064,e0b8a2baee1b77fc703455f39d51477451fc8cfc,3444afe6,1MVDYgVaSN6iKKEsbzRUAYFrYJadLYZvvZ
69,0.265665459272,0.007205156139,0.010357573711,61eb8a50c86b0584bb727dd65bed8d2400d6d5aa,cd3204bb,19vkiEajfhuZ8bs8Zu2jgmC6oqZbWqhxhG
70,0.272332798502,0.643984180432,0.717196416464,5db8cda53a6a002db10365967d7f85d19e171b10,46872486,19YZECXj3SxEZMoUeJ1yiPsw8xANe7M7QR
75,0.290057805767,0.193168897562,0.254798276418,badf8b0d34289e679ec65c6c61d3a974353be5cf,a7c37ce9,1J36UjUByGroXcCvmj13U6uwaVv9caEeAt
80,0.311996091572,0.828929472185,0.870999442451,6fe5a36eef0684af0b91f3b6cfc972d68c4f6fab,7234c8a7,1BCf6rHUW6m3iH2ptsvnjgLruAiPQQepLe
85,0.328612433858,0.090343769662,0.124783067658,cd03c1e6268ce9b89e3c3eeab8d0f1b6e8cac281,0742a50b,1Kh22PvXERd2xpTQk3ur6pPEqFeckCJfAr
90,0.349561897544,0.402349326901,0.487845771183,d06b6e206691295ec345782d7ea0686969d8674b,d7d9e963,1L12FHH2FHjvTviyanuiFVfmzCy46RRATU
95,0.368616971250,0.288725177846,0.365944640091,5ed822125365274262191d2b77e88d436dd56d88,78e9ee39,19eVSDuizydXxhohGh8Ki9WY9KsHdSwoQC
100,0.388492099446,0.369811576681,0.453977458088,c7a7b23f6bd98b8aaf527beb724dda9460b1bc6e,479b9232,1KCgMv8fo2TPBpddVi9jqmMmcne9uSNJ5F
105,0.408281087709,0.433913953679,0.519958453381,7c957db6fdd0733bb83bc6d6d747711263ba50b0,67f091ec,1CMjscKB3QW7SDyQ4c3C3DEUHiHRhiZVib
110,0.428704222494,0.679790085749,0.748280958498,0e5f3c406397442996825fd395543514fd06f207,4722e3d1,12JzYkkN76xkwvcPT6AWKZtGX6w2LAgsJg
115,0.447653370969,0.514942427591,0.599262967951,ea0f2b7576bd098921fce9bfebe37f6383e639a4,8d41c649,1NLbHuJebVwUZ1XqDjsAyfTRUPwDQbemfv
120,0.466672216124,0.383274357381,0.468087327694,4b46e10a541aeec6be3fac709c256fb7da69308e,fc7260b8,17s2b9ksz5y7abUm92cHwG8jEPCzK3dLnT
125,0.487593790781,0.770320339942,0.824010439986,f7079256aa027dc437cbb539f955472416725fc8,7e79beec,1PXAyUB8ZoH3WD8n5zoAthYjN15yN5CVq5
130,0.506631918704,0.621997041666,0.697771188249,a24922852051a9002ebf4c864a55acb75bb4cf75,0f21cbff,1Fo65aKq8s8iquMt6weF1rku1moWVEd5Ua
