d,d_bits,tier,tier_prio,offset_bits,gap_obs,k_gap_bits,k_best,ec_hit,source
33782506215934835325505248254799189123861,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col1 + (L3-L2 mod LO)
33790517467822464609597635951184010805542,135,1,1,134,1,133,ky_r1,False,align:matrix track1 col2 + (dy_mod mod LO)
33841304681657828306921953689746500015397,135,1,1,134,1,133,ky_r1,False,align:matrix track2 col2 + (L3-L2 mod LO)
34335701623215524467409557862786822006894,135,1,1,134,1,132,ky_r1,False,align:matrix track1 col2 + (C_minus1 - C_floor)
34335701623215524467409557862786822006895,135,1,1,134,1,132,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (matrix t1 col2-col1)
34335701623215524467409557862786822006896,135,1,1,134,1,132,ky_r1,False,align:matrix track1 col2 + (C_plus1 - C_floor)
34394500088938517448826263297734132898431,135,1,1,134,1,132,ky_r1,False,align:matrix track1 col2 + (matrix t2 col2-col1)
34532101340665446681502797387054569801047,135,1,1,134,1,132,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (matrix t1 col2-col1)
34599069265246980888999803053811154240183,135,1,1,134,1,132,ky_r1,False,align:matrix track0 col2 + (shelf_y - shelf2)
35094314329544631394308031312709054361804,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1) + (d3 residue (shelf3^3 mod LO))
35217418395992143789782817722730415393040,135,1,1,134,1,132,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
35290714046994553608401270836976802155956,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1) + (dy_mod mod LO)
35375972998749094089870521215643873560559,135,1,1,134,1,132,ky_r1,False,align:matrix track1 col2 + (matrix t0 col2-col1)
35413818113442066003876057246998163187192,135,1,1,134,1,132,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (dy_mod mod LO)
35835898202387613466213192748579613357308,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1) + (C_minus1 - C_floor)
35835898202387613466213192748579613357309,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1)
35835898202387613466213192748579613357310,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1) + (C_plus1 - C_floor)
35894696668110606447629898183526924248845,135,1,1,134,1,132,ky_r1,False,align:C_floor (cube1 v1) + (matrix t2 col2-col1)
35959002268835125861687979158600974388544,135,1,1,134,1,132,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (C_minus1 - C_floor)
35959002268835125861687979158600974388546,135,1,1,1,134,132,ky_r1,False,tier1:shelf2-(C_minus1 - C_floor)
36504186424228185719499901070203785589898,135,1,1,129,6,132,ky_r1,False,tier1:shelf2-(dy_mod mod LO)
36700586141678107933593140594471533384050,135,1,1,130,5,132,ky_r1,False,tier1:shelf2-(d3 residue (shelf3^3 mod LO))
40362790218964516020688729814253296055699,135,1,1,132,3,130,ky_r2,False,tier1:shelf2-(L3-L2 mod LO)
40783666913257963842682008087812983462545,135,1,1,132,3,130,kx_r1,False,tier1:shelf2-(cube lift - shelf (dy))
41328851068651023700493929999415794663898,135,1,1,132,3,129,kx_r1,False,tier1:shelf2-(dy residue (shelf_y^3 mod LO))
22076758985630649212211776792619658091343,135,2,2,133,2,134,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (matrix t0 col2-col1)
22103053397932083503726040364239235542895,135,2,2,133,2,134,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (d2))
22115610191387850952114485639167095601603,135,2,2,133,2,134,ky_r1,False,align:C_floor (shelf v0) + (shelf_y - shelf2)
22177263923779145446381803531933788488360,135,2,2,133,2,134,ky_r1,False,align:matrix track0 col2 + (dy residue (shelf_y^3 mod LO))
22273158703080571426305016316887405885495,135,2,2,133,2,134,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (matrix t0 col2-col1)
22334772976041136846784836614469143661918,135,2,2,133,2,134,ky_r1,False,align:matrix track1 col2 + (L3-L1 mod LO)
22722448079172205304193725443536599689713,135,2,2,133,2,134,ky_r1,False,align:matrix track0 col2 + (cube lift - shelf (dy))
23076356848884118918689998050339702657423,135,2,2,133,2,134,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (matrix t1 col2-col1)
23143324773465653126187003717096287096559,135,2,2,133,2,134,ky_r1,False,align:matrix track0 col2 + (L3-L2 mod LO)
23460179224776101426662072715880890734301,135,2,2,133,2,134,ky_r1,False,align:matrix track2 col1 + (shelf_y - shelf2)
23518977690499094408078778150828201625837,135,2,2,133,2,134,ky_r1,False,align:matrix track2 col2 + (shelf_y - shelf2)
23816974914606868354473142799600775823183,135,2,2,133,2,134,ky_r1,False,align:matrix track1 col2 + (cube lift - shelf (d3))
23834969555213225845588471500261935012332,135,2,2,133,2,134,ky_r1,False,align:C_floor (cube1 v1) + (L3-L1 mod LO)
23958073621660738241063257910283296043568,135,2,2,133,2,134,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (L3-L1 mod LO)
24126138400884190769525883369076366673089,135,2,2,133,2,134,ky_r1,False,align:matrix track1 col2 + ((N-GAP) mod LO)
24840796485501587389333690585420037313340,135,2,2,133,2,134,ky_r1,False,align:C_floor (shelf v0) + (L3-L1 mod LO)
24883540702441872268448369724077404828399,135,2,2,133,2,134,ky_r1,False,align:matrix track1 col2 + (cube lift - shelf (d2))
26181859433069451820656725531285487200338,135,2,2,134,1,134,ky_r1,False,tier2:shelf2-(L3-L1 mod LO)
28907045727183188257875930477538428912075,135,2,2,134,1,133,ky_r1,False,tier2:shelf2-(shelf_y - shelf2)
30116401483739604154642758063376766788738,135,2,2,134,1,133,ky_r1,False,koff:k_x_r1:-
41570494997797387011029227977996107335182,135,2,2,133,2,128,kx_r1,False,align:C_floor (shelf v0) + (d2 residue (shelf2^3 mod LO))
41728043509490107485219758655716417619074,135,2,2,133,2,126,kx_r1,False,align:matrix track0 col2 + (L2-L1 mod LO)
41801603053930647568733200253825181988352,135,2,2,133,2,0,kx_r1,False,k:k_x_r1
41803840434911310256182854297322974665351,135,2,2,133,2,0,kx_r2,False,k:k_x_r2
42072975220194159179501626879525213075358,135,2,2,133,2,128,kx_r2,False,align:d_cube_lift3 (1x cube on shelf3) + (d3 residue (shelf3^3 mod LO))
42269374937644081393594866403792960869510,135,2,2,133,2,129,kx_r2,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (d3 residue (shelf3^3 mod LO))
42465774655094003607688105928060708663662,135,2,2,133,2,129,kx_r2,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (dy_mod mod LO)
42814559093037141251406788315395772070862,135,2,2,133,2,130,kx_r2,False,align:d_cube_lift3 (1x cube on shelf3) + (C_minus1 - C_floor)
42814559093037141251406788315395772070863,135,2,2,133,2,130,kx_r2,False,align:shelf3 (LO+(L3-L1 mod LO)) + (cube lift - shelf (d3))
42814559093037141251406788315395772070864,135,2,2,133,2,130,kx_r2,False,align:d_cube_lift3 (1x cube on shelf3) + (C_plus1 - C_floor)
42873357558760134232823493750343082962399,135,2,2,133,2,130,kx_r2,False,align:d_cube_lift3 (1x cube on shelf3) + (matrix t2 col2-col1)
42887854744039551070025241429642158833779,135,2,2,133,2,130,kx_r2,False,align:C_floor (cube1 v1) + (shelf_y - shelf2)
42915064031185637485576815054709902467880,135,2,2,133,2,130,kx_r2,False,align:d_cube_lift2 (1x cube on shelf2) + (dy residue (shelf_y^3 mod LO))
42973862496908630466993520489657213359416,135,2,2,133,2,130,kx_r2,False,align:matrix track2 col2 + (d2 residue (shelf2^3 mod LO))
43010958810487063465500027839663519865014,135,2,2,133,2,130,kx_r2,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (C_minus1 - C_floor)
43010958810487063465500027839663519865015,135,2,2,133,2,130,kx_r2,False,align:shelf2 (LO+(L2-L1 mod LO)) + (shelf_y - shelf2)
43010958810487063465500027839663519865016,135,2,2,133,2,130,kx_r2,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (C_plus1 - C_floor)
43069757276210056446916733274610830756551,135,2,2,133,2,130,kx_r2,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (matrix t2 col2-col1)
43123722579314463666459528884871362920769,135,2,2,133,2,130,kx_r2,False,align:shelf3 (LO+(L3-L1 mod LO)) + ((N-GAP) mod LO)
43460248186578697343388736966312713669233,135,2,2,133,2,131,kx_r2,False,align:d_cube_lift2 (1x cube on shelf2) + (cube lift - shelf (dy))
35959002268835125861687979158600974388545,135,,3,0,135,132,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO))
36017800734558118843104684593548285280081,135,,3,126,9,132,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (matrix t2 col2-col1)
36100141259832992938053250397867156662812,135,,3,127,8,132,ky_r1,False,align:C_floor (shelf v0) + (d3 residue (shelf3^3 mod LO))
36283984183827147703758044647207044398256,135,,3,128,7,132,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
36296540977282915152146489922134904456964,135,,3,128,7,132,ky_r1,False,align:C_floor (shelf v0) + (dy_mod mod LO)
36841725132675975009958411833737715658316,135,,3,130,5,131,ky_r1,False,align:C_floor (shelf v0) + (C_minus1 - C_floor)
36841725132675975009958411833737715658317,135,,3,130,5,131,ky_r1,False,align:C_floor (shelf v0)
36841725132675975009958411833737715658318,135,,3,130,5,131,ky_r1,False,align:C_floor (shelf v0) + (C_plus1 - C_floor)
36876169577921183088674156101436664910973,135,,3,130,5,131,ky_r1,False,align:C_floor (cube1 v1) + (matrix t0 col2-col1)
36900523598398967991375117268685026549853,135,,3,130,5,131,ky_r1,False,align:C_floor (shelf v0) + (matrix t2 col2-col1)
36999273644368695484148942511458025942209,135,,3,130,5,131,ky_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (matrix t0 col2-col1)
37324255559360717326219008000064095951920,135,,3,131,4,131,ky_r1,False,align:matrix track0 col2 + (L3-L1 mod LO)
37444710293221243412600837474580951795510,135,,3,131,4,131,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (dy residue (shelf_y^3 mod LO))
37503508758944236394017542909528262687046,135,,3,131,4,131,ky_r1,False,align:matrix track2 col2 + (d3 residue (shelf3^3 mod LO))
37641110010671165626694076998848699589662,135,,3,131,4,131,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (dy residue (shelf_y^3 mod LO))
37699908476394158608110782433796010481198,135,,3,131,4,131,ky_r1,False,align:matrix track2 col2 + (dy_mod mod LO)
37766186122392879211446350832338676559521,135,,3,131,4,131,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (cube lift - shelf (d3))
37881996508209544632419375186594767211981,135,,3,131,4,131,ky_r1,False,align:C_floor (shelf v0) + (matrix t0 col2-col1)
37989894448614303270412759386183762996863,135,,3,131,4,131,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (cube lift - shelf (dy))
38075349608670201626499091401814267409427,135,,3,131,4,131,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + ((N-GAP) mod LO)
38186294166064225484505998910451510791014,135,,3,131,4,130,ky_r1,False,align:matrix track2 col1 + (C_minus1 - C_floor)
38186294166064225484505998910451510791015,135,,3,131,4,130,ky_r1,False,align:shelf_y (LO+(lambda_yN-L1 mod LO)) + (cube lift - shelf (dy))
38186294166064225484505998910451510791016,135,,3,131,4,130,ky_r1,False,align:matrix track2 col1 + (C_plus1 - C_floor)
38245092631787218465922704345398821682550,135,,3,131,4,130,ky_r1,False,align:matrix track2 col2 + (C_minus1 - C_floor)
38245092631787218465922704345398821682551,135,,3,131,4,130,ky_r1,False,align:matrix track2 col1 + (matrix t2 col2-col1)
38245092631787218465922704345398821682552,135,,3,131,4,130,ky_r1,False,align:matrix track2 col2 + (C_plus1 - C_floor)
38303891097510211447339409780346132574087,135,,3,131,4,130,ky_r1,False,align:matrix track2 col2 + (matrix t2 col2-col1)
38410771142907751092406037659743450403709,135,,3,131,4,130,ky_r1,False,align:d_cube_lift3 (1x cube on shelf3) + (L3-L2 mod LO)
38607170860357673306499277184011198197861,135,,3,131,4,130,ky_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (shelf_y - shelf2)
38806457497926448833907314185195728113185,135,,3,132,3,129,ky_r1,False,align:matrix track0 col2 + (cube lift - shelf (d3))
38832751910227883125421577756815305564737,135,,3,132,3,129,ky_r1,False,align:d_cube_lift2 (1x cube on shelf2) + (cube lift - shelf (d2))
39064471488336936468480374007045213683760,135,,3,132,3,129,ky_r1,False,align:matrix track1 col2 + (d2 residue (shelf2^3 mod LO))
39115620984203771248960054754671318963091,135,,3,132,3,128,ky_r1,False,align:matrix track0 col2 + ((N-GAP) mod LO)
39226565541597795106966962263308562344679,135,,3,132,3,128,ky_r1,False,align:matrix track2 col1 + (matrix t0 col2-col1)
39285364007320788088383667698255873236215,135,,3,132,3,127,ky_r1,False,align:matrix track2 col2 + (matrix t0 col2-col1)
39453718915967245899425488224188689063891,135,,3,132,3,0,ky_r1,False,k:k_y_same_r1
39455943547756286944147207739338130386180,135,,3,132,3,0,ky_r2,False,k:k_y_same_r2
39806055361179918540385535442915772679265,135,,3,132,3,129,ky_r2,False,align:d_cube_lift2 (1x cube on shelf2) + (matrix t1 col2-col1)
39873023285761452747882541109672357118401,135,,3,132,3,129,ky_r2,False,align:matrix track0 col2 + (cube lift - shelf (d2))
40564668067509025467284008892838005034174,135,,3,132,3,130,ky_r2,False,align:C_floor (cube1 v1) + (d2 residue (shelf2^3 mod LO))
40687772133956537862758795302859366065410,135,,3,132,3,130,kx_r1,False,align:shelf2 (LO+(L2-L1 mod LO)) + (d2 residue (shelf2^3 mod LO))
40846326736713488162846498795772824232929,135,,3,132,3,130,kx_r1,False,align:matrix track0 col2 + (matrix t1 col2-col1)
41332357154471409743718482130264139909598,135,,3,132,3,129,kx_r1,False,align:shelf3 (LO+(L3-L1 mod LO)) + (L3-L1 mod LO)
41387658164867462071221606543849367483365,135,,3,132,3,129,kx_r1,False,align:matrix track1 col2 + (shelf_y - shelf2)
