puzzle,d,height,result,complement,d_over_height,result_over_height,d_over_lo,result_over_d,d_over_prev_d,result_over_prev_result
22,3007503,4194303,1186800,115792089237316195423570985008687907852837564279074904382605163141518160307537,0.71704476286048,0.28295523713952,1.434089183807373,0.3946130727051644,1.659986068825741,4.158563634643484
23,5598802,8388607,2789805,115792089237316195423570985008687907852837564279074904382605163141518158704532,0.6674292883192644,0.33257071168073554,1.3348584175109863,0.4982860619111017,1.8616114431141049,2.35069514661274
24,14428676,16777215,2348539,115792089237316195423570985008687907852837564279074904382605163141518159145798,0.8600161588201618,0.13998384117983825,1.7200322151184082,0.16276885003170077,2.5771006011643207,0.8418290884129894
25,33185509,33554431,368922,115792089237316195423570985008687907852837564279074904382605163141518161125415,0.9890052672924181,0.0109947327075819,1.9780104756355286,0.011116960719210303,2.2999691031942224,0.15708574564867775
26,54538862,67108863,12570001,115792089237316195423570985008687907852837564279074904382605163141518148924336,0.8126923861010729,0.18730761389892717,1.6253847479820251,0.23047787465752403,1.6434541353576948,34.07224562373618
27,111949941,134217727,22267786,115792089237316195423570985008687907852837564279074904382605163141518139226551,0.8340920644558375,0.1659079355441625,1.6681841164827347,0.1989084210415082,2.0526636767741873,1.771502325258367
28,227634408,268435455,40801047,115792089237316195423570985008687907852837564279074904382605163141518120693290,0.8480042548775831,0.15199574512241687,1.6960085034370422,0.17923936613308478,2.03335889207838,1.832290242056395
29,400708894,536870911,136162017,115792089237316195423570985008687907852837564279074904382605163141518025332320,0.74637847905304,0.25362152094696,1.4927569553256035,0.3398028320279809,1.7603177723466128,3.3372186993142603
30,1033162084,1073741823,40579739,115792089237316195423570985008687907852837564279074904382605163141518120914598,0.9622071729620986,0.037792827037901454,1.9244143441319466,0.03927722438563667,2.578335793065776,0.29802539573132203
31,2102388551,2147483647,45095096,115792089237316195423570985008687907852837564279074904382605163141518116399241,0.9790009595355955,0.020999040464404525,1.9580019181594253,0.021449458511629802,2.0349068007416347,1.1112712183782159
32,3093472814,4294967295,1201494481,115792089237316195423570985008687907852837564279074904382605163141516959999856,0.7202552665770648,0.27974473342293515,1.4405105328187346,0.3883966510267835,1.4714087044131738,26.643572972990235
33,7137437912,8589934591,1452496679,115792089237316195423570985008687907852837564279074904382605163141516708997658,0.8309071316419759,0.16909286835802403,1.6618142630904913,0.20350393193024527,2.3072573580405806,1.2089083237328662
34,14133072157,17179869183,3046797026,115792089237316195423570985008687907852837564279074904382605163141515114697311,0.8226530718281081,0.17734692817189188,1.6453061435604468,0.21557924506109205,1.9801324132345042,2.0976275333707664
35,20112871792,34359738367,14246866575,115792089237316195423570985008687907852837564279074904382605163141503914627762,0.585361610649426,0.41463838935057395,1.1707232212647796,0.7083457162326647,1.4231068495633663,4.676014336834265
36,42387769980,68719476735,26331706755,115792089237316195423570985008687907852837564279074904382605163141491829787582,0.6168232354774492,0.38317676452255073,1.2336464709369466,0.6212100039097174,2.1074946640320134,1.8482454802522077
37,100251560595,137438953471,37187392876,115792089237316195423570985008687907852837564279074904382605163141480974101461,0.7294261056502687,0.2705738943497314,1.4588522112899227,0.37094078790684387,2.365105799203452,1.4122667103201985
38,146971536592,274877906943,127906370351,115792089237316195423570985008687907852837564279074904382605163141390255123986,0.5346793353693453,0.46532066463065463,1.0693586707348004,0.870279874028086,1.4660274186228492,3.439508942654278
39,323724968937,549755813887,226030844950,115792089237316195423570985008687907852837564279074904382605163141292130649387,0.5888522881606857,0.4111477118393143,1.177704576319229,0.698218755544889,2.2026371666486413,1.7671586202448504
40,1003651412950,1099511627775,95860214825,115792089237316195423570985008687907852837564279074904382605163141422301279512,0.9128156425057685,0.0871843574942315,1.8256312850098766,0.09551146303201147,3.100321288918929,0.4241023602163905
41,1458252205147,2199023255551,740771050404,115792089237316195423570985008687907852837564279074904382605163140777390443933,0.6631363272152444,0.3368636727847556,1.3262726544298857,0.5079855513260315,1.452946896035155,7.727617257653063
42,2895374552463,4398046511103,1502671958640,115792089237316195423570985008687907852837564279074904382605163140015489535697,0.6583319537784651,0.34166804622153485,1.3166639075566309,0.5189905248568709,1.9855101485487758,2.0285241409211068
43,7409811047825,8796093022207,1386281974382,115792089237316195423570985008687907852837564279074904382605163140131879519955,0.8423979861420142,0.15760201385798583,1.6847959722838368,0.1870873582922084,2.559189118216749,0.922544648824525
44,15404761757071,17592186044415,2187424287344,115792089237316195423570985008687907852837564279074904382605163139330737206993,0.8756593250081934,0.12434067499180652,1.7513186500162874,0.14199663206994692,2.0789682297759478,1.577907184661437
45,19996463086597,35184372088831,15187909002234,115792089237316195423570985008687907852837564279074904382605163126330252492103,0.5683336634830757,0.43166633651692426,1.1366673269661192,0.7595297696628149,1.298070259179331,6.943284432795323
46,51408670348612,70368744177663,18960073829051,115792089237316195423570985008687907852837564279074904382605163122558087665286,0.7305611454258487,0.26943885457415134,1.4611222908516766,0.3688108192738525,2.570888167871528,1.2483663041609052
47,119666659114170,140737488355327,21070829241157,115792089237316195423570985008687907852837564279074904382605163120447332253180,0.8502827534625428,0.14971724653745716,1.7005655069250736,0.17607936410302905,2.3277524647629972,1.1113263287441348
48,191206974700443,281474976710655,90268002010212,115792089237316195423570985008687907852837564279074904382605163051250159484125,0.6793036345003276,0.32069636549967245,1.3586072690006503,0.47209575985202207,1.597829972992049,4.2840270298377385
49,409118905032525,562949953421311,153831048388786,115792089237316195423570985008687907852837564279074904382605162987687113105551,0.7267411650824687,0.2732588349175314,1.4534823301649347,0.3760057198445924,2.1396651752556446,1.704159225451596
50,611140496167764,1125899906842623,514759410674859,115792089237316195423570985008687907852837564279074904382605162626758750819478,0.5428018001010355,0.45719819989896443,1.0856036002020701,0.842293079746351,1.4937967633619333,3.346264723970925
51,2058769515153876,2251799813685247,193030298531371,115792089237316195423570985008687907852837564279074904382605162948487862962966,0.9142773272480818,0.08572267275191829,1.8285546544961626,0.09376003341342636,3.3687335859162633,0.37499129598875086
52,4216495639600700,4503599627370495,287103987769795,115792089237316195423570985008687907852837564279074904382605162854414173724542,0.9362501084632548,0.06374989153674517,1.8725002169265093,0.06809066398014432,2.0480658998321877,1.4873519336299181
53,6763683971478124,9007199254740991,2243515283262867,115792089237316195423570985008687907852837564279074904382605160898002878231470,0.7509197676423135,0.24908023235768653,1.5018395352846268,0.33170019367013287,1.6041007864337888,7.814295094576522
54,9974455244496707,18014398509481983,8039943264985276,115792089237316195423570985008687907852837564279074904382605155101574896509061,0.5536934935266695,0.4463065064733305,1.107386987053339,0.8060533701247719,1.4747074651267165,3.583636503377123
55,30045390491869460,36028797018963967,5983406527094507,115792089237316195423570985008687907852837564279074904382605157158111634399830,0.8339271076981808,0.16607289230181918,1.6678542153963616,0.1991455737183269,3.012233726593406,0.7442100435152094
56,44218742292676575,72057594037927935,27838851745251360,115792089237316195423570985008687907852837564279074904382605135302666416242977,0.6136583226661965,0.38634167733380353,1.227316645332393,0.6295713152805339,1.4717313228011646,4.65267596630605
57,138245758910846492,144115188075855871,5869429165009379,115792089237316195423570985008687907852837564279074904382605157272088996484958,0.9592726537475011,0.040727346252498874,1.9185453074950023,0.04245648626945962,3.126406400159927,0.21083589289958996
58,199976667976342049,288230376151711743,88253708175369694,115792089237316195423570985008687907852837564279074904382605074887809986124643,0.6938084411723598,0.30619155882764015,1.3876168823447197,0.4413200253232063,1.4465302194572587,15.036165476107023
59,525070384258266191,576460752303423487,51390368045157296,115792089237316195423570985008687907852837564279074904382605111751150116337041,0.9108519221129773,0.0891480778870227,1.8217038442259545,0.09787329391611607,2.625658230891135,0.58230264889311
60,1135041350219496382,1152921504606846975,17880154387350593,115792089237316195423570985008687907852837564279074904382605145261363774143744,0.9844914382150866,0.01550856178491339,1.9689828764301731,0.01575286608183296,2.161693716210823,0.3479281248120095
61,1425787542618654982,2305843009213693951,880055466595038969,115792089237316195423570985008687907852837564279074904382604283086051566455368,0.6183367804839658,0.3816632195160342,1.2366735609679316,0.6172416578831206,1.256154713960803,49.21967940151785
62,3908372542507822062,4611686018427387903,703313475919565841,115792089237316195423570985008687907852837564279074904382604459828042241928496,0.847493200293935,0.15250679970606495,1.69498640058787,0.17995046998981373,2.74120261657607,0.7991694871696062
63,8993229949524469768,9223372036854775807,230142087330306039,115792089237316195423570985008687907852837564279074904382604932999430831188298,0.9750479448936133,0.02495205510638665,1.9500958897872267,0.025590592992951897,2.301016561679642,0.32722547656207024
64,17799667357578236628,18446744073709551615,647076716131314987,115792089237316195423570985008687907852837564279074904382604516064802030179350,0.9649219009302821,0.035078099069717886,1.9298438018605641,0.036353303864177046,1.9792296491339487,2.8116400769521714
65,30568377312064202855,36893488147419103231,6325110835354900376,115792089237316195423570985008687907852837564279074904382598838030682806593961,0.8285575272774154,0.17144247272258467,1.6571150545548308,0.20691680067880522,1.7173566616709648,9.774900993457026
66,46346217550346335726,73786976294838206463,27440758744491870737,115792089237316195423570985008687907852837564279074904382577722382773669623600,0.6281083719321414,0.37189162806785864,1.2562167438642828,0.5920819474573672,1.5161490934638262,4.338383857419342
67,132656943602386256302,147573952589676412927,14917008987290156625,115792089237316195423570985008687907852837564279074904382590246132530871337712,0.8989184153062139,0.10108158469378614,1.7978368306124277,0.11244800748614434,2.862303562492015,0.5436077451861427
68,219898266213316039825,295147905179352825855,75249638966036786030,115792089237316195423570985008687907852837564279074904382529913502552124708307,0.7450443061071033,0.25495569389289674,1.4900886122142065,0.3422020567139879,1.657646107635488,5.044552767257314
69,297274491920375905804,590295810358705651711,293021318438329745907,115792089237316195423570985008687907852837564279074904382312141823079831748430,0.5036025780696813,0.4963974219303186,1.0072051561393627,0.9856927735219698,1.351872832103186,3.893989691705792
70,970436974005023690481,1180591620717411303423,210154646712387612942,115792089237316195423570985008687907852837564279074904382395008494805773881395,0.82199209021602,0.17800790978397993,1.64398418043204,0.21655671861416495,3.2644475068683403,0.7171991711470559
75,22538323240989823823367,37778931862957161709567,15240608621967337886200,115792089237316195423570985008687907852837564279074904367364554519550823608137,0.5965844487808033,0.4034155512191967,1.1931688975616066,0.6762086273680584,23.22492222032046,72.52092142804366
80,1105520030589234487939456,1208925819614629174706175,103405789025394686766719,115792089237316195423570985008687907852837564279074904279199374116123474727618,0.9144647360924448,0.08553526390755513,1.8289294721848897,0.09353588009642858,49.050677761984346,6.7848858001870616
85,21090315766411506144426920,38685626227668133590597631,17595310461256627446170711,115792089237316195423570985008687907852837564279074886787294701884890715323626,0.5451718848311577,0.4548281151688423,1.0903437696623155,0.8342838796789835,19.077280540245404,170.15788600515896
90,868012190417726402719548863,1237940039285380274899124223,369927848867653872179575360,115792089237316195423570985008687907852837564279074534454756295487645981918977,0.7011746634504201,0.2988253365495799,1.4023493269008402,0.42617817232454763,41.156908224206155,21.024229704966185
95,25525831956644113617013748212,39614081257132168796771975167,14088249300488055179758226955,115792089237316195423570985008687907852837564279060816133304675086338403267382,0.6443625889228066,0.3556374110771934,1.2887251778456132,0.5519212586064615,29.407227500295747,38.08377591363308
100,868221233689326498340379183142,1267650600228229401496703205375,399429366538902903156324022233,115792089237316195423570985008687907852837564278675475016066260238361837472104,0.6849057883402657,0.3150942116597343,1.3698115766805314,0.4600548236324634,34.01343529817203,28.351951901153935
105,29083230144918045706788529192435,40564819207303340847894502572031,11481589062385295141105973379596,115792089237316195423570985008687907852837564267593315320219868000412188114741,0.7169569768397208,0.28304302316027913,1.4339139536794416,0.39478383264768024,33.49748775589705,28.744979774207543
110,1090246098153987172547740458951748,1298074214633706907132624082305023,207828116479719734584883623353275,115792089237316195423570985008687907852837564071246787902885428556634538141062,0.8398950428744437,0.16010495712555625,1.6797900857488874,0.19062495782522482,37.48710486151054,18.100988926749093
115,31464123230573852164273674364426950,41538374868278621028243970633760767,10074251637704768863970296269333817,115792089237316195423570985008687907852837554204823266677836299171221892160520,0.757471213795653,0.24252878620434706,1.514942427591306,0.32018218222319844,28.859652223336678,48.473959194485765
120,919343500840980333540511050618764323,1329227995784915872903807060280344575,409884494943935539363296009661580252,115792089237316195423570985008687907852837154394579960447065799845508499914085,0.6916371786904046,0.3083628213095953,1.3832743573808093,0.44584477354654584,29.21878655584623,40.68634670687262
125,37650549717742544505774009877315221420,42535295865117307932921825928971026431,4884746147374763427147816051655805011,115792089237316195423570985008687907852832679532927529619178015325466505689326,0.8851601699712006,0.11483983002879936,1.7703203399424012,0.12973903924363853,40.95373457614184,11.917372351552123
130,1103873984953507439627945351144005829577,1361129467683753853853498429727072845823,257255482730246414225553078583067016246,115792089237316195423570985008687907852580308796344657968379610062935094478091,0.8109985208328343,0.18900147916716575,1.6219970416656686,0.23304787162013008,29.31893407211834,52.66506691826855
