puzzle,d,d_bits,kx,ky,kx_r1,kx_r1_dist,kx_r1_dist_bits,kx_r2,kx_r2_dist,kx_r2_dist_bits,ky_r1,ky_r1_dist,ky_r1_dist_bits,ky_r2,ky_r2_dist,ky_r2_dist_bits,best,best_dist,best_dist_bits,gap_n_minus_best
60,1135041350219496382,60,53736869574235594302296006619097500138193782845772255510902963345688985978736,42511979083649417611373298060223905937295069493281881522386731145052802576779,1095261115002242928,39780235217253454,56,1009105008747873724,125936341471622658,57,943325213185864075,191716137033632307,58,1045606967919683329,89434382299813053,57,kx_r1,39780235217253454,56,4
65,30568377312064202855,65,37673398988334528687835745279910193677075780911229433434269030817121461697302,49018790552329343986095801564409243829249305977518036246941660073385289758874,25525111754482088726,5043265557582114129,63,27877559366854764136,2690817945209438719,62,23725870353716000922,6842506958348201933,63,27156088395648183408,3412288916416019447,62,kx_r2,2690817945209438719,62,3
70,970436974005023690481,70,38140370214828754079951490577296524655597763936958298833673492204335735584176,69714481745284228131367505971470660781765423066128907067708275962760919319140,1073340931075512284592,102903957070488594111,67,610336120133601223217,360100853871422467264,69,999803873657776046692,29366899652752356211,65,775075960174141771288,195361013830881919193,68,ky_r1,29366899652752356211,65,5
75,22538323240989823823367,75,114432062345054778325020168343629944963451265874200857576289789074959496156704,25509206437243200286952936647398133443329965597952942952611621566485276823120,30550133394088953681440,8011810153099129858073,73,23738107066965923839462,1199783825976100016095,71,32858257192386205748816,10319933951396381925449,74,28993277755789862141864,6454954514800038318497,73,kx_r2,1199783825976100016095,71,4
80,1105520030589234487939456,80,50880519173545251512682561527478904029884419320665630106634659602678614498528,115566968127535875111211614560217335687338531890577037460805437182944164087243,1175284849012570698194144,69764818423336210254688,76,637777148328016338559903,467742882261218149379553,79,1128083261424622577812939,22563230835388089873483,75,640535966965081991472918,464984063624152496466538,79,ky_r1,22563230835388089873483,75,5
85,21090315766411506144426920,85,36698904076683596410177391850488903012033970989821955913891402963766179865330,63226509185475344758476569512866349733594882775116910387199959262371004957578,33131787452573186159092466,12041471686161680014665546,84,36509424852073838013381608,15419109085662331868954688,84,19736664075523099874968458,1353651690888406269458462,81,21501282597049383903431944,410966830637877759005024,79,ky_r2,410966830637877759005024,79,6
90,868012190417726402719548863,90,60199574288762021973064402503301138829638160015473359958011785264252002070778,49224614834167789804693101280541068689427626823173585538665301630099522929415,970354826397554060221837562,102342635979827657502288699,87,1166910651435848870076114273,298898461018122467356565410,88,852789838023635765240873735,15222352394090637478675128,84,836260342254900139537246378,31751848162826263182302485,85,ky_r1,15222352394090637478675128,84,6
95,25525831956644113617013748212,95,84987014316364251051800173638344686923176025663473964362755526762134464838746,76193073323675557775436393453782686298980833959940243961233078388517564028012,37392779633166347869671865434,11866947676522234252658117222,94,26056826925159534912100328297,530994968515421295086580085,89,20270113415889537664414880876,5255718540754575952598867336,93,36276496859835451391383574658,10750664903191337774369826446,94,kx_r2,530994968515421295086580085,89,6
100,868221233689326498340379183142,100,25530239758342274536958135247602394851133071996971938770029978096411879831422,53405396420177070079432229809158241277817893260216292150990323897435367575184,869203851245361540095497369470,982617556035041755118186328,90,1108500118544233229165029110110,240278884854906730824649926968,98,762574545600202520230825987728,105646688089123978109553195414,97,1065971902855569467995974394934,197750669166242969655595211792,98,kx_r1,982617556035041755118186328,90,10
105,29083230144918045706788529192435,105,1812515793038083456936376254524045542056399966926176394396140017282626514941,111628061325393464718441611685203201955849043958269354175215554239766693701359,27207579269436368838663726854141,1875650875481676868124802338294,101,21964812322154143304666662584856,7118417822763902402121866607579,103,40254250766647443850324311828207,11171020621729398143535782635772,104,23688726437244318730562340076064,5394503707673726976226189116371,103,kx_r1,1875650875481676868124802338294,101,4
110,1090246098153987172547740458951748,110,5870396421995624155150694029368213241992790805670753753115703868574750232622,45842126089990230968740634167210777091513546640873871586674331731765484786758,1213655649634046139807597483020334,123409551480058967259857024068586,107,1175149665973747060099733051307149,84903567819759887551992592355401,107,1033810940667168120387720042714182,56435157486819052160020416237566,106,1128326526173166729613907233741918,38080428019179557066166774790170,105,ky_r2,38080428019179557066166774790170,105,5
115,31464123230573852164273674364426950,115,28977901280827279661293245674495843888794644326455119654967317045533816694335,33556677985161282669781650882463541781841176023925776782000948323758808163875,33715812405571790007201504688121407,2251689174997937842927830323694457,111,23752167617943451548953032387470030,7711955612630400615320641976956920,113,35155812645565065147946780612290083,3691689414991212983673106247863133,112,32424647730113473438878641777931936,960524499539621274604967413504986,110,ky_r2,960524499539621274604967413504986,110,5
120,919343500840980333540511050618764323,120,68978771947205014290703059308952685046655513708939411462146638282158837124718,75045438825788015645538510636874019323204594993713180974064857385079972339604,1276739340492828022089889979662388846,357395839651847688549378929043624523,119,746876284552283649651084690725935868,172467216288696683889426359892828455,118,728230762610428058361047520913170324,191112738230552275179463529705593999,118,1011550397852724274613696613507740992,92206897011743941073185562888976669,117,ky_r2,92206897011743941073185562888976669,117,3
125,37650549717742544505774009877315221420,125,49216036881660163269970574769535136603979237445246763729924388665188210776364,114966966309019471449911577383309938319646731959891817197146667637138536667601,40684977343515946710658787163111233836,3034427625773402204884777285796012416,122,28027807537847435824222536693607485950,9622742179895108681551473183707735470,123,33321773796830946544054184781352409553,4328775920911597961719825095962811867,122,35190874910454751890051855168096013636,2459674807287792615722154709219207784,121,ky_r2,2459674807287792615722154709219207784,121,4
130,1103873984953507439627945351144005829577,130,102771209939170819660418943231140050919220349445823695712720229908380746622500,83193193136458472495078580205572636852464026573937712015247262576053057337426,872539191782557279379680612030907786788,231334793170950160248264739113098042789,128,948043552226723919571870616649345993676,155830432726783520056074734494659835901,127,1290231290066222756345550053121080539218,186357305112715316717604701977074709641,128,1351351995415456779402884745517426155035,247478010461949339774939394373420325458,128,kx_r2,155830432726783520056074734494659835901,127,3
135,,,,,41801603053930647568733200253825181988352,,,41803840434911310256182854297322974665351,,,39453718915967245899425488224188689063891,,,39455943547756286944147207739338130386180,,,OPEN,,,
