n,d,d_hex,offset,gap_tail,gap_head2,gap_head3,px_tail,py_tail,ec_hit
140,1062762077429699383173110539427902504685929,00000000000000000000000000000c332d52de3c17535f21e19f7cbbb4d1d169,348693059347228016212254273722116299913064,714,11,111,512,006,False
140,1062782984482858271426746997346072703375825,00000000000000000000000000000c333d0d6b8a2d8b44fd4fc232cdcc4599d1,348713966400386904465890731640286498602960,357,11,115,282,443,False
140,1062835252115755492060838142141498200100565,00000000000000000000000000000c33645fcccd651703a1e318f9fb06e70ed5,348766234033284125099981876435711995327700,530,11,118,077,588,False
140,1062852674660054565605535190406640032342145,00000000000000000000000000000c33717b428e779aedd8bee091b4c51ce081,348783656577583198644678924700853827569280,079,11,113,630,434,False
140,1062864870441063917086823124192239314911251,00000000000000000000000000000c337aa814fc0490de98bf1f7be9fd75c013,348795852358592550125966858486453110138386,162,11,112,347,144,False
140,1062880550730933083277050467630866963928673,00000000000000000000000000000c338673fef6953acafd51b984778f0c9661,348811532648461716316194201925080759155808,893,11,113,322,247,False
140,1062885777494222805340459582110409513601147,00000000000000000000000000000c338a62a24a1ac8c4742d4231fc14e9887b,348816759411751438379603316404623308828282,132,11,110,692,919,False
140,1062920622582820952429853678640693178084307,00000000000000000000000000000c33a4998dcc3fd098e1e4d1616f91552bd3,348851604500349585468997412934906973311442,649,11,113,847,305,False
140,1062925849346110674493262793120235727756781,00000000000000000000000000000c33a888311fc55e9258c05a0ef417321ded,348856831263639307532406527414449522983916,758,11,113,381,786,False
140,1062950240908129377455838660691434292894993,00000000000000000000000000000c33bae1d5fadf4a73d8c0d7e35e87e3dd11,348881222825658010494982394985648088122128,340,11,110,630,060,False
140,1062962436689138728937126594477033575464099,00000000000000000000000000000c33c40ea8686c406498c116cd93c03cbca3,348893418606667361976270328771247370691234,436,11,111,543,482,False
140,1063046064901774281951672426149714370223683,00000000000000000000000000000c3402f8dda0c51ffc0679a1a5dc1e0bde43,348977046819302914990816160443928165450818,205,11,119,701,500,False
140,1063103559297961224649172685424682416620897,00000000000000000000000000000c342e39e2378239b421e8811a8dde8a4561,349034541215489857688316419718896211848032,469,11,119,730,549,False
140,1063122724096690205548339438516338432086635,00000000000000000000000000000c343ca4e3bf16979c2b0d764173c95f126b,349053706014218838587483172810552227313770,284,11,112,854,308,False
140,1063260362196652886551446119810958906795117,00000000000000000000000000000c34a431060128dcf00fa28570158e6ea46d,349191344114181519590589854105172702022252,715,11,118,685,051,False
140,1063276042486522052741673463249586555812539,00000000000000000000000000000c34affceffbb986dc74351f78a320057abb,349207024404050685780817197543800351039674,608,11,110,201,510,False
140,1063350959427008068983870770789696434451333,00000000000000000000000000000c34e8596a5389247ec67fc6850e9eb9b385,349281941344536702023014505083910229678468,089,11,110,329,706,False
145,40761572556935954541697696391909227800509984,0000000000000000000000000001d3eb7ee4c58732a9dec4e9c3fb3589bf3e20,11151208881391667100913317453050988700586408,868,62,621,387,009,False
145,40761962821928253789098910273048404842721544,0000000000000000000000000001d3eca47f1338d167f6c4f1a141dc94db3108,11151599146383966348314531334190165742797968,575,62,628,331,551,False
145,40764025651173264096791040787641197780125504,0000000000000000000000000001d3f2b4658951619de35764576e2af425c740,11153661975628976656006661848782958680201928,607,62,620,460,895,False
145,40765307950433675909680743539955636633106344,0000000000000000000000000001d3f679176406b4579fe9c7530d2b3d3877a8,11154944274889388468896364601097397533182768,883,62,623,730,278,False
145,40765586711142461086395896312197905948971744,0000000000000000000000000001d3f74acec017dc96435783cc88c7209592e0,11155223035598173645611517373339666849048168,217,62,620,578,842,False
145,40767315027536929182029843500099975707337224,0000000000000000000000000001d3fc5f0c614f094dd233145753f408a3a208,11156951351992641741245464561241736607413648,900,62,621,530,704,False
145,40767705292529228429431057381239152749548784,0000000000000000000000000001d3fd84a6af00a80bea331c349a9b13bf94f0,11157341616984940988646678442380913649625208,788,62,623,126,244,False
145,40767928301096256570803179599032968202241104,0000000000000000000000000001d3fe2c6c9241950ad357b2fc30b1633d4450,11157564625551969130018800660174729102317528,380,62,620,364,212,False
145,40772221216011548292216532291563915666568264,0000000000000000000000000001d40aca0de8e36735db58097e39dedd70b448,11161857540467260851432153352705676566644688,145,62,626,040,961,False
145,40781085806550916911758390448868079911087984,0000000000000000000000000001d424d707f23833ca8ec672fbc7d5b534af70,11170722131006629470974011510009840811164408,781,62,622,143,755,False
145,40783650405071740537537795953496957617049664,0000000000000000000000000001d42c606ba7a2d93e07eb38f305d6475a1040,11173286729527453096753417014638718517126088,478,62,624,292,062,False
145,40788166328554060400323270863821720534069144,0000000000000000000000000001d439a5d2e1859867f910263ca51a110b2f98,11177802653009772959538891924963481434145568,646,62,621,830,094,False
145,40789392875672715177869943061687705523876904,0000000000000000000000000001d43d4093436aafe1fb5963865e94c63e7428,11179029200128427737085564122829466423953328,331,62,622,144,191,False
145,40807791082452536841070026029677480370993304,0000000000000000000000000001d47351d8ffd710081da3fad83cc5643f7898,11197427406908249400285647090819241271069728,148,62,629,738,257,False
145,40809129133854705689302759336440373087147224,0000000000000000000000000001d477407c535c9e01947f8385c14b413194d8,11198765458310418248518380397582133987223648,532,62,622,596,632,False
145,40821952126458823818199786859584761616955624,0000000000000000000000000001d49cef6ede71d942f2376159f74e1bec78e8,11211588450914536377415407920726522517032048,820,62,624,815,032,False
145,40829813178446565801567095036816756324359904,0000000000000000000000000001d4b4096e69227b5c8c81245561e08dfadee0,11219449502902278360782716097958517224436328,158,62,626,703,763,False
145,40839179538261747739196228184157005337437344,0000000000000000000000000001d4cf8fe5b1c95d2ecc81e11401899899a4a0,11228815862717460298411849245298766237513768,228,62,624,469,638,False
145,40841576880357300258946542025440521453879784,0000000000000000000000000001d4d69b74fcc350e316cb35f58ef96f20c1e8,11231213204813012818162163086582282353956208,554,62,620,039,660,False
145,40842580418908926895121092005512690990995224,0000000000000000000000000001d4d98e6f7b677b5e2fefdc77b25dd4d65718,11232216743364639454336713066654451891071648,713,62,625,385,611,False
145,40846427316690162333790200262456007549937744,0000000000000000000000000001d4e4dc850b87738b65a7056a8f5eb00e6850,11236063641145874893005821323597768450014168,982,62,622,477,282,False
145,40850441470896668878488400182744685698399504,0000000000000000000000000001d4f0a86f06181d77ca399f731cf046e4bd10,11240077795352381437704021243886446598475928,732,62,627,676,219,False
145,40862539685657945547926030498059174006957864,0000000000000000000000000001d514361e6e9a567cb23a933eab2a9f472728,11252176010113658107141651559200934907034288,270,62,626,942,358,False
145,40865215788462283244391497111584959439265704,0000000000000000000000000001d51c136515a5726f9ff1a499b436592b5fa8,11254852112917995803607118172726720339342128,406,62,629,052,421,False
145,40871738789047856379526071982054061430516064,0000000000000000000000000001d52f3ec14cd0868fc35fdee79a42ee47a960,11261375113503568938741693043195822330592488,897,62,620,694,473,False
150,943859236007508642916566423558770413937991166,000000000000000000000000002a52f8ffef54fe37ea26cd7a7c706dd1c19dfe,-356822627587707321050433358816476925824918172,730,10,105,843,116,False
150,943855667870436192654612468074069366694913994,000000000000000000000000002a52ee839120ef67fb94840e030f08d9e6a7ca,-356826195724779771312387314301177973067995344,352,10,105,563,610,False
150,943852099733363742392658512589368319451836822,000000000000000000000000002a52e40732ece0980d023aa189ada3e20bb196,-356829763861852221574341269785879020311072516,601,10,106,047,028,False
150,943830690910929040820934779681162035993373790,000000000000000000000000002a52a51cfdb487b875948216b1654612e9ec5e,-356851172684286923146065002694085303769535548,818,10,104,226,195,False
150,943821770568247915166049890969409417885680860,000000000000000000000000002a528ae6123262b0a126ca8781f1c9a74684dc,-356860093026968048800949891405837921877228478,284,10,108,740,219,False
150,943814634294103014642141980000007323399526516,000000000000000000000000002a5275ed55ca4510c40237ae8f2effb7909874,-356867229301112949324857802375240016363382822,049,10,103,995,182,False
150,943796793608740763332372202576502087184140656,000000000000000000000000002a52417f7ec5fb011b26c890304806e049c970,-356885069986475200634627579798745252578768682,296,10,109,090,943,False
150,943773600717769836629671491925945280104139038,000000000000000000000000002a51fd571a739ab98c6feb4f1b4ef6953a891e,-356908262877446127337328290449302059658770300,201,10,105,716,916,False
150,943770032580697386367717536441244232861061866,000000000000000000000000002a51f2dabc3f8be99ddda1e2a1ed919d5f92ea,-356911831014518577599282245934003106901847472,805,10,103,596,364,False
150,943759328169480035581855669987141091131830350,000000000000000000000000002a51d365a1a35f79d226c59d35c962b5ceb04e,-356922535425735928385144112388106248631078988,739,10,104,318,695,False
150,943755760032407585319901714502440043888753178,000000000000000000000000002a51c8e9436f50a9e3947c30bc67fdbdf3ba1a,-356926103562808378647098067872807295874156160,722,10,109,771,315,False
150,943725430867291758093293092882481142322597216,000000000000000000000000002a516fc822b4d2c277b90c16b4ac23832e8d60,-356956432727924205873706689492766197440312122,391,10,103,186,528,False
150,943714726456074407307431226428378000593365700,000000000000000000000000002a5150530818a652ac022fd14887f49b9daac4,-356967137139141556659568555946869339169543638,707,10,101,783,181,False
150,943707590181929506783523315458975906107211356,000000000000000000000000002a513b5a4bb088b2cedd9cf855c52aabe7be5c,-356974273413286457183476466916271433655697982,071,10,109,355,576,False
150,943691533565103480604730515777821193513364082,000000000000000000000000002a510c2aa3c6460b1d4b5290338ee4508e6a72,-356990330030112483362269266597426146249545256,473,10,100,805,466,False
150,943673692879741229294960738354315957297978222,000000000000000000000000002a50d7bcccc1fbfb746fe371d4a7eb79479b6e,-357008170715474734672039044020931382464931116,469,10,100,751,200,False
150,943657636262915203116167938673161244704130948,000000000000000000000000002a50a88d24d7b953c2dd9909b271a51dee4784,-357024227332300760850831843702086095058778390,797,10,106,371,931,False
150,943655852194378977985190960930810721082592362,000000000000000000000000002a50a34ef5bdb1ebcb94745375c0f2a200cc6a,-357026011400836985981808821444436618680316976,221,10,108,642,692,False
150,943634443371944276413467228022604437624129330,000000000000000000000000002a506464c085590c3426bbc89d7894d2df0732,-357047420223271687553532554352642902138780008,936,10,109,622,994,False
150,943609466412437124579789539629697106922589126,000000000000000000000000002a501afe2d18f15cae26b9d14bced20be24bc6,-357072397182778839387210242745550232840320212,443,10,106,400,666,False
150,943595193864147323531973717690892917950280438,000000000000000000000000002a4ff10cb448b61cf3dd941f66493e2c7672f6,-357086669731068640435026064684354421812628900,610,10,107,207,955,False
150,943589841658538648139042784463841347085664680,000000000000000000000000002a4fe15226fa9fe50e0225fcb03726b8ae01a8,-357092021936677315827956997911405992677244658,158,10,105,497,602,False
150,943580921315857522484157895752088728977971750,000000000000000000000000002a4fc71b3b787add39946e6d80c3aa4d0a9a26,-357100942279358441482841886623158610784937588,962,10,107,408,356,False
150,943561296561959046043411140586232969141047304,000000000000000000000000002a4f8d6f355a2965996fda98e52bfef9d65008,-357120567033256917923588641789014370621862034,886,10,107,718,646,False
150,943539887739524344471687407678026685682584272,000000000000000000000000002a4f4e850021d0860202220e0ce3a12ab48ad0,-357141975855691619495312374697220654080325066,099,10,100,459,614,False
155,42809811917700304295961905561962438351232161078,000000000000000000000000077fa88a2c2c751630f81e7d180f08535a2bd536,11418324082806634273613867482127261626397381528,838,69,694,609,799,False
155,42810953721563488379787171317066773469016856198,000000000000000000000000077fb5a5a1ed879a1b2efa44afc8c6892bdf9686,11419465886669818357439133237231596744182076648,913,69,693,367,363,False
155,42817576183969956065973712696671917152168087894,000000000000000000000000078001ab4ce6f2fd9cd38e971fcae28e1f589156,11426088349076286043625674616836740427333308344,053,69,691,698,295,False
155,42830706928396573029964268880371771006692081774,00000000000000000000000007809867171347eaa24a6e0e70a2edf90aebc06e,11439219093502903007616230800536594281857302224,765,69,692,596,148,False
155,42835331234042468569456595188544328233720097010,0000000000000000000000000780cd7cb3fad2e74a0f01c3971ffd1fcf6a28f2,11443843399148798547108557108709151508885317460,856,69,695,612,600,False
155,42841040253358388988582923964066003822643572610,00000000000000000000000007810f0600c02f7add214ca98dc0b42ce7ecef82,11449552418464718966234885884230827097808793060,736,69,694,616,865,False
155,42856454605511374120224011657974527912736956730,0000000000000000000000000781bff8b66ea96fb705e3b00e0c3c0376e7a13a,11464966770617704097875973578139351187902177180,494,69,693,177,388,False
155,42861821083668339314202760706964902966325023794,0000000000000000000000000781fd935fe0807550a1530d57286d339d4e1432,11470333248774669291854722627129726241490244244,932,69,697,139,049,False
155,42864504322746821911192135231460090493119057326,00000000000000000000000007821c60b4996bf81d6f0abbfbb685cbb0814dae,11473016487853151888844097151624913768284277776,360,69,695,682,999,False
155,42870042071483264717744674143716115814374828658,00000000000000000000000007825bf2afb505c4b3c5e7dd9b94f9ea4ff5ea72,11478554236589594695396636063880939089540049108,332,69,694,704,485,False
155,42879576133740851817685643198837314047877032910,0000000000000000000000000782c964c6f4605efddcc639ce7d87c54d5fabce,11488088298847181795337605119002137323042253360,551,69,692,944,684,False
155,42885056792284135420046918823338122613243569486,0000000000000000000000000783084efc2cb93e954a7ec4a6c5e5946f24e54e,11493568957390465397698880743502945888408789936,499,69,697,375,352,False
155,42886484047113115524828501017218541510474438386,000000000000000000000000078318b14f5e10637a0f117e246e1357b54596f2,11494996212219445502480462937383364785639658836,695,69,692,414,131,False
155,42888310933294210058948926225385477698929950578,00000000000000000000000007832daa0bc62e035733a4571730dd476b31ff72,11496823098400540036600888145550300974095171028,483,69,699,042,640,False
155,42897274093620205116977262402954508373539807270,0000000000000000000000000783948e6824ff5bac2f14cf7e3c8c077fc1e026,11505786258726535094629224323119331648705027720,415,69,690,994,555,False
155,42897673724972319546316105417241025664764450562,00000000000000000000000007839924d15bc5d6a48f14eef3572833ef8d9702,11506185890078649523968067337405848939929671012,293,69,690,791,389,False
155,42898472987676548404993791445814060247213737146,0000000000000000000000000783a251a3c952cc954f152ddd8c608ccf2504ba,11506985152782878382645753365978883522378957596,569,69,695,972,095,False
155,42913145167318463882148456398904766510747069438,00000000000000000000000007844abf4ced80b87d5cd08c3b38c659fc37abfe,11521657332424793859800418319069589785912289888,114,69,693,770,212,False
155,42919025457213861913848575037692092367338249306,00000000000000000000000007848e3feb5ca0130d2a8936889bc0558dc89c5a,11527537622320191891500536957856915642503469756,993,69,697,371,369,False
155,42919995990497568385100050929530777217455240158,000000000000000000000000078499640f73efcffaa5f739c9933b9ce66e33de,11528508155603898362752012849695600492620460608,622,69,692,968,625,False
155,42925590829427170395843853129542019294600246246,0000000000000000000000000784d99dd072ca898fe5f8f23107c60b039233e6,11534102994533500373495815049706842569765466696,239,69,693,356,250,False
155,42927703166574060950920594776485039262501932218,0000000000000000000000000784f1dd6a4b2cca679842bd09b8ff882deb8cba,11536215331680390928572556696649862537667152668,839,69,699,679,849,False
155,42936894687672692825713984105074936960668727934,00000000000000000000000007855b60de3701d6b83845908f1d07863938fa7e,11545406852779022803365946025239760235833948384,267,69,698,596,512,False
155,42941461903125429161015047125492277431807508414,00000000000000000000000007858fceb53b4be66113b4aeee04005d8007ffbe,11549974068231759138667009045657100706972728864,231,69,691,060,550,False
155,42959959125709011318984352358182506339919569358,0000000000000000000000000786642528d977d90026038387f83cf89201a1ce,11568471290815341296636314278347329615084789808,758,69,698,062,864,False
160,1009865707855697800122368816117346130622417638654,000000000000000000000000b0e3f1caaf0e10353df08cc672f94d98b9ca94fe,-365380889991269013153282483803571563479349672323,342,73,737,888,248,False
160,1009715903188848048324493949047657363169065638828,000000000000000000000000b0dd3a1e55b4930068398348b0949ed074111bac,-365530694658118764951157350873260330932701672149,158,73,732,357,721,False
160,1009346872180266952432168056997936253101052175842,000000000000000000000000b0ccadd9ab8d32dbe95da41922e147aae786a5e2,-365899725666699860843483242922981441000715135135,569,73,735,137,261,False
160,1009140434041803270076560008475072463805579298033,000000000000000000000000b0c36c0e81981f4b4c38d255fae624db9a2c84f1,-366106163805163543199091291445845230296188012944,192,73,738,363,484,False
160,1008179491910547545129216348979264028677979884515,000000000000000000000000b09854fb63ab40d2eb1318932eab3a53ce6dcbe3,-367067105936419268146434950941653665423787426462,412,73,739,053,226,False
160,1008157569276374410719771246481260794416513738199,000000000000000000000000b09759528ec9dd548d5c3667cd89c3174758e5d7,-367089028570592402555880053439656899685253572778,154,73,736,767,441,False
160,1008150261731650032583289545648593049662691689427,000000000000000000000000b097056f9d2966d518c9eb04027e9b586fa743d3,-367096336115316780692361754272324644439075621550,597,73,730,021,038,False
160,1008077186284406251218472537321915602124471201707,000000000000000000000000b093be922ce4c5da8b12f91e140f0de402b6efab,-367169411562560562057178762599002091977296109270,547,73,737,716,514,False
160,1007843344853226150851058110676547770002165641003,000000000000000000000000b0894233f8d5f5ebf8c98ca4b2aa16090c82af2b,-367403252993740662424593189244369924099601669974,772,73,739,488,908,False
160,1007001150323741570621542089711590187124174520030,000000000000000000000000b0637e48b1589d0abded1bf789e4715e71ca7ede,-368245447523225242654109210209327506977592790947,764,73,735,549,417,False
160,1006873268291064953233112325139904653932288666520,000000000000000000000000b05dc2452ce0835445ecf4a528a139d2b325eb98,-368373329555901860042538974781013040169478644457,937,73,736,973,353,False
160,1006858653201616196960148923474569164424644568976,000000000000000000000000b05d1a7f499f96555cc85ddd928aea5503c2a790,-368387944645350616315502376446348529677122742001,385,73,733,152,032,False
160,1006811154160907739073017868062228823524801251958,000000000000000000000000b05af93c270c9418e71173d4eac267fc89c00a76,-368435443686059074202633431858688870576966059019,908,73,738,818,776,False
160,1005905018615084850149286964811428474050867204230,000000000000000000000000b032574f1d532e5c7034ef7e915b278c0fb59086,-369341579231881963126364335109489220050900106747,073,73,732,444,757,False
160,1005804539875124650772663578362246983685814033615,000000000000000000000000b02dd5dea2f4d103ed5962e26981c50bf9eb1ccf,-369442057971842162502987721558670710415953277362,596,73,735,663,163,False
160,1005775309696227138226736775031576004670525838527,000000000000000000000000b02c8652dc72f7061b1035533d5526109b2494bf,-369471288150739675048914524889341689431241472450,860,73,731,210,553,False
160,1005764348379140571022014223782574387539792765369,000000000000000000000000b02c087e72024546ec34c43d8cc46a72579a21b9,-369482249467826242253637076138343306561974545608,005,73,732,114,090,False
160,1005709541793707734998401467537566301886127399579,000000000000000000000000b02993585dcecc8b01eb8ed119f0c05b05e5e29b,-369537056053259078277249832383351392215639911398,537,73,731,652,916,False
160,1005539641378865943325201923178041236359764765630,000000000000000000000000b021f4fbebfc0977aba23600e92d6445ef03ebbe,-369706956468100869950449376742876457742002545347,266,73,731,550,494,False
160,1005464739045441067426264489643196852633088765717,000000000000000000000000b01e9925bf4f4add40c6b14207fb0ce1cc272f15,-369781858801525745849386810277720841468678545260,435,73,733,988,139,False
160,1005395317370559475129688331732853277471779302383,000000000000000000000000b01b7c39c7dae5226d58e50dff11134ccb0fabef,-369851280476407338145962968188064416629988008594,834,73,730,802,007,False
160,1005366087191661962583761528402182298456491107295,000000000000000000000000b01a2cae01590b249b0fb77ed2e474516c4923df,-369880510655304850691889771518735395645276203682,382,73,734,926,148,False
160,1005254647134615196002415590703999190960704863522,000000000000000000000000b0152d691c89fc0ce958b9ccfa7a563312f43d22,-369991950712351617273235709216918503141062447455,790,73,734,291,418,False
160,1005018978817254001100880738850464422649943790625,000000000000000000000000b00a9c122c130e7e79eaba7aa652946866d39421,-370227619029712812174770561070453271451823520352,201,73,735,347,969,False
160,1004828982654420169552356517201103059050570522553,000000000000000000000000b0021705a1c7058ca30f125807308b067ec91fb9,-370417615192546643723294782719814635051196788424,025,73,739,769,992,False
