state,value,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,cofactor,x,y,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
12,2533,12,7,0.18089075961189305,3,3,10,5,149,48613764011268215327997254664477698424860814211295072379767445787785318846911,48225883798677549708888491428443826441857891666729268195706325768409686060835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,3,11,0,6,3,10,22,17,32,39,42,42,55,32,54,48,51,5,43,41,11,11.306631361712501
13,5328,13,5,0.13880049798406022,8,8,4,4,1,82691995147409295936308217420661420947273150535619485838375476790640287963133,90017581564930222760654874030271916298141998234357157811570291639163472606900,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,11,7,8,15,21,27,0,39,39,17,28,18,21,35,3,72,35,16,77,90,12.379378367071261
14,16323,14,10,0.23797715131903657,11,9,7,7,5441,36743314121009868335277948977005906509266084009458861463473143461797650476877,45394464547077897828378981853095975786751342254374309869148975714530462250706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,10,8,3,2,16,25,17,6,5,26,14,52,39,36,42,64,44,49,55,36,27,13.994618613781007
15,24643,15,5,0.13880049798406022,5,3,5,2,1297,22380893276936261714872003064688791812123943240883761935970276280454181301350,5265756024655182193671295057719832749718385537849109344563611927326880170127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,8,10,0,10,22,29,1,2,4,15,51,40,60,54,6,42,74,75,79,5,14.588890277695285
16,44313,16,8,0.20062232431271465,6,3,6,3,14771,24974450903038914257135729558961898080039497413983048864919290430415877317605,33202114808365551714764692119558291790381581831094912062732862040860997707981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,9,11,5,15,1,14,24,33,23,39,5,4,27,26,9,2,73,74,80,81,15.435442380456205
17,102846,17,10,0.23797715131903657,7,5,11,8,281,115131057152593849589438289805164281814918414747281525085907528508483102872541,91476899356914528993526527712685725432338553893404056659187335190172664628474,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,7,3,13,18,13,12,19,23,18,33,10,26,9,0,1,38,62,67,9,51,26,16.650126158504968
18,158866,18,8,0.20062232431271465,16,12,2,1,79433,107138133324307390104304265488341594924130756785672098597573245262033193109970,22968162315206179694592401590959235299116106198732235885783847913209925851171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,1,7,5,4,22,25,32,24,6,25,38,22,9,39,18,76,4,1,77,17.277450871118504
19,505782,19,14,0.3059848737138347,19,19,8,4,28099,114171289326782387731949292937610769642113045865965643276841615636064370975268,30614055813407165947823918191282498552351498123721176219900055191092730710732,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,15,2,12,22,17,29,6,16,15,3,34,31,66,49,38,24,63,84,24,18.948156169063864
20,948447,20,14,0.3059848737138347,15,5,13,7,6199,103507003061124404359217885625999106749238852704100241687991213401614565713190,112533788253005367093815151524258145663707059858194606106203169460440044670157,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,6,0,5,19,2,2,26,35,39,34,12,22,19,62,29,31,52,6,63,78,19.85520763133816
21,1195739,21,13,0.2897064269060978,11,5,13,12,1195739,19959666983252678914947480959945627639318018036207802224938713752812078533348,67574640301477196297306366697772754682776972013037421237041598830065564454744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,6,12,10,12,15,11,7,10,15,38,12,6,45,17,57,28,72,74,41,24,20,20.18947108887884
22,2591299,22,10,0.23797715131903657,9,4,12,7,2591299,78351722286100846369331424678882052638373050846134447859666924689665199851922,5233322420104855498984511605050786906573377882086655717368242730904489779860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,7,9,6,3,4,4,9,4,17,33,1,23,19,19,7,12,18,20,39,64,41,21.305244061464894
23,8829874,24,13,0.2897064269060978,13,9,16,8,4414937,27226532973027591411008554288011831660902829763346910349644649695523749508777,20960141247925478933517256717253601955383234763141380228972385007820949516451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,9,1,6,4,13,12,20,9,32,39,31,21,52,2,11,30,13,44,2,6,61,23.07396142046268
24,18756833,25,12,0.27297085791406983,15,9,12,5,18756833,101956575034986562771985105112858365382767459583079156593353541600885274832154,62086276773742300603528149506966928408013462221963522993478629765814637891427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,4,2,14,11,10,4,16,30,18,26,27,25,4,49,53,67,21,78,83,40,24.16091292058824
25,21353353,25,12,0.27297085791406983,11,4,14,7,3050479,105322640988744343791364464286838299040250420584281983703716072936678616260940,97553202327406840682551260424995952382753981058642247633836980644116972652100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,10,8,10,13,15,15,26,24,20,26,31,24,14,59,51,32,50,48,26,28,64,24.347959290341162
26,57411079,26,11,0.2557420200756248,12,6,11,4,5219189,61428701072109214742252812306884747665520736043679095049823504878248528260926,105605931114468548013009160209898816222836710311260514027869277920517098291452,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,0,11,5,14,20,11,9,29,9,16,15,48,8,14,52,53,10,41,62,27,77,25.77482583449274
27,115684467,27,15,0.32183715247832606,14,4,19,6,1243919,74216924894693692395068102926305731679857430442880471835513553971008253279407,21484526722289737291824715675503056219462907206279162975592950116753709122044,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,8,2,11,3,10,16,0,8,15,19,30,42,40,41,56,49,53,27,63,42,36,26.785619925303497
28,173074486,28,12,0.27297085791406983,15,8,8,2,6656711,54526850869951331341993816869757142058360343057886462430094690089603181436453,27902144921198304253354746252270260741872663580485806314164434111904023164113,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,2,9,15,21,29,30,38,2,41,18,51,40,19,58,27,22,64,13,5,27.366817822715888
29,632453190,30,14,0.3059848737138347,19,7,6,3,1109567,37576276976846244804835815270310698086240245224565474223209968506112878102608,72691450806623834189882786808960049230933172146986830710375656916888107028555,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,14,0,18,20,25,17,23,31,40,3,35,5,57,29,24,46,79,55,95,29.23638346411698
30,1069226467,30,20,0.3955378064564774,21,9,13,7,1069226467,111341049321165310839375783956643391966966568263710226669243561615632619966968,39027493391536585189215338306367652233265442233679468141774657632016381728908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,10,9,4,6,5,11,23,13,34,14,15,29,45,66,50,66,19,49,47,26,29.99392030874223
31,991084263,30,19,0.3814735439675174,18,5,26,13,416597,1408169039872782121359086336396574983046663221805182293198154974983938304533,26243615960107317143639967974862522713851255110242871670419747748854913481784,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,4,0,5,12,3,12,3,6,37,10,10,4,21,0,29,20,55,33,21,21,52,29.884432481136553
32,4043965098,32,12,0.27297085791406983,10,6,19,8,18216059,63804666839603770035731136515491495901516426203389137411076388540960323145153,50396061889300861656443115792556582459819317202024607487863841339439264984520,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,4,15,6,11,10,1,0,3,41,28,14,19,49,2,64,12,49,5,8,81,31.913123399901867
33,6995634245,33,15,0.32183715247832606,14,5,15,7,1399126849,73710629930623752083012732527641178236977333351096851043031971594836725245944,74130549566393142388734234104405867707679627047049418988690153418950092848547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,6,2,13,1,15,2,25,30,20,21,38,51,56,37,28,56,7,17,78,86,65,32.70380771632777
34,5979799635,33,13,0.2897064269060978,15,7,11,4,398653309,78986322856149087470497564677932410288520752057047086803830738228751059075701,39590978535869254801743154116768761533267377642052907880276396324792999115271,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,4,12,11,11,12,13,13,24,34,22,11,11,13,55,5,36,21,61,84,89,32.47744999887207
35,22274898188,35,21,0.4092962956205902,24,18,17,12,118483501,101068821350240982216085283342467146798910468133112268892131790273190216356175,62636882427433543887598552992742022933737683973357687277427655803025013683209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,10,12,10,6,15,26,13,29,4,0,47,15,23,66,28,45,44,27,82,63,34.37469978650171
36,57863790615,36,19,0.3814735439675174,19,7,15,10,3857586041,88361616842679379910899458840394680920615619297725287491605230003914127084236,108771846048280174789009663899574822133583969439710461981954178822311502227486,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,7,2,18,6,19,25,31,9,8,8,13,48,24,60,29,70,60,66,65,84,35.751941785143785
37,46719975997,36,17,0.35236704918494266,21,7,16,6,46719975997,53715133510339148267298649422606601706653415477974878296935484805445348612924,75360388630779861290822274967368826319571870533969343214630703369977044774328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,6,3,2,5,2,28,36,28,30,23,4,56,52,39,67,14,18,6,47,8,35.44332048188826
38,176753432345,38,19,0.3814735439675174,24,12,16,4,721442581,56973583791653046856013452755561769663948329189868521893051677593583400662949,79902422857981375957863079624916310880530789556093499191716709329824651760360,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,9,3,13,2,27,1,4,20,11,23,32,12,34,35,43,10,44,70,76,44,37.3629472745186
39,679926444013,40,24,0.4488644887230294,24,10,13,5,679926444013,101534388430763267205850652773412422591243612785503755047882785626350520741005,110827720446366091551251591062437926125589923469877804331450439924989173606082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,11,4,9,21,21,6,27,8,1,18,23,10,46,53,65,65,21,52,39,20,39.30658772453932
40,454600792197,39,17,0.35236704918494266,12,5,18,4,50511199133,115316026077730597072630117410502581681501138339686907058782980601839837258364,3569723153798761502460629563374660691052016054392180320904084731580440072130,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,2,6,7,1,15,3,24,8,38,19,37,36,49,14,47,8,21,44,23,56,12,38.72580924198997
41,1437122347316,41,19,0.3814735439675174,11,4,30,9,359280586829,84285443279083094339277864911115839350352262919972333170772573319423440423953,12606329704618862084659993247892122741492260579563393127163387980188087077632,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,6,11,15,2,26,9,2,28,25,23,5,42,54,25,25,35,73,8,60,22,40.38632002741116
42,4514436495362,43,15,0.32183715247832606,27,14,13,7,77835111989,27674215454063596926689248515433734151434043117993898015904523015302911144919,70752347747586067375106351390436251890575931746113126520545507461880847434755,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,8,10,10,0,11,35,39,42,40,16,44,41,34,52,64,6,78,77,40,42.037683056347184
43,7994950709246,43,26,0.4739291234809583,21,11,11,8,210393439717,43252723417120389279664815736183953962051798131267645628006110592372107507238,97874329195132701425540235869720287877714219306494424679576049218905703687932,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,7,16,0,21,7,4,20,20,23,13,29,45,21,4,60,29,77,26,41,26,42.86222627782668
44,4591701329526,43,20,0.3955378064564774,20,10,15,3,4813104119,111155769697758751409047075411357458812002296369666556187206407465595210302756,5628293179219424469892119609095273255819096129203590104025001044825630722858,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,7,13,6,10,20,5,12,19,30,0,9,19,38,45,50,45,31,85,50,42.06216594259026
45,31412207262015,45,25,0.4615217448770414,30,8,26,6,698049050267,115483053304469251127221863260967918132496016959341425969090437176701714846683,3183823407776651571801373742499578356013632847682295506744680424276284671080,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,8,8,10,16,17,4,3,2,21,36,1,4,31,5,29,41,51,29,1,36,19,44.83639055487898
46,68257988765558,46,24,0.4488644887230294,20,11,29,6,34128994382779,44210186862164150421148832569974639651005107428271888015318377680803491738886,5318196305894906198908365233243068771564416940952141968663672620811569732322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,9,7,12,1,18,14,18,9,37,5,35,12,1,12,50,40,69,45,79,3,48,45.956063139318765
47,71540315586273,47,21,0.4092962956205902,23,13,21,7,1036816167917,53042127605425775909208126613710717883444198533755854105082451090529201102522,77917635013841204071538536135677808599389318092705349114232938849629172218128,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,1,1,11,0,12,7,9,27,9,1,37,14,22,49,64,46,9,52,25,59,46.02382171605318
48,217911930332082,48,21,0.4092962956205902,18,6,29,16,5188379293621,83868128703564544030010903710668215183790819186596087947846582054854114425702,35264049401229354292854602763285024044927855333704876664740619501942444696727,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,12,11,8,18,21,16,30,32,18,36,16,23,27,6,19,67,5,2,58,55,47.63073851230123
49,202021591135239,48,25,0.4615217448770414,19,4,27,17,92373841397,87840352079991856930613778145118012295199315438718080383751018985809960247953,85671389384237385746243830479263228763603456681037717402012699484991745475856,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,7,5,4,6,13,3,18,4,12,35,32,8,3,47,11,38,8,64,45,42,20,47.52150281822749
50,1447629018986112,51,22,0.42276234377915156,22,6,24,8,3769867236943,23812079903561623169297139403257865354731775618129204310163508921568674858628,55863060375493878856991671056571753044006279585656491405255905969307713691708,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,11,1,22,25,18,10,33,39,20,35,13,25,29,32,5,41,32,51,45,50.36261335650361
51,2157726124446824,51,24,0.4488644887230294,27,11,26,14,3733658627,113592106712759017149672005042140333759517471263479897649594336280307323537327,92626795863296293210596375659964815300910746496077983022702609215566783245692,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,1,8,9,14,6,22,0,22,22,22,36,0,0,16,3,5,49,67,32,4,43,27,50.9384331815668
52,2547188331877424,52,25,0.4615217448770414,32,12,21,11,159199270742339,83638091172991706314520346377484987529574810981928581459043639473103935935386,37999830104826492577577678436494556261160771701824715678761787529091459036330,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,1,9,6,7,10,1,1,7,33,43,22,46,22,65,41,69,33,79,24,51,51.177827055643704
53,3210771273018583,52,30,0.5212220180699688,27,5,35,10,3210771273018583,64396261225688224722118171780265894123360336384139427499086401085367436048516,46525220911184284898817020893943009751115062377224318320570346264099791884062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,10,1,14,3,22,7,6,8,36,8,33,21,43,55,55,38,17,30,62,82,44,51.51184131819813
54,20070935247372753,55,27,0.4860951951851023,27,10,30,5,91648106152387,50921652564938364901088396122239314139598601239170497286188660835239327179497,78267682475373280524261586099087113276916035671779340226162189477772784073988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,7,3,1,11,1,19,15,29,32,37,1,14,22,27,26,68,0,4,19,67,64,54.155957361869426
55,14173351800807115,54,31,0.5324966654459904,32,8,37,8,404952908594489,20439085147545768758842031132153068038267657479698259695260149208261774976029,74342436948065608011755856930071992040769377263284703770826785593713340442173,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,10,1,16,23,16,3,37,28,16,15,10,7,65,31,30,67,38,38,15,53.65403049413744
56,94027016618169917,57,27,0.4860951951851023,31,14,25,13,2186674805073719,71012098495009904500851335283407662891386932095453486850093959631646915722538,41526819478490448014748010435054709371141690932517598799322583116122345529239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7,9,15,9,12,5,26,28,26,0,34,16,48,46,24,4,15,75,54,3,85,56.383924861594025
57,61730909065495557,56,28,0.4980278865344765,26,10,34,14,6858989896166173,77826564995651148887507385113487176806323470355442521745699293087285894813424,80846516283705122294499510601405112428290638771922080220942206186992649562653,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,8,4,7,7,5,3,7,5,37,18,16,49,10,1,19,64,23,59,13,65,13,55.77684255521925
58,325093716281924142,59,27,0.4860951951851023,29,11,23,4,7740326578141051,76465869322938233833986287573420039009452449621711409323250448144537147269206,1913965922020249200538398457832437460595153958162160690987107201955640072928,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,7,3,5,18,6,2,20,19,5,52,44,6,10,54,22,6,82,80,13,58.173633283611984
59,609970965961230191,60,35,0.5755805811774211,23,11,31,11,609970965961230191,4677090015119276391649208502643508062137889695757081931661998288388437478117,110671833928837501625661857263951368610404627209490531488551573553432450525352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,10,6,7,13,18,17,12,4,15,40,25,21,57,37,37,32,22,24,82,86,36,59.08151818648096
60,290746192399158600,59,29,0.5097345489307137,36,9,27,10,12425050957229,58465890688925711264963388970531793746562956644747369838293766562405928037046,7298437271701485783229676683142321366919767942570984125419819127236157321578,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,15,4,9,9,18,17,19,19,41,8,53,14,45,34,37,77,46,73,47,58.012537911429156
61,2482584999889167080,62,34,0.5651013322959567,39,14,27,10,3266559210380483,42383955962093133937343264088639544806213578223116048767276348351701302026489,73186544225456169998645998392185754919952235057301600961869294555061660401992,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,6,11,14,0,14,22,2,21,17,20,19,24,35,33,32,50,59,52,21,63,55,61.10654882222939
62,5084857407016647706,63,34,0.5651013322959567,26,7,39,12,133812037026753887,75509842994855533449055286388639114255627154535099096365789918720642064563103,29131358268821863372133130042479026429323000967745331357891405835340064099922,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,4,8,0,19,11,13,21,6,12,42,45,37,50,29,43,69,68,80,30,78,62.14091302560016
63,8806437408053766860,63,27,0.4860951951851023,24,10,36,6,440321870402688343,74145028919649588099138321521804173734499266075412242360547815204127169332725,6879102102033158752982368762649724699193426174197343346436070992120420027515,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,2,11,1,16,21,27,8,27,8,27,33,10,39,9,56,7,22,54,56,5,62.933264211429474
64,12768709954485966227,64,28,0.4980278865344765,31,6,22,7,12768709954485966227,15760446372843975428205971334637957858193650408828116428549748037062453854647,108684194606342589687902294204972004645042997334596270662618915983969663013405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,10,6,6,16,8,13,20,14,17,40,23,37,39,28,56,39,34,11,39,47,25,63.46924657721299
65,15777840238282132871,64,34,0.5651013322959567,37,14,38,8,2253977176897447553,93145194676156021885321956479652160518091107321169323416837633234819257031300,111153641122863472212927193016858822077508689205601123425501264306508939833557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,5,7,2,11,16,10,37,10,20,51,31,58,42,17,48,76,78,22,91,63.774533537313296
66,86310726052039920576,67,32,0.5435644431995964,32,14,24,6,149845010507013751,13808242084009995919621935479117630817567663163155243974648547607099671895691,55253119420591104741014776970477185824982632410027633333734347421047960999633,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,8,14,19,14,7,8,15,42,14,6,40,16,59,24,45,42,62,65,49,66.2261736607638
67,87241322610929783523,67,37,0.5959838258557496,38,14,33,7,29080440870309927841,9514802822229178094678484206732287164739801108717414586406047855444773813391,13041734568413523190631901936795191392263151045702884771474552215205430352231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,7,6,12,9,10,11,15,17,24,12,14,25,3,1,13,43,40,22,28,28,55,66.24164544479827
68,77376225707059865979,67,33,0.5544309233552465,40,9,31,13,25792075235686621993,79718933983842758596165521808506527956798080840180136860199155059851578955531,7827887151477940889616224268602100896687746755796796536960742322782888187440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,8,3,12,1,11,21,17,32,35,6,39,35,45,49,47,30,34,71,61,67,89,66.0685241609185
69,673162482084647784677,70,37,0.5959838258557496,37,6,0,0,96166068869235397811,25955284843447572516471716857260802925007426546445168593773705466767198321852,110352754659511171179667269462394633284806005933546082565453156157763740786607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,8,6,6,3,5,11,11,31,11,13,12,14,54,42,15,23,25,70,73,47,9,69.18951666975268
