state,spec1,spec2,spec3,rw1,rw2,rw3,pca1,pca2,pca3,tsne1,tsne2,umap1,umap2,cluster
29,0.042562486953210396,-0.13130843380683407,-0.21133154990998299,-0.0036393139120482025,-0.008333447377062896,-0.011086140125507954,18.4428385776551,49.97161098109679,26.976002618548485,-5.0567894,7.302023,9.902056,2.5983553,5
30,0.03761022217891803,-0.20142125373804035,0.023397587507573987,-0.0027539077938442294,-0.011576056689225093,0.0016494009422024195,2.2856773154313292,16.33685598605356,-28.958311995828605,-4.2121153,1.3253441,10.220751,4.1577325,7
31,0.043514291020017554,-0.07354519290297429,-0.15312009375772018,-0.0032605730323925883,-0.0041925765999618865,-0.00910750007825707,-25.336033044602367,-18.076234555527,28.35035653369693,-3.5181704,-3.0385568,10.791396,5.6664767,5
32,-0.05752671112757683,-0.04940230267081511,-0.18843270290855468,0.004601649078726681,-0.0032934724340130317,-0.01007465843026108,-24.289413990692406,-27.468943352388944,49.13404441591078,-7.5412064,-6.271924,9.476518,6.322312,5
33,0.04530803482381741,-0.20927427831797393,-0.1091565820991951,-0.0036099670007808306,-0.012706567862204872,-0.005562657013963346,27.19866986569556,37.123873698137864,-30.36454427580969,0.54303646,2.9721081,11.420406,2.9343705,5
34,0.011302212413880098,-0.20814692420023898,-0.18435919704156112,-0.0008567175591145104,-0.01187431657447634,-0.00980337188789172,13.002439129406337,42.06429533652039,11.131133116993887,-5.484613,6.967892,9.647507,2.4766595,5
35,0.044708442681167575,0.05382240452733762,-0.1333215744067723,-0.003751648759345632,0.0034036634789081782,-0.007450819909869828,16.029099204305997,20.168237590291994,5.427150689901471,-3.544466,5.938028,10.337071,2.7081556,2
36,0.08024272855051318,-0.19512678484479612,-0.18208281863700743,-0.006246355572998892,-0.01218959551342518,-0.009257670923369604,34.775730868082896,47.61449810658266,23.992573647965635,-3.6814167,7.237603,10.170182,2.4528823,6
37,0.04628860210147487,-0.21858329076706726,0.04189752335193349,-0.0034386209956754994,-0.012438733238259093,0.0027087363273586764,-12.665014255529632,-31.898002477750865,-33.451823054303055,-5.8637214,-2.3941698,10.624573,4.983505,6
38,0.08465396212908564,-0.03387063804834514,-0.07888584162353988,-0.006916332938111948,-0.001897034949178029,-0.004326402577171527,21.176385492012134,10.707186608620846,-20.24580377693634,0.24328814,1.7050633,11.098596,2.6653657,2
39,0.07044430406879798,-0.13349503852787117,0.07260049663740721,-0.005212953400549006,-0.00817687309201487,0.0040370662877268326,12.113497953418914,-2.6498100459865235,-32.03081285113898,-3.558619,1.0559635,10.484516,4.081032,6
40,0.07753379687444777,-0.16315174667904433,-0.12577241664802566,-0.005962991566664074,-0.009419307068561804,-0.00722427014034847,-5.377153535434755,-12.847084092540793,-11.395547616477325,2.2020657,-4.697774,11.748999,4.721736,6
41,0.05592648262158665,-0.020976332647102622,-0.15962938626546716,-0.004077113904591464,-0.0007836850396681523,-0.008492732923256663,2.881184794463888,-25.106478979061237,9.660748262178922,1.1026613,-4.9669075,12.169482,4.8152976,2
42,-0.05815629682100604,0.07657364386152951,-0.18307008016512025,0.004536705811357592,0.005044255258118822,-0.00948316204055837,36.9445914313144,22.581366432122653,-40.19186080555892,-1.566107,2.3564537,10.974134,3.3631217,2
43,0.09459219674058324,0.18562573874327798,-0.0761819139574496,-0.0077307160340195635,0.011184848534050629,-0.00397421387480655,6.311845690811826,-36.60504971238268,10.045889845788587,0.3367998,-4.0061293,12.093993,5.035669,2
44,0.09249553947044999,0.13367763453171483,-0.16861105203037335,-0.007441092604190907,0.007993315547194731,-0.009466494660321482,18.369063513779587,-4.4262015659639875,-1.3872169283884674,-0.6996839,0.30920383,10.801707,2.7007794,2
45,0.12272157419016244,0.09102893846929991,-0.13235809867300433,-0.009711480955879804,0.005377852276279948,-0.007343781625762893,-11.115585731713223,-53.422046097570124,-1.0400777107640822,-2.4377084,-3.2792327,11.330135,5.317995,2
46,0.029997421646602667,0.05593022422653601,-0.13590934938198695,-0.0022072162624432487,0.002927558769998588,-0.006857142024610117,23.375213850364776,0.6913762114620455,18.411512066801418,-0.53712416,5.6479707,11.073437,4.138034,2
47,0.10265728331460772,-0.04074033585856724,-0.10850885611738681,-0.008215347131191713,-0.002364230982973102,-0.005770547821878753,15.90499933251208,-8.863694075666034,-5.861081952883433,-2.3587418,4.0219383,10.79792,4.4753337,6
48,0.11407104561665184,0.1430844691213999,-0.14983870137507657,-0.009051341151712742,0.009082374959221349,-0.008286486207912754,3.320338167777695,-29.57566954792944,10.7520892070217,-2.0337884,-4.7947025,11.527562,5.740304,2
49,0.11972287222926653,0.12352154977082752,-0.12066341060251232,-0.00983160054366632,0.007795319906394271,-0.006668659854792541,10.101201023102918,-37.78900123171652,0.7257453014110109,2.552208,-3.2689197,12.413658,4.66179,2
50,0.11065155810058562,0.214537432323381,-0.13155046991072164,-0.008811921496401571,0.013531634489945012,-0.0075458942968152235,14.767546660941193,-27.055701564870013,5.288971662365515,2.4144604,-2.6105325,11.903401,4.618192,2
51,-0.006256556645950905,0.19073614541308972,-0.1412740916195874,0.0006020434546589314,0.011682150854205828,-0.007507815019849529,-1.3474795844456908,-60.021176439753894,6.280441898003289,-2.0543654,-3.5883105,11.787849,5.6720223,2
52,0.11593276737777791,0.23793327645326257,-0.07739960507869625,-0.00954422772397985,0.013615226605025068,-0.0034577362396344988,45.059614595576534,13.839678402072849,-0.5347736035438146,0.1498472,5.0738683,11.171872,3.832999,2
53,0.08947790503564587,-0.13167556912979336,0.11379191409412395,-0.006740904531116107,-0.008609910077173039,0.006454088950887237,52.701297993246634,5.320353508274816,-25.301689573720534,1.866118,1.9900693,11.899026,2.9748487,6
54,0.1298225288658693,-0.0603807203827654,0.04327880921076331,-0.01037056669237538,-0.0036945637432385615,0.0022146185170316447,21.385635432776706,-38.83619048749704,-10.294751327856014,4.312743,-3.1877258,12.189101,5.6342044,6
55,0.13874811775556098,-0.06112039398113982,0.07217493950801228,-0.01101469528659605,-0.0037044893801839915,0.004073252533298691,26.69912174398159,-34.43716664682059,3.6667383122503696,1.603892,-2.0619154,12.098578,4.3146315,6
56,0.09876832379569826,0.027776392940464186,0.11152109775579058,-0.00797373276845366,0.0015663622885372566,0.006058146136800292,36.541468672671556,-8.76793102516397,67.00735430385669,4.5204544,5.674033,12.898759,3.431999,3
57,0.14021382813142982,-0.09241531599013443,0.02772269059195799,-0.010948441833055272,-0.00552395561059449,0.0009702748966182712,21.094097359687012,-61.13656611306926,-10.858596509692473,0.7222231,-3.1213117,12.514618,5.1185675,6
58,0.08045346970648481,0.08539052754430203,-0.0007830314569419036,-0.006302537731081052,0.0053839256390468835,0.00019186025634050625,40.119696850981576,-24.972474873507693,-64.25104732452282,3.9440792,0.89022464,12.021462,3.4641516,3
59,0.11692873336292671,-0.00047647183807813045,0.24035693614732925,-0.00898311256674799,-9.451235887432536e-05,0.01286788363393802,60.33111119592486,0.9053492681653073,-38.24618282171593,2.559016,1.436663,11.666334,3.1903589,3
60,0.12750246790714864,0.1652307941652252,0.06186224704370602,-0.011034813084871718,0.011213337056968444,0.0030089797815843478,57.51044706557111,-11.201867227177875,13.788647710794452,1.0455551,-0.10318217,12.38617,3.8572774,3
61,0.16576070686114797,0.21183467644144338,0.1590212660297719,-0.013736737555524573,0.013044822402638009,0.009087448469474523,50.890806078215995,-28.9632802537345,13.589453821833903,0.2143428,-0.850689,12.163199,5.102896,3
62,0.1337547647995236,0.17972290490556228,0.18136248670110347,-0.01076741871467639,0.010578332372059582,0.009744952877729467,74.78967654011208,9.01446565567486,32.60857321706813,2.9010663,5.6673975,12.694196,3.1938057,3
63,0.14428853747239165,0.08052620648817115,0.12074478876988329,-0.011408494704775908,0.004017513782046492,0.00665097766961717,32.158031865253285,-52.51831114506221,-42.50126143152486,3.630934,-1.609096,12.687042,4.4874315,3
64,0.1276700757206941,-0.03368449270587047,0.2823738277785115,-0.009621360412521231,-0.002696713966781749,0.015114842317889251,37.106907468523836,-28.22897119422866,-27.22001296479274,2.5853624,-0.41298026,11.798175,4.0693755,3
65,0.13567810591808785,-0.08130293805826994,0.20925288827112418,-0.010679719693126045,-0.004682943473858423,0.010753028738705294,75.25896986164015,10.931175728046938,51.98940623478279,3.6499171,5.6267576,12.940199,3.159822,3
66,0.14235380701923295,0.1669343592625323,0.11333395487765732,-0.011878482738359765,0.010379862610100083,0.005780925973832955,60.39046281269924,-9.281623800689193,-2.3702355203846275,1.9411933,0.37861586,11.817948,3.6471252,3
67,0.12055907235578849,-0.11476005842920967,0.12737118320135538,-0.009275134440654243,-0.007471929433805477,0.006375987399731145,29.56708910624241,-59.95191874595585,17.65834037233488,-0.8301862,-2.2917595,11.650444,5.431417,3
68,0.11871900178708489,-0.0029495943326987724,0.10939481470096514,-0.00930415327542233,-0.0001749271601088327,0.005684859357293355,87.38233056532229,10.074480903053885,34.250243900291046,3.5113099,4.609755,12.779545,2.9943347,3
69,0.09537387868924041,-0.020332572959677876,0.18401622811718435,-0.00752177481523777,-0.001335740935633368,0.009918126155943592,51.997680086187,-33.95079813025341,-14.142190646437104,5.2112064,-0.33187845,12.478536,3.9688423,3
