puzzle_n,d,Px,Py,Pmy,r,s,z,Ry,rmd160,address_payload,address_base58_lex,sha256_pubkey,sha256_vh,sha256_chk,checksum4,n,log2d
105,29083230144918045706788529192435,75,5,84,15,34,58,24,70,70,68,6,87,64,64,105,77
110,1090246098153987172547740458951748,3,2,87,19,38,2,69,7,7,4,19,92,46,46,110,78
115,31464123230573852164273674364426950,32,39,50,55,5,1,47,139,139,137,25,91,94,94,115,79
120,919343500840980333540511050618764323,77,15,74,58,15,46,34,37,37,34,59,64,160,160,120,80
125,37650549717742544505774009877315221420,22,14,75,10,72,37,79,151,151,149,85,38,82,82,125,81
130,1103873984953507439627945351144005829577,44,62,27,57,19,51,45,94,94,92,52,93,12,12,130,82
71,,,,,,,,,150,150,148,,90,108,108,71,
72,,,,,,,,,109,109,107,,34,15,15,72,
73,,,,,,,,,8,8,5,,114,17,17,73,
74,,,,,,,,,93,93,91,,83,95,95,74,
76,,,,,,,,,81,81,79,,77,103,103,76,
77,,,,,,,,,67,67,65,,24,37,37,77,
78,,,,,,,,,27,27,24,,136,157,157,78,
79,,,,,,,,,55,55,53,,57,136,136,79,
81,,,,,,,,,28,28,25,,39,129,129,81,
82,,,,,,,,,13,13,10,,12,131,131,82,
83,,,,,,,,,16,16,13,,63,69,69,83,
84,,,,,,,,,71,71,69,,125,148,148,84,
86,,,,,,,,,112,112,110,,7,29,29,86,
87,,,,,,,,,158,158,156,,106,32,32,87,
88,,,,,,,,,30,30,27,,65,3,3,88,
89,,,,,,,,,48,48,46,,139,67,67,89,
91,,,,,,,,,89,89,87,,126,52,52,91,
92,,,,,,,,,54,54,52,,117,2,2,92,
93,,,,,,,,,35,35,32,,26,104,104,93,
94,,,,,,,,,113,113,111,,52,97,97,94,
96,,,,,,,,,20,20,17,,111,63,63,96,
97,,,,,,,,,45,45,43,,44,151,151,97,
98,,,,,,,,,75,75,73,,9,141,141,98,
99,,,,,,,,,111,111,109,,17,26,26,99,
101,,,,,,,,,69,69,67,,31,11,11,101,
102,,,,,,,,,152,152,150,,115,123,123,102,
103,,,,,,,,,59,59,57,,158,86,86,103,
104,,,,,,,,,85,85,83,,107,87,87,104,
106,,,,,,,,,42,42,40,,94,19,19,106,
107,,,,,,,,,21,21,18,,151,77,77,107,
108,,,,,,,,,103,103,101,,133,6,6,108,
109,,,,,,,,,101,101,99,,129,100,100,109,
111,,,,,,,,,39,39,37,,147,93,93,111,
112,,,,,,,,,41,41,39,,150,145,145,112,
113,,,,,,,,,141,141,139,,37,134,134,113,
114,,,,,,,,,34,34,31,,50,59,59,114,
116,,,,,,,,,137,137,135,,81,61,61,116,
117,,,,,,,,,115,115,113,,29,96,96,117,
118,,,,,,,,,147,147,145,,48,144,144,118,
119,,,,,,,,,100,100,98,,95,90,90,119,
121,,,,,,,,,98,98,96,,1,142,142,121,
122,,,,,,,,,135,135,133,,73,133,133,122,
123,,,,,,,,,76,76,74,,75,146,146,123,
124,,,,,,,,,66,66,64,,127,24,24,124,
126,,,,,,,,,57,57,55,,70,38,38,126,
127,,,,,,,,,97,97,95,,143,20,20,127,
128,,,,,,,,,133,133,131,,112,22,22,128,
129,,,,,,,,,107,107,105,,134,105,105,129,
131,,,,,,,,,33,33,30,,5,36,36,131,
132,,,,,,,,,119,119,117,,59,4,4,132,
133,,,,,,,,,1,1,35,,156,8,8,133,
134,,,,,,,,,10,10,7,,141,21,21,134,
135,,12,38,51,71,22,54,,31,31,28,68,85,79,79,135,
136,,,,,,,,,2,2,159,,32,147,147,136,
137,,,,,,,,,26,26,23,,130,23,23,137,
138,,,,,,,,,58,58,56,,22,85,85,138,
139,,,,,,,,,96,96,94,,72,40,40,139,
140,,15,88,1,80,21,88,,160,160,158,26,118,72,72,140,
141,,,,,,,,,68,68,66,,61,33,33,141,
142,,,,,,,,,24,24,21,,103,121,121,142,
143,,,,,,,,,11,11,8,,3,54,54,143,
144,,,,,,,,,142,142,140,,104,80,80,144,
145,,71,33,56,54,7,7,,47,47,45,84,102,75,75,145,
146,,,,,,,,,128,128,126,,18,92,92,146,
147,,,,,,,,,44,44,42,,99,25,25,147,
148,,,,,,,,,95,95,93,,28,139,139,148,
149,,,,,,,,,74,74,72,,128,39,39,149,
150,,11,87,2,87,32,66,,131,131,129,60,58,7,7,150,
151,,,,,,,,,12,12,9,,142,119,119,151,
152,,,,,,,,,126,126,124,,53,73,73,152,
153,,,,,,,,,38,38,36,,152,65,65,153,
154,,,,,,,,,143,143,141,,116,106,106,154,
155,,42,86,3,84,16,47,,60,60,58,48,62,135,135,155,
156,,,,,,,,,92,92,90,,30,140,140,156,
157,,,,,,,,,15,15,12,,45,150,150,157,
158,,,,,,,,,53,53,51,,68,9,9,158,
159,,,,,,,,,19,19,16,,96,138,138,159,
160,,79,68,21,40,30,62,,138,138,136,46,101,56,56,160,
