puzzle_n	Px	d	log2d	n	Py	Pmy	r	s	z	Ry	rmd160	address_payload	address_base58_lex	sha256_pubkey	sha256_vh	sha256_chk	checksum4	d_value
60	33	60	60	60	72	17	77	67	61	1	118	118	116	58	40	116	116	1135041350219496382
61	34	61	61	61	75	14	38	12	81	38	56	56	54	31	60	74	74	1425787542618654982
54	35	54	54	54	1	88	14	75	35	3	116	116	114	12	123	99	99	9974455244496707
69	36	69	69	69	73	16	6	6	55	77	52	52	50	70	144	127	127	297274491920375905804
26	37	26	26	26	6	83	23	49	75	82	110	110	108	88	49	41	41	54538862
66	38	66	66	66	46	43	20	23	31	22	14	14	11	36	67	154	154	46346217550346335726
49	39	49	49	49	65	24	49	61	10	5	6	6	3	38	108	13	13	409118905032525
90	40	74	74	90	60	29	2	80	67	39	120	120	118	37	20	132	132	868012190417726402719548863
3	41	3	3	3	40	49	31	18	74	33	50	50	48	57	98	42	42	7
155	42			155	86	3	84	16	47		60	60	58	48	62	135	135	
44	43	44	44	44	44	45	24	65	52	74	78	78	76	34	140	34	34	15404761757071
130	44	82	82	130	62	27	57	19	51	45	94	94	92	52	93	12	12	1103873984953507439627945351144005829577
63	45	63	63	63	30	59	76	8	12	10	144	144	142	73	23	98	98	8993229949524469768
29	46	29	29	29	85	4	73	60	27	27	46	46	44	71	122	128	128	400708894
24	47	24	24	24	76	13	52	20	36	72	3	3	160	83	51	1	1	14428676
45	48	45	45	45	61	28	72	57	86	30	146	146	144	8	113	109	109	19996463086597
75	49	71	71	75	57	32	13	47	85	35	108	108	106	80	157	110	110	22538323240989823823367
52	50	52	52	52	79	10	43	54	73	6	29	29	26	49	10	124	124	4216495639600700
1	51	1	1	1	26	63	11	82	76	54	65	65	63	3	132	51	51	1
37	52	37	37	37	34	55	63	36	39	48	17	17	14	69	86	126	126	100251560595
80	53	72	72	80	36	53	51	28	25	23	61	61	59	50	74	70	70	1105520030589234487939456
19	54	19	19	19	25	64	17	55	79	32	140	140	138	15	131	84	84	357535
55	55	55	55	55	10	79	74	26	33	2	127	127	125	74	137	107	107	30045390491869460
31	56	31	31	31	24	65	39	51	63	11	125	125	123	11	88	55	55	2102388551
12	57	12	12	12	35	54	16	37	83	36	79	79	77	72	149	89	89	2683
11	58	11	11	11	12	77	9	84	14	49	154	154	152	20	155	60	60	1155
51	59	51	51	51	48	41	85	39	49	43	145	145	143	21	2	53	53	2058769515153876
70	60	70	70	70	78	11	22	45	87	59	49	49	47	82	76	45	45	970436974005023690481
48	61	48	48	48	32	57	59	14	80	68	80	80	78	35	4	115	115	191206974700443
7	62	7	7	7	66	23	69	9	9	52	134	134	132	9	89	50	50	76
95	63	75	75	95	58	31	78	44	40	21	51	51	49	24	80	78	78	25525831956644113617013748212
16	64	16	16	16	49	40	60	52	48	63	62	62	60	77	6	27	27	51510
40	65	40	40	40	47	42	75	40	60	7	86	86	84	51	146	117	117	1003651412950
33	66	33	33	33	4	85	65	17	65	19	40	40	38	42	110	28	28	7137437912
57	67	57	57	57	42	47	83	63	44	56	25	25	22	17	41	18	18	138245758910846492
43	68	43	43	43	69	20	27	25	5	46	155	155	153	14	55	114	114	7409811047825
10	69	10	10	10	77	12	56	41	24	51	124	124	122	45	135	111	111	514
13	70	13	13	13	17	72	86	33	30	12	156	156	154	78	66	49	49	5216
145	71			145	33	56	54	7	7		47	47	45	84	102	75	75	
41	72	41	41	41	56	33	50	77	70	37	122	122	120	67	148	113	113	1458252205147
36	73	36	36	36	41	48	26	87	84	64	64	64	62	43	154	152	152	42387769980
14	74	14	14	14	45	44	70	58	41	58	88	88	86	41	19	44	44	10544
105	75	77	77	105	5	84	15	34	58	24	70	70	68	6	87	64	64	29083230144918045706788529192435
38	76	38	38	38	20	69	88	66	50	55	104	104	102	53	56	137	137	146971536592
120	77	80	80	120	15	74	58	15	46	34	37	37	34	59	64	160	160	919343500840980333540511050618764323
100	78	76	76	100	50	39	34	56	11	76	114	114	112	30	97	47	47	868221233689326498340379183142
160	79			160	68	21	40	30	62		138	138	136	46	101	56	56	
28	80	28	28	28	7	82	79	71	21	81	9	9	6	64	160	66	66	227634408
42	81	42	42	42	13	76	82	27	34	71	83	83	81	86	119	16	16	2895374552463
6	82	6	6	6	81	8	30	1	19	65	157	157	155	32	145	81	81	49
50	83	50	50	50	83	6	25	43	13	75	130	130	128	55	82	102	102	611140496167764
35	84	35	35	35	54	35	29	86	53	60	149	149	147	33	153	125	125	20112871792
23	85	23	23	23	55	34	1	53	57	73	121	121	119	27	138	143	143	5598802
2	86	2	2	2	21	68	37	64	59	80	73	73	71	81	46	112	112	3
46	87	46	46	46	59	30	64	79	43	17	90	90	88	39	71	88	88	51408670348612
15	88	15	15	15	70	19	61	83	28	16	159	159	157	75	100	101	101	26867
71				71							150	150	148		90	108	108	
72				72							109	109	107		34	15	15	
73				73							8	8	5		114	17	17	
74				74							93	93	91		83	95	95	
76				76							81	81	79		77	103	103	
77				77							67	67	65		24	37	37	
78				78							27	27	24		136	157	157	
79				79							55	55	53		57	136	136	
81				81							28	28	25		39	129	129	
82				82							13	13	10		12	131	131	
83				83							16	16	13		63	69	69	
84				84							71	71	69		125	148	148	
86				86							112	112	110		7	29	29	
87				87							158	158	156		106	32	32	
88				88							30	30	27		65	3	3	
89				89							48	48	46		139	67	67	
91				91							89	89	87		126	52	52	
92				92							54	54	52		117	2	2	
93				93							35	35	32		26	104	104	
94				94							113	113	111		52	97	97	
96				96							20	20	17		111	63	63	
97				97							45	45	43		44	151	151	
98				98							75	75	73		9	141	141	
99				99							111	111	109		17	26	26	
101				101							69	69	67		31	11	11	
102				102							152	152	150		115	123	123	
103				103							59	59	57		158	86	86	
104				104							85	85	83		107	87	87	
106				106							42	42	40		94	19	19	
107				107							21	21	18		151	77	77	
108				108							103	103	101		133	6	6	
109				109							101	101	99		129	100	100	
111				111							39	39	37		147	93	93	
112				112							41	41	39		150	145	145	
113				113							141	141	139		37	134	134	
114				114							34	34	31		50	59	59	
116				116							137	137	135		81	61	61	
117				117							115	115	113		29	96	96	
118				118							147	147	145		48	144	144	
119				119							100	100	98		95	90	90	
121				121							98	98	96		1	142	142	
122				122							135	135	133		73	133	133	
123				123							76	76	74		75	146	146	
124				124							66	66	64		127	24	24	
126				126							57	57	55		70	38	38	
127				127							97	97	95		143	20	20	
128				128							133	133	131		112	22	22	
129				129							107	107	105		134	105	105	
131				131							33	33	30		5	36	36	
132				132							119	119	117		59	4	4	
133				133							1	1	35		156	8	8	
134				134							10	10	7		141	21	21	
136				136							2	2	159		32	147	147	
137				137							26	26	23		130	23	23	
138				138							58	58	56		22	85	85	
139				139							96	96	94		72	40	40	
141				141							68	68	66		61	33	33	
142				142							24	24	21		103	121	121	
143				143							11	11	8		3	54	54	
144				144							142	142	140		104	80	80	
146				146							128	128	126		18	92	92	
147				147							44	44	42		99	25	25	
148				148							95	95	93		28	139	139	
149				149							74	74	72		128	39	39	
151				151							12	12	9		142	119	119	
152				152							126	126	124		53	73	73	
153				153							38	38	36		152	65	65	
154				154							143	143	141		116	106	106	
156				156							92	92	90		30	140	140	
157				157							15	15	12		45	150	150	
158				158							53	53	51		68	9	9	
159				159							19	19	16		96	138	138	
