split,puzzle_a,puzzle_b,d_a,d_b,d_c,x_match,y_match,x_rate,y_rate,overflow_x,overflow_y
train,50,58,611140496167764,199976667976342049,200587808472509813,8,5,0.1026,0.0641,0,0
train,36,62,42387769980,3908372542507822062,3908372584895592042,10,10,0.1282,0.1282,0,0
train,4,50,8,611140496167764,611140496167772,15,5,0.1923,0.0641,0,0
train,15,52,26867,4216495639600700,4216495639627567,5,10,0.0641,0.1282,0,0
train,21,61,1811764,1425787542618654982,1425787542620466746,8,9,0.1026,0.1154,0,0
train,8,28,224,227634408,227634632,8,9,0.1026,0.1154,0,0
train,23,29,5598802,400708894,406307696,7,9,0.0897,0.1154,0,0
train,16,27,51510,111949941,112001451,8,7,0.1026,0.0897,0,0
train,56,66,44218742292676575,46346217550346335726,46390436292639012301,16,9,0.2051,0.1154,0,0
train,5,42,21,2895374552463,2895374552484,3,4,0.0385,0.0513,0,0
train,3,4,7,8,15,8,11,0.1026,0.1410,0,0
train,29,50,400708894,611140496167764,611140896876658,16,6,0.2051,0.0769,0,0
train,12,28,2683,227634408,227637091,11,5,0.1410,0.0641,0,0
train,38,63,146971536592,8993229949524469768,8993230096496006360,11,10,0.1410,0.1282,0,0
train,23,50,5598802,611140496167764,611140501766566,9,9,0.1154,0.1154,0,0
train,42,57,2895374552463,138245758910846492,138248654285398955,7,4,0.0897,0.0513,0,0
train,20,46,863317,51408670348612,51408671211929,4,10,0.0513,0.1282,0,0
train,46,53,51408670348612,6763683971478124,6815092641826736,8,6,0.1026,0.0769,0,0
train,19,38,357535,146971536592,146971894127,7,8,0.0897,0.1026,0,0
train,47,47,119666659114170,119666659114170,239333318228340,11,5,0.1410,0.0641,0,0
train,3,130,7,1103873984953507439627945351144005829577,1103873984953507439627945351144005829584,14,5,0.1795,0.0641,0,0
train,47,63,119666659114170,8993229949524469768,8993349616183583938,14,10,0.1795,0.1282,0,0
train,13,61,5216,1425787542618654982,1425787542618660198,9,5,0.1154,0.0641,0,0
train,34,64,14133072157,17799667357578236628,17799667371711308785,6,8,0.0769,0.1026,0,0
train,43,80,7409811047825,1105520030589234487939456,1105520030596644298987281,9,11,0.1154,0.1410,0,0
train,57,100,138245758910846492,868221233689326498340379183142,868221233689464744099290029634,6,4,0.0769,0.0513,0,0
train,20,55,863317,30045390491869460,30045390492732777,11,4,0.1410,0.0513,0,0
train,54,59,9974455244496707,525070384258266191,535044839502762898,4,11,0.0513,0.1410,0,0
train,37,67,100251560595,132656943602386256302,132656943702637816897,6,3,0.0769,0.0385,0,0
train,50,61,611140496167764,1425787542618654982,1426398683114822746,12,2,0.1538,0.0256,0,0
train,4,39,8,323724968937,323724968945,7,2,0.0897,0.0256,0,0
train,23,53,5598802,6763683971478124,6763683977076926,6,6,0.0769,0.0769,0,0
train,14,68,10544,219898266213316039825,219898266213316050369,8,11,0.1026,0.1410,0,0
train,64,64,17799667357578236628,17799667357578236628,35599334715156473256,7,10,0.0897,0.1282,0,0
train,49,100,409118905032525,868221233689326498340379183142,868221233689326907459284215667,12,7,0.1538,0.0897,0,0
train,11,17,1155,95823,96978,9,7,0.1154,0.0897,0,0
train,6,65,49,30568377312064202855,30568377312064202904,12,10,0.1538,0.1282,0,0
train,25,55,33185509,30045390491869460,30045390525054969,9,8,0.1154,0.1026,0,0
train,62,63,3908372542507822062,8993229949524469768,12901602492032291830,7,13,0.0897,0.1667,0,0
train,20,28,863317,227634408,228497725,6,6,0.0769,0.0769,0,0
train,40,62,1003651412950,3908372542507822062,3908373546159235012,9,9,0.1154,0.1154,0,0
train,41,52,1458252205147,4216495639600700,4217953891805847,10,6,0.1282,0.0769,0,0
train,16,46,51510,51408670348612,51408670400122,8,13,0.1026,0.1667,0,0
train,31,46,2102388551,51408670348612,51410772737163,11,16,0.1410,0.2051,0,0
train,61,66,1425787542618654982,46346217550346335726,47772005092964990708,12,9,0.1538,0.1154,0,0
train,9,42,467,2895374552463,2895374552930,11,9,0.1410,0.1154,0,0
train,63,66,8993229949524469768,46346217550346335726,55339447499870805494,12,5,0.1538,0.0641,0,0
train,55,56,30045390491869460,44218742292676575,74264132784546035,12,13,0.1538,0.1667,0,0
train,32,66,3093472814,46346217550346335726,46346217553439808540,8,10,0.1026,0.1282,0,0
train,31,105,2102388551,29083230144918045706788529192435,29083230144918045706790631580986,6,8,0.0769,0.1026,0,0
train,16,61,51510,1425787542618654982,1425787542618706492,6,7,0.0769,0.0897,0,0
train,16,36,51510,42387769980,42387821490,2,12,0.0256,0.1538,0,0
train,28,90,227634408,868012190417726402719548863,868012190417726402947183271,13,8,0.1667,0.1026,0,0
train,29,29,400708894,400708894,801417788,6,10,0.0769,0.1282,0,0
train,13,21,5216,1811764,1816980,5,10,0.0641,0.1282,0,0
train,67,120,132656943602386256302,919343500840980333540511050618764323,919343500840980466197454653005020625,2,5,0.0256,0.0641,0,0
train,35,125,20112871792,37650549717742544505774009877315221420,37650549717742544505774009897428093212,11,11,0.1410,0.1410,0,0
train,37,60,100251560595,1135041350219496382,1135041450471056977,11,12,0.1410,0.1538,0,0
train,1,65,1,30568377312064202855,30568377312064202856,4,8,0.0513,0.1026,0,0
train,58,59,199976667976342049,525070384258266191,725047052234608240,10,7,0.1282,0.0897,0,0
train,37,66,100251560595,46346217550346335726,46346217650597896321,8,8,0.1026,0.1026,0,0
train,29,37,400708894,100251560595,100652269489,8,9,0.1026,0.1154,0,0
train,31,50,2102388551,611140496167764,611142598556315,8,8,0.1026,0.1026,0,0
train,10,43,514,7409811047825,7409811048339,8,5,0.1026,0.0641,0,0
train,19,42,357535,2895374552463,2895374909998,6,10,0.0769,0.1282,0,0
train,55,59,30045390491869460,525070384258266191,555115774750135651,8,11,0.1026,0.1410,0,0
train,43,125,7409811047825,37650549717742544505774009877315221420,37650549717742544505774017287126269245,9,6,0.1154,0.0769,0,0
train,44,68,15404761757071,219898266213316039825,219898281618077796896,10,10,0.1282,0.1282,0,0
train,28,50,227634408,611140496167764,611140723802172,13,6,0.1667,0.0769,0,0
train,67,68,132656943602386256302,219898266213316039825,352555209815702296127,4,8,0.0513,0.1026,0,0
train,42,69,2895374552463,297274491920375905804,297274494815750458267,5,13,0.0641,0.1667,0,0
train,68,105,219898266213316039825,29083230144918045706788529192435,29083230145137943973001845232260,11,7,0.1410,0.0897,0,0
train,36,59,42387769980,525070384258266191,525070426646036171,8,12,0.1026,0.1538,0,0
train,23,35,5598802,20112871792,20118470594,5,11,0.0641,0.1410,0,0
train,56,100,44218742292676575,868221233689326498340379183142,868221233689370717082671859717,8,11,0.1026,0.1410,0,0
train,45,60,19996463086597,1135041350219496382,1135061346682582979,7,11,0.0897,0.1410,0,0
train,19,19,357535,357535,715070,9,13,0.1154,0.1667,0,0
train,48,100,191206974700443,868221233689326498340379183142,868221233689326689547353883585,3,7,0.0385,0.0897,0,0
train,32,34,3093472814,14133072157,17226544971,9,8,0.1154,0.1026,0,0
train,35,67,20112871792,132656943602386256302,132656943622499128094,7,8,0.0897,0.1026,0,0
train,52,61,4216495639600700,1425787542618654982,1430004038258255682,5,8,0.0641,0.1026,0,0
train,36,70,42387769980,970436974005023690481,970436974047411460461,5,8,0.0641,0.1026,0,0
train,44,130,15404761757071,1103873984953507439627945351144005829577,1103873984953507439627945366548767586648,6,2,0.0769,0.0256,0,0
train,45,95,19996463086597,25525831956644113617013748212,25525831956644133613476834809,6,5,0.0769,0.0641,0,0
train,15,30,26867,1033162084,1033188951,4,8,0.0513,0.1026,0,0
train,19,25,357535,33185509,33543044,11,7,0.1410,0.0897,0,0
train,2,57,3,138245758910846492,138245758910846495,11,7,0.1410,0.0897,0,0
train,15,62,26867,3908372542507822062,3908372542507848929,10,6,0.1282,0.0769,0,0
train,41,58,1458252205147,199976667976342049,199978126228547196,7,8,0.0897,0.1026,0,0
train,11,29,1155,400708894,400710049,6,7,0.0769,0.0897,0,0
train,18,66,198669,46346217550346335726,46346217550346534395,6,7,0.0769,0.0897,0,0
train,14,25,10544,33185509,33196053,8,9,0.1026,0.1154,0,0
train,13,56,5216,44218742292676575,44218742292681791,10,11,0.1282,0.1410,0,0
train,2,12,3,2683,2686,10,7,0.1282,0.0897,0,0
train,1,27,1,111949941,111949942,13,8,0.1667,0.1026,0,0
train,9,110,467,1090246098153987172547740458951748,1090246098153987172547740458952215,8,2,0.1026,0.0256,0,0
train,11,34,1155,14133072157,14133073312,5,8,0.0641,0.1026,0,0
train,10,42,514,2895374552463,2895374552977,7,5,0.0897,0.0641,0,0
train,45,105,19996463086597,29083230144918045706788529192435,29083230144918045726784992279032,4,7,0.0513,0.0897,0,0
train,11,23,1155,5598802,5599957,10,7,0.1282,0.0897,0,0
train,13,66,5216,46346217550346335726,46346217550346340942,7,9,0.0897,0.1154,0,0
train,21,23,1811764,5598802,7410566,8,13,0.1026,0.1667,0,0
train,23,57,5598802,138245758910846492,138245758916445294,6,4,0.0769,0.0513,0,0
train,40,75,1003651412950,22538323240989823823367,22538323241993475236317,9,6,0.1154,0.0769,0,0
train,19,29,357535,400708894,401066429,8,7,0.1026,0.0897,0,0
train,9,46,467,51408670348612,51408670349079,8,10,0.1026,0.1282,0,0
train,56,105,44218742292676575,29083230144918045706788529192435,29083230144918089925530821869010,6,5,0.0769,0.0641,0,0
train,62,65,3908372542507822062,30568377312064202855,34476749854572024917,9,7,0.1154,0.0897,0,0
train,19,95,357535,25525831956644113617013748212,25525831956644113617014105747,5,8,0.0641,0.1026,0,0
train,8,11,224,1155,1379,8,8,0.1026,0.1026,0,0
train,1,36,1,42387769980,42387769981,9,8,0.1154,0.1026,0,0
train,12,49,2683,409118905032525,409118905035208,5,3,0.0641,0.0385,0,0
train,14,125,10544,37650549717742544505774009877315221420,37650549717742544505774009877315231964,7,10,0.0897,0.1282,0,0
train,2,69,3,297274491920375905804,297274491920375905807,10,7,0.1282,0.0897,0,0
train,15,65,26867,30568377312064202855,30568377312064229722,7,9,0.0897,0.1154,0,0
train,18,39,198669,323724968937,323725167606,9,12,0.1154,0.1538,0,0
train,2,4,3,8,11,10,6,0.1282,0.0769,0,0
train,15,37,26867,100251560595,100251587462,7,7,0.0897,0.0897,0,0
train,9,15,467,26867,27334,9,8,0.1154,0.1026,0,0
train,17,17,95823,95823,191646,5,7,0.0641,0.0897,0,0
train,42,95,2895374552463,25525831956644113617013748212,25525831956644116512388300675,7,5,0.0897,0.0641,0,0
train,18,35,198669,20112871792,20113070461,13,7,0.1667,0.0897,0,0
train,50,62,611140496167764,3908372542507822062,3908983683003989826,9,5,0.1154,0.0641,0,0
train,64,75,17799667357578236628,22538323240989823823367,22556122908347402059995,13,5,0.1667,0.0641,0,0
train,23,43,5598802,7409811047825,7409816646627,8,10,0.1026,0.1282,0,0
train,45,64,19996463086597,17799667357578236628,17799687354041323225,11,10,0.1410,0.1282,0,0
train,6,49,49,409118905032525,409118905032574,5,11,0.0641,0.1410,0,0
train,36,64,42387769980,17799667357578236628,17799667399966006608,7,9,0.0897,0.1154,0,0
train,52,95,4216495639600700,25525831956644113617013748212,25525831956648330112653348912,7,6,0.0897,0.0769,0,0
train,38,50,146971536592,611140496167764,611287467704356,5,6,0.0641,0.0769,0,0
train,26,61,54538862,1425787542618654982,1425787542673193844,10,4,0.1282,0.0513,0,0
train,20,59,863317,525070384258266191,525070384259129508,7,6,0.0897,0.0769,0,0
train,24,66,14428676,46346217550346335726,46346217550360764402,8,3,0.1026,0.0385,0,0
train,4,24,8,14428676,14428684,4,8,0.0513,0.1026,0,0
train,30,48,1033162084,191206974700443,191208007862527,7,11,0.0897,0.1410,0,0
train,20,125,863317,37650549717742544505774009877315221420,37650549717742544505774009877316084737,7,9,0.0897,0.1154,0,0
train,9,26,467,54538862,54539329,7,4,0.0897,0.0513,0,0
train,4,95,8,25525831956644113617013748212,25525831956644113617013748220,12,7,0.1538,0.0897,0,0
train,21,46,1811764,51408670348612,51408672160376,5,10,0.0641,0.1282,0,0
train,55,75,30045390491869460,22538323240989823823367,22538353286380315692827,12,6,0.1538,0.0769,0,0
train,51,63,2058769515153876,8993229949524469768,8995288719039623644,6,6,0.0769,0.0769,0,0
train,61,120,1425787542618654982,919343500840980333540511050618764323,919343500840980334966298593237419305,7,2,0.0897,0.0256,0,0
train,41,110,1458252205147,1090246098153987172547740458951748,1090246098153987172549198711156895,7,8,0.0897,0.1026,0,0
train,110,115,1090246098153987172547740458951748,31464123230573852164273674364426950,32554369328727839336821414823378698,8,3,0.1026,0.0385,0,0
train,2,68,3,219898266213316039825,219898266213316039828,8,5,0.1026,0.0641,0,0
train,49,56,409118905032525,44218742292676575,44627861197709100,7,6,0.0897,0.0769,0,0
train,5,14,21,10544,10565,9,5,0.1154,0.0641,0,0
train,20,80,863317,1105520030589234487939456,1105520030589234488802773,3,9,0.0385,0.1154,0,0
train,28,30,227634408,1033162084,1260796492,7,11,0.0897,0.1410,0,0
train,3,58,7,199976667976342049,199976667976342056,5,5,0.0641,0.0641,0,0
train,23,64,5598802,17799667357578236628,17799667357583835430,6,4,0.0769,0.0513,0,0
train,20,49,863317,409118905032525,409118905895842,10,12,0.1282,0.1538,0,0
train,12,59,2683,525070384258266191,525070384258268874,8,6,0.1026,0.0769,0,0
train,13,52,5216,4216495639600700,4216495639605916,5,9,0.0641,0.1154,0,0
train,7,70,76,970436974005023690481,970436974005023690557,9,7,0.1154,0.0897,0,0
train,40,65,1003651412950,30568377312064202855,30568378315715615805,10,7,0.1282,0.0897,0,0
train,2,17,3,95823,95826,7,6,0.0897,0.0769,0,0
train,7,68,76,219898266213316039825,219898266213316039901,12,11,0.1538,0.1410,0,0
train,17,47,95823,119666659114170,119666659209993,5,10,0.0641,0.1282,0,0
train,38,75,146971536592,22538323240989823823367,22538323241136795359959,10,8,0.1282,0.1026,0,0
train,2,51,3,2058769515153876,2058769515153879,7,8,0.0897,0.1026,0,0
train,32,61,3093472814,1425787542618654982,1425787545712127796,8,11,0.1026,0.1410,0,0
train,13,120,5216,919343500840980333540511050618764323,919343500840980333540511050618769539,11,8,0.1410,0.1026,0,0
train,53,56,6763683971478124,44218742292676575,50982426264154699,8,7,0.1026,0.0897,0,0
train,20,58,863317,199976667976342049,199976667977205366,12,6,0.1538,0.0769,0,0
train,8,22,224,3007503,3007727,10,4,0.1282,0.0513,0,0
train,54,70,9974455244496707,970436974005023690481,970446948460268187188,14,12,0.1795,0.1538,0,0
train,49,52,409118905032525,4216495639600700,4625614544633225,4,6,0.0513,0.0769,0,0
train,31,52,2102388551,4216495639600700,4216497741989251,8,7,0.1026,0.0897,0,0
train,13,115,5216,31464123230573852164273674364426950,31464123230573852164273674364432166,8,7,0.1026,0.0897,0,0
train,20,52,863317,4216495639600700,4216495640464017,10,13,0.1282,0.1667,0,0
train,49,68,409118905032525,219898266213316039825,219898675332221072350,4,3,0.0513,0.0385,0,0
train,12,58,2683,199976667976342049,199976667976344732,12,6,0.1538,0.0769,0,0
train,54,120,9974455244496707,919343500840980333540511050618764323,919343500840980333550485505863261030,7,14,0.0897,0.1795,0,0
train,90,100,868012190417726402719548863,868221233689326498340379183142,869089245879744224743098732005,6,6,0.0769,0.0769,0,0
train,8,23,224,5598802,5599026,8,9,0.1026,0.1154,0,0
train,19,55,357535,30045390491869460,30045390492226995,13,6,0.1667,0.0769,0,0
train,30,59,1033162084,525070384258266191,525070385291428275,7,7,0.0897,0.0897,0,0
train,1,58,1,199976667976342049,199976667976342050,12,9,0.1538,0.1154,0,0
train,7,105,76,29083230144918045706788529192435,29083230144918045706788529192511,8,14,0.1026,0.1795,0,0
train,65,105,30568377312064202855,29083230144918045706788529192435,29083230144948614084100593395290,7,4,0.0897,0.0513,0,0
train,40,90,1003651412950,868012190417726402719548863,868012190417727406370961813,8,6,0.1026,0.0769,0,0
train,40,64,1003651412950,17799667357578236628,17799668361229649578,11,7,0.1410,0.0897,0,0
train,27,48,111949941,191206974700443,191207086650384,6,9,0.0769,0.1154,0,0
train,3,62,7,3908372542507822062,3908372542507822069,11,9,0.1410,0.1154,0,0
train,24,52,14428676,4216495639600700,4216495654029376,6,7,0.0769,0.0897,0,0
train,42,100,2895374552463,868221233689326498340379183142,868221233689326501235753735605,5,7,0.0641,0.0897,0,0
train,43,51,7409811047825,2058769515153876,2066179326201701,6,7,0.0769,0.0897,0,0
train,23,63,5598802,8993229949524469768,8993229949530068570,8,7,0.1026,0.0897,0,0
train,36,115,42387769980,31464123230573852164273674364426950,31464123230573852164273716752196930,4,11,0.0513,0.1410,0,0
train,1,34,1,14133072157,14133072158,9,9,0.1154,0.1154,0,0
