n,interp,n_dot_C,target
10,B,10.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000089818738855035688652200583503814163378904040200013314910576869166160940372083920
11,B,11.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000098454907410130133277586935366614562950020040564449596295600572636329852508614445
12,B,12.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000107091075965224577902973287229414962521136040928885877680624276106498764645144969
13,B,13.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000115727244520319022528359639092215362092252041293322159065647979576667676781675493
14,B,14.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000124363413075413467153745990955015761663368041657758440450671683046836588918206018
15,B,15.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000132999581630507911779132342817816161234484042022194721835695386517005501054736542
16,B,16.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000141635750185602356404518694680616560805600042386631003220719089987174413191267066
17,B,17.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000150271918740696801029905046543416960376716042751067284605742793457343325327797591
18,B,18.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000158908087295791245655291398406217359947832043115503565990766496927512237464328115
19,B,19.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000167544255850885690280677750269017759518948043479939847375790200397681149600858639
20,B,20.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000000176180424405980134906064102131818159090064043844376128760813903867850061737389164
135,B,135.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000001169339808241841266825494566353864109768404085754548488038539802937274957438399463
256,B,256.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000002214316203408269066497243141752712457873440129851338535626407922827713325958592909
1000,B,1000.400299424685491941412237920136078078570936627989436474355800763988659548296974472020233503111073944903824898805087210896741933336645418894770600000000000000,0.000000000000000000000000000000000000000000000000000000000000000000000000008639625608398535867784688927676209738783744400991931886084043304633383955537303020
