n0,n1,d0_dec,d1_dec,Delta_signed_dec,Delta_modN_dec,P0_0_x_y,P1_0_x_y,P0_plus_DeltaG_0_x_y,verify
11,12,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001155,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002683,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001528,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001528,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062881537490095887219700399231850374465934748632261627566823792868512270937739.000000000000000000000000000000000000000000000000000000000000000000000000000000013147057280235047456932561657169493651618639731944681771959256397716727593785,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,True
12,13,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002683,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005216,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002533,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002533,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,True
13,14,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005216,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010544,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005328,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005328,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,True
14,15,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010544,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026867,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016323,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016323,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,True
15,16,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026867,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051510,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024643,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024643,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,True
16,17,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051510,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095823,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044313,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044313,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,True
17,18,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095823,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198669,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102846,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102846,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,True
18,19,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198669,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357535,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158866,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158866,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,True
19,20,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357535,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000863317,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505782,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000505782,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,True
20,21,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000863317,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001811764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000948447,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000948447,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,True
21,22,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001811764,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003007503,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001195739,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001195739,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,True
22,23,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003007503,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005598802,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002591299,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002591299,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,True
23,24,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005598802,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014428676,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008829874,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008829874,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,True
24,25,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014428676,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033185509,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018756833,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018756833,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,True
25,26,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033185509,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054538862,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021353353,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021353353,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,True
