puzzle,d,x,y,y_over_p,x_dot_y_over_p,x_dot_y_over_p__over_p,y_over_N,x_dot_y_over_N,x_dot_y_over_N__over_N,y_over_p_digits,nested_p_frac_digits
11,1155,62881537490095887219700399231850374465934748632261627566823792868512270937739,13147057280235047456932561657169493651618639731944681771959256397716727593785,0.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,62881537490095887219700399231850374465934748632261627566823792868512270937739.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,0.543055556767958548393572910794610963469543689962358066889768090866543490762656423422357961318586404962621257331115492284668935831116322036443596470293233803,0.113540202675591408756258414778735436206987665715162729986272166575021144118019400984422798298669337308471534564338025546823888669592419518380642734997401118,62881537490095887219700399231850374465934748632261627566823792868512270937739.113540202675591408756258414778735436206987665715162729986272166575021144118019400984422798298669337308471534564338025546823888669592419518380642734997401118,0.543055556767958548393572910794610963471571706688983915690227175787523365818109301979819820942470056176239209625640525108572892770470261688635804396591124606,156,156
12,2683,62873230362895154212630786022242768049765907075202803363316800197224716728348,44287605905639058437764882210076840571916049925678373415089141948008474303433,0.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,62873230362895154212630786022242768049765907075202803363316800197224716728348.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,0.542983815017244408261451214495138794014838783164708293857423809602787249691187142352603730709899697890269697605456825581320346794829026714862593513915898577,0.382475229502695060009048965526065932120843042201684186888838389496923680314655841845066145056653911421734786604986579754464483750595303924644603713926326505,62873230362895154212630786022242768049765907075202803363316800197224716728348.382475229502695060009048965526065932120843042201684186888838389496923680314655841845066145056653911421734786604986579754464483750595303924644603713926326505,0.542983815017244408261451214495138794016866531974969725700405031247640678278129783053633796423549774116243731610480812405142583392676975388914111032858401733,156,156
13,5216,77279535011188034078516592160190105278519663645387310740933932046966334391965,21187662028949108981404481381270595331275020854904259675645205037069861834225,0.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,77279535011188034078516592160190105278519663645387310740933932046966334391965.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,0.667399090215942309835316511250547224608691307025737162728933565442213599787819507981978514545011381745531712207231056642180697091096925047721135280494931886,0.182980220570378855483610192276114741323272235709685557106386056256617863094936408151910169157100571672108293319134494691559384696525943173492213139920909334,77279535011188034078516592160190105278519663645387310740933932046966334391965.182980220570378855483610192276114741323272235709685557106386056256617863094936408151910169157100571672108293319134494691559384696525943173492213139920909334,0.667399090215942309835316511250547224611183679125469011189148042300372250010129859080594228416463888741604046910701957223252833838813329887837905228682014352,156,156
14,10544,81843657467215387495831064399406566332608612828066495589872347702422424340313,54485907183099442435241830545487744604431707282385107218140713089194934994051,0.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,81843657467215387495831064399406566332608612828066495589872347702422424340313.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,0.706815621052286166473376488545464900012138862385148090455126664569420504086833794908495501339826938699272095062880027236072949273587588096713063683345577817,0.470549478310477933290011485692645399819839898489667864578894281439845730188996377222302232837034552519989290819762554409501854577505737620391027294244615874,81843657467215387495831064399406566332608612828066495589872347702422424340313.470549478310477933290011485692645399819839898489667864578894281439845730188996377222302232837034552519989290819762554409501854577505737620391027294244615874,0.706815621052286166473376488545464900014778433759144662500090896860610540558396483232784493224886444351730455290787024041002605344100634066005600744650594881,156,156
15,26867,115179987075229906903259602194857104773352008368264866291918996865985783521068,90040672269639781867601170828097460642155183514693739441068299505511569496110,0.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,115179987075229906903259602194857104773352008368264866291918996865985783521068.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,0.994713782555285072124832941387138196235226956670604940829053645026164296327722846868148508104777744429133763955682580392223980015845172733371324158005212833,0.777606422534627422904077814329541603565892822246168116735426744638545079122649064991195860021657937424910079053180353784269634547172569227544614423180675469,115179987075229906903259602194857104773352008368264866291918996865985783521068.777606422534627422904077814329541603565892822246168116735426744638545079122649064991195860021657937424910079053180353784269634547172569227544614423180675469,0.994713782555285072124832941387138196238941670872653614919550073900312274557122849394247483521824137147680683191131486414414216812597532883274552897301536444,156,156
16,51510,71261119111627271268814301300816751730184609798722377831958734823956300761978,59596021694081902311438976720015207351957060174440251698640379092733344351048,0.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,71261119111627271268814301300816751730184609798722377831958734823956300761978.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,0.615423036072675204711298857917184019269333014461891651695858827954910805324518973344066942400314415686029203638711429405817372206657761079964859987342368789,0.514681288563156478280045571530864427766093561970021592976862759880251263539840216902984368986034123957527044398847669805548775468408439461657893724789323802,71261119111627271268814301300816751730184609798722377831958734823956300761978.514681288563156478280045571530864427766093561970021592976862759880251263539840216902984368986034123957527044398847669805548775468408439461657893724789323802,0.615423036072675204711298857917184019271631284308414080904683413984290554839205238640861584940761469472615919865583708691065819434589019951291916100239600568,156,156
17,95823,28680425603065441115290152280488699295594719576682295038107311098738046478531,25891784853872784916698406928566284655180782352356802345945352320731968056623,0.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,28680425603065441115290152280488699295594719576682295038107311098738046478531.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,0.247688989739919386219075593120163811522651059433474356234742639956179312182646051510931477451499027146216097885733836912337315897441931779539282036577120304,0.223605818190286754988977110613762437909711656500688333011968007262572554741436610608670213525247763935467511859899510067846456750869040612188106003766762579,28680425603065441115290152280488699295594719576682295038107311098738046478531.223605818190286754988977110613762437909711656500688333011968007262572554741436610608670213525247763935467511859899510067846456750869040612188106003766762579,0.247688989739919386219075593120163811523576042905116189134228674744913593776597100233406846520550921521349661095883196350216304762153736299209506144548869946,156,156
18,198669,5831721406635063654683117253506846208566679410118154188144422804291796683505,61770026510604113021686089777374557608174938587526483912023179154647723408296,0.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,5831721406635063654683117253506846208566679410118154188144422804291796683505.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,0.050363729034052879838604933241617888516697063049612390003220740892482537378377874752144702300680935187976016541281910367077985095904724292125774226793163356,0.533456360598229461945450470401661829029187429868528755278023121863901597645693816074352339059769303069353900553534811970351422255460828939411439386896922205,5831721406635063654683117253506846208566679410118154188144422804291796683505.533456360598229461945450470401661829029187429868528755278023121863901597645693816074352339059769303069353900553534811970351422255460828939411439386896922205,0.050363729034052879838604933241617888516885144146699761772941256723851033931713978500547125830308257594025053006667289443701100235541391450183965257224251581,156,156
19,357535,60338245119404298188752055094151291956247541820833238489095541627141964729881,31432635976074881250581475377260990518299484384225785790788933914681598133873,0.271457542420308265311296771712322212993130046928364567721066935761977886399002397098160825972917629557767420202312319788294723234951391537636180749819815919,60338245119404298188752055094151291956247541820833238489095541627141964729881.271457542420308265311296771712322212993130046928364567721066935761977886399002397098160825972917629557767420202312319788294723234951391537636180749819815919,0.521091255169780243306315965461550787518006801342282507716165160872576890917895449841580665503481552084690654718020791196068093120813859428722273494021974308,0.271457542420308265311296771712322212994143792998607546877481623591527230174350334853112023687993905818579912757460850938530602124119873923257596619070808322,60338245119404298188752055094151291956247541820833238489095541627141964729881.271457542420308265311296771712322212994143792998607546877481623591527230174350334853112023687993905818579912757460850938530602124119873923257596619070808322,0.521091255169780243306315965461550787519952793365404965984292499571477314595195426346895237378000296688430055634320622546185534214190376708273685298406409273,156,156
20,863317,27269999313721489064003814688126459473916071371077568700989584042678664122236,61518159794260916008520957000838288631389138584881336375456078921081169337009,0.531281197182471451854511505906293346035891855464889380063536168711922741132968281146681967027397816433108144851245663542364543942851367182795310287231465017,27269999313721489064003814688126459473916071371077568700989584042678664122236.531281197182471451854511505906293346035891855464889380063536168711922741132968281146681967027397816433108144851245663542364543942851367182795310287231465017,0.235508310570608608751796625232158217653232228800366823647640347645956181731233932363379735215119766683081402174531782447109804801312739933109887415003947475,0.531281197182471451854511505906293346037875901371426782037950174573952908408282132517111834739603964853131443934769533337023802253083872091842739147137657089,27269999313721489064003814688126459473916071371077568700989584042678664122236.531281197182471451854511505906293346037875901371426782037950174573952908408282132517111834739603964853131443934769533337023802253083872091842739147137657089,0.235508310570608608751796625232158217654111724069578604893009100346657348773054581800081437479550681487089303490428145308249685825191852864654348628418312971,156,156
21,1811764,11965836972506588223997128401045962469020054936532040942669396711946779550878,20508170458539512907339144104761652653989862605562274795589281214845594026553,0.177112016836555759071695157241657381084727088177269777691133543630928814295183272783389650542505146727754828207153080385406026170692142240538197371026030790,11965836972506588223997128401045962469020054936532040942669396711946779550878.177112016836555759071695157241657381084727088177269777691133543630928814295183272783389650542505146727754828207153080385406026170692142240538197371026030790,0.103338984997347905740719840146549208926021612739555243923646082424597529533844148047254069480103970473618218866634850955209279713385824946176534954761685696,0.177112016836555759071695157241657381085388505095215891577728643934118281947476549712088061581441737077562387813616078192213083544962955303410609728277383758,11965836972506588223997128401045962469020054936532040942669396711946779550878.177112016836555759071695157241657381085388505095215891577728643934118281947476549712088061581441737077562387813616078192213083544962955303410609728277383758,0.103338984997347905740719840146549208926407527564429612043673973585756245411714895071697493300416133572262145423705320276572910818497659792850127153527108874,156,156
22,3007503,28427543130978074585626614985345471977959286787477589552057226505098203151171,50682816582500312841297567883708830117558309276952202558634043072443816047348,0.437705346853408484663336185362563105886684935573930810544605849633156274920655344319254544467880766473154335350893041346913157855201834777592515061081828239,28427543130978074585626614985345471977959286787477589552057226505098203151171.437705346853408484663336185362563105886684935573930810544605849633156274920655344319254544467880766473154335350893041346913157855201834777592515061081828239,0.245505054086343922792492811688485969277244153428955735192946029925293723585863483704172064430395985255773571662937110868963202611885072447050436272904641768,0.437705346853408484663336185362563105888319526646040167724879496736584602137572703772630817572864653513694572064446799231867249622764781316633518367012269569,28427543130978074585626614985345471977959286787477589552057226505098203151171.437705346853408484663336185362563105888319526646040167724879496736584602137572703772630817572864653513694572064446799231867249622764781316633518367012269569,0.245505054086343922792492811688485969278160981090422849484270672934424507765936151156988888217000978735047739246971098010667916713737475522743979992587958671,156,156
23,5598802,112242605370855911626219397372182973708357660307191681275644769547017645510731,68390115887979834732633364824402183781075100352900279452463611034517340924735,0.590628568311036430067234543809686981639498435664300426589353196285547371143933709304045074537035722847926152423256148129812898369056621594241725449824525193,112242605370855911626219397372182973708357660307191681275644769547017645510731.590628568311036430067234543809686981639498435664300426589353196285547371143933709304045074537035722847926152423256148129812898369056621594241725449824525193,0.969346059045660648238853485289867975589324835913608853759449832811541454241864209341909383662209120430912439618259617526129131755207592065487107436481173328,0.590628568311036430067234543809686981641704111678162978585292267709235753507786136809155514139585531551579909378205236601177079801114843693632881571870734593,112242605370855911626219397372182973708357660307191681275644769547017645510731.590628568311036430067234543809686981641704111678162978585292267709235753507786136809155514139585531551579909378205236601177079801114843693632881571870734593,0.969346059045660648238853485289867975592944815485005510649132221915155729776284152582253428813124278394745831412199817666803759968712956869642245264424745582,156,156
24,14428676,50051642716414720463187965900760752759743717926024251995580996834432353782028,95977329040668870486165415718601595529707258475317259821694622043699258647209,0.828876391062977358346817926841198593100776291453402677777244838560506537280845984205661861635189329520132756793882264720010501348268471232764430063705840951,50051642716414720463187965900760752759743717926024251995580996834432353782028.828876391062977358346817926841198593100776291453402677777244838560506537280845984205661861635189329520132756793882264720010501348268471232764430063705840951,0.432254422958322699849622261184894755884870101914942821387558927926774477041442180932760921526047010027006087686724502411298739876651368231959151344488312465,0.828876391062977358346817926841198593103871693322385390056434826147097463339275380942289266240854652414785582490864694773337846347545399953872316650788646149,50051642716414720463187965900760752759743717926024251995580996834432353782028.828876391062977358346817926841198593103871693322385390056434826147097463339275380942289266240854652414785582490864694773337846347545399953872316650788646149,0.432254422958322699849622261184894755886484336755176768471289195005154755720335736507829475170673030071663552274815203586412933041185700106177035082808939400,156,156
25,33185509,2487269563521372588638256629682732896198248350279877738175192749508256023898,83166736743316151169117427554752633507423263386878521247276704816202397537877,0.718241956692444702446686253768266472805950977093376581192896932223024348391176361584918537699219707313089194987580090899741021022463279379539940905943673631,2487269563521372588638256629682732896198248350279877738175192749508256023898.718241956692444702446686253768266472805950977093376581192896932223024348391176361584918537699219707313089194987580090899741021022463279379539940905943673631,0.021480479192526762262598313118058735940964079564533051219215052513230437198277806110136058215520937469624395150496175735166980585730453472125863071314312446,0.718241956692444702446686253768266472808633219607578765865474130329417854242050173994774928849458758087634375329475751558085952584878222695078725643409608225,2487269563521372588638256629682732896198248350279877738175192749508256023898.718241956692444702446686253768266472808633219607578765865474130329417854242050173994774928849458758087634375329475751558085952584878222695078725643409608225,0.021480479192526762262598313118058735941044297454867606171435418980699773020089402638211057112693567147991758487826836187827718567237324867910165158423557465,156,156
26,54538862,35420539632094692837984746081431277047695579008914218444685265805648713712655,3358784347258280833624896144913156994018140069677567813380874750873563501770,0.029007027763135384528140865452624181290594607188120637968855956444563054437629992275428663069103395820849797117639468530366423419333908481745408688972070999,35420539632094692837984746081431277047695579008914218444685265805648713712655.029007027763135384528140865452624181290594607188120637968855956444563054437629992275428663069103395820849797117639468530366423419333908481745408688972070999,0.305897750575172734666323186375945083600682147534254427419234925733891650808142231177235238195467998322859452594930330432930369533336643090323975595381712806,0.029007027763135384528140865452624181290702932637994406472049049530042428586419601100088487341606305360605207585430575349533843693236988913517515580126780134,35420539632094692837984746081431277047695579008914218444685265805648713712655.029007027763135384528140865452624181290702932637994406472049049530042428586419601100088487341606305360605207585430575349533843693236988913517515580126780134,0.305897750575172734666323186375945083601824509023925635009558239811513494007402742340797979214010098264843905325123336237887680128062422533309734670567875702,156,156
27,111949941,11997413897869137388527643229179287173219648582998689290732186100840539639502,1470943697971973524954639516409046856461552667680474329056749594236581993569,0.012703317710739897754025143730832466350605773119194883771270273881192817350633397252860159503027101927912561501023193913035204955776259144038838046513872467,11997413897869137388527643229179287173219648582998689290732186100840539639502.012703317710739897754025143730832466350605773119194883771270273881192817350633397252860159503027101927912561501023193913035204955776259144038838046513872467,0.103611688647230517080966512392058934910335066199914051218872127206301148369770310579584951308036143646389909736512069488039000250650941468174795780617195386,0.012703317710739897754025143730832466350653213091919499383236102919986272723308998447219957977976322303016666060685360863685923005371490140090326725030597322,11997413897869137388527643229179287173219648582998689290732186100840539639502.012703317710739897754025143730832466350653213091919499383236102919986272723308998447219957977976322303016666060685360863685923005371490140090326725030597322,0.103611688647230517080966512392058934910721999424391335410172102650684479010879943539402006703456176507968562129013715598998527277201505349758535505394741883,156,156
28,227634408,105795941560543818913296116066690952042698430189737497838953392383707833745575,4504033619411268082483771859364632124471726090349020722551531509720449239959,0.038897593515047812794534328543438536479066412897023689190720407908907402267905649889454957787006881674930425883737764637717500376502415708894855155156566810,105795941560543818913296116066690952042698430189737497838953392383707833745575.038897593515047812794534328543438536479066412897023689190720407908907402267905649889454957787006881674930425883737764637717500376502415708894855155156566810,0.913671583761778015666704123850759158550655784070579973710316349176408589690103066565641262367220960838457681188800763509703419361105011617132697109903138913,0.038897593515047812794534328543438536479211674223035157955101629095320867694585381479182199990727139676696640267234520209121599400269567951930417783310169054,105795941560543818913296116066690952042698430189737497838953392383707833745575.038897593515047812794534328543438536479211674223035157955101629095320867694585381479182199990727139676696640267234520209121599400269567951930417783310169054,0.913671583761778015666704123850759158554067849800170430262541151050538825608812943218844588982773814303182553822374078488579760229325698727141390094674058828,156,156
29,400708894,49151630029556619633156338398973320854679402706053926415074712059863391894326,111171837080378547467348261794472043463254055018894513032574226962726028294900,0.960098723605647801640656840863872527111706947821888687187869080112055913657869194906420036327222406361176191523599342537895798396232148080937993382086635915,49151630029556619633156338398973320854679402706053926415074712059863391894326.960098723605647801640656840863872527111706947821888687187869080112055913657869194906420036327222406361176191523599342537895798396232148080937993382086635915,0.424481761692892706353230442759268784420577268877529495016470544947002071584932638048335388419209531917339266529825606863300434314140821230540689442098868249,0.960098723605647801640656840863872527115292393632024009041731000112449585480119354656698279361599895344932519710365755465482688244310542932924641797199398926,49151630029556619633156338398973320854679402706053926415074712059863391894326.960098723605647801640656840863872527115292393632024009041731000112449585480119354656698279361599895344932519710365755465482688244310542932924641797199398926,0.424481761692892706353230442759268784422162477061355570648090321103295573588920210602201763362253668540607471431612224291793974304657611219462545840727565703,156,156
30,1033162084,5951051142208904686425222322481077221567316087439359378589043642169505163867,79964921717795829095410138525196146121807237625496125940956045028689169447181,0.690590542449817180219621312529331678252640875832467884172533484275489733710524437917886778438511228409183990336671537238851217094867355170037619308417428301,5951051142208904686425222322481077221567316087439359378589043642169505163867.690590542449817180219621312529331678252640875832467884172533484275489733710524437917886778438511228409183990336671537238851217094867355170037619308417428301,0.051394280744103420689678581749478177296709079590600740671997938576601467087609847773526333976070612885928065325070794232128959588067573915663452069736652069,0.690590542449817180219621312529331678255219855374953769601802481298869263368508630395499919753563024310775853752702045361736056244909966323842502955549824359,5951051142208904686425222322481077221567316087439359378589043642169505163867.690590542449817180219621312529331678255219855374953769601802481298869263368508630395499919753563024310775853752702045361736056244909966323842502955549824359,0.051394280744103420689678581749478177296901009237030050934539645061056738878113446404244335457900667548242945182454892289843873462029329555353289534399424256,156,156
31,2102388551,61451719815341661281682897810187322803922811401468501217986913974289877761320,30947091983295757773862695542244568955870624650687256254668336429089021717649,0.267264302657754195060689152872516145681545696221507319674199975873333051031398945354724321554835080039644361862702706713665392176434622171591077848863107752,61451719815341661281682897810187322803922811401468501217986913974289877761320.267264302657754195060689152872516145681545696221507319674199975873333051031398945354724321554835080039644361862702706713665392176434622171591077848863107752,0.530707410325727846399637838419189153698360658219151972719082361522428978501392353861706819216206596864480975317779474859723083575061962902363031089078451362,0.267264302657754195060689152872516145682543782825105993959990588690501567577129042125168301027191557243282187608554389828351175115529194146750028141405121138,61451719815341661281682897810187322803922811401468501217986913974289877761320.267264302657754195060689152872516145682543782825105993959990588690501567577129042125168301027191557243282187608554389828351175115529194146750028141405121138,0.530707410325727846399637838419189153700342561344295294758361483272043179816565041605599472664223899068595070894033990460267719085624813349547376341538478800,156,156
