puzzle,max_k,lead_a,d_dec,x_dec,y_dec,affine_0_x_y,jacobi_0_X_Y_Z
11,6,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001155,000000000000000000000000000000000000000000000000000000000000000000000000000000062881537490095887219700399231850374465934748632261627566823792868512270937739,000000000000000000000000000000000000000000000000000000000000000000000000000000013147057280235047456932561657169493651618639731944681771959256397716727593785,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062881537490095887219700399231850374465934748632261627566823792868512270937739.000000000000000000000000000000000000000000000000000000000000000000000000000000013147057280235047456932561657169493651618639731944681771959256397716727593785,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062881537490095887219700399231850374465934748632261627566823792868512270937739.000000000000000000000000000000000000000000000000000000000000000000000000000000013147057280235047456932561657169493651618639731944681771959256397716727593785.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
12,6,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002683,000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348,000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000062873230362895154212630786022242768049765907075202803363316800197224716728348.000000000000000000000000000000000000000000000000000000000000000000000000000000044287605905639058437764882210076840571916049925678373415089141948008474303433.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
13,7,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005216,000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965,000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225,0.000000000000000000000000000000000000000000000000000000000000000000000000000000077279535011188034078516592160190105278519663645387310740933932046966334391965.000000000000000000000000000000000000000000000000000000000000000000000000000000021187662028949108981404481381270595331275020854904259675645205037069861834225.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
14,7,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010544,000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313,000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081843657467215387495831064399406566332608612828066495589872347702422424340313.000000000000000000000000000000000000000000000000000000000000000000000000000000054485907183099442435241830545487744604431707282385107218140713089194934994051.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
15,7,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026867,000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068,000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110,0.000000000000000000000000000000000000000000000000000000000000000000000000000000115179987075229906903259602194857104773352008368264866291918996865985783521068.000000000000000000000000000000000000000000000000000000000000000000000000000000090040672269639781867601170828097460642155183514693739441068299505511569496110.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
16,8,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051510,000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978,000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048,0.000000000000000000000000000000000000000000000000000000000000000000000000000000071261119111627271268814301300816751730184609798722377831958734823956300761978.000000000000000000000000000000000000000000000000000000000000000000000000000000059596021694081902311438976720015207351957060174440251698640379092733344351048.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
17,8,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000095823,000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531,000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028680425603065441115290152280488699295594719576682295038107311098738046478531.000000000000000000000000000000000000000000000000000000000000000000000000000000025891784853872784916698406928566284655180782352356802345945352320731968056623.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
18,8,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198669,000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505,000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
19,8,8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000357535,000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881,000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
20,9,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000863317,000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236,000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
21,9,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001811764,000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878,000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
22,9,8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003007503,000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171,000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
23,10,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005598802,000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731,000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
24,10,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014428676,000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028,000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
25,10,9,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033185509,000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898,000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
26,11,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054538862,000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655,000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
27,11,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111949941,000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502,000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
28,11,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000227634408,000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575,000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
29,11,10,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400708894,000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326,000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
30,12,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001033162084,000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867,000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
31,12,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002102388551,000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320,000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
32,12,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003093472814,000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793,000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
