family,label,d,d_net,x,y,xn,yn,dX_num,dX_den,dF_num,dF_den,primary_rule,X_fixed,F_fixed,F_reflect,X_beta
add_+1,11->+1,11,12,53957576663012291606402345341061437133522758407718089353314528343643821967563,98386217607324929854432842186271083758341411730506808463586570492533445740059,94111259592240215275188773285036844871058226277992966241101117022315524122714,76870767327212528811304566602812752860184934880685532702451763239157141742375,40153682929227923668786427943975407737535467870274876887786588678671702155151,115792089237316195423570985008687907853269984665640564039457584007908834671663,-21515450280112401043128275583458330898156476849821275761134807253376303997684,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,12->+1,12,13,94111259592240215275188773285036844871058226277992966241101117022315524122714,76870767327212528811304566602812752860184934880685532702451763239157141742375,109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713,15587773072615830393026122778325652150280960410477450617529061781147814490702,115792089237316195423570985008687907853269984665640564039457584007908834671663,-72035678651442387543009688556131431112694176620169821121416866616843075466662,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,13->+1,13,14,109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713,33301309993451753050311554695703528430361259803437469669590207169100761277412,91711666877231500617203373035680263572492971120307578300405368749466283229019,-76397722671404292617903341367658968590977926885032947189039971634362577336004,115792089237316195423570985008687907853269984665640564039457584007908834671663,86876578201461359348908494988998941825002212859791866719370472127152216953306,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,14->+1,14,15,33301309993451753050311554695703528430361259803437469669590207169100761277412,91711666877231500617203373035680263572492971120307578300405368749466283229019,97505755694356382817881959832717013755620551362654128955029190924747025549326,39856815248295663243990443767776362321337592747889787217974905533720651000664,64204445700904629767570405137013485325259291559216659285438983755646264271914,115792089237316195423570985008687907853269984665640564039457584007908834671663,-51854851628935837373212929267903901251155378372417791082430463215745632228355,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,15->+1,15,16,97505755694356382817881959832717013755620551362654128955029190924747025549326,39856815248295663243990443767776362321337592747889787217974905533720651000664,104059883622109321374094289636044428849728529177856482232626205340719788190730,112122903140080327253741791678230372394936108416576609264408917599318947489825,6554127927752938556212329803327415094107977815202353277597014415972762641404,115792089237316195423570985008687907853269984665640564039457584007908834671663,72266087891784664009751347910454010073598515668686822046434012065598296489161,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,16->+1,16,17,104059883622109321374094289636044428849728529177856482232626205340719788190730,112122903140080327253741791678230372394936108416576609264408917599318947489825,100862081773581120499222301212791081193994281440454033593790618293887747050036,29883864782608871580821802176208615141762369223249393426421538275393411672951,-3197801848528200874871988423253347655734247737402448638835587046832041140694,115792089237316195423570985008687907853269984665640564039457584007908834671663,-82239038357471455672919989502021757253173739193327215837987379323925535816874,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,17->+1,17,18,100862081773581120499222301212791081193994281440454033593790618293887747050036,29883864782608871580821802176208615141762369223249393426421538275393411672951,38901272619685732968285380035171577070479117282397203902622597987558769928140,87393127487643849618870152207476122589010570440825041333620493866032028851544,-61960809153895387530936921177619504123515164158056829691168020306328977121896,115792089237316195423570985008687907853269984665640564039457584007908834671663,57509262705034978038048350031267507447248201217575647907198955590638617178593,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,18->+1,18,19,38901272619685732968285380035171577070479117282397203902622597987558769928140,87393127487643849618870152207476122589010570440825041333620493866032028851544,19588375357829479297593261744848590434972900972071148260168833594658324503404,60568592333449737531184420002591396163903580402725242236305558432410218044282,-19312897261856253670692118290322986635506216310326055642453764392900445424736,115792089237316195423570985008687907853269984665640564039457584007908834671663,-26824535154194112087685732204884726425106990038099799097314935433621810807262,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,19->+1,19,20,19588375357829479297593261744848590434972900972071148260168833594658324503404,60568592333449737531184420002591396163903580402725242236305558432410218044282,34773495056115281091786765947597603724784643419904767525769502836017890139287,8470533044743364938367028725608288731153024648869546164814808839694950063162,15185119698285801794193504202749013289811742447833619265600669241359565635883,115792089237316195423570985008687907853269984665640564039457584007908834671663,-52098059288706372592817391276983107432750555753855696071490749592715267981120,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,20->+1,20,21,34773495056115281091786765947597603724784643419904767525769502836017890139287,8470533044743364938367028725608288731153024648869546164814808839694950063162,24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828,-10723619420733723854728622315972766983362138212143157816056948664674331837122,115792089237316195423570985008687907853269984665640564039457584007908834671663,14199357308196288303712752594295755056883587304211775610312385409943163747666,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,21->+1,21,22,24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828,29908081367423272746086114569421970207888665320998202915346633185016778189308,19705544727792599099830884487151299095417296550955739824847212341657057716097,5858205732041715509027970937797133466466160113236593205634079013673219887143,115792089237316195423570985008687907853269984665640564039457584007908834671663,-2964345625147054142248896832752744692619315402125581950279981907981056094731,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,22->+1,22,23,29908081367423272746086114569421970207888665320998202915346633185016778189308,19705544727792599099830884487151299095417296550955739824847212341657057716097,21545045623056848826483343441081830815719530893582365358444562918095175994431,1296978981679745807043951140304019026881137717020402959957988455650813508967,-8363035744366423919602771128340139392169134427415837556902070266921602194877,115792089237316195423570985008687907853269984665640564039457584007908834671663,-18408565746112853292786933346847280068536158833935336864889223886006244207130,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,23->+1,23,24,21545045623056848826483343441081830815719530893582365358444562918095175994431,1296978981679745807043951140304019026881137717020402959957988455650813508967,115090238283566018960826468250608273126387416636633736439689841211757211870926,47185183227829754668635270747409548752084785367264057948864458978444304762303,93545192660509170134343124809526442310667885743051371081245278293662035876495,115792089237316195423570985008687907853269984665640564039457584007908834671663,45888204246150008861591319607105529725203647650243654988906470522793491253336,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,24->+1,24,25,115090238283566018960826468250608273126387416636633736439689841211757211870926,47185183227829754668635270747409548752084785367264057948864458978444304762303,66165162229742397718677620062386824252848999675912518712054484685772795754260,52018513869565587577673992057861898728543589604141463438466108080111932355586,-48925076053823621242148848188221448873538416960721217727635356525984416116666,115792089237316195423570985008687907853269984665640564039457584007908834671663,4833330641735832909038721310452349976458804236877405489601649101667627593283,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,25->+1,25,26,66165162229742397718677620062386824252848999675912518712054484685772795754260,52018513869565587577673992057861898728543589604141463438466108080111932355586,46375854666189782329411331467438732923135312366454677774518044107217916677258,28872066516664221627799718496556756366588329842312456769228220433104069963108,-19789307563552615389266288594948091329713687309457840937536440578554879077002,115792089237316195423570985008687907853269984665640564039457584007908834671663,-23146447352901365949874273561305142361955259761829006669237887647007862392478,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,26->+1,26,27,46375854666189782329411331467438732923135312366454677774518044107217916677258,28872066516664221627799718496556756366588329842312456769228220433104069963108,99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501,52647635500529179137737253175590920344516932841366105590150027251089317968543,115792089237316195423570985008687907853269984665640564039457584007908834671663,46490685105320408204905587254401760003482918915369296411059156690375129329393,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,27->+1,27,28,99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501,38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264,-60160972281369375267679451652951675742129845592423456033036353790774993030593,115792089237316195423570985008687907853269984665640564039457584007908834671663,-18566719206594237695556494676775194556305133600917830108250793008626231556237,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,28->+1,28,29,38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264,88789495143442116025801984763830218317601484092281216301053684219001740388315,14971629676138079947354454610178388572791590863859394042797260533911845233794,49926977258092529826332851773752240792079084476883888969421966651469498773107,115792089237316195423570985008687907853269984665640564039457584007908834671663,-41824402739252312189794356464004933240974524292904529029239323580941122502470,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,29->+1,29,30,88789495143442116025801984763830218317601484092281216301053684219001740388315,14971629676138079947354454610178388572791590863859394042797260533911845233794,49378132684229722274313556995573891527709373183446262831552359577455015004672,78123232289538034746933569305416412888858560602643272431489024958214987548923,-39411362459212393751488427768256326789892110908834953469501324641546725383643,115792089237316195423570985008687907853269984665640564039457584007908834671663,63151602613399954799579114695238024316066969738783878388691764424303142315129,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,30->+1,30,31,49378132684229722274313556995573891527709373183446262831552359577455015004672,78123232289538034746933569305416412888858560602643272431489024958214987548923,48009403158434809478298710137233764200988036438868259456275038304221065242292,101379581344212856035375194820281365028426536613141130008386086305632315345538,-1368729525794912796014846858340127326721336744578003375277321273233949762380,115792089237316195423570985008687907853269984665640564039457584007908834671663,23256349054674821288441625514864952139567976010497857576897061347417327796615,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,31->+1,31,32,48009403158434809478298710137233764200988036438868259456275038304221065242292,101379581344212856035375194820281365028426536613141130008386086305632315345538,95440839670107969455973995843666399663662641812074432045896568980475242364517,67400892360194400039319989411395972789004161889863182881857158544061243615929,47431436511673159977675285706432635462674605373206172589621530676254177122225,115792089237316195423570985008687907853269984665640564039457584007908834671663,-33978688984018455996055205408885392239422374723277947126528927761571071729609,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,32->+1,32,33,95440839670107969455973995843666399663662641812074432045896568980475242364517,67400892360194400039319989411395972789004161889863182881857158544061243615929,10219441022991940610048493520113102240595005085840974180672104038719657072293,84023467742492607926612431243360899514584580916128500081114886405247779677078,-85221398647116028845925502323553297423067636726233457865224464941755585292224,115792089237316195423570985008687907853269984665640564039457584007908834671663,16622575382298207887292441831964926725580419026265317199257727861186536061149,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,33->+1,33,34,10219441022991940610048493520113102240595005085840974180672104038719657072293,84023467742492607926612431243360899514584580916128500081114886405247779677078,12619776604307790469550660645393525758448419897555601226868753617320214526993,86272100689574882152938150858861318820088413186167100601966648021512258522745,2400335581315849859502167125280423517853414811714627046196649578600557454700,115792089237316195423570985008687907853269984665640564039457584007908834671663,2248632947082274226325719615500419305503832270038600520851761616264478845667,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,34->+1,34,35,12619776604307790469550660645393525758448419897555601226868753617320214526993,86272100689574882152938150858861318820088413186167100601966648021512258522745,43584328072464330665967763306297595761508151294385275883849271528835646125177,1171731419844835688478928898148416329180259014376715189840427072871218252873,30964551468156540196417102660904070003059731396829674656980517911515431598184,115792089237316195423570985008687907853269984665640564039457584007908834671663,-85100369269730046464459221960712902490908154171790385412126220948641040269872,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,35->+1,35,36,43584328072464330665967763306297595761508151294385275883849271528835646125177,1171731419844835688478928898148416329180259014376715189840427072871218252873,101419098787597942766661010883841213675986572091206578880178916574081925093625,53748097764673089702489673031527129553025318704228137363806494938199580582828,57834770715133612100693247577543617914478420796821302996329645045246278968448,115792089237316195423570985008687907853269984665640564039457584007908834671663,52576366344828254014010744133378713223845059689851422173966067865328362329955,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,36->+1,36,37,101419098787597942766661010883841213675986572091206578880178916574081925093625,53748097764673089702489673031527129553025318704228137363806494938199580582828,44696466249196887777481833878429299174322536392992392205634510941844339159869,58341336599715296255997469230977942456412351469447624645098110293822755987119,-56722632538401054989179177005411914501664035698214186674544405632237585933756,115792089237316195423570985008687907853269984665640564039457584007908834671663,4593238835042206553507796199450812903387032765219487281291615355623175404291,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,37->+1,37,38,44696466249196887777481833878429299174322536392992392205634510941844339159869,58341336599715296255997469230977942456412351469447624645098110293822755987119,82592391416753704330480457266605199466589998476548643675167586509583694299127,96352244311289141626709213538144106127822954871227876742730890119647945927428,37895925167556816552998623388175900292267462083556251469533075567739355139258,115792089237316195423570985008687907853269984665640564039457584007908834671663,38010907711573845370711744307166163671410603401780252097632779825825189940309,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,38->+1,38,39,82592391416753704330480457266605199466589998476548643675167586509583694299127,96352244311289141626709213538144106127822954871227876742730890119647945927428,58245954963044076335222193032419637688317373475605757277584156718458924469103,12764036181290433088658499435961200322530176588733628912045896254235383420282,-24346436453709627995258264234185561778272625000942886397583429791124769830024,115792089237316195423570985008687907853269984665640564039457584007908834671663,-83588208129998708538050714102182905805292778282494247830684993865412562507146,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,39->+1,39,40,58245954963044076335222193032419637688317373475605757277584156718458924469103,12764036181290433088658499435961200322530176588733628912045896254235383420282,65977930378964483966842705159007630837451149704819265634327747226133817150731,106574384264472205627876631445935175739834375489227447805380155393950263965849,7731975415920407631620512126587993149133776229213508356743590507674892681628,115792089237316195423570985008687907853269984665640564039457584007908834671663,93810348083181772539218132009973975417304198900493818893334259139714880545567,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,40->+1,40,41,65977930378964483966842705159007630837451149704819265634327747226133817150731,106574384264472205627876631445935175739834375489227447805380155393950263965849,55442706224332212356956949983947160877073898960448236395042968736464621521147,5905242281663190858892708265754696019921609450612128937011632221309721495543,-10535224154632271609885755175060469960377250744371029239284778489669195629584,115792089237316195423570985008687907853269984665640564039457584007908834671663,-100669141982809014768983923180180479719912766038615318868368523172640542470306,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,41->+1,41,42,55442706224332212356956949983947160877073898960448236395042968736464621521147,5905242281663190858892708265754696019921609450612128937011632221309721495543,115136800820456833737994126771386015026287095034625623644186278108926690779567,3479535755779840016334846590594739014278212596066547564422106861430200972724,59694094596124621381037176787438854149213196074177387249143309372462069258420,115792089237316195423570985008687907853269984665640564039457584007908834671663,-2425706525883350842557861675159957005643396854545581372589525359879520522819,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,42->+1,42,43,115136800820456833737994126771386015026287095034625623644186278108926690779567,3479535755779840016334846590594739014278212596066547564422106861430200972724,96414945312501980282409358461754977502747357521062737878469375231739675541449,108016644921439980219149763541432916357155273945921323318636524851968650287411,-18721855507954853455584768309631037523539737513562885765716902877187015238118,115792089237316195423570985008687907853269984665640564039457584007908834671663,104537109165660140202814916950838177342877061349854775754214417990538449314687,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,43->+1,43,44,96414945312501980282409358461754977502747357521062737878469375231739675541449,108016644921439980219149763541432916357155273945921323318636524851968650287411,42072772011086351294328511389423850314698152445154323541536957340534349973349,99133657745585934968186133288050721248258413615930917407282740640761199917928,-54342173301415628988080847072331127188049205075908414336932417891205325568100,115792089237316195423570985008687907853269984665640564039457584007908834671663,-8882987175854045250963630253382195108896860329990405911353784211207450369483,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,44->+1,44,45,42072772011086351294328511389423850314698152445154323541536957340534349973349,99133657745585934968186133288050721248258413615930917407282740640761199917928,2069755349039566255304036353648839232649715781170511813011535420394543798627,53173698995439924366951845531266805314230463309822098990695656330917108292762,-40003016662046785039024475035775011082048436663983811728525421920139806174722,115792089237316195423570985008687907853269984665640564039457584007908834671663,-45959958750146010601234287756783915934027950306108818416587084309844091625166,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,45->+1,45,46,2069755349039566255304036353648839232649715781170511813011535420394543798627,53173698995439924366951845531266805314230463309822098990695656330917108292762,112485767891133126222498548010271946438760990210983300801299715976951536768791,85739109496996784368776054024999276184984966609644199395125789597014054674947,110416012542093559967194511656623107206111274429812788988288180556556992970164,115792089237316195423570985008687907853269984665640564039457584007908834671663,32565410501556860001824208493732470870754503299822100404430133266096946382185,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,46->+1,46,47,112485767891133126222498548010271946438760990210983300801299715976951536768791,85739109496996784368776054024999276184984966609644199395125789597014054674947,54253141229701892740678441538472478126466317116121420289154985997987923385716,67647191893224491627918802490479062705030965032432110320079555712709270724822,-58232626661431233481820106471799468312294673094861880512144729978963613383075,115792089237316195423570985008687907853269984665640564039457584007908834671663,-18091917603772292740857251534520213479954001577212089075046233884304783950125,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,47->+1,47,48,54253141229701892740678441538472478126466317116121420289154985997987923385716,67647191893224491627918802490479062705030965032432110320079555712709270724822,50111670963408569345385204828013406423962206186815367070190059614189255189955,96344650049071302355595011727277439354119658646232861677212062449792674989672,-4141470266293323395293236710459071702504110929306053218964926383798668195761,115792089237316195423570985008687907853269984665640564039457584007908834671663,28697458155846810727676209236798376649088693613800751357132506737083404264850,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,48->+1,48,49,50111670963408569345385204828013406423962206186815367070190059614189255189955,96344650049071302355595011727277439354119658646232861677212062449792674989672,109846273198995465046214558810696509369395695668678477567979041624391316796720,101711840700253487202274292900077312932162220876743713596510869779955653950519,59734602235586895700829353982683102945433489481863110497788982010202061606765,115792089237316195423570985008687907853269984665640564039457584007908834671663,5367190651182184846679281172799873578042562230510851919298807330162978960847,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,49->+1,49,50,109846273198995465046214558810696509369395695668678477567979041624391316796720,101711840700253487202274292900077312932162220876743713596510869779955653950519,18752372355191540835222161239240920883340654532661984440989362140194381601434,88478450163343634110113046083156231725329016889379853417393465962619872936244,-91093900843803924210992397571455588486055041136016493126989679484196935195286,115792089237316195423570985008687907853269984665640564039457584007908834671663,-13233390536909853092161246816921081206833203987363860179117403817335781014275,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,50->+1,50,51,18752372355191540835222161239240920883340654532661984440989362140194381601434,88478450163343634110113046083156231725329016889379853417393465962619872936244,31766568681566786811585556083273569704981103744700868374944839455567139361883,42892316439533998508363691869839348703863091985464714880496520815537080971390,13014196326375245976363394844032648821640449212038883933955477315372757760449,115792089237316195423570985008687907853269984665640564039457584007908834671663,-45586133723809635601749354213316883021465924903915138536896945147082791964854,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,51->+1,51,52,31766568681566786811585556083273569704981103744700868374944839455567139361883,42892316439533998508363691869839348703863091985464714880496520815537080971390,19511180689223863964676874168627421459323156917296991798297923962201555596949,57367979562017697409196531308288663269903370049256107839675184520239291074509,-12255387992342922846908681914646148245657946827403876576646915493365583764934,115792089237316195423570985008687907853269984665640564039457584007908834671663,14475663122483698900832839438449314566040278063791392959178663704702210103119,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
