n,Delta,Delta_bits,verify,print_0_xoverp_yoverp
24,8829874,24,True,0.432254422958322699849622261184894755884870101914942821387558927926774477041435022616536363275039932737056280427347635333085875036540726921507382464753103861.828876391062977358346817926841198593100776291453402677777244838560506537280845984205661861635189329520132756793882264720010501348268471232764430063705840951
25,18756833,25,True,0.021480479192526762262598313118058735940964079564533051219215052513230437198271603251534721418683054487937485553534921957120428534850031932649674976372355254.718241956692444702446686253768266472805950977093376581192896932223024348391176361584918537699219707313089194987580090899741021022463279379539940905943673631
26,21353353,25,True,0.305897750575172734666323186375945083600682147534254427419234925733891650808141980667654193454114057898375193574804299635228502092841768851147035877241323536.029007027763135384528140865452624181290594607188120637968855956444563054437629992275428663069103395820849797117639468530366423419333908481745408688972070999
27,57411079,26,True,0.103611688647230517080966512392058934910335066199914051218872127206301148369770200871591992441785294064680364958868316677544750361413390058607367425808097837.012703317710739897754025143730832466350605773119194883771270273881192817350633397252860159503027101927912561501023193913035204955776259144038838046513872467
28,115684467,27,True,0.913671583761778015666704123850759158550655784070579973710316349176408589690102730639467278865712135195133396864499079779536128773723719882164692276801585217.038897593515047812794534328543438536479066412897023689190720407908907402267905649889454957787006881674930425883737764637717500376502415708894855155156566810
29,173074486,28,True,0.424481761692892706353230442759268784420577268877529495016470544947002071584924346473928799011280313149335806960662864227367594892414716001189412021274730370.960098723605647801640656840863872527111706947821888687187869080112055913657869194906420036327222406361176191523599342537895798396232148080937993382086635915
30,632453190,30,True,0.051394280744103420689678581749478177296709079590600740671997938576601467087603883717199183249708224393847379458480268517141827144304635397493836508109405298.690590542449817180219621312529331678252640875832467884172533484275489733710524437917886778438511228409183990336671537238851217094867355170037619308417428301
31,1069226467,30,True,0.530707410325727846399637838419189153698360658219151972719082361522428978501390045722140307074823350748342821549163903591446119839007777109514943353863545179.267264302657754195060689152872516145681545696221507319674199975873333051031398945354724321554835080039644361862702706713665392176434622171591077848863107752
32,991084263,30,True,0.038169995158619347004697265965088027629394481492724177965988515761955613796744201902642614865106516966541982448490410479370799824002058266475418609779446656.311775226196333813653828847220850555458150832706723007276583522303119531081740053695412732154714558541394227526395940840567495850711699472503143141673573275
33,4043965098,32,True,0.638025901787876621291709158366389781655148105948027492927303298730332588304124935883138927863932940617926656460469266393873446930221025837250057311875052424.015963399573301299456205042965700668097543258394517178706732551557899207506189805155125941118314520142217000375751502996817319653179207057977923752897131270
34,6995634245,33,True,0.237756575828640827132832661278617500907073538668075969982755819941648929445016753918590687464665338834808972885573727119644906325903245810556253684199021394.781208863643563692811806291993198625555107479724903140133266754908018083616806660420569641655233796641876050770499251341868752978019984833763887097849484348
35,5979799635,33,True,0.963502200875332643910608257556081713754417841054249062854428506432394713427505674432058744828709384364207539400352276909858349069794011478589637803339497451.561984154032554027548295810058071202699725739744991530809294491627866146856732663691793454370064614319267289990657172943530122652583151677428318441385701231
36,22274898188,35,True,0.702750332979652786081849138803881716270656427354988394227673313276041633255343293250815562041264724823729314378703407444579487702078082673647457697054408585.430096962266917870856113373706565115688999364896384187122694007021511259329934088135352886446017747842156702708758648467268603082530293154185117918320860876
37,57863790615,36,True,0.488952861152067880817836132905138175062330181159433588544124889015880599845176400017422861967510109016183454511796911695981683516342110895384000610898111821.379956845046310008747522852254108936671142942291971327176014255168714696035943778922072501171340596149032640841918823738231621949480891849372803480107002875
38,46719975997,36,True,0.751478307755962565689583521092941054015388458354716854739295412473768120709345723673717206279442920661807629004760766056275246848055689815087214554203418841.217712263601685594498730950161126535527810796933504032659475349966777494260252172058706243970548027370884300061095916595908753771773573703856164353835271603
39,176753432345,38,True,0.177609269600912978182976166563519893399611134056953950258496602671050571598808183918073651946118211944466012742689310439247596085451836895642948400588720808.209961171009290844820244201693679158573071912576265768847735387654643350209597369010734092170555293843123137477015164202843786764566644126026308768738385058
40,679926444013,40,True,0.636469126443736880202470868101802290058393013274367049380930771928677392828949180639079689331467303981950024871356829700405732710941963181387161592123666627.482935519657297872056894279592759818463939160835672292075997837464468861830468809049649673116829427373454381593280100042835821658883907317959409830217046292
41,454600792197,39,True,0.700560004501178046918532514117153724558322654245612684845327415546092799008019260713029506236438175190380770103163806609122024924743966304188602072194582652.603091592336713776740235286551156227669915841698079731332407859786305459919093898157438830180570877810429242901865246841638765005981943886894998536498639903
42,1437122347316,41,True,0.932747097160805283186004344649420476262119207744705799526370144343000098458196141113414885213104425645220338812788589141712738236698456438878844283036136327.158934256416191442771217391240138231301638665344227297206668131419686894440537893830944780856415238705905719602977791179452139192552362204986395979949750808
43,4514436495362,43,True,0.649200065540896946256911273549215219069447264873324679211811542438778710365715943227365056758531979307658492344953997366875397992224284611226173059037011396.775840147344682869419848996224549721204738551058437526098669590261328478533520323028365146038333458851109543396942919518220231908941959527664183663630541296
44,7994950709246,43,True,0.368262207118329147139298175681250450455710069297416568004266017443622045314814900866288157093013683498506745135721840443952308195264058885255993541833683072.465178192094907541428067187518437496383459849434795587772537286480308805208917120309939136288443131881060019854473615134770533940144040948654151529102290788
45,4591701329526,43,True,0.432781051177690712330261043021042786354186035143707077601552853857994566984557203909125702918594201244418109591556503822813778358327781941944591553922843971.666420704178912654359268629619008782054661334844335637266268439418964183115423303287484554325879723913780705436782179909835071482568350734450752093745159093
46,31412207262015,45,True,0.989571061492048414868198167087928604468618933645413508094818728194972244272692188213134946266215791603441190144814810369932762494972096344283443554176694959.625066902022471219717509761872412927306197464262841562579564531896830332680612613567199600476123478166535131856543627024592189158380995832989565604472635833
47,68257988765558,46,True,0.226848437610027035379363126238227631087437082700973802385974179699262858272084161830472735965453456414777339376240578339511974126341594616390534933277789398.751356180978838325045097809375920348987250454560386595973326443128707005603779810813085546874607732908834550914326747612063483505010647648749630281488047215
48,71540315586273,47,True,0.569319117649757657903978955505224977581488017586082378834050003793405478036970936595478608490556516622008363150543671772735443236317716571761937510076756785.361587746993314069171905218696855470544679737523257619640893729082592604548641002142497539743929793506137980746936693953423684144080396114963399688040085615
49,217911930332082,48,True,0.348104964066481540479507810725608592923565931717240304142607268025225466741629583062999352619834417542329090786279198279461219218938034607589048386585601635.729645427422688921396177470801843015692774890924353725475257706105542100592363896330194303110868805553787732592306643580661293088826998168312852608483348439
50,202021591135239,48,True,0.954822600466056561624846774425390730806546619552651907090277409981316325379540680249725278946174796391349825706920640315573054290619928044548632056914373995.918914601276078870304426859944331173443426816801697713238429140217706176716580720828074319238795601663415309210705679237331984474708139847509718358769597336
51,1447629018986112,51,True,0.548529132962279435734156576338628813519803333720516139581733190238781441516374287511681558348620588522088915632164192850369783678371364048599388212404492807.504117659451986858209456679676491934902289950852560835190036858752518086448022794349082431085679142252052170079168240366487794634679617179670083306461904119
52,2157726124446824,51,True,0.456104030200489096729546989640536046816251621601420198120519178872192125718279950404006333510211473981720526506436244771172435934745453545128835750653718267.846446061884961691336360377705416013998173261127627773862455207301455414662639974710093842567242436215534056727735410727804937070608696928737839551734909681
53,2547188331877424,52,True,0.061202404016418340860916274607729216666159235951572793427189302002200213817596404868944320862367965989382381460266545525730465189122745442727375708390601193.395589766718125261564440995288735429510602631353796466927888550424147000693704855908895775221545383647030186164879395468380852491954615009147059778368582936
54,3210771273018583,52,True,0.292796619131213189584302175174818794406904150351975754266849115339357099074718968022718052176784608635813426329892025588064470883563804546632552231281681447.001457293011454786420425259391849853777516496842650552005970824381990889762644636646249032311658799998624483838545232551669605169995169830730172088648221390
55,20070935247372753,55,True,0.522019238229117770747213841688329590451326716548361710615010608938179062447485680593083937573795236108509235034541695485698497883538372584616064616424742839.057434093722196194108326094001946728797915249990997339067970282703920960854760327939957321069551382277800100730917204127022063276524772612330634510471917277
56,14173351800807115,54,True,0.246791006835515576471984514785524653181187692579042079097512679025328205605432146520982925904174581358225389778332539560029586330328223794109917438560936777.875178146328243229753365453828576805321232671965344617302106039084660421035155218035577392349430723289148739721700261741386873072513634892254658976382828744
57,94027016618169917,57,True,0.645044356258010307064245572917392822825712507192992807032047273491276582281410848450267577840079241561731888668820385996307062034290722919013360323339205601.436300070750660788489162647283570690045711245184558585952405241276574303807750457399674109878918507935500922148557968923218779533111354264151581122061204077
58,61730909065495557,56,True,0.067727342925025613505880634083353644927934831571840183331843277373848576966685201927866435006380877893994398493448751137558700316591490945116029037775717709.321472695216444062719529316194727934916627537976157124442005567070591981743229463543286222444970875916217524962664343218654953939980868969465886266959826601
59,325093716281924142,59,True,0.254493545157748925267886042005117524855266660785426061050630198366568251051118273730026853246610528856473140429016531172096129915093735792798126202487798616.050670122356146350579131586768833968375450724963052758018241822511689816285094881114218263719129998447331010159953585877895595298410036954977865860121253084
60,609970965961230191,60,True,0.284794083879304414332749288177281536507428803841928490121034450998674432072752198159801114679775226818781117082919659508088370236123276526227250692976144923.814773361191873021278627546581968811277672599754329884364312674847336861153038878992098461716817493944692822268329122807847773998690640983454615149505960488
61,290746192399158600,59,True,0.287662051808258493124026345498776931828251448521631499391172212282543873125295973822608490978473821966746283619899655969943854326007656032828532726295928959.826702787511911341037180449490996160908371641925938721900214511321589963105556521159461039286057651868811963741381697776372246809402631486977403531750225546
62,2482584999889167080,62,True,0.137121670912886514838391037386104800115234727156321195392206400610672521191098134466774718963557067989352693825652760748796107565760010307698056168474620432.239014729533887305150630422381791592783611523682306067564879618537562439505580893933025187684440402097525820214140658032745066834443531003304567104561482489
63,5084857407016647706,63,True,0.398134802636192971062529923241344085749348488211870202528448204837687629031171446214788762409869221086898449535499463414175397730126823079392368690986399610.351981560468551638252843210304958528157200973942697829606077830178627743850654853752132651738860362177719108743003595895686585930285793198940791165065029663
64,8806437408053766860,63,True,0.062592611951909876921221762213025013409005290953953479104646798604237058198565956208237074189398968967145873562049047395887783137785870010403263909341126234.317012954664976987423183016727975455254430317572018804566254619610149005089298844412945136110483170625221466315567857490118935261319078936423845219784810381
65,12768709954485966227,64,True,0.188004263605422324522792418006605306655861391196917237826299162417992729262954261369534109869783135682640222217897295336708425261187938687868112006527472662.888729373208944912584744608432280103276883322829007886158430418677191770576072502567460280723330699250289562599123103537229423848225775612248009663334682040
66,15777840238282132871,64,True,0.308147321759518794449260678232743545148192613953026173110346773348261988910930047245754019783216257237951283766710764016895521432581784003972556057485728947.481634253958823818124461492428832526648359328261361311836727592951766415447036546598881258258453432633386991168188605966780904134428828543954080699539834478
67,86310726052039920576,67,True,0.070810280453843540192441284018927318621756780541637786397406249067084276297767550839857079901491566673101966692029929727255837511857114344911051883891917863.938586504353068386048879653863379097045537770557540501785087286069240551408782980543335137333052856535919160582412585894642142756684731874000198112895691156
68,87241322610929783523,67,True,0.124514527025916583344659229081025889340257570471454457384425106769190869215812036003924241070431437365149546265330391240908495856154728792440562700809360358.060846311377301311161336515959181207184158279028347872076505071083690823765459538599020722968951532606060451263181726643432383462034465487243787406968015519
69,77376225707059865979,67,True,0.295588362211503279677994458952886295464482787588678436601242410245883561431113352642956525209064284167680406751352470219130617077814107068606076468366056142.823407874011764547377412431121107931878193124226774432255383668401058769785797171788351826755717188386704474895179989416916964290584300346507004260321696826
70,673162482084647784677,70,True,0.566018106962314964906829319612097688020234138950143759016285922456278468973533496007606844525683087845530545057613128791547220021232236296492835097635382372.840600912096327431896257108185234404232695761273784340545078513704434464783522174158089643621275179114921913198459563577484372812833479205574526905349582215
75,21567886266984800132886,75,True,0.446950394450362210534076556405716235248555844537658044140881186206773447416499669965752692549347001895870482528658404644674614564344180810975528477770644044.605792175606463826346261725293462851032314196948240170957262946695388560824072499211126751347962179312269594739669172097072145430319455351632092390109070967
80,1082981707348244664116089,80,True,0.492465553734115456142670332952655263610465120175513805844854040798356443307388679377245676335895811946090193094477640801307910834992439930598158986087106473.384223049726424691387790084493560992583634668321799631129816312749270677233360736533759313955339747579461325503471499175702682709497949398434057412696851730
85,19984795735822271656487464,85,True,0.163152175562433333429273570113618778450926900277516241484249724020089932967558952956122498978521154203176815369393944472606796854737805059539932001790848881.054729681425304039622979740930153925648701036464938514635583321056747527034285793739808194331122024840576702601236883136445886921528008468419891584468907794
90,846921874651314896575121943,90,True,0.360240793529275495627289431348648488583886904771985097836578227118391422902705447607018158274888017359517425982853359845567848262335794195769605093274989427.657369847408783222648450003745013262622835900350060209616260710601511707376705351579809301604665316468971865636067803024339676435642683591552498115144349093
95,24657819766226387214294199349,95,True,0.587804378438660903406536562834310473495202557842591491728411182130665067024885139085459189011513171233062387141635944830651412654041542934633471170827182070.615866698221463499503039526248602887633946257518882468361653740807383588429834529934940056325741933888423884495213374690018999317525657063338153340105463361
100,842695401732682384723365434930,100,True,0.820407703577242173486505413283175647705069684593491371691518162092518515031939424219832843502775375508241267301872092266985587839655297153216920462013725916.528646573596584082090829109930656294789659594259513041194113911925549165279376574551191872274354184990804020423135336040748677101682284859497160252750480643
105,28215008911228719208448150009293,105,True,0.738156231236632180679999374188815770597575164395427469792529665772250843068686231944776715568317966579013402869422389956385143715517850282584785634397359867.019634257823199465700743887968074973776917627857301929418924020573544867702842516116080640925862065221005234505331017587632672345910196635409621979676976551
110,1061162868009069126840951929759313,110,True,0.037466743341644109080124423443291452200717371694337490008265156135557870992180201945938989571629093724464899910601107497759939865217478004291827345817994499.011464653521173036806880514889828347923437019411136662715125262640810847457686608650873727740286874203117928730262906363804519990494040759800009162799852960
115,30373877132419864991725933905475202,115,True,0.284470778010974661152139142945376090460389300349226701358219047937737013221947494889852733396358219474524107062879491244329493670483898655086406743975341527.402106533791958036014947248833024184694151664552785721924583273995645873972512690318820309948921981279689809288294075039518140116866227225377070750217074134
120,887879377610406481376237376254337373,120,True,0.807476743324398323969412101315781451964287132753968309044577785287333590235183362223762643512274379260335944174004035132829954725392198195114302331160451110.168355198284771605775950611314635326809635424867515919763405039002718799508310858315059298876199763888065386352492494180697210494202143290669722277638175321
125,36731206216901564172233498826696457097,125,True,0.200937193147230411599632015275276505227172295544792897280002089008794447664712179394867030384649387369555608419287533405912209013660369880796295721333719837.164492624398603008165854431309169080777632101602472104550477758694371309878873882175960708536817866959447158766815130094214217218875932740433324560802084418
130,1066223435235764895122171341266690608157,130,True,0.387645616836535034195978177439466371730134269822604837990463785590279402960191409758851745359157422179371328150582823410967217622047824887024150703666136985.689340680082145032575268214710304776713453536239369435889636066545491584126275062561428125000518955556135425876181119568670363259973605441609612728108829041
