source,d0,q_x,q_d,q_gap_x,q_gap_d,perm_x,perm_d,dx0,dx1,dx2,dd0,dd1,dd2,argmax_dx,argmax_dd,argmin_dx,argmin_dd,ranks_dx,ranks_dd
walk,14,1,1,1,2,201,021,22365540205379298121205369885897612264863090353800952777216522699254414217332,86949168083518535453796566158470005885730009213366813515711501110006557076426,6477380948418361848569048964320289702676885098472797746529560198647863377905,64884768134919174946683160733898654901636948660456600310212035034359325742890,101814642204794040953775648549578505902401231237236608144786256214317671502852,64884768134919174946683160733898654901636948660456600310212035034359325742932,1,1,2,0,120,021
walk,15,2,1,1,2,120,021,76350346123163541065188746493443918473110194888821167685210804232714190038997,17950397619868551110260567549712753199997894796957533922321154791965881960680,21491345494284103248121670965531236180161894979861862431925624983228762671986,102602848498075171849609382217373675352564606215939187298828655577247323722907,26378481478482047147923205582628465000545916126271434167553015128541675542815,102602848498075171849609382217373675352564606215939187298828655577247323722952,0,2,1,1,201,102
walk,16,2,1,1,1,120,012,55377683538557366724293487023697833306367259763628335036447287800700489160814,40233339005822084123414097079222678251159831601736139387057144408074995792834,20181066692936744575863400905767396295742893300276089615953151799133349718015,24528839623914973328964618692160787950654699492346869904840112978617160208587,66734409989486248765641747624366331951528165294381164572924937184283841077115,24528839623914973328964618692160787950654699492346869904840112978617160208635,0,1,2,0,210,021
walk,17,2,1,2,2,210,021,103090984632031509829542364122699602382898930109001041181566578852405863378628,70192231601774595961103293159667090918569218788838637052782907453069205450951,58300962240826285056496312735009122405071820433441449844565681710342600513747,62246919987070970231890840175635808401582357047829456893456733521505158188604,107090338500490450383360289666104198902510414462490894978296859240026006611415,62246919987070970231890840175635808401582357047829456893456733521505158188655,0,1,2,0,210,021
walk,18,1,1,2,2,102,021,105168682863830376518944438743006261688917531467057013524839241442803232197549,20335084125230634327967937434536468970537539215616053360826475175443729835471,106080411485571380000229593839833085047084898648608061193249451397570707310306,99965000350226967134817061659110828852510014603312043882073354064393156168621,31654177774178456577507846699154158000655099351525721001063618154250010651378,99965000350226967134817061659110828852510014603312043882073354064393156168675,2,2,1,1,102,102
walk,19,1,1,1,1,012,012,18838964764235399307292063615136055961475294246399274544200698370021855792125,19349033635356958916207072543870024625400693256628570170549686483890149577201,77604090837723837200071848849681827266393997162612719324707199153996829302337,21890991476066768614172298133897941450600107879719726488084811465762992654301,72010106285182658195226388740892024951637348519635451406435540209992176185678,21890991476066768614172298133897941450600107879719726488084811465762992654358,2,1,0,0,012,021
walk,20,2,1,1,2,012,021,51492320912520748756088779378848493830713089833423252332996572112558677262481,24279051481245050059604113416886016870759859404720320835613515282646644400503,40020716843550396607878092212953397151797035427496990870847496612703513008679,59609071839222765517098519617372961901527765435202313476701432008650990634318,112366034796186859812944930782629891902619597687745181811807462265734341719978,59609071839222765517098519617372961901527765435202313476701432008650990634378,0,1,1,0,201,021
walk,21,1,1,2,2,021,021,23016659916541056988544337436995668164958570117001988221791229341960806163040,113401231735405605158878864248509969152355313473992322506195046817865382110751,95166286822685728699718768331870178389226085740286817350928891855991481069535,97327152202378762420024741100847982352455422990684900465318052551538988614335,36929874069874866007092487815679851000764282576780007834574221179958345759941,97327152202378762420024741100847982352455422990684900465318052551538988614398,1,2,0,1,021,102
walk,22,1,1,1,1,201,012,29245523774166202228123007240789779334251084211746085786565246782221603607514,83368886824030168152637611827530346414371804944794347759744774896324127560374,3177678639119825042810365940367782104647095509100130493147562329363103503775,19253143328218563899379977575635094950545516267092583071329509952908825100015,77285802580879067624811029857417717951746531744889738239946143235700511294241,19253143328218563899379977575635094950545516267092583071329509952908825100081,1,1,2,0,120,021
walk,23,1,1,1,1,201,012,62981387573605838290815571673915025657034797022455516321745598625697771709629,40986266458250167786060796346300271945311782605622999360090282010136597940775,11824435205460189346694616988472610250923405037562048357621703372074465021259,56971223691374560802306199059110115401473173822575170059946130495796823080032,1849641854567073818958586890467677049891216633924564262712902149924515334204,56971223691374560802306199059110115401473173822575170059946130495796823080101,0,2,2,1,210,102
walk,24,2,1,2,2,210,021,107745788455551434994870597106342003364398727964341020721103328078944671865174,18198154424780050245634326078930713158390217489619569436011740246383194015189,105640235594300905606637046832103099183751023877320537921800099690489803462963,94689304054530557705232420542585135852400831378057757048562751038684821060049,42205570365571275436677128932205544000873465802034294668084824205666680868504,94689304054530557705232420542585135852400831378057757048562751038684821060121,0,2,1,1,201,102
walk,25,2,1,1,1,201,012,45706837269683963289162522480637623562487239239171721361321932236305245953706,57467106483353466536355049877628003676288476490840693259565433493797624844797,12618145484278765598053412650422280614494268935628149418570218277805963873160,16615295180370359184587657017372248450490924654465439654574208440054657545729,82561498876575477054395670973943410951855714970144025073456746261408846402804,16615295180370359184587657017372248450490924654465439654574208440054657545804,1,1,2,0,120,021
walk,26,2,1,2,1,021,012,50909944226067192740351514841146363281112212387405033390403469203799166175270,106428815261244853801775930941454798228179592122747592014011681294474421632675,74245418987320344305014524234774654197248164821128502674500017517544081535381,54333375543526356087513878500847268901418582209948026643190828982942655525746,7125338150263483248543228006993370050000399859178851096223505175632850442767,54333375543526356087513878500847268901418582209948026643190828982942655525824,1,2,0,1,021,102
walk,27,2,1,1,2,120,021,80391884054517051143273919560382532473958395891101766036960612842529811654447,5314118340073795006290346984897606662206411256896373989904896271654011440355,30086086842725349274006718463407768717105177517642424012592074893725011576861,92051455906682352990440099984322289352346239765430613631807449525830653505763,47481266661267684866261770048731237000982649027288581501595427231375015977067,92051455906682352990440099984322289352346239765430613631807449525830653505844,0,2,1,1,201,102
walk,28,2,1,2,1,021,012,65822062919741713848546915652537210046215267406940676216598972916782669677987,99144588216416399975211724750755370890812220336848357690279653487564439813391,66617527338474277023383329614083234769512481587492094172036541611470559851948,13977447032522154469795336459109401950436333041838296237818906927200489991443,87837195172271886483980312090469103951964898195398311906967349287117181511367,13977447032522154469795336459109401950436333041838296237818906927200489991527,1,1,0,0,021,021
walk,29,2,1,1,1,201,012,14573823682647124465722473313382295526463720825558997702316205298613338290245,51860134916327989261862054107808477554078060068960047810579288769494606269554,49358130638341081695986457587497134772728203771121518526562089939800890111864,51695527395678151372721557942584422401363990597320883226435527470088487971460,12401034445959892678127869123519063050109583084433137929734108201341185551330,51695527395678151372721557942584422401363990597320883226435527470088487971547,1,2,0,1,021,102
walk,30,1,1,2,2,210,021,101454340185666434792200758200226623775917746970403359824825622372125954945481,112125278525242745286941752647576709278116325171416748013522012555018383781674,18004559763723210767999459169572482652505897189461020240567533088673330616171,89413607758834148275647779426059442852291648152803470215052148012976485951477,52756962956964094295846411165256930001091832252542868335106030257083351085630,89413607758834148275647779426059442852291648152803470215052148012976485951567,1,2,2,1,120,102
walk,31,2,1,2,1,021,012,56028380240039313086566239626777520981944436042789013040627720469487020029159,91291297756565531662684345360807388992956972594738887668292196172089268229795,84264500478027546097891385029790905731638560693753227369995251374241381084372,11339598884673949755003015900846555450381741429211152821063605414346322437157,93112891467968295913564953206994796952074081420652598740477952312825516619930,11339598884673949755003015900846555450381741429211152821063605414346322437250,1,1,0,0,021,021
walk,32,2,1,2,1,102,012,49118016204380940328642933450691153480679030467403950790027630130951310776648,78609805530178992669076085602370125460733952291531058440085368828306990039805,103856356740072457849422950964314536765126986572346118848802169056559368526873,49057679247829946657929237384321575901309398984693739809680225957234320417174,17676730741656302107712510240044756050218766309687424763244711227049520659893,49057679247829946657929237384321575901309398984693739809680225957234320417270,2,2,0,1,012,102
walk,33,1,1,1,2,201,021,85632456554390746133649613597387528685486635894445868002138135713733762682540,29660942296875076749697262262261451613781682284866469532622584472191172761367,498690386050372540224109149038927554001666486328226504696863821983899227756,86775759610985943560855458867796596352237056540176326798296846500122318397191,58032659252660503725431052281782623001201015477797155168616633282791686194193,86775759610985943560855458867796596352237056540176326798296846500122318397290,0,2,2,1,210,102
walk,34,1,1,1,1,012,012,38931229941159970786642729777490763062549062632269663063977512768438542204198,70299542072882441633543517525804452826599708434434230896297619071106682288,76790559754083342195294711713671340337894322324936466744583773620399185785177,8701750736825745040210695342583708950327149816584009404308303901492154882871,98388587763664705343149594323520489952183264645906885573988555338533851728493,8701750736825745040210695342583708950327149816584009404308303901492154882973,2,1,1,0,102,021
walk,35,1,1,1,1,201,012,14295086230590988906574693490416527372447106229978408860279199180594581814214,72241021796057421036089293117649973677121302988168482706808955068121567339367,29255981210667785480906998400621406803701575447493672472369429759192685518082,46419831099981741943136916826058729401254807372066596392924924444380152862888,22952427037352711537297151356570449050327949534941711596755314252757855768456,46419831099981741943136916826058729401254807372066596392924924444380152862993,1,2,0,1,021,102
walk,36,2,1,1,2,120,021,61182140341384774197611212312361911891200404195323901420168586956871305679899,36546779903701404999078482758504166602719413998294716676956412395646952045979,18063168992230016226881289937821829359350166472021945942332584655390576945785,84137911463137738846063138309533749852182464927549183381541544987268150842905,63308355548356913155015693398308316001310198703051442002127236308500021302756,84137911463137738846063138309533749852182464927549183381541544987268150843013,0,2,2,1,210,102
walk,37,2,1,1,1,012,012,32889379266388819725104166358328512661393157675689335391734403927579679328630,31716021194264088064488135665430892860786044800925280678542827335125293206459,51186688776663287633978682984928502331090782189025947969180352745203862136574,6063902588977540325418374784320862450272558203956865987553002388637987328585,103664284059361114772734235440046182952292447871161172407499158364242186837056,6063902588977540325418374784320862450272558203956865987553002388637987328696,2,1,1,0,102,021
walk,38,2,1,2,1,102,012,85884833262973384262416329633731471275679657080817738481031668838076978048441,43621516173056900178009908967473090461950629071280848170264238826730299692389,102077829038602106406715731416171253968909683179182541427619260351010391602496,43781982952133537228344596267795882901200215759439452976169622931525985308602,28228123333049120966881792473096142050437132760195998430265917278466190877019,43781982952133537228344596267795882901200215759439452976169622931525985308716,2,2,1,1,102,102
walk,39,1,1,1,2,120,021,66842613589590655362132591477124793237317963890850827427276447627379993395809,38953175643635046540781192974555224020221905788402765431067386613589743816062,9996300004090493520657200557007890595730114986386971181113749766939097459792,81500063315289534131270817751270903352127873314922039964786243474413983288619,68584051844053322584600334514834009001419381928305728835637839334208356411319,81500063315289534131270817751270903352127873314922039964786243474413983288736,0,2,2,1,210,102
walk,40,1,1,1,1,120,012,69419263668056719490766307675572435703351052750458135323007791551347590607763,10603949238941695388652224197895959640754399381547624569373927242629871347270,35768876330317780544152453135219512509164532533634804147075865213931372716630,3426054441129335610626054226058015950217966591329722570797700875783819774299,108939980355057524202318876556571875952401631096415459241009761389950521945619,3426054441129335610626054226058015950217966591329722570797700875783819774419,0,1,1,0,201,021
walk,41,2,1,2,1,021,012,33664903502563512986589868473574775412904010440055961741881391679902309559368,113718342033824923226662368127072690102780236235465059449481062454528020332812,84200932938243954633889733416728350190855722655760106887552713881387339451146,41144134804285332513552275709533036401145624146812309559414321418671817754316,33503819628745530396466433589621835050546315985450285263776520304174525985582,41144134804285332513552275709533036401145624146812309559414321418671817754439,1,2,0,1,021,102
walk,42,2,1,1,2,120,021,20061081293242632758314254456412500361933599209824693078095639089986666590400,77635791901409014963673050807768585610351455139035999069080223524881933167151,18095216042664547701583679744506821880984930316779871892281721393040234914112,78862215167441329416478497193008056852073281702294896548030941961559815734333,73859748139749732014184975631359702001528565153560015669148442359916691519882,78862215167441329416478497193008056852073281702294896548030941961559815734459,1,2,2,1,120,102
walk,43,2,1,1,1,201,012,9330551557100817637677668042081099499702526020190714649201789076054151407134,39470328660241010148129543556636592052162829393352049184561048176399174576374,66991209019974367637763773409970216301404629252097800205694746755455508688155,788206293281130895833733667795169450163374978702579154042399362929652220013,114215676650753933631903517673097568952510814321669746074520364415658857054182,788206293281130895833733667795169450163374978702579154042399362929652220142,2,1,0,0,012,021
walk,44,1,1,1,1,201,012,9058824581674574101685812153483986394260839439302441200837842102302918133450,87248213278024188760784811542136291973923833117213275052628611789608783156379,19485051377617432561100361313067629485085312109124847785991130115997133381834,38506286656437127798759955151270189901091032534185166142659019905817650200030,38779515924441939826051074706147528050655499210704572097287123329882861094145,38506286656437127798759955151270189901091032534185166142659019905817650200162,1,1,0,0,021,021
walk,45,1,1,1,2,012,021,40591700341465226274111834446744342584075921650775891530622557049735578729946,28399422507267044109435207054252704987168994020577245539177863647254045815890,46800966388583925040023943507690860282025068994287426969657163310919210125827,76224367019593124701686176634745210352018690089667753131275640448705648180047,79135444435446141443769616747885395001637748378814302502659045385625026628445,76224367019593124701686176634745210352018690089667753131275640448705648180182,2,1,1,0,102,021
walk,46,2,1,2,2,210,021,77539923437563661236414440442307933083451854990154809830332752504868733865361,86423295638054275977530400128007833783163242714943298132723267098952095321220,67620959399014453633197129447060048839924871626183020115859148411996840156745,113942447382749121604612398118220230802946347645150340119892260991593646160064,3699283709134147637917173780935354099782433267849128525425804299849030668408,113942447382749121604612398118220230802946347645150340119892260991593646160202,1,2,2,1,120,102
walk,47,2,1,1,1,012,012,18409986008030992102165269095356764466135576006614136182757439670259361374008,32004782769464728420776107211244852394869865969688594845935330681335176438162,65377320459820474900629608702086290992264542689337833010764813656314296859493,35868438508588923083967634593007343401036440921558022725903718392963482645744,44055212220138349255635715822673221050764682435958858930797726355591196202708,35868438508588923083967634593007343401036440921558022725903718392963482645885,2,1,0,0,012,021
walk,48,1,1,1,2,201,021,4127305848420516195525095848761354171768607762107788399855814223257608597930,72994553887565650419936163835812888091116135246619450068633360726734686577601,38670229501330028808109725324113665590385241656913325570968409057916539496132,73586518871744919986893856076482363851964098477040609714520338935851480625761,84411140731142550873354257864411088001746931604068589336169648411333361737008,73586518871744919986893856076482363851964098477040609714520338935851480625905,1,1,0,0,021,021
walk,49,2,1,2,2,210,021,67798732357059755327566246684108137837446272446722343669643390548940577205485,113824161875475071324078755243133735483270291428722700154064014068489068557185,49961284242097564195496968090133942385823405455836084255207763398388023580656,111304599234900916889820077559957384302891756032523196703136959478739478605778,8974980004830557067501814897461047099891616493103415358936407325557365776971,111304599234900916889820077559957384302891756032523196703136959478739478605925,1,2,2,1,120,102
walk,50,1,1,2,1,021,012,46295794438673561135087295117833602908052152954725429120863857097073477118879,82735472531710646071300896063985847240413699823844316514219367401087570301266,102552911504248183640753778835556365558074116552711382443831943517656621923181,33230590360740718369175314034744496900981849308930879309148416880109315091458,49330908515834758685220356939198914050873865661213145764308329381299531311271,33230590360740718369175314034744496900981849308930879309148416880109315091608,2,1,0,0,012,021
walk,51,2,1,1,2,012,021,64054130417707349546858198351126340180225238098532084063173871319845748099186,8176211594517331318668905065302426231146181900114354827732907009424755059305,43561747225091514558043881592259141441898564666994125148550805678638331513172,70948670723896715272101535518219517351909506864413466297765037422997313071475,89686837026838960302938898980936781001856114829322876169680251437041696845571,70948670723896715272101535518219517351909506864413466297765037422997313071628,0,1,1,0,201,021
walk,52,1,1,1,2,012,021,26873568940848664475077557297166097741523779026866836603354714061222180829887,3511409287947274579385247908473447992252955860015915437854383998859806221042,85407111008520256369108179803048362119493249778757811998248485947826847620734,108666751087052712175027757001694537802837164419896053286381657965885311051492,14250676300526966497086456013986740100000799718357702192447010351265700885534,108666751087052712175027757001694537802837164419896053286381657965885311051648,2,2,1,1,102,102
walk,53,2,1,2,1,210,012,83781999482921130746425265023936319934794567646444733728366667644771423174712,83783241992033687316189572460935326586319484937584895693504719503797837010342,64018936999677572784527132532504169185425916747251498657043780867248409158272,30592742212892513654382993476481650400927257696303735892393115367255147537172,54606604811531168114804998055724607050983048886467432597818932407007866419834,30592742212892513654382993476481650400927257696303735892393115367255147537331,1,1,2,0,120,021
walk,54,2,1,1,2,012,021,44656748869363086878571415859621499027282634717903700180173529907504432582748,33902586543503497338648033464534903562198532287527960317924173520350844741221,37232753824449611206351535684531505263788817660208903541359880580053557347694,68310822576048510557309214959956670851854915251786322881009735910143145517189,94962533322535369732523540097462474001965298054577163003190854462750031954134,68310822576048510557309214959956670851854915251786322881009735910143145517351,0,1,1,0,201,021
walk,55,2,1,2,2,210,021,94490521481026913217441894766094717301805265265445631344486047375175883140446,114566840899209465689526603018496853993505626905303840301601438752323552201916,22526816094396011940173472232784244411229077160531656432827681888318234000964,106028902939204507460235436443431691302782572807268909869626356453031143497206,19526372596223375926671097130512433100109982943611989025957613376974035994097,106028902939204507460235436443431691302782572807268909869626356453031143497371,1,2,2,1,120,102
walk,56,2,1,2,1,102,012,78208398667112363640254817493072078941188291328738516005238036655126389844363,50421075024814546371048622028990843547892862467122310586850865749231974095457,102954704782705480835838530495312893217458815535420301486826265611459305403506,27954894065044308939590672918218803900872666083676592475637813854400979982886,59882301107227577544389639172250300051092232111721719431329535432716201528397,27954894065044308939590672918218803900872666083676592475637813854400979983054,2,1,1,0,102,021
walk,57,1,1,1,2,012,021,31903908650021749277568230501984878371510425600797352409185056016738651353059,416418661813502360428940165747861436340745595390692724701415462228615444745,83471761925480943785573814340955168045418813469452518905571112528941567873859,65672974428200305842516894401693824351800323639159179464254434397288977962903,100238229618231779162108181213988167002074481279831449836701457488458367062697,65672974428200305842516894401693824351800323639159179464254434397288977963074,2,1,1,0,102,021
walk,58,1,1,1,2,201,021,37666166109711705957723664891207879220009801471649571832660182669972955239862,62166266649636208128673160056715083948767482765542769820160607502462659691841,15959656477968281337174160060764944684492700428448222386636793835473219739960,103391054791356302745443115885168844802727981194641766452871054940176975942920,24802068891919785356255738247038126100219166168866275859468216402682371102660,103391054791356302745443115885168844802727981194641766452871054940176975943094,1,2,2,1,120,102
walk,59,2,1,2,1,021,012,60291808498332397658069772685745496862039624738119656611091027838752451845530,66388781886706741368728743843058234324801172713068995205037961333690183814330,104903588089593251820343453488572084519699171880092476262786178843375033683466,25317045917196104224798352359955957400818074471049449058882512341546812428600,65157997402923986973974280288775993051201415336976006264840138458424536636960,25317045917196104224798352359955957400818074471049449058882512341546812428777,2,1,0,0,012,021
walk,60,1,1,1,2,012,021,47313225816504046658249259171424245737497971909716229787225054292520978908153,19609958231980126328612172812792641403198782163250830239128560296593494683527,48868905188832022436709553024471020712573230592673504013103969418794361079983,63035126280352101127724573843430977851745732026532036047499132884434810408617,105513925913928188591692822330513860002183664505085736670212060514166702171260,63035126280352101127724573843430977851745732026532036047499132884434810408797,2,1,1,0,102,021
walk,61,2,1,1,2,012,021,32885726450549794860596818066574387889423358792076184695927572193024516905216,6636433558726515175647916022097276888734316530837548545296885014174800863766,76269929228039885387326250920016243075112309342726830798233126800709516902681,100753206643508098030650795326905998302673389582014623036115753427322808388634,30077765187616194785840379363563819100328349394120562692978819428390706211223,100753206643508098030650795326905998302673389582014623036115753427322808388817,2,2,1,1,102,102
walk,62,1,1,1,1,012,012,26646131413619476367895928134178048482319785923666192304907154819375329645751,40087736003636312062632741113290888352666451486045825936889433568359122402038,49058221820060406993042315761218971018283747255928545797660995620174382623874,22679197769347899510006031801693110900763482858422305642127210828692644874314,70433693698620396403558921405301686051310598562230293098350741484132871745523,22679197769347899510006031801693110900763482858422305642127210828692644874500,2,1,0,0,012,021
walk,63,2,1,1,2,120,021,74106628291789483802580762235625690417829461527278046417129602883039991771581,5707011385627561331046396516972398202327934153189034173450862066465298210698,35978449559899150289943826256089819233112588985173483448877119058403544689384,60397278132503896412932253285168131351691140413904892630743831371580642854331,110789622209624598021277463447039553002292847730340023503722663539875037279823,60397278132503896412932253285168131351691140413904892630743831371580642854520,0,1,1,0,201,021
walk,64,2,1,1,2,201,021,598803875122304670490890066647148322514890927222550559448157616924917395016,86813875862403812460915242164587808609975498969600842782449259841501187033436,28379409499790078292164852777452950920779594768817170697560166549482730243211,98115358495659893315858474768643151802618797969387479619360451914468640834348,35353461483312604215425020480089512100437532619374849526489422454099041319786,98115358495659893315858474768643151802618797969387479619360451914468640834540,1,2,0,1,021,102
walk,65,1,1,1,1,012,012,8592475002388695792079562048642725611435244501720628438883423780490799769428,65471960514158098149214831429050891667090805811158399340211370837238178855110,41727653720769401482276591530994290574743934352761536260362789390179856047125,20041349621499694795213711243430264400708891245795162225371909315838477320028,75709389994316805833143562521827379051419781787484579931861344509841206854086,20041349621499694795213711243430264400708891245795162225371909315838477320223,1,1,0,0,021,021
walk,66,1,1,2,1,021,012,99113386141962104869641195926020407385736978147935122762067214198362998863053,23082870922628630457873468864231537974542298419686684257650182488452544825694,109387921410041655519627305227123870346260692763659321059197771329002125654579,57759429984655691698139932726905284851636548801277749213988529858726475300045,273229268004812027291119554877338149564466676519405954628103424065210894049,57759429984655691698139932726905284851636548801277749213988529858726475300243,2,2,1,1,102,102
walk,67,2,1,1,2,120,021,61971302291175490789103670831332786556649701197329179854879114540577636473547,35793939225756551226804592323051474380341209267699388384716773018105825622121,18026847720384153407662721854303646916279074200611995799861696449225372575995,95477510347811688601066154210380305302564206356760336202605150401614473280062,40629157779009013645009661596615205100546715844629136360000025479807376428349,95477510347811688601066154210380305302564206356760336202605150401614473280263,0,2,2,1,210,102
walk,68,2,1,2,1,021,012,57420987905425638058822543401864140296475959757498420168995232862959190420965,79334317360773545611180922000097531081701639604153257368748873349464667287048,94828873208433207177138504615414144328362369969629450541171061803393811635313,17403501473651490080421390685167417900654299633168018808616607802984309765742,80985086290013215262728203638353072051528965012738866765371947535549541962649,17403501473651490080421390685167417900654299633168018808616607802984309765946,2,1,0,0,012,021
walk,69,1,1,2,1,102,012,100140903289165478417594920964550733386904056920393412622771841100912522102284,18368897637450466992553001349029176082917988114929390815404346065724978402476,113074377548016445436994047703795906236717924295958324640738980849180168838566,55121581836807486983347612168642438351581957188650605797233228345872307745759,5548925563701221456875760671403031149673649901773692788138706449773546002612,55121581836807486983347612168642438351581957188650605797233228345872307745966,2,2,1,1,102,102
walk,70,1,1,2,2,210,021,54964726708196789975130156377864204993526941946027659745193051308561964170846,92643582582027340076675135253185123880439681889692393938138849302774351263552,83975869184408260795336678386326486832573345495561074395583267404481353908928,92839662199963483886273833652117458802509614744133192785849848888760305725776,45904854074705423074594302713140898100655899069883423193510628505515711536912,92839662199963483886273833652117458802509614744133192785849848888760305725986,1,2,0,1,021,102
walk,71,1,1,1,1,012,012,3306593864880654732432177265065960778879866494082168692141878619748819591809,53504154398841040685783551303734352888473495657111201422810795800812490737663,58981340973594500005355256439887594185916622514447193924504909587347524342191,14765653325803285365629070126904571400599708020540875391861306290130142211456,86260782585709624692312844754878765051638148237993153598882550561257877071212,14765653325803285365629070126904571400599708020540875391861306290130142211669,2,1,0,0,012,021
walk,72,2,1,1,1,201,012,31407527566418870642105021814443336966708941943429325300271727757176336225933,55308637854273573572662486560723225167783384813081453443979045408586122561423,29075923816623751208803476633521345718777657909129785295206810842146375884307,52483733688959282268555291610379591851527365576023462380477926833018140191473,10824621859397630886460401787928724149782833127027979621649309475481881111175,52483733688959282268555291610379591851527365576023462380477926833018140191689,1,2,2,1,120,102
