n,Phi_trunc_156,x,y
71,0.160272166764369952557772014969623978428093253191993603597408076916450762137273075944484108548111836765690087138732156895798890822511595694629274714316776697,18558249036237948424307693058273877802345585340121675077454343655866234916794,102925297616426326316829909679718431975894466554508612202063072243624669625978
72,0.659954625671026364804984320780618531725726997599804242282033117987329246508579388371281456176662244018736674933452878610027851094590514877967909644168899130,76417524908279090471280141612151274819536228432327196024616750366929236333900,28547740495103478414520291360192300769496233495473526474752559351111853416127
73,0.684513224890771566900894646451435907664237346469160129822157319009208801861292518356500489666500255904059398457482435180225835481758138804128559737777381680,79261216420675310801454986871094078214179215048846508873397145435821838777157,112870164830798121167268857427192869563479593708946619428596289634189538482630
74,0.154106382236302217768496713667028860146978002175811584016521449099107088201280351137342055970178005952307205634172269738709708093764234710509482514058237502,17844299963945865753556978175977048283527667030971488871107009726265147492416,92339455426497992527764828083353129240162541312856283586209097866972992126025
75,0.462611862648561012920868664630635561947982225645173224508788589261241777247303825856697528873059556837562345709748606627960475742629911270958275609242709189,53566794082043239731631458522702919010529639281102255921088692156396552332442,52600923530647757045878761903221944743155065681530260944723915263453709490582
76,0.587179813393473394001403217201209963415533686243256090381644053278908729880760419400920187306415287912070964315499374448860873827651361359793910969936502091,67990777350807742601404023085488753338978132210207570380931332031538910989091,85792528080009126161701413187313528408286619337671538805045464108358228475888
77,0.351012494310070832902761697682046158061127764490705325349849249857961990482760307741217411635128465985316900198788455222988074800215454524188527848098091195,40644470064564665175584579054027955840271219296244836168773903573899753995838,89198703056127888476103653459098745055229124294272713714806438613549071761262
78,0.179191335335479019790463342703455247708989394683297954110845795404112091574327367099175433351400488846647614875212658086730625501661047488804639107300283752,20748939091719637471895272621629400096581453981910040513983032651039194532014,107007136602518391288517914008460549905372181058811316095661346454061774229193
79,0.942304288284717978191076792428652451418875798445479366239025356058658939690011087250750795001489040590554359843114307117654921483380478736172857863355292816,109111382237769790097646325753800985432696951592160583206768965440742916720568,101869497968125946738442255681207126574780898195001593990841056036912564106045
80,0.911655172459857844919916857098919598261988397223435375992972754731263424317372057787222772021563665518358640204914528935736094344860798705952664791929793846,105562457083132745572708143974180364633865373973280165462544121334166431725102,25628918875802021943667012249582785274069049593485836199662819559539854993207
81,0.466136275338196554215529444066815052998676321724983798985474091524021830642992107853989753233394638036483665766055467347939363992612048812425588721311135176,53974893190710647917392856271326699739646766314291179501052839205294496567852,22123123627253076826349264475542573056506312214169115841604592410105799074722
82,0.888119145088259982412019231179433209422698349195003274143310279383814506405091003303225640009502833377035801712991541313713222278306286126512023635880370736,102837171301428769333771264773335921346950557806327713809549280863721245858271,15164023296287171181043853434909470869363674779362801745003407514667801193163
83,0.580288581398750395510357502658049806315848702470768915901102989753979172672009408851934580329098591366997266698786177154593172451740009794115032086262270907,67192827200719728671013143999224641878827088629569520859649981708262221161753,103384655191190246127885605668210506147248415550730308407050901448849831220606
84,0.530275234916465038874247528057117712885758633662754571064359365090371815306013089902987056703135495597104609861752034322501859409283621913540500436566796042,61401677321786128624431159032263749752468788015947186556533285933672418059129,65545782242346006913034221054137782170449115459338816031208854498684321262830
85,0.474155501535987235040557028846579192322928295246256842109417146349755641335033736712852757818339023960298552345255725763786721577871603936706082878544724495,54903456146219450286355757115060875348400970025202805483700188422117596624811,7257110762626116538834930806768650551131081767862086604424125342895754982455
86,0.287056193596494666290933043718924504599558285355701813714909036747741318345215349402869936252000792297917526402348222384647620265378766633629818599929170923,33238836385049624224277173107813446262790356254484721792146647050258190102188,68765426899485956695091900677198638765507724712483592192815717200004462122786
87,0.207336930605913118558659075301064765674143427739135700844819093052259858996547584028063675067048878905612018933925604772648324642059849253240598181637798154,24007976370911127292608057090268039794368741649196644859589589701956893165514,108122176419818886633859099635006568033852272535729709179944422224910380249873
88,0.658923644217144012505072210094408523396962039795347837727576979553191714902484601624362970412641969168644848483586141434643559692145646554622239568675457994,76298145411769127142051742143984516410310388698796900364544497222460493284606,73411481198600422535897182689311125186386648944480927088108065877811504729128
89,0.827334444368973163874894651716777205214911688193037129280668654184507757330232702251716359794892065416719203429441587987809637655336803607960354380563768832,95798783811477552110532139218095995588261607922943497599304995669953488256687,62969615922034445131819050050848042428434876063790599311067024316063183397028
90,0.919097758670447766940560831715189479653714396813095508485369209336728850354485693170575137712107587417113138723324037982092104011502919011038042773671243322,106424249689785792809434743491778818298150289868329582003793750155851559913753,49930311026718593748365085023583718822918480166988780383065338740169345896747
91,0.086499707657321628059069013684252873534818696348809572700828482637697528941815311226073632574653257075308225179376028849088233922246899965161007516183164936,10015981868058348984327315527227986149044397160813174099363811020333633533456,47219187787383500334941697973860741060370165858155730325633999467122388338037
92,0.867633211373858692254127408626840381018582184892410118771293510505746733251624280205263191433965889090138470335957990823601587644387112280902839158344292484,100465062236661070713292652798360405767974933403943197785038031859530698082328,94188634306238076314961349736363811510818492108777651132739519725941790023149
93,0.450148108802145183660254320309917377410257460578464898007547035255981996958938238285341187117079607123144687349022516728391580101532628530433207431630650197,52123589984427115055350294688910839421572550614785792489607179155035488918740,110935648994881791085672996607117404349410644183587602534412205839211144014365
94,0.519030477471932288844382627917137235567943784414445114729916504132793841335101092819433783548065681564113206904297536679066141179124487459712955310518659305,60099623364316816814360901080340830187927628082720539824424530667494328140530,13168532797630625326505420165580249887582853122297745568490807466396307907166
95,0.085346464610283284593432806861157509628402482537227093286239543902302695351987713450651944402582811241763085193896174491204425391038136986147399640831828208,9882445446243370679019973441389370914782298169440461435976781902375353582684,96538225645603539151345674925865127760117360282144134748082597779357475014413
96,0.246315055865371689846977506672474906956145035288920646407713775020617265250132215648932217200543138926404373784224248656576911848244090548775307909844173955,28521334929257642662355968364187618978461680651983966049366919313167261413603,92001216339226101051709000074262638298012195154973025878101242482331580579919
97,0.632095155055700886612266395607996058301236131901418328577760731183978338264967157860269497960349922965699022963306681546538800791049857611032887873085644703,73191618600684934363477573887062328895873581780579362909629019010919633615168,107578895931616695567160590117601145860790445681836575682502992073140827825705
98,0.278609772334791159599345800540129708503875358283970286241944242184433884988856190832795462234416776857798793702043211160042537331245934884067978127937108499,32260807620578486927060573094567194421889620277145625073289289981635159254452,90489276162980686059013225219161110475382237731883191038134170438145132642754
99,0.883540993033135002551889237312526451604058913012441175488165112109651870705471351175177956452779740218713877701272036266454279117832534263469996040258700825,102307057510119735131891022126563080960391958005135852855745919500808248060288,4758751832773844050529323980822146180231708918603439844720489409288611158534
100,0.926691823228218294828319776233993657459691185823855960829898282500778602933172603487015026516083317797494238035465112000918118373001841830320411590299155312,107303582290733097924842193972465022053148211775194373671539518313500194639752,103795966108782717446806684023742168462365449272639790795591544606836007446638
101,0.191659084892652166229869791009021633691042892248313747230990778543542779475456660317833575361908845365725456966556967607387767883250056842352189464019517682,22192605861032339923219300220952640740143957092649363892436849832160947841459,46523550145918266838590957012521308010601656596758343153930544136769822884724
102,0.188628673501730241505881554521613403920285570974317030850224817677685635742801174606610243751377398773130352666242402418411237031472402755072892910282723870,21841708194828928921666110851241958462886709384697305319615860361086400216190,113487651941779314094220983893393587394651167102082064827741952919143428386628
103,0.206085027387422827475766439813454617969850406244563421655908849130048251224063418442113455540011469308156479624832255499571786612585393650963093818515566213,23863015881719216153051207260816138099927482493539250656531368598936158919647,4186147428965581719261549093321561779791482494625560151183589172097408281582
104,0.095715145859670121184938362474395957236160372858689541510621025980362176178956840784272037925345230577845948155818382130730781471010195294971926896086004081,11083056710745658442716244053978689766248928868045541316920857988142616618716,73295948688289636522856678705391718926042994078803433438999783280726367302604
105,0.945707938964305718090912061231603167650389259017215517583971335096617667837496494623311171468187361002537567894937451181415300188200463885204502906438756697,109505498060993265589267516557028234335074575762343151902387717331321322442083,34703259824710120586099512839167510148099278997938800873450731840992711239377
106,0.124135483874753108483687477217418427301319618963327323599167099275527958898212363667813244857898798432588132197840326154828753489311731136077241799724748399,14373907026342837540790248859274986984173658260367602253381563663365555664677,81785417689942388173318251866511952071411678624370309798925652125755161605821
107,0.842658284924855334002385941305211970802225852732177359977749461996287587038940512303614219929427220359166534358310029039762805282818449221921280010358089173,97573163324582665367447127690214795536159248412174285990449644020553366942792,113289505690612447053339725371588416733632595634688575080315168267493236300091
108,0.493744607461966158975612071366966416576104286304013364111375686792203066994067949366955061405631433596670149577050291054632170053741404636709903715498043603,57171719647679641348870527589448445187713379178559972218492971811710413619742,20384627872896850454765672663812599248828542672123482939352167575322079323145
109,0.198533781381738925454459932144271099839464691543471825380695278244979983903026755126566030955047381470792883660382367904913306541250857275563906902177663217,22988641330376138291556463519387137775168751717144469933681756424377754723519,43054880981465441319990816631611930439085360624934399797394257936366286280289
110,0.233302042341092957538702447298834795483182462780603413804637822431325300269313732070803261598827845109070737457974098410452266147989006737687122283984208966,27014530906007957169531703425481274912103442539779119437726046076907210423569,70052204206988426097199854494650803460514936258189950471015657998938191627469
111,0.454619612909747771586382905040660729748428298563115922554039668674617305460160333862957615578532666428284201318949946971374572285741863512214192106438722178,52641354787079659835760017335606513692779259671592999628953750318451309889461,64568943818380334826688611802596472118277221273089442952338325742929836584950
112,0.736371842188497240470796914275567660913958930670682210673757414598367561331331510420894988628058360396855747982309494134845006128619149083733342583914002299,85266034062537391250069302603695295958363496297733629154359044325623246713660,104008187123861977772044407350424193061842796463977286446819904307346548430832
113,0.929803541655877280349878956252176565279134316440488116032104085707772544428419101071973284468271857352198818955086249376712044536633574298127080076406403721,107663894668589988416485732804907196067323549228812138412798187263568142054102,64119329745161208050770810592499096484002065820040768955395483699057524509726
114,0.716049914796977940563228228554143808549282923486613907634902740294984548430011797792682876526692653318011371618148595684744565870684662956945684846925708931,82912915632544328137725003247398238301133292886065754328746761508550033533621,45428548577043322980129453651062737965397557139722875099846570462824032485896
115,0.089547389252333130773779005204818028547186571852247508686353133418541180841892172775071445006833906667988448428287616631187608941998457948936800650934552528,10368879287274847063683326775245528892741533064032799844366072780982279055029,42641425814606490851272551281672045263853946447473496814652144068027627890509
116,0.985843717619298271001116913174198907737239857496508648912825306029044047516160113088597750376528969781372663317745197103510706129178349604185331855091696478,114152903724621333860948567490368962046201128763751000060784744139047430517897,18179381626911943442892238595623401469111522068766957311520922177387435689861
117,0.916595071730874496306933392314964514166903475799729266484135731824033584746393247975941334541949703551951921330941109269379417157342430764626795797136448103,106134458340345658891368879553264730672951336951557149795602277080076735987097,111437454760900401415457100214588370191818201503160573158882948552237860521948
118,0.655287411898685228117570380717178044584016233839932055404498968248888509611965368328147637416571576777498588914653313962300226437658964022312556359670310823,75877098474662534417929450349056078294512972958195098726037530636752650087936,73465368254320768818737410323553632318291283168879707900928649380068364463054
119,0.029488803662654400296570344819764303337444339931466410399437632619217026907263024331732211443623171554582031635971393847872519326426826061737897564614319053,3414570185207774988195907254638111010663682235814498718978778746795753512785,110308138054162063872434202072244781559310362415331225986456498158446496177588
120,0.864679723275459612745651486694072091033751419277685183419259390034121203439245094780665926274667501399688883394548025876014106519442489200329298375774411646,100123071679209893182588265588059937212528901448156035976966973357987233384486,97120429522865428736604364081867499884484173130052754040658916206897719370828
121,0.286366217327332798184958649931535265519741029151009034539442578364659047165197624933460142697479799059724495835684003387885979308817086536150159760024618465,33158942591319202694013880364699812464227945537966885412147324692873653802917,29916548433595920274169576651554938867030867506507533063627691297992682067500
122,0.076582218070327972790139465071728128055240815333819998960519723290381295618712895064649141194711811235129759757312038835041215287367641215279393238185360817,8867615028791025514053889708816324119300371263542482224594222618236029461047,270978666408934671010140251149040886335834074615197330399395361317583393906
123,0.646860600228730381660019581628760990212296195346848558780140438928073268840434537312970724393710871443462738590162167210312627303727465827516557941210831990,74901340345789065325870760596348306623878342739272826068162779513906431781301,14607169553442007236852410049041684566594265431374316230317606814245957553771
124,0.972832312163392197305251689355333826296739915275074868664150521947380664991696627968337774607900495745019026728180369849451099101473215363357242715144517849,112646285902968154960007259049732142913051411320680941933393840099389647122915,46665699167462702249052103304923986648651527250540480428802282851073771668982
125,0.766007793684121798308551690816029672264160975180815687962210982969924743632104339326025821905803028206477976927225549940681223701326443016099826124662082105,88697642802751524418503359630328367758668035510641882938485860024669701757335,2235526159614022905352095433317649097888860456206003419057354640784531036435
