max_k,n0,n1,da,k_factorial_dec,a0_times_kfact_dec,a1_times_kfact_dec,Delta_lead_dec,rem0_dec,rem1_dec,Delta_full_dec,P0_0_x_y,P1_0_x_y,T_kfactG_0_x_y
8,18,19,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040320,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161280,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000322560,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161280,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037389,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034975,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000158866,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005831721406635063654683117253506846208566679410118154188144422804291796683505.000000000000000000000000000000000000000000000000000000000000000000000000000000061770026510604113021686089777374557608174938587526483912023179154647723408296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060338245119404298188752055094151291956247541820833238489095541627141964729881.000000000000000000000000000000000000000000000000000000000000000000000000000000031432635976074881250581475377260990518299484384225785790788933914681598133873,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011572017830429915581702013990316292295592343062838578091915585487382859347807.000000000000000000000000000000000000000000000000000000000000000000000000000000080780575496434691230244400615998209724903702272982639025039283954711537323536
9,20,21,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362880,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000725760,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001451520,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000725760,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137557,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360244,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000948447,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027269999313721489064003814688126459473916071371077568700989584042678664122236.000000000000000000000000000000000000000000000000000000000000000000000000000000061518159794260916008520957000838288631389138584881336375456078921081169337009,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049165640224648422823773915565586032697743938894033032962311119999631282788791.000000000000000000000000000000000000000000000000000000000000000000000000000000105956766664952150812862319556139599514690093730107021823709487685720526146371
9,21,22,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362880,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001451520,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002903040,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001451520,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360244,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104463,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001195739,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011965836972506588223997128401045962469020054936532040942669396711946779550878.000000000000000000000000000000000000000000000000000000000000000000000000000000020508170458539512907339144104761652653989862605562274795589281214845594026553,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028427543130978074585626614985345471977959286787477589552057226505098203151171.000000000000000000000000000000000000000000000000000000000000000000000000000000050682816582500312841297567883708830117558309276952202558634043072443816047348,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049165640224648422823773915565586032697743938894033032962311119999631282788791.000000000000000000000000000000000000000000000000000000000000000000000000000000105956766664952150812862319556139599514690093730107021823709487685720526146371
10,23,24,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003628800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003628800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010886400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007257600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001970002,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003542276,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008829874,0.000000000000000000000000000000000000000000000000000000000000000000000000000000112242605370855911626219397372182973708357660307191681275644769547017645510731.000000000000000000000000000000000000000000000000000000000000000000000000000000068390115887979834732633364824402183781075100352900279452463611034517340924735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000080054196684482463948542248383312935944472099277151063633539025818556176915779.000000000000000000000000000000000000000000000000000000000000000000000000000000086546188210108004431451406921380903087020953264980096598149741902074385182664
10,24,25,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003628800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010886400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032659200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021772800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003542276,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000526309,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018756833,0.000000000000000000000000000000000000000000000000000000000000000000000000000000050051642716414720463187965900760752759743717926024251995580996834432353782028.000000000000000000000000000000000000000000000000000000000000000000000000000000095977329040668870486165415718601595529707258475317259821694622043699258647209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000002487269563521372588638256629682732896198248350279877738175192749508256023898.000000000000000000000000000000000000000000000000000000000000000000000000000000083166736743316151169117427554752633507423263386878521247276704816202397537877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000080054196684482463948542248383312935944472099277151063633539025818556176915779.000000000000000000000000000000000000000000000000000000000000000000000000000000086546188210108004431451406921380903087020953264980096598149741902074385182664
11,26,27,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039916800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039916800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079833600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039916800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014622062,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032116341,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057411079,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035420539632094692837984746081431277047695579008914218444685265805648713712655.000000000000000000000000000000000000000000000000000000000000000000000000000000003358784347258280833624896144913156994018140069677567813380874750873563501770,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000107484135350634671731595325950042472365676590811699032535787488093763304243984.000000000000000000000000000000000000000000000000000000000000000000000000000000073679662717201130117851390282333596942677641837429089322427259416913362676061
11,27,28,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039916800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079833600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199584000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119750400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032116341,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028050408,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115684467,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011997413897869137388527643229179287173219648582998689290732186100840539639502.000000000000000000000000000000000000000000000000000000000000000000000000000000001470943697971973524954639516409046856461552667680474329056749594236581993569,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000107484135350634671731595325950042472365676590811699032535787488093763304243984.000000000000000000000000000000000000000000000000000000000000000000000000000000073679662717201130117851390282333596942677641837429089322427259416913362676061
11,28,29,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039916800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199584000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000399168000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199584000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028050408,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001540894,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173074486,0.000000000000000000000000000000000000000000000000000000000000000000000000000000105795941560543818913296116066690952042698430189737497838953392383707833745575.000000000000000000000000000000000000000000000000000000000000000000000000000000004504033619411268082483771859364632124471726090349020722551531509720449239959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000049151630029556619633156338398973320854679402706053926415074712059863391894326.000000000000000000000000000000000000000000000000000000000000000000000000000000111171837080378547467348261794472043463254055018894513032574226962726028294900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000107484135350634671731595325950042472365676590811699032535787488093763304243984.000000000000000000000000000000000000000000000000000000000000000000000000000000073679662717201130117851390282333596942677641837429089322427259416913362676061
12,30,31,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000479001600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958003200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001916006400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958003200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000075158884,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186382151,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001069226467,0.000000000000000000000000000000000000000000000000000000000000000000000000000000005951051142208904686425222322481077221567316087439359378589043642169505163867.000000000000000000000000000000000000000000000000000000000000000000000000000000079964921717795829095410138525196146121807237625496125940956045028689169447181,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000053952633559583150849807967764455014707517186778880013275866550094436637222815.000000000000000000000000000000000000000000000000000000000000000000000000000000057508690201549422243630171334769940327212301614384852852551661683314655618247
12,31,32,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000479001600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001916006400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002874009600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958003200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000186382151,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219463214,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000991084263,0.000000000000000000000000000000000000000000000000000000000000000000000000000000061451719815341661281682897810187322803922811401468501217986913974289877761320.000000000000000000000000000000000000000000000000000000000000000000000000000000030947091983295757773862695542244568955870624650687256254668336429089021717649,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004419783485594778575869456570338791525369265264676694041444820246718062386793.000000000000000000000000000000000000000000000000000000000000000000000000000000036101104813710326932550768335617430651283103709568167696655528050073806182880,0.000000000000000000000000000000000000000000000000000000000000000000000000000000053952633559583150849807967764455014707517186778880013275866550094436637222815.000000000000000000000000000000000000000000000000000000000000000000000000000000057508690201549422243630171334769940327212301614384852852551661683314655618247
13,33,34,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012454041600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000910417112,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001679030557,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006995634245,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073878352155540948447620718403427774498001293452248256430485902449521386501497.000000000000000000000000000000000000000000000000000000000000000000000000000000001848435387922639343210666794185885301104293211960891296513791058289918232927,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046977043670651332204009865131132088271744843655228508255733562228883219478109.000000000000000000000000000000000000000000000000000000000000000000000000000000008928536882397113515637623115347151132976460553813415824208486714936624203848
13,34,35,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012454041600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018681062400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001679030557,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001431809392,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005979799635,0.000000000000000000000000000000000000000000000000000000000000000000000000000000027530330645108713416987374469727331790531665526622602610141848066918764259216.000000000000000000000000000000000000000000000000000000000000000000000000000000090457806451997906746295114102505195833866791735127929013755472762572742813627,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046977043670651332204009865131132088271744843655228508255733562228883219478109.000000000000000000000000000000000000000000000000000000000000000000000000000000008928536882397113515637623115347151132976460553813415824208486714936624203848
13,35,36,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006227020800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018681062400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037362124800,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018681062400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001431809392,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005025645180,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022274898188,0.000000000000000000000000000000000000000000000000000000000000000000000000000000111565932824107072002273648098027536630611694584547792392039443258564110295357.000000000000000000000000000000000000000000000000000000000000000000000000000000065073319313695146178520529869101114308349376191091055110226007524833442301678,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081372929267933625950466299134420767116313809747786657449875828371774815844854.000000000000000000000000000000000000000000000000000000000000000000000000000000049801825835509570606281703408037944345584045565504136549095842398335950992396,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046977043670651332204009865131132088271744843655228508255733562228883219478109.000000000000000000000000000000000000000000000000000000000000000000000000000000008928536882397113515637623115347151132976460553813415824208486714936624203848
14,37,38,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013073269395,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059793245392,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046719975997,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056616873331361319339778585167167551785831939866134116855199265267823699497557.000000000000000000000000000000000000000000000000000000000000000000000000000000043995996907931450546017529821179402661741047506605583961822715323191270746432,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000045833031961794487073077343724912438064918827362186861021892223154055013717074.000000000000000000000000000000000000000000000000000000000000000000000000000000103698521985011072028066130545948171922864636498882922370087520027568720375385
14,38,39,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261534873600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174356582400,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059793245392,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062190095337,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176753432345,0.000000000000000000000000000000000000000000000000000000000000000000000000000000087015243271585780626985033128071698022561841908393138262300130220799103430854.000000000000000000000000000000000000000000000000000000000000000000000000000000025209357855024485003220583383100568569907435221588726049011254238934071668031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000045833031961794487073077343724912438064918827362186861021892223154055013717074.000000000000000000000000000000000000000000000000000000000000000000000000000000103698521985011072028066130545948171922864636498882922370087520027568720375385
14,39,40,8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087178291200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000261534873600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958961203200,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000697426329600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062190095337,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044690209750,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679926444013,0.000000000000000000000000000000000000000000000000000000000000000000000000000000020565748395003466184666204343636157310765094829742621599321518588759629653315.000000000000000000000000000000000000000000000000000000000000000000000000000000024311842649879211620913578563307151382181113982951839068539255115674165497966,0.000000000000000000000000000000000000000000000000000000000000000000000000000000073698089885969865917178217585365130397293864653143545863290470632977971667156.000000000000000000000000000000000000000000000000000000000000000000000000000000055920112788027504860697624221258924004816541552996850637631037640326076931751,0.000000000000000000000000000000000000000000000000000000000000000000000000000000045833031961794487073077343724912438064918827362186861021892223154055013717074.000000000000000000000000000000000000000000000000000000000000000000000000000000103698521985011072028066130545948171922864636498882922370087520027568720375385
15,41,42,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002615348736000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150577837147,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280025816463,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001437122347316,0.000000000000000000000000000000000000000000000000000000000000000000000000000000081119306557295043947776230900539651493257160932663731932698523086255548483211.000000000000000000000000000000000000000000000000000000000000000000000000000000069833235478127881789123626297864036834549011744885041054439092651501655231589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056928230350170690088515693373455391776532161201640864110651470361596498798780.000000000000000000000000000000000000000000000000000000000000000000000000000000098702891557265454207181057948941191720932087175001703063280803588785643085363
15,42,43,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002615348736000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006538371840000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003923023104000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280025816463,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000871439207825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004514436495362,0.000000000000000000000000000000000000000000000000000000000000000000000000000000108004735110291605052926238280029015934272711127582669764909355573652864904374.000000000000000000000000000000000000000000000000000000000000000000000000000000018403329601810133637568039936681058795765401650711307099623243826143290446421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056928230350170690088515693373455391776532161201640864110651470361596498798780.000000000000000000000000000000000000000000000000000000000000000000000000000000098702891557265454207181057948941191720932087175001703063280803588785643085363
15,43,44,6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001307674368000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006538371840000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014384418048000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007846046208000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000871439207825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001020343709071,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007994950709246,0.000000000000000000000000000000000000000000000000000000000000000000000000000000075172231921983061963707078453586218075235954430194816683547821744757539658477.000000000000000000000000000000000000000000000000000000000000000000000000000000089836151575228064517341400809867031783033609174401477513286549833346046540900,0.000000000000000000000000000000000000000000000000000000000000000000000000000000042641850349376588048456683523298482342861890575005255055023690152751482106678.000000000000000000000000000000000000000000000000000000000000000000000000000000053863954730306949225788464513829000943283845993231532239006941853900022216012,0.000000000000000000000000000000000000000000000000000000000000000000000000000000056928230350170690088515693373455391776532161201640864110651470361596498798780.000000000000000000000000000000000000000000000000000000000000000000000000000000098702891557265454207181057948941191720932087175001703063280803588785643085363
