puzzle,source,txid,pub_compressed,input_index,note,low_S,s,k,k_star,k_star_bit_length,byte_bin,era_proxy,sighash,segwit
11,blockstream spend tx,5c2f4fc31a359f72a363488496365eff2e8eed1b59e4e6dc240d5b8dfa740376,038b05b0603abd75b0c57489e451f811e1afe54a8715045cdf4888333f3ebc6e8b,0,,False,70267442680423063594222711835344289140098069726952324097508499762202675709516,24700681885876620085225578021475774791206115487841118599033369939001416758487,24700681885876620085225578021475774791206115487841118599033369939001416758487,254,109,early_n_le_50,unknown,unknown
12,blockstream spend tx,f9f92004643e94a8d13f77303fb51695f8ac126071bfc23efe9a92029639bfec,038b00fcbfc1a203f44bf123fc7f4c91c10a85c8eae9187f9d22242b4600ce781c,0,,True,23125557676187295284971360670072280080557147927596983727956099011086968200641,100027963138292683020912635297796909748757500201601020807672893779563497858977,15764126099023512402658349710890998104080064077473883574932269361954663635360,254,69,early_n_le_50,unknown,unknown
13,blockstream spend tx,c0d4ea377133549103ece0b26f4e4091521e9b909c53f1367a154400dfbe12dc,03aadaaab1db8d5d450b511789c37e7cfeb0eb8b3e61a57a34166c5edc9a4b869d,0,,True,21334155634132398516241607893133627108291723292133309711412313066318908007289,36448203186894532190444021867176559949486588008508174276530304582867103568077,36448203186894532190444021867176559949486588008508174276530304582867103568077,255,161,early_n_le_50,unknown,unknown
14,blockstream spend tx,c0d88c38111f54c86e2f5f1921c8dedd6b8ca6052baf496010ab755dcece5b46,03b4f1de58b8b41afe9fd4e5ffbdafaeab86c5db4769c15d6e6011ae7351e54759,0,,True,36337024480779215661421345974003752926442080860316647369680595377963867804795,4235853312579167190951227198514456689588198148988689079668730764510741012667,4235853312579167190951227198514456689588198148988689079668730764510741012667,252,18,early_n_le_50,unknown,unknown
15,blockstream spend tx,b82f780d5619131a0f98eb0bcfc2f01ce4b3997bc0066d9498b22073c163f4cf,02fea58ffcf49566f6e9e9350cf5bca2861312f422966e8db16094beb14dc3df2c,0,,False,59381629445803601319890472352620818550301835871134372900866512547936444007303,82593296059758137473665508203807814739979983167594907835214245734005571247847,33198793177558057949905476804880093112857581111479996547390917407512590246490,255,146,early_n_le_50,unknown,unknown
16,blockstream spend tx,ac7940a3b3569c962fa5ed063cfb8a87ef3451bdddfcfe92cccfcf13dc5bdeb7,029d8c5d35231d75eb87fd2c5f05f65281ed9573dc41853288c62ee94eb2590b7a,0,,True,32322526735325002156370446510125958977310249396671539294644588247615411593489,112932941017325606674947897237791680671395104748372968703514779757712762135111,2859148219990588748623087770896227181442459530701935679090383383805399359226,251,12,early_n_le_50,unknown,unknown
17,blockstream spend tx,e1818d951b51d4a0ed05f49b52e3300524bbdd03ad5d29bad15a1a09a5431e50,033f688bae8321b8e02b7e6c0a55c2515fb25ab97d85fda842449f7bfa04e128c3,0,,False,107419964658696562571327622300484818515327071633029688632397979668044708422625,67045253240495175664677005318551288932198045020027088718036508243666299182947,48746835996821019758893979690136618920639519259047815664568654897851862311390,255,215,early_n_le_50,unknown,unknown
18,blockstream spend tx,f785502a72d26cd6b6d26da5d5b4917f2fc5b74e57d7a139f4b7c2275acf2b62,020ce4a3291b19d2e1a7bf73ee87d30a6bdbc72b20771e7dfff40d0db755cd4af1,0,,False,74559856326655904298717148371261271642988638154573884231550295410204247681492,68737406073106109293467157082892733213669172506774081333094626239017331712557,47054683164210086130103827925795174639168391772300823049510536902500829781780,255,208,early_n_le_50,unknown,unknown
19,blockstream spend tx,ea746998394eafff179098d4df6a9c7caf79b2583a316ac0948276edfc58ba43,0385663c8b2f90659e1ccab201694f4f8ec24b3749cfe5030c7c3646a709408e19,0,,True,36005384517878697153826204359524912003572650424994042186260337735078324298494,1341208947492823290312737825452636494722071609835819045503973601520386885912,1341208947492823290312737825452636494722071609835819045503973601520386885912,250,5,early_n_le_50,unknown,unknown
20,blockstream spend tx,1516d2809ff712cd13706c218ba45d1ef4b046782db6a28d7f21426caafbca44,033c4a45cbd643ff97d77f41ea37e843648d50fd894b864b0d52febc62f6454f7c,0,,True,19626643036225868664291510796315011509856990306965843732824509942114516349948,38528704779611600624905360068734103999371161074236311965473864706941836255421,38528704779611600624905360068734103999371161074236311965473864706941836255421,255,170,early_n_le_50,unknown,unknown
21,blockstream spend tx,9d9189b42e0675c8f34c375ecf5dfd381124f0c61d1b905e0abdde7145e8bfdf,031a746c78f72754e0be046186df8a20cdce5c79b2eda76013c647af08d306e49e,0,,True,50075457783022833096337871685240862057230420905059763201189513279272192313294,81150478115468323563139806194511312289466066807615262639648178376586578518535,34641611121847871860431178814176595563371497471459641742956984764931582975802,255,153,early_n_le_50,unknown,unknown
22,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,023ed96b524db5ff4fe007ce730366052b7c511dc566227d929070b9ce917abb43,0,,True,9362938471786237040685521429277736334939852171009992495593847190919459972479,53564751622142283258840734743811484104454354552474197421207673634285286808788,53564751622142283258840734743811484104454354552474197421207673634285286808788,255,236,early_n_le_50,unknown,unknown
23,blockstream spend tx,cfbfafab6e04041ad36fb2395c2dd384f943ebdf61910c799f8f4a87276b2914,03f82710361b8b81bdedb16994f30c80db522450a93e8e87eeb07f7903cf28d04b,0,,True,32634859632536744790102832400520698632099658778886269286074803246399953916419,70376259747379725864376521531528685209847550373947712754032330703369975600252,45415829489936469559194463477159222642990013905127191628572832438148185894085,255,200,early_n_le_50,unknown,unknown
24,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,036ea839d22847ee1dce3bfc5b11f6cf785b0682db58c35b63d1342eb221c3490c,1,,True,14690779756545404163804715288142928456255594959435025324966976606328914042296,9503111566668580778778448130667211895840593799699261480758921950371462448996,9503111566668580778778448130667211895840593799699261480758921950371462448996,253,42,early_n_le_50,unknown,unknown
25,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,03057fbea3a2623382628dde556b2a0698e32428d3cd225f3bd034dca82dd7455a,2,,True,51187377835802008268244856535742717031891430166692141665747198641690102113113,64613554152039934379550124673955209371706653361385873510858191059989874399823,51178535085276261044020860334732698481130910917689030871746972081528287094514,255,226,early_n_le_50,unknown,unknown
26,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,024e4f50a2a3eccdb368988ae37cd4b611697b26b29696e42e06d71368b4f3840f,3,,True,30957237357802419889715668907522091800993459496797487641379353082669285540058,85199154614785358477094996470904981718613884620581492080422584723431949027057,30592934622530836946475988537782926134223679658493412302182578418086212467280,255,135,early_n_le_50,unknown,unknown
27,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,031a864bae3922f351f1b57cfdd827c25b7e093cb9c88a72c1cd893d9f90f44ece,4,,True,29560268960222360830969520444858187218711867321415533471948460706701776094032,29639851753334044663593668818183152623203332656612199722543702995331753813851,29639851753334044663593668818183152623203332656612199722543702995331753813851,255,131,early_n_le_50,unknown,unknown
28,blockstream spend tx,0eb5b5c103e68eb0931430e7786cf1b6962f9eed5a2cb5271d4dd1699b77e86f,03e9e661838a96a65331637e2a3e948dc0756e5009e7cb5c36664d9b72dd18c0a7,5,,True,49521181532611414447804422541984240859433800494951902051056404242352923623930,15818915343773005200867320181544707821875349821121417533089849743115433999723,15818915343773005200867320181544707821875349821121417533089849743115433999723,254,69,early_n_le_50,unknown,unknown
29,blockstream spend tx,c9878a6de4f0d482020411aa870eb3f6ca04b3dd1b2cf3ac5cf1ae265196e269,026caad634382d34691e3bef43ed4a124d8909a8a3362f91f1d20abaaf7e917b36,1,,True,38504771864206275240921954788538326261880442292937609113110095203189837210361,92243713732969772106988760911683585877544598228645190172161426524714907195708,23548375504346423316582224097004321975292966050429714210443736616803254298629,254,104,early_n_le_50,unknown,unknown
30,blockstream spend tx,1a10fdc0a7a08782ff4227caf9e8e55b832bf89c021c2bed70bba97687ce751c,030d282cf2ff536d2c42f105d0b8588821a915dc3f9a05bd98bb23af67a2e92a5b,0,,True,780073360283552801246125196542970305335657205219922080396990631883961765203,38134794463284674719239579591313386383077929834652155355643959359771045265408,38134794463284674719239579591313386383077929834652155355643959359771045265408,255,168,early_n_le_50,unknown,unknown
31,blockstream spend tx,d482463d265ca83307f80ebcc2c3cb47b5b0e2347d08674ba0b7c2c6876155af,0387dc70db1806cd9a9a76637412ec11dd998be666584849b3185f7f9313c8fd28,1,,True,31883243464606713062609853403229355484189527632635017714230549297770992790912,26771277666397894034367276520254162434939225392198592524902517686094783454937,26771277666397894034367276520254162434939225392198592524902517686094783454937,254,118,early_n_le_50,unknown,unknown
32,blockstream spend tx,919f5c226b8926d2203c6e1995738b7223b157740cb5c0fd33399860ded9866b,0209c58240e50e3ba3f833c82655e8725c037a2294e14cf5d73a5df8d56159de69,1,,True,38191811786827839545895267191934300106019515382792894918840577548364331116821,66974088001705380699843317354726803172070607322559610695671165703064381471238,48818001235610814723727667653961104680766956956515293686933997438453780023099,255,215,early_n_le_50,unknown,unknown
33,blockstream spend tx,718f7962432312acda2aeecdf18e94f5960f51013cc4d38134e7493c21e77baf,03a355aa5e2e09dd44bb46a4722e9336e9e3ee4ee4e7b7a0cf5785b283bf2ab579,0,,True,11792888275466351688511086481600527956584781909565558307143426424570846023738,87771300029246402133628758172026826473737980312198534370852848250531181386542,28020789208069793289942226836661081379099583966876370011752314890986980107795,254,123,early_n_le_50,unknown,unknown
34,blockstream spend tx,03da907c6b671764ee78fcca78e126c781640efb691d011f5aff0f09072a6104,033cdd9d6d97cbfe7c26f902faf6a435780fe652e159ec953650ec7b1004082790,0,,True,15641493834518374231038042001759561078178106663010851477815029150892682141156,3561464929861172569607839813917290970292127662296326525257180068189321530255,3561464929861172569607839813917290970292127662296326525257180068189321530255,251,15,early_n_le_50,unknown,unknown
35,blockstream spend tx,9308722efdd45b5e4f6efbad73c9b0e5172bbc4db877a54d47b99caa31f08ab0,02f6a8148a62320e149cb15c544fe8a25ab483a0095d2280d03b8a00a7feada13d,0,,False,76132024438469525865629465066521257603165654323733396158460699287888874404598,15030918940409299791337495046337888532229005820559929055394593993565189685530,15030918940409299791337495046337888532229005820559929055394593993565189685530,254,66,early_n_le_50,unknown,unknown
36,blockstream spend tx,ef14a1ad1e267ffa71c2d6d719e094a444a0fce6658b47132df7b7c1d95b95b2,02b3e772216695845fa9dda419fb5daca28154d8aa59ea302f05e916635e47b9f6,0,,False,77591814929715817780163907476910496981808743058792303250254617041454523305668,1629000199277021410903313869097240971426310024059399565156590204153838112388,1629000199277021410903313869097240971426310024059399565156590204153838112388,250,7,early_n_le_50,unknown,unknown
37,blockstream spend tx,21552e7e7e07498972ebf6e3ef56d7fc91dadbc7af32790e36ca2eeb4fd575c5,027d2c03c3ef0aec70f2c7e1e75454a5dfdd0e1adea670c1b3a4643c48ad0f1255,0,,True,22461187694442618900980421694713942297300295526406517074336994246005450401871,80094568180302280804693625261050239095783582706502295000301655704242859941339,35697521057013914618877359747637668757053981572572609382303507437275301552998,255,157,early_n_le_50,unknown,unknown
38,blockstream spend tx,3def611be07c9e5866c9cf293fcb52ca132e56abcd8fa19130bd7a8d5d4b7c28,03c060e1e3771cbeccb38e119c2414702f3f5181a89652538851d2e3886bdd70c6,0,,True,46350125549776733727816090369764981013028714512048097516595894574355117491167,111482052564887350491956898026779362162039569975671587616204791176197413276274,4310036672428844931614086981908545690797994303403316766400371965320748218063,252,19,early_n_le_50,unknown,unknown
39,blockstream spend tx,5c91256b41b5e89c6eb5597164a5bbcab22a2a02ba84cb66066d8832f4106c83,022d77cd1467019a6bf28f7375d0949ce30e6b5815c2758b98a74c2700bc006543,0,,True,5318909009479895158552156332337245769166387668552061525780613390113026222261,7775472500907821978441586413465064085314325923407643196142435756932455122453,7775472500907821978441586413465064085314325923407643196142435756932455122453,253,34,early_n_le_50,unknown,unknown
40,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,03a2efa402fd5268400c77c20e574ba86409ededee7c4020e4b9f0edbee53de0d4,1,,True,24337517223686299831138066645649586865279007018880487193792301900857366512850,107730919825427118840803580826057672473072676199793254355439538344345028522730,8061169411889076582767404182630235379764888079281650027165624797173132971607,253,35,early_n_le_50,unknown,unknown
41,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,03b357e68437da273dcf995a474a524439faad86fc9effc300183f714b0903468b,2,,True,50871943373906313585911789917409418255300029235068581604077361612150025919837,109299745711382358213830185083639815906671768119896008516953928495748572033015,6492343525933837209740799925048091946165796159178895865651234645769589461322,252,28,early_n_le_50,unknown,unknown
42,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,03eec88385be9da803a0d6579798d977a5d0c7f80917dab49cb73c9e3927142cb6,3,,True,16683565386098114183508424094829901479697578857692977143408501957802282108249,36217358279420614434217334876103410363882532948726766904694331484503706814211,36217358279420614434217334876103410363882532948726766904694331484503706814211,255,160,early_n_le_50,unknown,unknown
43,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,02a631f9ba0f28511614904df80d7f97a4f43f02249c8909dac92276ccf0bcdaed,4,,True,15647150665953704662350414014113594095699294722175808013059011876567512359285,32203393368909930744392743248826086692932056134367164190066881363728263658904,32203393368909930744392743248826086692932056134367164190066881363728263658904,255,142,early_n_le_50,unknown,unknown
44,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,025e466e97ed0e7910d3d90ceb0332df48ddf67d456b9e7303b50a3d89de357336,5,,True,43639597448510372820107660555712540701561765123505564988141065497741267245340,101337051175838956871240039504377807380779161051807145955488402623215429304212,14455038061477238552330945504310100472058403227267758427116760518302732190125,253,63,early_n_le_50,unknown,unknown
45,blockstream spend tx,26dbcd4f8bbd5007385fc79954ba238bc684c305d565c60146549bb5acc3f329,026ecabd2d22fdb737be21975ce9a694e108eb94f3649c586cc7461c8abf5da71a,6,,True,36208122678810685755104069787124293662399778330924384768717383679357108613897,13319725776432587363446941517303000143749531530891788972439434112850767555784,13319725776432587363446941517303000143749531530891788972439434112850767555784,253,58,early_n_le_50,unknown,unknown
46,blockstream spend tx,ff02b5d1efe2c95c6efadae4384eb7fb654e64b8bef2cbeb3d45774665555504,03fd5487722d2576cb6d7081426b66a3e2986c1ce8358d479063fb5f2bb6dd5849,0,,True,51711326545673025574427458551375243133856212205675783566184163394411856911203,18163066486637230997009386569064771383315781012744162192739465538689762230693,18163066486637230997009386569064771383315781012744162192739465538689762230693,254,80,early_n_le_50,unknown,unknown
47,blockstream spend tx,3fcc0e7860f33304b675d6af181d04b2eb72b92a36f1bff2dc86868a4437f510,023a12bd3caf0b0f77bf4eea8e7a40dbe27932bf80b19ac72f5f5a64925a594196,0,,True,24963154212906725799991681238829022232933582226253071304554448612253106543117,54540514829000861116863036312915744379744759328936633778526566870874642486560,54540514829000861116863036312915744379744759328936633778526566870874642486560,255,241,early_n_le_50,unknown,unknown
48,blockstream spend tx,39553513f731ae20f98f3307e863f0aecee9842f22273bb2ddfc0fb6ba481c5e,0291bee5cf4b14c291c650732faa166040e4c18a14731f9a930c1e87d3ec12debb,1,,True,10530477555167755041768605171296422020305763411084676746446914027819926518724,78380535498038840794154657675102720326447031675843602713683996217626714879990,37411553739277354629416327333585187526390532603231301668921166923891446614347,255,165,early_n_le_50,unknown,unknown
49,blockstream spend tx,39553513f731ae20f98f3307e863f0aecee9842f22273bb2ddfc0fb6ba481c5e,02591d682c3da4a2a698633bf5751738b67c343285ebdc3492645cb44658911484,2,,True,39237704011827048236383940861733169653425454227497735090252058593547179705885,27655932052302226091525199717768535206198573139964064290124994532156115742745,27655932052302226091525199717768535206198573139964064290124994532156115742745,254,122,early_n_le_50,unknown,unknown
50,blockstream spend tx,ad48b8e6888d6bd8ed4a425a4f69819145eae4bc33f2bf407136ada49819a47a,03f46f41027bbf44fafd6b059091b900dad41e6845b2241dc3254c7cdd3c5a16c6,0,,True,24968303211721933110128332056558504915584150221225817835716440280272149345632,106928300370950612661247681192703166686442058938966667848151959296765462327596,8863788866365582762323303815984741166395505340108236534453203844752699166741,253,39,early_n_le_50,unknown,unknown
51,blockstream spend tx,ca98c8549e364afa3b85d67b48b7cf67bf3125fdd027c41cb8cc1b3d1cc0daaf,028c6c67bef9e9eebe6a513272e50c230f0f91ed560c37bc9b033241ff6c3be78f,0,,True,24252762266961680347710323389709810666787157563036836450476171332161265770127,69375424413021309080771800321097532345150371177012264883839976710903391327225,46416664824294886342799184687590375507687193102062639498765186430614770167112,255,205,mid_51_100,unknown,unknown
52,blockstream spend tx,b0df330141225a2253c375b7b6c36c0016a9633934295916df6b0fd31afb4a8b,0374c33bd548ef02667d61341892134fcf216640bc2201ae61928cd0874f6314a7,0,,True,35645228255255400003882911647051451220803549985641483338846593516540269808345,64929466509939116550443212408820799356590776139168927669573270339371442884791,50862622727377078873127772599867108496246788139905976713031892802146718609546,255,224,mid_51_100,unknown,unknown
53,blockstream spend tx,0e343c3640fa8cc1f7a97556255f46a08b89bd7d1b62ca94b86b37e51835b3b3,020faaf5f3afe58300a335874c80681cf66933e2a7aeb28387c0d28bb048bc6349,0,,True,40354496981071120592851530051048731684915804776018919442385044768932844831819,72693606279362891611792383469340978878488234786990712232903581266854379079720,43098482957953303811778601539346928974349329492084192149701581874663782414617,255,190,mid_51_100,unknown,unknown
54,blockstream spend tx,52225def908024bc2c2785932d32e938037d0ffbc2c9faa8587a9ad78c23fe05,034af4b81f8c450c2c870ce1df184aff1297e5fcd54944d98d81e1a545ffb22596,0,,True,50495885557781061987608397256584933629056809423127502580116919247401085359929,2517874474294915400098869718048020797389198472742242732786357500814874066078,2517874474294915400098869718048020797389198472742242732786357500814874066078,251,11,mid_51_100,unknown,unknown
55,blockstream spend tx,cffe6d4be5b96c34f519dc6c8570e78178db7b5584746efe4452f0750dc41d50,0385a30d8413af4f8f9e6312400f2d194fe14f02e719b24c3f83bf1fd233a8f963,0,,True,15693524328710832175369845069265857618757717944197140898347649095096468613527,66429679668761102027411664653380817375737682651088069165198651450808146584346,49362409568555093396159320355307090477099881627986835217406511690710014909991,255,218,mid_51_100,unknown,unknown
56,blockstream spend tx,286cac14fd372d760a7d67ea462e2322c91c7bb16e4449bcb0933be760b3fc79,033f2db2074e3217b3e5ee305301eeebb1160c4fa1e993ee280112f6348637999a,0,,True,47608216067294371352914554574916025662829567623311450383888709368455004040248,96831207804583946357117020290390985036437750505195663909896735701706509798377,18960881432732249066453964718296922816399813773879240472708427439811651695960,254,83,mid_51_100,unknown,unknown
57,blockstream spend tx,95b77d69302fbc805f1a6e97a3f0d27159017341e5f2d40ec79785d830fe9d59,02a521a07e98f78b03fc1e039bc3a51408cd73119b5eb116e583fe57dc8db07aea,0,,True,40473224352338400700954021970683920436783047970158036117366532214198329217853,21250486528431025756762900792630069065433207576130586722440377230856526205241,21250486528431025756762900792630069065433207576130586722440377230856526205241,254,93,mid_51_100,unknown,unknown
58,blockstream spend tx,02882bd56fd8527e4f7ee87d5996d5dbd191c1f69e9e1e5e63c89c7186aff263,0311569442e870326ceec0de24eb5478c19e146ecd9d15e4666440f2f638875f42,0,,True,20304432904732913857207053496100890086424205322009415504617094092542172078288,103898181989893384485023944548056109147497465876268156697223981253405458101210,11893907247422810938547040460631798705340098402806747685381181888112703393127,253,52,mid_51_100,unknown,unknown
59,blockstream spend tx,2cf9ceef77437953eeeb3794290b64c28818553d35f6ccde00267a38700a48dc,0241267d2d7ee1a8e76f8d1546d0d30aefb2892d231cee0dde7776daf9f8021485,0,,True,9428876257743274018361410145309474044361480373651368046968751384552766472392,57605831365748855082081031980772579476148224903903240921276030177439744244798,57605831365748855082081031980772579476148224903903240921276030177439744244798,255,254,mid_51_100,unknown,unknown
60,blockstream spend tx,855a28b1f651960c633a51dfd09adc93ee8e11f38119bf8e4629084697c2a270,0348e843dc5b1bd246e6309b4924b81543d02b16c8083df973a89ce2c7eb89a10d,0,,True,46541633015215682486181743631423644896517836456806074791541198986993125745605,8517869204379815097370839780611378134631196542823100683376968427845686548046,8517869204379815097370839780611378134631196542823100683376968427845686548046,253,37,mid_51_100,unknown,unknown
61,blockstream spend tx,210f8bc540ae91d2288d2ff4f5734c716c251b3c0713cfba90dea2e7c94dce2c,0249a43860d115143c35c09454863d6f82a95e47c1162fb9b2ebe0186eb26f453f,2,,True,9961318930763977344135804058484676923072794946852730903054018064048145177397,42314601486530600763756830359364267874624786166428190149475337662527899210852,42314601486530600763756830359364267874624786166428190149475337662527899210852,255,187,mid_51_100,unknown,unknown
62,blockstream spend tx,d96269bdbae871174f629f4ec136d8c2c99cb1a1db15d12903418dfc92df5465,03231a67e424caf7d01a00d5cd49b0464942255b8e48766f96602bdfa4ea14fea8,0,,True,50070425599676330306027522496299428729711951927197619251306468275619714031245,72087482015026756016611197918577992163335363367307484859659602232116872702893,43704607222289439406959787090109915689502200911767419522945560909401288791444,255,193,mid_51_100,unknown,unknown
63,blockstream spend tx,05bbdfd6137521f4d1f4c857d92fc60c54309f4ef35ecad9b3b67d018cccff15,0365ec2994b8cc0a20d40dd69edfe55ca32a54bcbbaa6b0ddcff36049301a54579,0,,True,9315422352879153067624339150774600954347171923698756403071109269299671449557,20472497289282758012841087424869008689184875795171545865264037687119162756724,20472497289282758012841087424869008689184875795171545865264037687119162756724,254,90,mid_51_100,unknown,unknown
64,blockstream spend tx,50616c0a96f2e12eb352aadc971fadb2cf72766f9c0721b1a55b916450dcad34,03100611c54dfef604163b8358f7b7fac13ce478e02cb224ae16d45526b25d9d4d,0,,True,47618743726334154527915595950534330125388113258327874109212653681549235104737,62115200739056725544359456585902292121692753247877277166490547572648682718459,53676888498259469879211528422785615731144811031197627216114615568869478775878,255,237,mid_51_100,unknown,unknown
65,hashkeys.space partial spend,17e4e323cfbc68d7f0071cad09364e8193eedf8fefbcbd8a21b4b65717a4b3d3,0230210c23b1a047bc9bdbb13448e67deddc108946de6de639bcc75d47c0216b1b,0,"hashkeys frozen r,s; z from blockchain tx parse",True,28306015920135846449753334641126361578806400603471472874229623318111830665613,47198096938572448412586493519997056997382333080753102230902116200392371454045,47198096938572448412586493519997056997382333080753102230902116200392371454045,255,208,mid_51_100,unknown,unknown
66,blockstream spend tx,79fb2fb7bc3efa74765c88e1ae175e59675b4024dd6de0d57508fa774b7ef9ed,024ee2be2d4e9f92d2f5a4a03058617dc45befe22938feed5b7a6b7282dd74cbdd,0,,True,15529901188014462119516641710327571314526460213122107697540607906758273757901,58707025160267351933442663621645105683893231557287896960957738714991042874493,57085064077048843490128321387042802168944332721787007421647424426527118619844,255,252,mid_51_100,unknown,unknown
67,blockstream spend tx,0be77ec8bec331da8750c8b715085c6cf6c374ca31f829a515c62b9846e32986,0212209f5ec514a1580a2937bd833979d933199fc230e204c6cdc58872b7d46f75,0,,True,50560729501172865454917937028609469342861075999191637755692336441424305940275,77165647360624521394444301600792977327909851553250275924077506527860045513785,38626441876691674029126683407894930524927712725824628458527656613658115980552,255,170,mid_51_100,unknown,unknown
68,blockstream spend tx,ce6a95c9bc0a813f07120e243709cc0fcfcc7b2e6ab4fb5bb349d6729291d6c1,031fe02f1d740637a7127cdfe8a77a8a0cfc6435f85e7ec3282cb6243c0a93ba1b,0,,True,10203656416775410160339576985914252370868610675357831488356843114385093808812,102554615029057701872375318987745840197832050986042670152374125658207378353113,13237474208258493551195666020942067655005513293032234230231037483310783141224,253,58,mid_51_100,unknown,unknown
