puzzle,max_k,lead_a,d,d_over_N,d_over_p,x,y,x_over_p,y_over_p,x_over_N,y_over_N,x_dot_pfrac,y_dot_pfrac,x_dot_Nfrac,y_dot_Nfrac
11,6,1,1155,0.000000000000000000000000000000000000000000000000000000000000000000000000009974774681134083542321236401534461504676230771547437177779470634640908428745886542,0.000000000000000000000000000000000000000000000000000000000000000000000000009974774681134083542321236401534461504638980420923904999702377508045093517692755616,62881537490095887219700399231850374465934748632261627566823792868512270937739,13147057280235047456932561657169493651618639731944681771959256397716727593785,0.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,0.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,0.543055556767958548393572910794610963471571706688983915690227175787523365818108321427491734949817819238961983707189049428604509872373113324753326181111296987,0.113540202675591408756258414778735436206987665715162729986272166575021144118019400984422798298669337308471534564338025546823888669592419518380642734997401118,x.543055556767958548393572910794610963469543689962358066889768090866543490762655442870029875325934168025344031412664023928358318357584207074809428930137062968,y.113540202675591408756258414778735436206563654898403927508967741387013996408662950918152718095697176593059504635457752731982038072501741826077944154559024925,x.543055556767958548393572910794610963471571706688983915690227175787523365818108321427491734949817819238961983707189049428604509872373113324753326181111296987,y.113540202675591408756258414778735436206987665715162729986272166575021144118019400984422798298669337308471534564338025546823888669592419518380642734997401118
12,6,3,2683,0.000000000000000000000000000000000000000000000000000000000000000000000000023170840233318394929911582047893472049390759445940929825092917500209140531883301812,0.000000000000000000000000000000000000000000000000000000000000000000000000023170840233318394929911582047893472049304228977782542956018596410463191262311396812,62873230362895154212630786022242768049765907075202803363316800197224716728348,44287605905639058437764882210076840571916049925678373415089141948008474303433,0.542983815017244408261451214495138794014838783164708293857423809602787249691183839232053597003804923962589340832114734231570638007718165561743388512174066787,0.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,0.542983815017244408261451214495138794016866531974969725700405031247640678278126479933083662717455000188563374837138696384680487088111844175888311950556007701,0.382475229502695060009048965526065932120843042201684186888838389496923680314655841845066145056653911421734786604986579754464483750595303924644603713926326505,x.542983815017244408261451214495138794014838783164708293857423809602787249691183839232053597003804923962589340832114734231570638007718165561743388512174066787,y.382475229502695060009048965526065932119414705536522395310794883281934985673401156371900700941876491744162022493806043695963638930475482034640219790068025083,x.542983815017244408261451214495138794016866531974969725700405031247640678278126479933083662717455000188563374837138696384680487088111844175888311950556007701,y.382475229502695060009048965526065932120843042201684186888838389496923680314655841845066145056653911421734786604986579754464483750595303924644603713926326505
13,7,1,5216,0.000000000000000000000000000000000000000000000000000000000000000000000000045046255183372623166015211316366884163109281129343231445279410242672708540552852125,0.000000000000000000000000000000000000000000000000000000000000000000000000045046255183372623166015211316366884162941057900899643704283637300401045704143214973,77279535011188034078516592160190105278519663645387310740933932046966334391965,21187662028949108981404481381270595331275020854904259675645205037069861834225,0.667399090215942309835316511250547224608691307025737162728933565442213599787817927733951420393476832420405112648603290081129671176367781547769812322646698778,0.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,0.667399090215942309835316511250547224611183679125469011189148042300372250010128278832567134264929339416477447352074178859470425382322322077676574205673496363,0.182980220570378855483610192276114741323272235709685557106386056256617863094936408151910169157100571672108293319134494691559384696525943173492213139920909334,x.667399090215942309835316511250547224608691307025737162728933565442213599787817927733951420393476832420405112648603290081129671176367781547769812322646698778,y.182980220570378855483610192276114741322588904246939883084725951920321391087217167091279168854463608730573378529812201745975843586318409647634567340848929078,x.667399090215942309835316511250547224611183679125469011189148042300372250010128278832567134264929339416477447352074178859470425382322322077676574205673496363,y.182980220570378855483610192276114741323272235709685557106386056256617863094936408151910169157100571672108293319134494691559384696525943173492213139920909334
14,7,2,10544,0.000000000000000000000000000000000000000000000000000000000000000000000000091059761244915824130073694041367413078187166454715305283555617637795444565105305370,0.000000000000000000000000000000000000000000000000000000000000000000000000091059761244915824130073694041367413077847107842616150923689929389461009567577848673,81843657467215387495831064399406566332608612828066495589872347702422424340313,54485907183099442435241830545487744604431707282385107218140713089194934994051,0.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,0.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,0.706815621052286166473376488545464900014778433759144662500090896860610540558392419488176292179962738990452662274675042354396239198986339446970050889250167605,0.470549478310477933290011485692645399819839898489667864578894281439845730188996377222302232837034552519989290819762554409501854577505737620391027294244615874,x.706815621052286166473376488545464900012138862385148090455126664569420504086829731163887300294903233337994302046768075901212129077309287073826106581086077118,y.470549478310477933290011485692645399818082652475285453586771390015736138594106350292114870742122368456985611006751940074657712209663665188522856028556430778,x.706815621052286166473376488545464900014778433759144662500090896860610540558392419488176292179962738990452662274675042354396239198986339446970050889250167605,y.470549478310477933290011485692645399819839898489667864578894281439845730188996377222302232837034552519989290819762554409501854577505737620391027294244615874
15,7,5,26867,0.000000000000000000000000000000000000000000000000000000000000000000000000232027940569722443750255115497858335278040079774168826541472759775668646541225743492,0.000000000000000000000000000000000000000000000000000000000000000000000000232027940569722443750255115497858335277173581791309571971431841133028162372165597525,115179987075229906903259602194857104773352008368264866291918996865985783521068,90040672269639781867601170828097460642155183514693739441068299505511569496110,0.994713782555285072124832941387138196235226956670604940829053645026164296327716131328013975071282145241406035340126771243402278635376749646855790107012696884,0.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,0.994713782555285072124832941387138196238941670872653614919550073900312274557116133854112950488328537959952954575575627107823014955272049143005240321741961574,0.777606422534627422904077814329541603565892822246168116735426744638545079122649064991195860021657937424910079053180353784269634547172569227544614423180675469,x.994713782555285072124832941387138196235226956670604940829053645026164296327716131328013975071282145241406035340126771243402278635376749646855790107012696884,y.777606422534627422904077814329541603562988885785196140333430198592517107917059272874892800457593588289623463121504100010354592507247661426843494343401639059,x.994713782555285072124832941387138196238941670872653614919550073900312274557116133854112950488328537959952954575575627107823014955272049143005240321741961574,y.777606422534627422904077814329541603565892822246168116735426744638545079122649064991195860021657937424910079053180353784269634547172569227544614423180675469
16,8,1,51510,0.000000000000000000000000000000000000000000000000000000000000000000000000444849042272914842653650984452848581909846447655764925564866261809829604471602264759,0.000000000000000000000000000000000000000000000000000000000000000000000000444849042272914842653650984452848581908185178772112854142570965748400664152687308911,71261119111627271268814301300816751730184609798722377831958734823956300761978,59596021694081902311438976720015207351957060174440251698640379092733344351048,0.615423036072675204711298857917184019269333014461891651695858827954910805324514528469706757778323657303803389419086810016687636093328354566856810455345962156,0.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,0.615423036072675204711298857917184019271631284308414080904683413984290554839200793766501400318770711090390105645959056103566458474643519916218935074195754241,0.514681288563156478280045571530864427766093561970021592976862759880251263539840216902984368986034123957527044398847669805548775468408439461657893724789323802,x.615423036072675204711298857917184019269333014461891651695858827954910805324514528469706757778323657303803389419086810016687636093328354566856810455345962156,y.514681288563156478280045571530864427764171507680954769599020774780540453270142660138954365842231082796696344147410771046429045760746764512375862698630006483,x.615423036072675204711298857917184019271631284308414080904683413984290554839200793766501400318770711090390105645959056103566458474643519916218935074195754241,y.514681288563156478280045571530864427766093561970021592976862759880251263539840216902984368986034123957527044398847669805548775468408439461657893724789323802
17,8,2,95823,0.000000000000000000000000000000000000000000000000000000000000000000000000827543579454814967338396394549122688106138927464926469858322263743026639279408732597,0.000000000000000000000000000000000000000000000000000000000000000000000000827543579454814967338396394549122688103048502921377791157126337621995667658764434125,28680425603065441115290152280488699295594719576682295038107311098738046478531,25891784853872784916698406928566284655180782352356802345945352320731968056623,0.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,0.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,0.247688989739919386219075593120163811523576042905116189134228674744913593776595169135871055400703319537519755538385245169600893446145106060054444197298374419,0.223605818190286754988977110613762437909711656500688333011968007262572554741436610608670213525247763935467511859899510067846456750869040612188106003766762579,x.247688989739919386219075593120163811522651059433474356234742639956179312182644120413395686331651425162386192328235900154916933239391865356200574176216419799,y.223605818190286754988977110613762437908876610557765544182651535865085764240851948277279531318581427906835969230533995497282601921418295110654677949830579342,x.247688989739919386219075593120163811523576042905116189134228674744913593776595169135871055400703319537519755538385245169600893446145106060054444197298374419,y.223605818190286754988977110613762437909711656500688333011968007262572554741436610608670213525247763935467511859899510067846456750869040612188106003766762579
18,8,4,198669,0.000000000000000000000000000000000000000000000000000000000000000000000001715738970672058219280881138230692582400452026971911512270363334643700984095685310378,0.000000000000000000000000000000000000000000000000000000000000000000000001715738970672058219280881138230692582394044676402191586481274144714987605252382740712,5831721406635063654683117253506846208566679410118154188144422804291796683505,61770026510604113021686089777374557608174938587526483912023179154647723408296,0.050363729034052879838604933241617888516697063049612390003220740892482537378373267733097788748326870653082386513705430950346428808110914373640927536395938527,0.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,0.050363729034052879838604933241617888516885144146699761772941256723851033931709371481500212277954193059131422979090775617555735051707285994159687080444272039,0.533456360598229461945450470401661829029187429868528755278023121863901597645693816074352339059769303069353900553534811970351422255460828939411439386896922205,x.050363729034052879838604933241617888516697063049612390003220740892482537378373267733097788748326870653082386513705430950346428808110914373640927536395938527,y.533456360598229461945450470401661829027195260911347040047257639962501113476296597308318315097503801165160746642482042284541722846520789009652676241214574090,x.050363729034052879838604933241617888516885144146699761772941256723851033931709371481500212277954193059131422979090775617555735051707285994159687080444272039,y.533456360598229461945450470401661829029187429868528755278023121863901597645693816074352339059769303069353900553534811970351422255460828939411439386896922205
19,8,8,357535,0.000000000000000000000000000000000000000000000000000000000000000000000003087732524345692259137509313266340860670490189528322901608123838403755147248190947989,0.000000000000000000000000000000000000000000000000000000000000000000000003087732524345692259137509313266340860658959190298725864994449820206842000734441020997,60338245119404298188752055094151291956247541820833238489095541627141964729881,31432635976074881250581475377260990518299484384225785790788933914681598133873,0.521091255169780243306315965461550787518006801342282507716165160872576890917893105488488772020941361880490832716901597405318021104296455534798895099147113142,0.271457542420308265311296771712322212993130046928364567721066935761977886399002397098160825972917629557767420202312319788294723234951391537636180749819815919,0.521091255169780243306315965461550787519952793365404965984292499571477314595193081993803343895460106484230233633201411245671592831711636834474143602323989175,0.271457542420308265311296771712322212994143792998607546877481623591527230174350334853112023687993905818579912757460850938530602124119873923257596619070808322,x.521091255169780243306315965461550787518006801342282507716165160872576890917893105488488772020941361880490832716901597405318021104296455534798895099147113142,y.271457542420308265311296771712322212993130046928364567721066935761977886399002397098160825972917629557767420202312319788294723234951391537636180749819815919,x.521091255169780243306315965461550787519952793365404965984292499571477314595193081993803343895460106484230233633201411245671592831711636834474143602323989175,y.271457542420308265311296771712322212994143792998607546877481623591527230174350334853112023687993905818579912757460850938530602124119873923257596619070808322
20,9,2,863317,0.000000000000000000000000000000000000000000000000000000000000000000000007455751128478470650654669131137252556564995256277072573167999350550896226822175352470,0.000000000000000000000000000000000000000000000000000000000000000000000007455751128478470650654669131137252556537152086624037136474508608755814718973122684280,27269999313721489064003814688126459473916071371077568700989584042678664122236,61518159794260916008520957000838288631389138584881336375456078921081169337009,0.235508310570608608751796625232158217653232228800366823647640347645956181731229344129410715023916432843326162668024855359561369234544372152411354888629403880,0.531281197182471451854511505906293346035891855464889380063536168711922741132968281146681967027397816433108144851245663542364543942851367182795310287231465017,0.235508310570608608751796625232158217654111724069578604893009100346657348773049993566112417288347347647334063983921183951591510454098814641152241960799407378,0.531281197182471451854511505906293346037875901371426782037950174573952908408282132517111834739603964853131443934769533337023802253083872091842739147137657089,x.235508310570608608751796625232158217653232228800366823647640347645956181731229344129410715023916432843326162668024855359561369234544372152411354888629403880,y.531281197182471451854511505906293346035891855464889380063536168711922741132968281146681967027397816433108144851245663542364543942851367182795310287231465017,x.235508310570608608751796625232158217654111724069578604893009100346657348773049993566112417288347347647334063983921183951591510454098814641152241960799407378,y.531281197182471451854511505906293346037875901371426782037950174573952908408282132517111834739603964853131443934769533337023802253083872091842739147137657089
21,9,4,1811764,0.000000000000000000000000000000000000000000000000000000000000000000000015646699286052131372268478396354703128621841184053567940227224965280996379652261805679,0.000000000000000000000000000000000000000000000000000000000000000000000015646699286052131372268478396354703128563409284272534907256085093927108928129088905885,11965836972506588223997128401045962469020054936532040942669396711946779550878,20508170458539512907339144104761652653989862605562274795589281214845594026553,0.103338984997347905740719840146549208926021612739555243923646082424597529533842618478023536259404889794158116428977503737093197088175091159010675372762980720,0.177112016836555759071695157241657381084727088177269777691133543630928814295183272783389650542505146727754828207153080385406026170692142240538197371026030790,0.103338984997347905740719840146549208926407527564429612043673973585756245411713365502466960079717052892802042986047961634240851045864516203569447493941095677,0.177112016836555759071695157241657381085388505095215891577728643934118281947476549712088061581441737077562387813616078192213083544962955303410609728277383758,x.103338984997347905740719840146549208926021612739555243923646082424597529533842618478023536259404889794158116428977503737093197088175091159010675372762980720,y.177112016836555759071695157241657381084727088177269777691133543630928814295183272783389650542505146727754828207153080385406026170692142240538197371026030790,x.103338984997347905740719840146549208926407527564429612043673973585756245411713365502466960079717052892802042986047961634240851045864516203569447493941095677,y.177112016836555759071695157241657381085388505095215891577728643934118281947476549712088061581441737077562387813616078192213083544962955303410609728277383758
22,9,8,3007503,0.000000000000000000000000000000000000000000000000000000000000000000000025973302837952207494183329386427790111427080583654746280937914521293884001886181830176,0.000000000000000000000000000000000000000000000000000000000000000000000025973302837952207494183329386427790111330084444043209574302943257643413757351961553335,28427543130978074585626614985345471977959286787477589552057226505098203151171,50682816582500312841297567883708830117558309276952202558634043072443816047348,0.245505054086343922792492811688485969277244153428955735192946029925293723585859703607019172316928652378677729487749580720658722724393004113660261037178522817,0.437705346853408484663336185362563105886684935573930810544605849633156274920655344319254544467880766473154335350893041346913157855201834777592515061081828239,0.245505054086343922792492811688485969278160981090422849484270672934424507765932371059835996103533645857951897071783539629155402048352721173391978151048614974,0.437705346853408484663336185362563105888319526646040167724879496736584602137572703772630817572864653513694572064446799231867249622764781316633518367012269569,x.245505054086343922792492811688485969277244153428955735192946029925293723585859703607019172316928652378677729487749580720658722724393004113660261037178522817,y.437705346853408484663336185362563105886684935573930810544605849633156274920655344319254544467880766473154335350893041346913157855201834777592515061081828239,x.245505054086343922792492811688485969278160981090422849484270672934424507765932371059835996103533645857951897071783539629155402048352721173391978151048614974,y.437705346853408484663336185362563105888319526646040167724879496736584602137572703772630817572864653513694572064446799231867249622764781316633518367012269569
