family,label,d,d_net,tau,Delta_plus_num,Delta_plus_den,Delta_minus_num,Delta_minus_den,first_diff_Phi_plus,same_x,y_parity_flip
add_constant_+1,d->d+1,3,4,1,-1079539657499606198741825508173323212005700949587013117152386332367035194186353830754810355911150086167625267609271200418375482579994957710307566450779786,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-1079539657499606198741825508173323212005700949587013117152386332367035194186376778981139698389792802989132192315558583115723252297194864505242994935041002,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,3,6,0,355356141812642690490408670282306800638882611743715443405786245394564498859976887219683140821986379612899776363753165639315034569313491520537603851291448,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,355356141812642690490408670282306800638882611743715443405786245394564498859870583148612681816945910799565568764823541940428936766579721365491472171528942,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,True
double_and_add_+1,d->2d+1,3,7,1,-8193828628590531646499487756508169010339343653735196379585850460338681430404793528727366133938630587159370413594777270582539170087249703091938880715344843,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-8193828628590531646499487756508169010339343653735196379585850460338681430404839086205220694664583561372312643113564554081458311452172468896698832529967259,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,3,115792089237316195423570985008687907852837564279074904382605163141518161494334,0,64626033276174428040257173253883955040372248156007973899617806086825661312843,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-64626033276174428040257173253883955040372248156007973899617806086825661312843,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,3,113154241089467990708778664450425061352782972666447760965849861628663993940054,0,-11650002846077489124206887180851425383829553199798159232657883722235886160842,115792089237316195423570985008687907853269984665640564039457584007908834671663,-11650002846077489124206887180851425383829553199798159232657883722235886160842,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,4,5,1,-9481374012271807428691762663770038321829013753263674310197930990224294102566689760095828047480721690581478820379019771373253079832279039997296501487834605,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-9481374012271807428691762663770038321829013753263674310197930990224294102566811653230895088477163026429223253440177544714041425802550353194280609757374805,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,4,8,0,-9509600949258605769179206816999033190507113919444603708239758476944519981763372642973303490820506973102745154031321468871460334250073118846123996875675756,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-9509600949258605769179206816999033190507113919444603708239758476944519981763382028677605457548583698198746656406545182249729227462090441198646444368721968,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,4,9,1,-2919729409158290625876708655588033040646191745450762389414881657044965904821538038249158322364140653591261532416233006005368826160653044499698587096430726,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2919729409158290625876708655588033040646191745450762389414881657044965904821648649720385481727309084552469038075789616657646944966483619275191818302373552,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,4,115792089237316195423570985008687907852837564279074904382605163141518161494333,0,41677806946831949397540351746959248752989550808238256699711011151397177051627,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-41677806946831949397540351746959248752989550808238256699711011151397177051627,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,4,35080232215307792188133900925212173950873065942855443571861319030033830425735,0,-90964863791061119248310397116700363919564248643407232307309097162022151547923,115792089237316195423570985008687907853269984665640564039457584007908834671663,-90964863791061119248310397116700363919564248643407232307309097162022151547923,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,5,6,1,10916269811584056317923996842225668334473597314594402870756103567985893795613020478070321544213858156362003864352044137430943596981587489228141671789905839,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,10916269811584056317923996842225668334473597314594402870756103567985893795613059015360647468683901740217921014520559669770193614866324939065015076863944749,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,5,10,0,5903444335456154443287417033591695933857892269998979730487385350670386523332175737410947405626363063647876453240794699427331813482107744556286067360570542,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,5903444335456154443287417033591695933857892269998979730487385350670386523332247603582507533981166663058075742443627211425388767706732433482702470038196396,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,5,11,1,3757655558043210646965302932937172832766145959434098436051818578159844009405307721315818888815476211478290494157588194705982668388055301451770342281927086,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,3757655558043210646965302932937172832766145959434098436051818578159844009405306956297961764198234712274924113710329565657167403048739188080625895317607204,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,5,115792089237316195423570985008687907852837564279074904382605163141518161494332,0,-80215328120209047043795495997473812404783789980107713571602185832711092488573,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,80215328120209047043795495997473812404783789980107713571602185832711092488573,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,5,72798312578463789091060122408687194401800723498338030560477939572921828405753,0,1780019656262522112383467901000323140375873152462665237466216642089637594756,115792089237316195423570985008687907853269984665640564039457584007908834671663,1780019656262522112383467901000323140375873152462665237466216642089637594756,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,6,7,1,-8549184770403174336989896426790475810978226265478911822991636705733245929264770415947049274760616966772270189958530436221854204656563194612476484566636291,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-8549184770403174336989896426790475810978226265478911822991636705733245929264709669353833376481529472171878211878388096021887248218752190262190304701496201,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,6,12,0,-2509135416592785967208609159921164312694305642233312248635859578457036231226730960820181344817643315203521401078727829532570516128144362874421717242790324,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2509135416592785967208609159921164312694305642233312248635859578457036231226727232227804169102842141711638015032705677966936156800675656467932816673153748,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,6,13,1,-704194605957419270811247411750250192311277632408473015567949815052370505918437405916130377404713170550459891977297472452358389413709778392197374581879560,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-704194605957419270811247411750250192311277632408473015567949815052370505918289605966450316914825977681464243069049932533483690443998238252474787861309660,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,False
negation,d->-d,6,115792089237316195423570985008687907852837564279074904382605163141518161494331,0,-41678037794284577000211640080323643889251450730089828834152348959306018449663,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,41678037794284577000211640080323643889251450730089828834152348959306018449663,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,6,110516392941619785993986343892162214852728381053820617549094560115809826385771,0,-11642956100272532493419551344359019728652795950596118588992165623302335100177,115792089237316195423570985008687907853269984665640564039457584007908834671663,-11642956100272532493419551344359019728652795950596118588992165623302335100177,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,7,8,1,-2395311978167680321421544568664187392173471215296420445806294348972873745544932945000747712793026472111000008045815398707296646742818373464492682611110699,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2395311978167680321421544568664187392173471215296420445806294348972873745544919721453524461273792939815566205608539211283994168307112836807190606773795711,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,7,14,0,-1001261756649225423018418357095817177389077201346870383655519109538326951497487342016881083098526229141732756235924025736211303691338055457083378366744615,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-1001261756649225423018418357095817177389077201346870383655519109538326951497574041816819843606424347863107083291468830443023144892876260611901275945221417,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,7,15,1,6433105149382345630558078410087840181047887834734557170613050476942555208700786798126306210771190184441883489385538735985583110096732022971036363943600012,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,6433105149382345630558078410087840181047887834734557170613050476942555208700803808029625321938038491579044970132496242035516104477358678742649957629579920,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,7,115792089237316195423570985008687907852837564279074904382605163141518161494330,0,19068555421613702087282960311654436253088749236866608976852001326873846690427,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-19068555421613702087282960311654436253088749236866608976852001326873846690427,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,7,32442384067459587473341580366949327450818474330228300155106017517179662871452,0,-32926091824479379880632075135039137056273377323779549680752391334757359762728,115792089237316195423570985008687907853269984665640564039457584007908834671663,-32926091824479379880632075135039137056273377323779549680752391334757359762728,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,8,9,1,6589871540100315143302498161411000149860922173993841318824876819899554076941834604724145168456366319511483621615088462866091508089420074346425409779245030,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,6589871540100315143302498161411000149860922173993841318824876819899554076941733378957219975821274613646277618330755565592082282495606821923454626066348416,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double,d->2d,8,16,0,9587333293433180487425793274696634519343209171641919205324861471030867980158065696553097578898530092228339327318681190248421894555036060311374081800534724,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,9587333293433180487425793274696634519343209171641919205324861471030867980157924950733409869218125364374246097608215311843715036855864311401554403056221322,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,8,17,1,9217053136425148364301563066920328760711534494931905785886536791156590050844092762249404524059027656925306839235778175835766387370637007736781416786763728,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,9217053136425148364301563066920328760711534494931905785886536791156590050844116494506431757289968769050217653039818644909446184103141233585609589114084074,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,8,115792089237316195423570985008687907852837564279074904382605163141518161494329,0,32292102644865221320815255745456873529276172539345044682388658628949684005415,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-32292102644865221320815255745456873529276172539345044682388658628949684005415,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,8,70160464430615584376267801850424347901746131885710887143722638060067660851470,0,11154982955636080840720191977021172169648066598949445904179435361016445969010,115792089237316195423570985008687907853269984665640564039457584007908834671663,11154982955636080840720191977021172169648066598949445904179435361016445969010,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,9,10,1,-658200267657362359527636974590309347324929737813932190295663982508941674412975984435722319490217973342340834721992065940552440189518250941311847030833337,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-658200267657362359527636974590309347324929737813932190295663982508941674412915399928002072768687278818678472920760716631005713129334300436386321416804857,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2,False,False
double,d->2d,9,18,0,-4547389946439339682441097087018764421521662603765082526989162467870188269705199526717390798142455381449296451783045261292382620406536579374766344263335757,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-4547389946439339682441097087018764421521662603765082526989162467870188269705189587218848442232498660159242169709566391347128749376033499014148665457475983,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,9,19,1,-6783670669615318613474483214349853025410968977898978307764666480245129095527851839264463577431184915762927810863466781121449326529553446953188359212598987,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-6783670669615318613474483214349853025410968977898978307764666480245129095527788250695612833297052823008463759337137697196119255900855736721703436785124689,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,9,115792089237316195423570985008687907852837564279074904382605163141518161494328,0,-68933664280327413770890609460546410803621101469880549130863764341834028891199,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,68933664280327413770890609460546410803621101469880549130863764341834028891199,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,9,107878544793771581279194023333899368352673789441193474132339258602955658831488,0,-16793003951313775018001034355782054561405098282957896610147668196480810914412,115792089237316195423570985008687907853269984665640564039457584007908834671663,-16793003951313775018001034355782054561405098282957896610147668196480810914412,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,10,11,1,-2145788777412943796322114100654523101091746310564881294435566772510542513926868016095128516810886852169585959083206504721349145094052443104515725078643456,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2145788777412943796322114100654523101091746310564881294435566772510542513926940647284545769782931950783151628733297645768221364657993245402076574720589192,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,10,20,0,-4367153666774718711308521705493033577296178978107194697441050164663204537917677511525565925927768870246366485653085994023200828632778756503876203333663341,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-4367153666774718711308521705493033577296178978107194697441050164663204537917570311345858015769981837233010829713122758295909773672122015278131375984255283,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,10,21,1,-5608863963687335071295526905834946392274924494683866882372741752546871645081422118883044958134618774699028303599862234974722864513973342888334940634789561,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-5608863963687335071295526905834946392274924494683866882372741752546871645081343317417953440553439167190861239170012766422040233104537226433409999612876835,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,10,115792089237316195423570985008687907852837564279074904382605163141518161494327,0,-8349156560080692240196085798184609572271791923153488946913259416308414862719,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,8349156560080692240196085798184609572271791923153488946913259416308414862719,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,79,True,True
glv_lambda,d->lambda*d,10,29804535919611382758549259808686480950763882717601156738350716004325495317169,0,-54936845015639693792080023758298351769591619203427846002079089815353901402526,115792089237316195423570985008687907853269984665640564039457584007908834671663,-54936845015639693792080023758298351769591619203427846002079089815353901402526,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,11,12,1,4649478836948059703750084749367331189013145712926992186068425411369013554980981795934321310580738629680191969115728113192390412465387824901949612265188429,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,4649478836948059703750084749367331189013145712926992186068425411369013554981024826834881535382824886231358885777524426146090055016910094516456364873183797,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,11,22,0,-2784741305379259704702670212682146886526422158345534223149421132962334506548781768405872803641255492031461900222147272012527056164628098360018586292112027,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-2784741305379259704702670212682146886526422158345534223149421132962334506548624407060113738979746288116063660652821423782167954027350619643716833516064103,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,11,23,1,-3753114686585801736857414830082805949404780243187445772168169453746623495229864174305594983283978425342545321264036771381794451127370449216586530971989608,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-3753114686585801736857414830082805949404780243187445772168169453746623495229669995828343692915883647560453387134573850833767478316363192052512765707527424,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,11,115792089237316195423570985008687907852837564279074904382605163141518161494326,0,-80980345977333664285294699363854259663412838795373052887715556977158056808455,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,80980345977333664285294699363854259663412838795373052887715556977158056808455,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,11,67522616282767379661475481292161501401691540273083743726967336547213493297187,0,-16887663338419372933034462622926378236674938860309375834399372737077204446180,115792089237316195423570985008687907853269984665640564039457584007908834671663,-16887663338419372933034462622926378236674938860309375834399372737077204446180,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,12,13,1,1804940810635366696397361748170914120383028009824839233067909763404665725308293554904050967412930144653061509101430357080212126714434584482224342660910764,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1804940810635366696397361748170914120383028009824839233067909763404665725308437626261353852188016164030173771963655745433452466356677418215458028811844088,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,12,24,0,2429199772733752395261493901961957730966401613641963052425802311384486076158351479678437415147884215794930830525720613436460445300869368837154109998336484,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2429199772733752395261493901961957730966401613641963052425802311384486076158410850846636180696169554386641636933936813735487288250376543445675535672296628,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,12,25,1,-3235936999633074055813975728747048122642423225714968821281869366335509379320194491102174799313082687396036999783613864080147508423517428423651131986305791,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-3235936999633074055813975728747048122642423225714968821281869366335509379320144786595259505430615426246947098075350581389594420284989457113333041567532213,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
negation,d->-d,12,115792089237316195423570985008687907852837564279074904382605163141518161494325,0,-37949445417108862199038148196937597867099885095730501365445942470405448813087,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,37949445417108862199038148196937597867099885095730501365445942470405448813087,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,78,True,True
glv_lambda,d->lambda*d,12,105240696645923376564401702775636521852619197828566330715583957090101491277205,0,-32439269612417172036478775416395438883825588856663322146604656861016098689653,115792089237316195423570985008687907853269984665640564039457584007908834671663,-32439269612417172036478775416395438883825588856663322146604656861016098689653,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,13,14,1,-8846251921094980489197067372136042796056025834417309191079206000219202374843820352047799980454430025363543054217156989505707118934191471677362488351501346,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-8846251921094980489197067372136042796056025834417309191079206000219202374843994105204202903173127842353521052100806993931426702667630212621616792785407958,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,13,26,0,-7332323077612021530597233074416855116130608278736191972492887269300165538092337493206997549950675507329247959757969408650631808178462920785510263674003359,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-7332323077612021530597233074416855116130608278736191972492887269300165538092385567162679338111394517010147710627207603793795401668839307433131843681378149,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,True
double_and_add_+1,d->2d+1,13,27,1,-1236143369601050717750901689314602572089526742319665379716516417452344519841401126976429941509078130435806389409900787231822625762277592981991504977176957,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-1236143369601050717750901689314602572089526742319665379716516417452344519841542182302322370486206951291214943799145948212816957845476097942993835243210533,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
