definition,family,param,n_used,r,close,mae,p
defNative,ridge_n_ge_m,m=33,38,0.035127,0.263158,0.411686,0.820449
defNative,ridge_n_ge_m,m=34,37,-0.049241,0.459459,0.238562,0.770574
defNative,ridge_n_ge_m,m=35,36,-0.076609,0.194444,0.241360,0.640898
defNative,ridge_n_ge_m,m=36,35,-0.080260,0.114286,0.346544,0.650873
defNative,ridge_n_ge_m,m=37,34,0.118197,0.352941,0.366853,0.498753
defNative,ridge_n_ge_m,m=38,33,-0.187367,0.393939,0.256700,0.301746
defNative,ridge_n_ge_m,m=39,32,-0.154234,0.250000,0.251676,0.399002
defNative,ridge_n_ge_m,m=40,31,-0.070065,0.193548,0.362471,0.738155
defNative,ridge_n_ge_m,m=41,30,-0.038836,0.266667,0.437904,0.860349
defNative,ridge_n_ge_m,m=42,29,-0.072784,0.344828,0.258938,0.713217
defNative,ridge_n_ge_m,m=43,28,-0.022297,0.250000,0.245014,0.925187
defNative,ridge_n_ge_m,m=44,27,-0.035242,0.148148,0.358136,0.845387
defNative,ridge_n_ge_m,m=45,26,-0.051167,0.230769,0.469078,0.812968
defNative,ridge_n_ge_m,m=46,25,-0.089814,0.360000,0.232273,0.623441
defNative,ridge_n_ge_m,m=47,24,-0.050795,0.250000,0.222134,0.845387
defNative,ridge_n_ge_m,m=48,23,-0.093831,0.130435,0.326943,0.660848
defNative,ridge_n_ge_m,m=49,22,0.227656,0.318182,0.407184,0.339152
defNative,ridge_n_ge_m,m=50,21,-0.223915,0.333333,0.248504,0.351621
defNative,ridge_n_ge_m,m=51,20,-0.140756,0.250000,0.228142,0.556110
defNative,ridge_n_ge_m,m=52,19,-0.016347,0.210526,0.284395,0.947631
defNative,ridge_n_ge_m,m=53,18,0.123044,0.222222,0.418779,0.658354
defNative,ridge_n_ge_m,m=54,17,-0.005596,0.411765,0.253919,0.977556
defNative,ridge_n_ge_m,m=55,16,0.000376,0.375000,0.232686,1.000000
defNative,ridge_n_ge_m,m=56,15,-0.115109,0.200000,0.269864,0.673317
defNative,ridge_n_ge_m,m=57,14,0.126554,0.071429,0.399517,0.673317
defNative,ridge_n_ge_m,m=58,13,-0.178492,0.384615,0.312705,0.683292
defNative,ridge_n_ge_m,m=59,12,-0.211152,0.333333,0.288074,0.491272
