step,action,U,U2,dU,dx,dy,x_block,y_block,y_borrow,x_block_neg,dU_bits,D,D2
11->12,P+G,53957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,94111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,40153682929227923668786427943975407737535467870274876887786588678671702155150978484549719887598956871724416541669101843523150178724238865192746623696002316,40153682929227923668786427943975407737535467870274876887786588678671702155151,-21515450280112401043128275583458330898156476849821275761134807253376303997684,40153682929227923668786427943975407737535467870274876887786588678671702155150,978484549719887598956871724416541669101843523150178724238865192746623696002316,1,0,514,0.053957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,0.094111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375
12->13,P+G,94111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,15587773072615830393026122778325652150280960410477450617529061781147814490701927964321348557612456990311443868568887305823379830178878583133383156924533338,15587773072615830393026122778325652150280960410477450617529061781147814490702,-72035678651442387543009688556131431112694176620169821121416866616843075466662,15587773072615830393026122778325652150280960410477450617529061781147814490701,927964321348557612456990311443868568887305823379830178878583133383156924533338,1,0,513,0.094111259592240215275188773285036844871058226277992966241101117022315524122714076870767327212528811304566602812752860184934880685532702451763239157141742375,0.109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713
13->14,P+G,109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,33301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,-76397722671404292617903341367658968590977926885032947189039971634362577336003913123421798538640651091505011001058174997787140208133280629527872847783046694,-76397722671404292617903341367658968590977926885032947189039971634362577336004,86876578201461359348908494988998941825002212859791866719370472127152216953306,-76397722671404292617903341367658968590977926885032947189039971634362577336004,86876578201461359348908494988998941825002212859791866719370472127152216953306,0,1,515,0.109699032664856045668214896063362497021339186688470416858630178803463338613416004835088675770141268294878046681321747490758260515711581034896622314066275713,0.033301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019
14->15,P+G,33301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,97505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,64204445700904629767570405137013485325259291559216659285438983755646264271913948145148371064162626787070732096098748844621627582208917569536784254367771645,64204445700904629767570405137013485325259291559216659285438983755646264271914,-51854851628935837373212929267903901251155378372417791082430463215745632228355,64204445700904629767570405137013485325259291559216659285438983755646264271913,948145148371064162626787070732096098748844621627582208917569536784254367771645,1,0,515,0.033301309993451753050311554695703528430361259803437469669590207169100761277412091711666877231500617203373035680263572492971120307578300405368749466283229019,0.097505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664
15->16,P+G,97505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,6554127927752938556212329803327415094107977815202353277597014415972762641404072266087891784664009751347910454010073598515668686822046434012065598296489161,6554127927752938556212329803327415094107977815202353277597014415972762641404,72266087891784664009751347910454010073598515668686822046434012065598296489161,6554127927752938556212329803327415094107977815202353277597014415972762641404,72266087891784664009751347910454010073598515668686822046434012065598296489161,0,0,511,0.097505755694356382817881959832717013755620551362654128955029190924747025549326039856815248295663243990443767776362321337592747889787217974905533720651000664,0.104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825
16->17,P+G,104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951,-3197801848528200874871988423253347655734247737402448638835587046832041140694082239038357471455672919989502021757253173739193327215837987379323925535816874,-3197801848528200874871988423253347655734247737402448638835587046832041140694,-82239038357471455672919989502021757253173739193327215837987379323925535816874,-3197801848528200874871988423253347655734247737402448638835587046832041140695,917760961642528544327080010497978242746826260806672784162012620676074464183126,1,1,510,0.104059883622109321374094289636044428849728529177856482232626205340719788190730112122903140080327253741791678230372394936108416576609264408917599318947489825,0.100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951
17->18,P+G,100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951,38901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544,-61960809153895387530936921177619504123515164158056829691168020306328977121895942490737294965021961951649968732492552751798782424352092801044409361382821407,-61960809153895387530936921177619504123515164158056829691168020306328977121896,57509262705034978038048350031267507447248201217575647907198955590638617178593,-61960809153895387530936921177619504123515164158056829691168020306328977121896,57509262705034978038048350031267507447248201217575647907198955590638617178593,0,1,515,0.100862081773581120499222301212791081193994281440454033593790618293887747050036029883864782608871580821802176208615141762369223249393426421538275393411672951,0.038901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544
18->19,P+G,38901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544,19588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282,-19312897261856253670692118290322986635506216310326055642453764392900445424736026824535154194112087685732204884726425106990038099799097314935433621810807262,-19312897261856253670692118290322986635506216310326055642453764392900445424736,-26824535154194112087685732204884726425106990038099799097314935433621810807262,-19312897261856253670692118290322986635506216310326055642453764392900445424737,973175464845805887912314267795115273574893009961900200902685064566378189192738,1,1,513,0.038901272619685732968285380035171577070479117282397203902622597987558769928140087393127487643849618870152207476122589010570440825041333620493866032028851544,0.019588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282
19->20,P+G,19588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282,34773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162,15185119698285801794193504202749013289811742447833619265600669241359565635882947901940711293627407182608723016892567249444246144303928509250407284732018880,15185119698285801794193504202749013289811742447833619265600669241359565635883,-52098059288706372592817391276983107432750555753855696071490749592715267981120,15185119698285801794193504202749013289811742447833619265600669241359565635882,947901940711293627407182608723016892567249444246144303928509250407284732018880,1,0,513,0.019588375357829479297593261744848590434972900972071148260168833594658324503404060568592333449737531184420002591396163903580402725242236305558432410218044282,0.034773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162
20->21,P+G,34773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162,24049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828,-10723619420733723854728622315972766983362138212143157816056948664674331837121985800642691803711696287247405704244943116412695788224389687614590056836252334,-10723619420733723854728622315972766983362138212143157816056948664674331837122,14199357308196288303712752594295755056883587304211775610312385409943163747666,-10723619420733723854728622315972766983362138212143157816056948664674331837122,14199357308196288303712752594295755056883587304211775610312385409943163747666,0,1,512,0.034773495056115281091786765947597603724784643419904767525769502836017890139287008470533044743364938367028725608288731153024648869546164814808839694950063162,0.024049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828
21->22,P+G,24049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828,29908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097,5858205732041715509027970937797133466466160113236593205634079013673219887142997035654374852945857751103167247255307380684597874418049720018092018943905269,5858205732041715509027970937797133466466160113236593205634079013673219887143,-2964345625147054142248896832752744692619315402125581950279981907981056094731,5858205732041715509027970937797133466466160113236593205634079013673219887142,997035654374852945857751103167247255307380684597874418049720018092018943905269,1,0,511,0.024049875635381557237058143631624836741422505207761609709712554171343558302165022669890352939653242079781319904043788036611953081321775127194249638113810828,0.029908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097
22->23,P+G,29908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097,21545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967,-8363035744366423919602771128340139392169134427415837556902070266921602194877018408565746112853292786933346847280068536158833935336864889223886006244207130,-8363035744366423919602771128340139392169134427415837556902070266921602194877,-18408565746112853292786933346847280068536158833935336864889223886006244207130,-8363035744366423919602771128340139392169134427415837556902070266921602194878,981591434253887146707213066653152719931463841166064663135110776113993755792870,1,1,512,0.029908081367423272746086114569421970207888665320998202915346633185016778189308019705544727792599099830884487151299095417296550955739824847212341657057716097,0.021545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967
23->24,P+G,21545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967,115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303,93545192660509170134343124809526442310667885743051371081245278293662035876495045888204246150008861591319607105529725203647650243654988906470522793491253336,93545192660509170134343124809526442310667885743051371081245278293662035876495,45888204246150008861591319607105529725203647650243654988906470522793491253336,93545192660509170134343124809526442310667885743051371081245278293662035876495,45888204246150008861591319607105529725203647650243654988906470522793491253336,0,0,515,0.021545045623056848826483343441081830815719530893582365358444562918095175994431001296978981679745807043951140304019026881137717020402959957988455650813508967,0.115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303
24->25,P+G,115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303,66165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586,-48925076053823621242148848188221448873538416960721217727635356525984416116665995166669358264167090961278689547650023541195763122594510398350898332372406717,-48925076053823621242148848188221448873538416960721217727635356525984416116666,4833330641735832909038721310452349976458804236877405489601649101667627593283,-48925076053823621242148848188221448873538416960721217727635356525984416116666,4833330641735832909038721310452349976458804236877405489601649101667627593283,0,1,514,0.115090238283566018960826468250608273126387416636633736439689841211757211870926047185183227829754668635270747409548752084785367264057948864458978444304762303,0.066165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586
25->26,P+G,66165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586,46375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108,-19789307563552615389266288594948091329713687309457840937536440578554879077002023146447352901365949874273561305142361955259761829006669237887647007862392478,-19789307563552615389266288594948091329713687309457840937536440578554879077002,-23146447352901365949874273561305142361955259761829006669237887647007862392478,-19789307563552615389266288594948091329713687309457840937536440578554879077003,976853552647098634050125726438694857638044740238170993330762112352992137607522,1,1,513,0.066165162229742397718677620062386824252848999675912518712054484685772795754260052018513869565587577673992057861898728543589604141463438466108080111932355586,0.046375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108
26->27,P+G,46375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108,99023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501,52647635500529179137737253175590920344516932841366105590150027251089317968543046490685105320408204905587254401760003482918915369296411059156690375129329393,52647635500529179137737253175590920344516932841366105590150027251089317968543,46490685105320408204905587254401760003482918915369296411059156690375129329393,52647635500529179137737253175590920344516932841366105590150027251089317968543,46490685105320408204905587254401760003482918915369296411059156690375129329393,0,0,514,0.046375854666189782329411331467438732923135312366454677774518044107217916677258028872066516664221627799718496556756366588329842312456769228220433104069963108,0.099023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501
27->28,P+G,99023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501,38862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264,-60160972281369375267679451652951675742129845592423456033036353790774993030593018566719206594237695556494676775194556305133600917830108250793008626231556237,-60160972281369375267679451652951675742129845592423456033036353790774993030593,-18566719206594237695556494676775194556305133600917830108250793008626231556237,-60160972281369375267679451652951675742129845592423456033036353790774993030594,981433280793405762304443505323224805443694866399082169891749206991373768443763,1,1,515,0.099023490166718961467148584643029653267652245207820783364668071358307234645801075362751621984629832705305750958516370071248757681753180287377123479199292501,0.038862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264
28->29,P+G,38862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264,88789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794,49926977258092529826332851773752240792079084476883888969421966651469498773106958175597260747687810205643535995066759025475707095470970760676419058877497530,49926977258092529826332851773752240792079084476883888969421966651469498773107,-41824402739252312189794356464004933240974524292904529029239323580941122502470,49926977258092529826332851773752240792079084476883888969421966651469498773106,958175597260747687810205643535995066759025475707095470970760676419058877497530,1,0,514,0.038862517885349586199469132990077977525522399615397327331631717567532241615208056796032415390392137148811074183321813766115156763923072036584114852967736264,0.088789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794
29->30,P+G,88789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794,49378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923,-39411362459212393751488427768256326789892110908834953469501324641546725383642936848397386600045200420885304761975683933030261216121611308235575696857684871,-39411362459212393751488427768256326789892110908834953469501324641546725383643,63151602613399954799579114695238024316066969738783878388691764424303142315129,-39411362459212393751488427768256326789892110908834953469501324641546725383643,63151602613399954799579114695238024316066969738783878388691764424303142315129,0,1,514,0.088789495143442116025801984763830218317601484092281216301053684219001740388315014971629676138079947354454610178388572791590863859394042797260533911845233794,0.049378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923
30->31,P+G,49378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923,48009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538,-1368729525794912796014846858340127326721336744578003375277321273233949762379976743650945325178711558374485135047860432023989502142423102938652582672203385,-1368729525794912796014846858340127326721336744578003375277321273233949762380,23256349054674821288441625514864952139567976010497857576897061347417327796615,-1368729525794912796014846858340127326721336744578003375277321273233949762380,23256349054674821288441625514864952139567976010497857576897061347417327796615,0,1,509,0.049378132684229722274313556995573891527709373183446262831552359577455015004672078123232289538034746933569305416412888858560602643272431489024958214987548923,0.048009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538
31->32,P+G,48009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538,95440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929,47431436511673159977675285706432635462674605373206172589621530676254177122224966021311015981544003944794591114607760577625276722052873471072238428928270391,47431436511673159977675285706432635462674605373206172589621530676254177122225,-33978688984018455996055205408885392239422374723277947126528927761571071729609,47431436511673159977675285706432635462674605373206172589621530676254177122224,966021311015981544003944794591114607760577625276722052873471072238428928270391,1,0,514,0.048009403158434809478298710137233764200988036438868259456275038304221065242292101379581344212856035375194820281365028426536613141130008386086305632315345538,0.095440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929
32->33,P+G,95440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929,10219441022991940610048493520113102240595005085840974180672104038719657072293084023467742492607926612431243360899514584580916128500081114886405247779677078,-85221398647116028845925502323553297423067636726233457865224464941755585292223983377424617701792112707558168035073274419580973734682800742272138813463938851,-85221398647116028845925502323553297423067636726233457865224464941755585292224,16622575382298207887292441831964926725580419026265317199257727861186536061149,-85221398647116028845925502323553297423067636726233457865224464941755585292224,16622575382298207887292441831964926725580419026265317199257727861186536061149,0,1,515,0.095440839670107969455973995843666399663662641812074432045896568980475242364517067400892360194400039319989411395972789004161889863182881857158544061243615929,0.010219441022991940610048493520113102240595005085840974180672104038719657072293084023467742492607926612431243360899514584580916128500081114886405247779677078
1->2*1,2P,55066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,89565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,34499628904269660561674201530767158034393542375844615658184142552908072257356979487889278935013344884723482206355451684094506382384900859967619031034171506,34499628904269660561674201530767158034393542375844615658184142552908072257357,-20512110721064986655115276517793644548315905493617615099140032380968965828494,34499628904269660561674201530767158034393542375844615658184142552908072257356,979487889278935013344884723482206355451684094506382384900859967619031034171506,1,0,514,0.055066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,0.089565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930
1->2*1+1,2P+G,55066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,57645397417433262387169940278761138775864373887761814369130426194820659158880992912517959812066713573820746894933221977594874157051793980984624784249196986,57645397417433262387169940278761138775864373887761814369130426194820659158881,-7087482040187933286426179253105066778022405125842948206019015375215750803014,57645397417433262387169940278761138775864373887761814369130426194820659158880,992912517959812066713573820746894933221977594874157051793980984624784249196986,1,0,515,0.055066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,0.112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410
2->2*2,2P,89565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,13822682069088076128496243828280905948144689474401391644118765320989306007086024898741845548292690047508018150930913984849041659525493074414473467457156088,13822682069088076128496243828280905948144689474401391644118765320989306007086,24898741845548292690047508018150930913984849041659525493074414473467457156088,13822682069088076128496243828280905948144689474401391644118765320989306007086,24898741845548292690047508018150930913984849041659525493074414473467457156088,0,0,513,0.089565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,0.103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018
