source,d,puzzle,q_d,q_x,m1,m2,k1,k2
walk,20,,1,2,6,13,16695593923449223698420814655089557688406378080316676267735260468888501601510,18077901132666057393365951292508046036378265339588091258034242367129388537775
walk,21,,1,1,6,14,11546925520998878413458668536221728785871914768080876850169482370727921825535,12502950114382678823599475095403107955550590439680732859543071800615636476629
walk,22,,1,1,7,14,14359591428304357447830900099539337222030532105292420482896285704752264129070,15548489939118915298255214469882632985858133215705782432450347480264514060237
walk,23,,1,1,7,15,10344296200432862156777968307437803659466745415368495065778790709396937499978,11200749422623986669705375133644027156252785478213870292665772208698238494452
walk,24,,1,2,7,16,55257600072544686086261149979392529011040919992557496447608575092460431080609,59832638211021332874565318271215744115346496644076239992081266119296780790315
walk,25,,1,2,8,16,31767490690374309353137716391486947419410566356230709345982016920720516489798,34397671539368088365539903670899876833438433319681809366072467765052279264460
walk,26,,1,2,8,17,22266166691329998714642344879043184307759497571279634263705525202429312239908,24109687974859783614768986588395548615375814795175043510812518904788604437348
walk,27,,1,2,8,18,47543566674511332276399555555735117110591966775626598571510958774597486516763,51479923492207629190749029087294536157060278432194184793157112583709748129036
walk,28,,1,2,9,18,18658832435725362064455882391554454739665590703390714516236571099054798037099,20203685449624224135013250598523522785856808912006612815395146468477443578107
walk,29,,1,2,9,19,42629978757981713085522517979379511499936540374274154285162146407466842218150,46159516385460402940279466784450706817664943718007062015891537811534898170163
walk,30,,1,1,9,20,23707632800894324193799948744307137243930091766504938441613440549494192013946,25670499883335398080513608251266754283779281416941324389938919027960822990725
walk,31,,1,2,10,20,23050472733526049545004723683120707855681444107452434748645086956625186658259,24958930424908759933293986454113056345306592331415824707629951347595878584031
walk,32,,1,2,10,21,45823449735890811782225169568997093342039560874281726203134833474350580222232,49617389934217157673748826274669306321623080937792705842761735506124662142283
walk,33,,1,1,10,22,4906600189862327993205903646032679204639534607814471088587011650591483422203,5312840833129612616842589874080423035955470478026503092085092388128173650089
walk,34,,1,1,11,22,6059059213063340743045507944169256241107501672658338651846408968477917536537,6560717391244449726505152701224269517340918224897262575022344648842296990455
walk,35,,1,1,11,23,20925887425178022536760879328789038369216243377295583729320088955200053684209,22658440647286308129206883977508557392291907917089692154529182573635592440967
walk,36,,1,2,11,24,48693756169963730386542888387980109563518148856759657624621513403044667205303,52725342617634212380118122495861104112468423234446921255557403171037257888320
walk,37,,1,2,12,24,21459851795326275354266955427795196845305104532609062246161004230414495346029,23236614453870612423214878450634102329017431860383329959473506711429843813838
walk,38,,1,2,12,25,39654599747177094351494518480088360832407238957634976804369027856971237619631,42937791669576609978985938786516838634182759518913666870798558652612456679494
walk,39,,1,1,12,26,27965288222458393219719444667218196029002574784296862737727020979784258322751,30280666740585683115502748365201441659314798691308894539857135738674666146351
walk,40,,1,1,13,26,31677596161651227825258153389023003846977942264436087459453762901509333453861,34300334217313256141584551769984626990473207440383178174873984324624483696869
walk,41,,1,2,13,27,26619380871689408752163859274021605678910165277032834651085306962405447207321,28823325352642803604793090709925555198163733683415401743957661774059174313824
walk,42,,1,2,13,28,55279955869875962843226571330995782816848679586908562840970318825585777932078,59856844950580870894767555440390232209438415447717060803215959283340912847487
walk,43,,1,2,14,28,46291141356123589733682845810245740677078270039597732122489983420691301756601,50123803956378390548726512651509236825669087481465005755979391811048373784846
walk,44,,1,1,14,29,20200152892236475047979819241491290625790753052543267005262955026062738891769,21872619118849876246348692147932559688907399392611056536274002314471611081579
walk,45,,1,1,14,30,993739478090641716234445737565018130565076958577472068557601037286423564995,1076015870948924539069590616083821102084638822593039744453934383108120233631
walk,46,,1,2,14,31,54007131001560144682109175337351832116186735095433034410962029163520569327975,58478636889572981540389372672920114322574255115550266390337686813430967440814
walk,47,,1,2,15,31,26048242018265320799510453848798651355665899208555164837676148243195786629780,28204899211436571941167987689673826770800417907566255451478837754792136755934
walk,48,,1,1,15,32,24059822226107767673531535120868456571609309571994801452326274455450637282995,26051848737300801671853669707144949852352896614820565617863785158738617906959
walk,49,,1,2,15,33,52739845919289410700186626659898079476662463198740575677914581424346091423726,57106427279706054346027932150798429892733232469937901890064460200045225372992
walk,50,,1,1,16,33,9003466388361625702269444820332025256731304787736522194655946237042018129021,9748905966829915132952716418908895626609349744925462246333415903152363472412
walk,51,,1,2,16,34,15251896025778669380519304237836627575423925018406579346970449123666757606851,16514672655788117431066251845436942129557178726294289027974390331900381755030
walk,52,,1,1,16,35,9367788576576777524432701525621796669356010239715246614561149866755389954670,10143392112647086440244172643005624789967146677581745183736774095446165642278
walk,53,,1,2,17,35,52431667947397270598945692092040673785739161417388118222257652165713541600750,56772733795504405503992582086169850484407939615188034126758969583020955065431
walk,54,,1,2,17,36,17343378838535559155960101011660252486825135691760500315098159093071186891197,18779319225598680761156933932872385543100253510888088818449819133748132921004
walk,55,,1,2,17,37,44077405263021031603402087615448495718145850542173313512553554637442567118098,47726782178751530061079423215469254504932071421829258889684574208180384507069
walk,56,,1,2,18,37,41023483297774458925558478648761698188890904025717727425637409479855122357313,44420011565634043755350082357777178472045927153603243761197056177528405943508
walk,57,,1,1,18,38,8252990162015840764760129123087941697444904818378835094857927090382619754707,8936294263137224071241732156568821527191224471172887070604091747018352418892
walk,58,,1,1,18,39,15057585560612731260781998294474717143884119545158705347918013013153383518823,16304274307911525673558495098273607295366841662321032849893385377982982871763
walk,59,,1,2,19,39,25671255778675570143297105663188729913939286298000061739746223856139994425913,27796700497516779718651116273982768589703890971204399490638021148037144410618
walk,60,,1,1,19,40,248973066349918465231615501602039360775823647965452941368789792278197579679,269586724426073460921815782746885630915929246353638467257515249812929810930
walk,61,,1,2,19,41,25474792697052774989336938740470013000369121810047703397410510404523211390024,27583971307882653660763200546906574679283856595382699983177202467341400166350
walk,62,,1,1,20,41,3586861773099852571052875605479804668932961806800423839236927174152306254194,3883835029047124303995920270200502843055025303953693991681019759447378071846
walk,63,,1,2,20,42,49492489484513904676799839875661436114635816996541592625144736668513677575398,53590206842172179575892166473181181343728543488397450424895352731183008068864
walk,64,,1,2,20,43,41509096764428499000991245438852706740772207588993646856401933854996313389385,44945831268671555821947398803874499360829350135298269215940458461128847341120
walk,65,,1,1,21,43,5302999574534790655828282316707674851874339981468446487555657294396338053813,5742059998258777907570727510742846802561889968878522786270797908833347372085
walk,66,,1,1,21,44,1644350755378429000694381843619260011871895545274259649748577313381510342371,1780494333981421215967654590081894308302675993300473115961608396831531921470
walk,67,,1,2,21,45,48561644699845234032673981262395069762808039035379123134841492627223263052281,52582293013873848930416687420616458210338403298022379552943618683568150320196
walk,68,,1,2,22,45,24518334628912485424959910857920511084053844086381684705764735600708422598192,26548323551195436089002404549492126210998287539542180098113068715406062697143
walk,69,,1,1,22,46,20601416224541353482040978903077794435641864391448904144139105627473792823798,22307104940847700665615725012899899132052752955619587875002468957918367645516
walk,70,,1,1,22,47,41706033574567560346971817499254357615988266579242284048019957273656543824575,45159073409047060208811013176025008232540524381029230195081837430255809202560
walk,71,,1,1,23,47,8910263099503509363459659548455048384657715033146565110822749032058173879071,9647985936734439060848033509818829417687870306975109966631594623808061037722
walk,72,,1,2,23,48,36689897361333112324881943620958939488862617884270893896022929968314238816609,39727627546945978146398197991192335330673610548056302128593820398614997517289
walk,73,,1,1,23,49,38055222263472252444845398656709301272340048103893362475471638924097185815476,41205994157203058356609588214384776941839166944953146397925506511724652961680
walk,74,,1,1,24,49,8567478925126545654101165818637783677594174890133671802117343374419497780983,9276821038819320099455812357339264605933492140837817068989666351845649711432
walk,75,,1,1,24,50,25718710193830223225814814578367395503219872420910055552269999950896272065341,27848083888213016505816643944335523507309766860192200368818692205500280267100
walk,76,,1,2,24,51,32644012554875686625595725048758125607198104970176882299962762938593128912970,35346764795932055975808298036730627731780027240030688080968569092945782076119
walk,77,,1,1,25,51,19514390668430199006883725586927087940420676369140948446199054442206119348206,21130079396134466168700853467100867899850542927103887722574849131693634647631
walk,78,,1,1,25,52,9962066247833537767786869140935439216245350339387664031206466190183325575470,10786872843886099704108403480693960880336103642522376482776566460855868956543
walk,79,,1,2,25,53,52387007038790413266103157235802965712822459663522510361035839821595034731380,56724375198979376831543168517998019719874491928638072845733125619147881989186
walk,80,,1,2,26,53,50683082450510801743185900577576437803627417407445598838459365942436529862141,54879374632621943829522243396603926830237956565834566624084755391729901862959
walk,81,,1,2,26,54,25914648421720100150484286009872630067775154292425250811280951802733658834123,28060244768990547766908570261454069671871612021865928689771887402560837733727
walk,82,,1,1,26,55,49374606996339341401758994021014548718641014670071810835482451038518477584812,53462564305089427932012270752321372628309543136255902974066829825202768273458
walk,83,,1,2,27,55,32260897436434867580885621926355273859734942186855465718441434568773393028754,34931929764284861090127522072869368019092146442714055141208547139488828132997
walk,84,,1,1,27,56,29480426661999320583093143671959469393377936139233990414629652487259572224316,31921250659786808041338015360304280359090851876713196141903633446412845834812
walk,85,,1,2,27,57,26360473899214243051618939118601873737510311634364936625503391493312459345912,28542982247005207234736817996459001610890658390837868858196796928805137278897
walk,86,,1,2,28,57,15958767270221953704034075184792777365183299720174605458185589321090384112231,17280069114827670520243097923020668897607056534310116333961057729167805989955
walk,87,,1,1,28,58,11526808673262962320729910466839092532137162910011246197009933401879082924793,12481167697648164971878146623428947262231578739185398662579656300077810240720
walk,88,,1,2,28,59,36632580384903224753222497910381994300284764211999454112714131972429698208435,39665565026865902388829244233602522110025624486797446251830365250030795076169
walk,89,,1,2,28,60,45995307353939857916670789804665648603149664831324798909117479512211643237415,49803476457537694193861349413430346985111943091618698690187516157741845019270
walk,90,,1,2,29,60,51096849872614660077787440008683516211700517792770752809529042743737914109096,55327399817171132731647303483095302086449772075558829194264707412113645804655
walk,91,,1,1,29,61,4808914540913387748930554127590108748999924698757470710909822099885769045140,5207067327144961235396761399637877400044472462055703388453988920447864488315
walk,92,,1,2,29,62,48235700204727387085598341999821148946428807713401711999240716756243587390781,52229362031933683627694310798539256821546125690541485785797315103287110691545
walk,93,,1,1,30,62,25025793087753495728804970161025643059114449343980024257367238098868685437038,27097796896673619326545324527885196362458101270805768232239941056166803481701
walk,94,,1,1,30,63,28855279143602123882248798868797644776927061307272127761337130422660402269319,31244344220714692932112102211543185411000566775448412063087400244833925871210
walk,95,,1,1,30,64,4744800483093904094116095267439606710479689701254712720618994399134185513119,5137644963149466584903878173949764204302608468185748715357787503241168069564
walk,96,,1,1,31,64,13693781006630010095313743324098792735810474155481590685953753191392817782263,14827553922627632567042225040088826242651206496502375363413166121774443631339
walk,97,,1,2,31,65,35141061914686976278662622407936467143672165981123177303573529820966862688329,38050556685997958084814951479125861752201415799456185606055489189952770926837
walk,98,,1,1,31,66,15489192064430516081778226669469444503662271594660896092810340023487606417540,16771615556147970845282346425097749918227348682484728980478949958147552836911
walk,99,,1,2,32,66,49120086575581138743113946204261588680844040597279101385630049183542539335382,53186970934538596388777075922301492279547917407856751470115870317265708724904
walk,100,,1,2,32,67,51519038669149934584413330994383772284022115499135061970806535538300594609138,55784543621583163340428862978081249769126096276059311700732982775199600030612
walk,101,,1,1,32,68,10655205493754231780219086891300393042445936960918061627140090759023989998868,11537400367278108143000213329652247697698020131731302265296759073136957842590
walk,102,,1,1,33,68,10486731058436062224581301037161929075555599435251127335834533733184628760956,11354977136392866697084809814080029387331109949446177983781326627901771455233
walk,103,,1,1,33,69,11457209645078216166823930992316788800006788568506511975900602222305754457222,12405806236640999986227276268499349299920693925032738680630766376630404462424
walk,104,,1,1,33,70,5321242917186360288623957597522866684630917177002851356845077612958791213575,5761813793559298154092286456455823081618011691042689960075780375183825405140
walk,105,,1,2,34,70,52576231553977243321505950711183665473837606425946113833429915437878070513804,56929266507016022267761565845844568861236969336397038068957801893443251928277
walk,106,,1,2,34,71,6901259548916997257850261106497109546478904021162592363736130988842223144434,7472647477425840282939987752777877437694754239205009889645432674523332520241
walk,107,,1,2,34,72,46847229766946794820924397333787055358295000759598460846894169310967045045919,50725933557635870546522730356427740177864247652575825143555474709586321896871
walk,108,,1,1,35,72,27449521930499225733136733575991974289126016683987853942993919714031721023391,29722197717180415615733794013456470898587362494572118275499052097678692596350
walk,109,,1,1,35,73,11037401327776073535714601492222435212226946999366380450486928350835450676873,11951240002600064755841862027164702562941804717778089483194828073542304046645
walk,110,,1,1,35,74,12970328041841756126996832417019166189598774859823599662340467878187129022446,14044202864166201042534871008462108722504667679955519775385578198720081401122
walk,111,,1,1,36,74,25274384461125425652503881382849783274733390999887900065902990612534822980412,27366970325954234183256135952756730418045868671705099563050759705916486909048
walk,112,,1,2,36,75,40938280085848451530526233131506797887166421591595579164994556661398563193406,44327753976688939719543069472188498071197074706138049989364487664224683520252
walk,113,,1,2,36,76,51692033334672724204258475904539304924055571949308439425038396714989840223895,55971861333917264212227256900367891143267977279503698987759790548578301830205
walk,114,,1,1,37,76,39808491156160764439230372884059922538206534292973445449423922092393246199089,43104424476383563698494630363338315762926758593092308879322839416156787334531
walk,115,,1,1,37,77,4978349105899277444459093235382058733483628312679891166926068182222004561765,5390530181375569619224233539863470159257904751352908677440004598760274493263
walk,116,,1,2,37,78,54807563136616851004322449073390512286750602863891245738598597494761910260727,59345340588004482856626118416978449759450525899859754322186146644285520257168
walk,117,,1,2,38,78,50957714054228466660132544043481968878781740473056460136509726715745207899552,55176744286117192231236335509782761794169596478500689659092550364331528087543
walk,118,,1,2,38,79,36430425592199765870709208676201523658430484671372991048579753134765804392688,39446672882462768547220241672854554636082488286822107677457777501986845695246
walk,119,,1,1,38,80,1639417526002187675813922870126708117993030104953936413396177483724049812885,1775152659205587312381984384511402892670652130860562305582601263071703699899
walk,120,,1,2,39,80,48071502287214497457508220237401080211237684987862579700636399337989134780016,52051569391995395725080045350658857001291216460293456276330574019998098604468
walk,121,,1,1,39,81,15920408332330481799808448617701806025944348571615336983612336886756066923799,17238534258988720894205431746998006438283596966351548428534987806117586879117
walk,122,,1,1,39,82,4257555915827744995092038608044581429268339925233591608307429248888613571636,4610059112963280518961851100771742690032031338308890616286793369347415889410
walk,123,,1,1,40,82,35961940573340232005501632195218777693061850153275994623836311296014910104409,38939399772448833320369128401129528930816492585996831444326468217891521676891
walk,124,,1,2,40,83,54084199571707388491978324622484708818966187327298266275171943703704624191962,58562086331260766468028934427247434094085223993382675658221896395685022930951
walk,125,,1,2,40,84,42585878233182186441310809791376364630755972199524140925959459621767090689008,46111764569569337977192549838952003127912063311117742012526400402902611068325
walk,126,,1,1,41,84,23881261419365533505804631859506554896567311949096490325166160026151698617981,25858504036581804373986276990632922608081700449216678129558585072831063121051
walk,127,,1,2,41,85,28690873344403452183076903841239606022065517797895622846443960914646962653460,31066326487582350880181957314351339301209398980641591015397800336481884725099
walk,128,,1,2,41,86,11509164643215281506286196096755076912242683624845300843189144892994750906340,12462062834877409105252183185824220212711116484647066266668203401869026108008
walk,129,,1,2,42,86,20540651231968729880873160545854419965718923539883391781585075110909819015698,22241308927055570077290478811024033224782509151944534432266574309193167490753
walk,130,,1,1,42,87,34280532792318359491217039764809618201767227792044124718891117233143841284257,37118780286350964245622113867825473345349497586219570261371699793021344758838
walk,131,,1,1,42,88,11920726256932944320863926188541292633430480659368961772352036491790203128675,12907699581728239683645065047987576818172005603083779280075893530863442895874
walk,132,,1,2,42,89,30093666570580079164551176573368673245168220324491361318622230012837765047085,32585263601689853313351079162652283472145857425933763292067129437889789519016
walk,133,,1,1,43,89,697599454091678495457140754627114172141224188243249165911646274967555143376,755357013299098177141750929305429373090950585249468059443750597052726509653
walk,134,,1,2,43,90,46465426060521007924711504699799404388398276072106688026356317717801584342044,50312518516008835643912111493390190161525624269558585440099534701962849870330
walk,135,,1,1,43,91,30125543199017259288551997638391466913917139552655155184109472751177065759775,32619779447006425360580864640111621832058838181173460805476782177838534572734
walk,136,,1,2,44,91,52635201366118535977669709142723823122951692156585655011675721318659609732378,56993118708895758607458564649521479627629661841840419450034033709580930206460
walk,137,,1,1,44,92,6559053700559631488452567036468948480447188138443140847695741116146062161358,7102108787877592041327717826666798187689005172174403778094491573039584675269
walk,138,,1,1,44,93,3282805170045539925060464457476972634158291851876782217210280454047660367940,3554604141307937999643588385352414287725133188975736549134844669244364894288
walk,139,,1,1,45,93,29039001759935825157733271044662746098174360209358424691768217262030337045555,31443278101662201167158179016466266781022484634749116389774343470769926118141
walk,140,,1,2,45,94,31998732585364393318058861405280492471622802117081991742949122045101251054279,34648059044869746008532715779270475615795055582130408246687449798644652266720
walk,141,,1,2,45,95,9093520303604317470150648458394573919566299771219901187046621320429277190454,9846415871768387496469036200887421123768991360767786332937720355155648562713
walk,142,,1,2,46,95,51991511576294720415315023343463298755098049401062436417166067104973666473040,56296134796020529886688982625359323904477652286935115070724227441322555987593
walk,143,,1,1,46,96,34897432196280182590591477770621429965484355671602532567695312325721542109390,37786755710571060564229392798260713548936224355922274546391691371227874900355
walk,144,,1,2,46,97,30889423428573609650685617284181571042995957664991464017310569239168572325294,33446904934750979542337680415312840994524439263497365098058374142706263161025
walk,145,,1,1,47,97,1066157109730373087017680798729152285254624471179142310855687785080031957388,1154429300926168954587207577718243305229900133971679073912998443260091748440
walk,146,,1,2,47,98,26809153771228033759258020710105608593796583470665696959814953295758321315889,29028810448366182750949748982650675187944706036124170327019239984720665915679
walk,147,,1,2,47,99,45667928207703596535133078215501486493514095664810462004508295080286075290035,49448992042925562777937933034407858041973006654323732915919111337948980486534
walk,148,,1,2,48,99,51422272702889438443595325019401664920097508147898013295687886366486130320269,55679765943167830450805384162784101684929932943540104675217931679112598704948
walk,149,,1,2,48,100,50818084602434886705533802405952855718164155432629374620564044783796954341235,55025554251410645447329113954240175392256770603677062903116163048424803079775
walk,150,,1,1,48,101,6813660406622301544181569067228681727085636753941451623052597031404586524643,7377795587701471053059521082161513116974433513601173711977929402341543173131
walk,151,,1,2,49,101,38121905462793666121920193339749945187190378614517377720029205008608095664045,41278198374080257792385831852960434366076056754503278347244954407766849330032
walk,152,,1,2,49,102,48996072107932087975166971820765455537121335295696804673340796152798453903231,53052688722389740792914819455541971612142355075503827688231800923311855590806
walk,153,,1,1,49,103,193142352347743681843647711750879220745401023761846786179551986590359244462,209133521471736535683896242495099022004547888454850553081145290687496063450
walk,154,,1,1,50,103,34452890808779572119735334903210152014108472870194324534176668353565491574488,37305408638435638559954369852633806577727834734609859416122759718702788885175
walk,155,,1,1,50,104,19354004178814605504563436084537485729194983094607310550285156384051913097327,20956413750241285570413040792497317948018581401005071579035399595606766969302
walk,156,,1,2,50,105,36645462445896009366822845008170631416072848427009786924422847992195988425482,39679513654634420986372152591614361457367703148870108248167835907925017144205
walk,157,,1,1,51,105,3740543031431662897317459910956597904995971182574667110092367311735559806026,4050240285835509937650886528986070014221637388839435352977535194271364500793
walk,158,,1,1,51,106,31557247199383152862926955740312006704310445999440725621349444222447546610969,34170020995077689363332551053875679631058848490349416145415775734552213896822
walk,159,,1,1,51,107,13109010649492258109633432921525292814368491396394893237815697921803841489479,14194367661023463144202154191796341957648059335344470274180539226651415994418
walk,160,,1,1,52,107,10540265906086879831394229907090402529077274979340770128501098674695446490063,11412944387358675909833435927827699870882172548756610166954477648078357910428
walk,161,,1,2,52,108,44416464411539291269476176457760867141115125336779915643520903046161272816549,48093913638293684333957248613101156784547501789475765141649856240338273467529
walk,162,,1,2,52,109,54657458446391158262822893086783467822584472962163969794740953113985903189379,59182808020316772391426381518019371916185785362484018681936752032817696938942
walk,163,,1,2,53,109,42825785624424183505962984386142152134636511047210251282640100343202271742079,46371535028754814577997649644875838443311553913936313882285292868448817342742
walk,164,,1,2,53,110,53457288165443777373848687391405950204226701409080221498646630254556568866010,57883269963700670900125551783975500778600116759318249664286045613348937145054
walk,165,,1,1,53,111,2623786790742919876772069778162490806524737406516233209237282085920886624746,2841022512510075998181473807484839481858549609885925821038441319458009011112
walk,166,,1,2,54,111,35942866289946887514504240560166648899573503001326265681758114647324044416001,38918746238891274375790884690230099471266576404641706687861297299879360945666
walk,167,,1,2,54,112,36222459972977721180335799190478781822060230110647323782203828450852741430360,39221488805722053865792260734864980885823661640440708739166137261428670671509
walk,168,,1,1,54,113,10976782726667150016592261046093352248003208039551176900131943475973728181858,11885602500713504617101076350448209504807251649966972824773806699408247993590
walk,169,,1,1,55,113,11399049602703887106525502939339508200458009693712674053662500903539395316250,12342830849198324750487783651643222445357436800796055692745344194637162021405
walk,170,,1,2,55,114,54142426146890875470711203872535980858475865540737595291941971181961345877908,58625133760078642263359167341955644060390539079419976342748190720289169491877
walk,171,,1,2,55,115,47428166086152598488793486183290225973991497958421947956449616939489054413325,51354968343168541594467806249270669644874108287432708245633820221784902767451
walk,172,,1,1,56,115,42776046885539387242506628902055077906505371459260680862641368761406407746566,46317678184359483516933641806635800215899449280136513067959367562033509205875
walk,173,,1,1,56,116,42570773042951941948763206359693166001172038947608035902401221713689181393355,46095408749175974079852009232637483248577136915531189588636893239557885493061
walk,174,,1,1,56,117,22844422599816948156013043099513034203823679891984047236606704716276810840520,24735820425788932258580291222441117811382843863806363143982496686227556267705
walk,175,,1,1,57,117,16995626257849871456538686795685927209288839750100169497839681885287344341104,18402774563510579890348947941298920257734459867723955028274670696261952844945
walk,176,,1,1,57,118,26202955414826623070583221312173283936719582459769547259293116571079236858435,28372422062061604120247849757174833147122718441031622354678134734563548588910
walk,177,,1,1,57,119,12043967001117222768993913068422247712790663204179015857124997814644809729719,13041144010186122031194459976258456124975213178171019850164317682519063193394
walk,178,,1,1,57,120,5468578944524925948889567005856047160773334112645444488376339917855068368653,5921348467660673432909543550494260388834327254878831215665302421058292484115
walk,179,,1,1,58,120,44928920794126063440991290257238438462382253884114536172755186368890945561856,48648798709270149264253464481262941136796070202108174562347816957152236202277
walk,180,,1,1,58,121,28319810959866486381544369570769939163460518612787693909570320107477686539780,30664542092701432624863478387171237656165762184369348549179428340084204797002
walk,181,,1,2,58,122,39301942606568097862138810247239675461781956933195235590936767440837944135695,42555936375845253678027951274499665360394317230797953247690377710942284327285
walk,182,,1,2,59,122,34847381929972966945353484642591671868715372648818336257577985760426441415205,37732561545924144923044845995559456261848906644616262446647461245232037235675
walk,183,,1,1,59,123,46071698983483782559692013342034181414612144157531090164819992260752549525965,49886192911506946795578018154452925644786982049853931265034291456909383437376
walk,184,,1,1,59,124,14419277363838045500090199596005520957858277350424755667866587025561766231741,15613117555634744967898772131405452021452009074814384854033886335591185736926
walk,185,,1,2,60,124,15694895683260323185185823929132483997237156029432681388651016514339672634778,16994350350782255687428417231451104788829439266783216290819337725439392537896
walk,186,,1,1,60,125,13573211387220559922458699340510869498393353759105641360583734105632357180940,14697001774002008162010126702655720327728218399333657050612846475818837720756
walk,187,,1,2,60,126,48630776476311273471874103265997813771088630977305524780264011228095875358072,52657148537181907301265731885157787221477338300604153691599666807174579171680
walk,188,,1,1,61,126,8997925567682567172954700739587830904164268131637046759083982522934483603494,9742906395392736943823019052023326315236116460985490889195516658238484018636
walk,189,,1,2,61,127,23778831922515119629911604441623429522014712514529198515791779378204248357679,25747593917084362886574622166427832187328291221864286612458811824708764773672
walk,190,,1,1,61,128,11021196780748333756271927295333010202143386383677093466253581592508529114448,11933693804458789132980040086270361628484447938236866058072595675162618081501
walk,191,,1,2,62,128,50238391510721220088489104435026817454075041524777788269178664775803954253726,54397865626056001942442071908537854216663429057551512077804221485110295561343
walk,192,,1,2,62,129,46827209371706985695726137183845975474487582355613497184073602832527635570455,50704255579155941434120940918833500729521210625509337917310360184545503164473
walk,193,,1,2,62,130,51163363806812226979881639410192088235916850106637410312981256276907561536838,55399420754664074221701552981031941688735150435938406805051792050696203932868
walk,194,,1,2,63,130,28569945121284835791030833848870762969605456363299858918657300036612818453328,30935386044749893315077334921848029448607903693141586289879934000238211237137
walk,195,,1,1,63,131,4323374497569335341365549670419907332214538619146777217771931344018065749692,4681327126480642726355822287642919735729009923056922223460617188354819175045
walk,196,,1,1,63,132,7335664813103409815383897910463853408010006396245744647256696570242407968780,7943019208643008515814887175186743615906126757816640761359700976897367763297
walk,197,,1,2,64,132,51704404338983715495826339823054508537663619071486394972684634197271001093246,55985256592203450589862533330982745822068227915942553927063397599642561192394
walk,198,,1,1,64,133,32118829645686555153553851746649641392596643037143606414268303335071347939565,34778099509005527685168056225872798679459829950500631263500786299880678811111
walk,199,,1,2,64,134,38744642151106677787729010108276206398025290824673298873774127273636295088009,41952494379039673179207184839497597543195196901256501014341800234163945809397
walk,200,,1,1,65,134,44595639772572758511499549261741445222286328894102323698487709561690070091655,48287923775161195235693849979726530072915179714250474814521720097990725922419
walk,201,,1,2,65,135,55384152933451111230395606359852919723079971335974672345731138705836085868558,59969668982014698251360293533584517951985551148691367996394842166565964381437
walk,202,,1,1,65,136,23465092607353199867289185279378687099653748206175164479740889820903842530628,25407878639692434774504061553856718177242765720319986482911098618290722553570
walk,203,,1,2,66,136,30738869181281148474157780686583710152002903975152629622496667207827391974472,33283885589040049636275181767821746581378852275189833645361513268210443885143
walk,204,,1,2,66,137,47474268806897514004526249163824324937022243039223795881909328190856060770294,51404888126279875835890735831264064938430506360847826390200955532490317542260
walk,205,,1,1,66,138,17993454036801782395272863275915431611843292008956097915976455032316522085193,19483217225091182029794965620566618729934597498960828582394565048752176099353
