puzzle_n,r_X3p,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
85,26,117,18,9,80,26,9,18,18,4,81,29,62,124,5,5,5,62,65,28,73,85
10,27,124,69,77,12,27,77,69,69,56,41,24,51,135,111,111,111,77,66,45,10,10
35,28,149,84,54,35,28,54,84,84,29,86,53,60,153,125,125,125,139,44,33,35,35
53,29,23,7,37,52,29,37,7,7,45,62,6,14,109,76,76,76,32,40,23,53,53
6,30,157,82,81,8,30,81,82,82,30,1,19,65,145,81,81,81,114,5,32,6,6
70,31,49,60,78,11,31,78,60,60,22,45,87,59,76,45,45,45,52,17,82,70,70
39,32,4,19,19,70,32,19,19,19,46,3,26,53,13,58,58,58,38,30,63,39,39
145,33,47,71,33,56,33,33,71,71,54,7,7,,102,75,75,75,83,21,84,,145
46,34,90,87,59,30,34,59,87,87,64,79,43,17,71,88,88,88,15,46,39,46,46
100,35,114,78,50,39,35,50,78,78,34,56,11,76,97,47,47,47,147,50,30,76,100
60,36,118,33,72,17,36,72,33,33,77,67,61,1,40,116,116,116,111,33,58,60,60
59,37,102,30,8,81,37,8,30,30,53,11,17,61,84,68,68,68,79,80,22,59,59
67,38,63,10,84,5,38,84,10,10,42,76,4,41,79,71,71,71,101,26,62,67,67
66,39,14,38,46,43,39,46,38,38,20,23,31,22,67,154,154,154,16,12,36,66,66
52,40,29,50,79,10,40,79,50,50,43,54,73,6,10,124,124,124,117,29,49,52,52
58,41,82,9,29,60,41,29,9,9,21,31,77,42,11,118,118,118,59,39,76,58,58
30,42,123,6,63,26,42,63,6,6,66,2,32,50,105,10,10,10,48,59,18,30,30
29,43,46,46,85,4,43,85,46,46,73,60,27,27,122,128,128,128,109,79,71,29,29
57,44,25,67,42,47,44,42,67,67,83,63,44,56,41,18,18,18,71,15,17,57,57
64,45,32,8,28,61,45,28,8,8,28,69,82,31,8,43,43,43,50,69,5,64,64
115,46,139,32,39,50,46,39,32,32,55,5,1,47,91,94,94,94,149,62,25,79,115
26,47,110,37,6,83,47,6,37,37,23,49,75,82,49,41,41,41,78,1,88,26,26
24,48,3,47,76,13,48,76,47,47,52,20,36,72,51,1,1,1,30,70,83,24,24
28,49,9,80,7,82,49,7,80,80,79,71,21,81,160,66,66,66,68,41,64,28,28
62,50,136,17,23,66,50,23,17,17,48,73,71,78,21,159,159,159,72,8,56,62,62
5,51,84,23,18,71,51,18,23,23,47,35,20,28,78,120,120,120,137,61,79,5,5
50,52,130,83,83,6,52,83,83,83,25,43,13,75,82,102,102,102,110,87,55,50,50
36,53,64,73,41,48,53,41,73,73,26,87,84,64,154,152,152,152,88,4,43,36,36
75,54,108,49,57,32,54,57,49,49,13,47,85,35,157,110,110,110,129,68,80,71,75
105,55,70,75,5,84,55,5,75,75,15,34,58,24,87,64,64,64,141,52,6,77,105
43,56,155,68,69,20,56,69,68,68,27,25,5,46,55,114,114,114,31,82,14,43,43
45,57,146,48,61,28,57,61,48,48,72,57,86,30,113,109,109,109,90,86,8,45,45
130,58,94,44,62,27,58,62,44,44,57,19,51,45,93,12,12,12,18,19,52,82,130
135,59,31,12,38,51,59,38,12,12,71,22,54,,85,79,79,79,96,71,68,,135
38,60,104,76,20,69,60,20,76,76,88,66,50,55,56,137,137,137,89,55,53,38,38
25,61,22,1,64,25,61,64,1,1,12,78,56,40,54,83,83,83,67,76,13,25,25
4,62,87,20,31,58,62,31,20,20,62,70,69,13,33,48,48,48,99,63,66,4,4
18,63,99,5,53,36,63,53,5,5,5,85,68,67,43,130,130,130,58,54,7,18,18
47,64,153,24,67,22,64,67,24,24,67,42,15,15,16,149,149,149,10,51,61,47,47
15,65,159,88,70,19,65,70,88,88,61,83,28,16,100,101,101,101,20,75,75,15,15
120,66,37,77,15,74,66,15,77,77,58,15,46,34,64,160,160,160,94,78,59,80,120
61,67,56,34,75,14,67,75,34,34,38,12,81,38,60,74,74,74,60,22,31,61,61
19,68,140,54,25,64,68,25,54,54,17,55,79,32,131,84,84,84,153,23,15,19,19
17,69,105,29,22,67,69,22,29,29,33,88,42,8,15,156,156,156,123,56,87,17,17
125,70,151,22,14,75,70,14,22,22,10,72,37,79,38,82,82,82,95,64,85,81,125
44,71,78,43,44,45,71,44,43,43,24,65,52,74,140,34,34,34,49,2,34,44,44
110,72,7,3,2,87,72,2,3,3,19,38,2,69,92,46,46,46,26,6,19,78,110
3,73,50,41,40,49,73,40,41,41,31,18,74,33,98,42,42,42,150,16,57,3,3
22,74,77,27,43,46,74,43,27,27,7,10,72,44,14,153,153,153,100,13,54,22,22
41,75,122,72,56,33,75,56,72,72,50,77,70,37,148,113,113,113,115,60,67,41,41
7,76,134,62,66,23,76,66,62,62,69,9,9,52,89,50,50,50,45,18,9,7,7
68,77,132,16,11,78,77,11,16,16,32,13,16,4,36,35,35,35,126,3,2,68,68
160,78,138,79,68,21,78,68,79,79,40,30,62,,101,56,56,56,85,72,46,,160
20,79,106,25,52,37,79,52,25,25,18,29,22,20,121,30,30,30,66,38,44,20,20
63,80,144,45,30,59,80,30,45,45,76,8,12,10,23,98,98,98,124,34,73,63,63
90,81,120,40,60,29,81,60,40,40,2,80,67,39,20,132,132,132,34,58,37,74,90
2,82,73,86,21,68,82,21,86,86,37,64,59,80,46,112,112,112,122,27,81,2,2
13,83,156,70,17,72,83,17,70,70,86,33,30,12,66,49,49,49,47,47,78,13,13
37,84,17,52,34,55,84,34,52,52,63,36,39,48,86,126,126,126,21,77,69,37,37
48,85,80,61,32,57,85,32,61,61,59,14,80,68,4,115,115,115,116,25,35,48,48
69,86,52,36,73,16,86,73,36,36,6,6,55,77,144,127,127,127,51,42,70,69,69
12,87,79,57,35,54,87,35,57,57,16,37,83,36,149,89,89,89,46,14,72,12,12
155,88,60,42,86,3,88,86,42,42,84,16,47,,62,135,135,135,148,84,48,,155
71,,150,,,,,,,,,,,,90,108,108,108,127,,,,71
72,,109,,,,,,,,,,,,34,15,15,15,128,,,,72
73,,8,,,,,,,,,,,,114,17,17,17,119,,,,73
74,,93,,,,,,,,,,,,83,95,95,95,140,,,,74
76,,81,,,,,,,,,,,,77,103,103,103,102,,,,76
77,,67,,,,,,,,,,,,24,37,37,37,33,,,,77
78,,27,,,,,,,,,,,,136,157,157,157,2,,,,78
79,,55,,,,,,,,,,,,57,136,136,136,112,,,,79
81,,28,,,,,,,,,,,,39,129,129,129,92,,,,81
82,,13,,,,,,,,,,,,12,131,131,131,53,,,,82
83,,16,,,,,,,,,,,,63,69,69,69,7,,,,83
84,,71,,,,,,,,,,,,125,148,148,148,61,,,,84
86,,112,,,,,,,,,,,,7,29,29,29,54,,,,86
87,,158,,,,,,,,,,,,106,32,32,32,63,,,,87
88,,30,,,,,,,,,,,,65,3,3,3,130,,,,88
89,,48,,,,,,,,,,,,139,67,67,67,22,,,,89
91,,89,,,,,,,,,,,,126,52,52,52,120,,,,91
92,,54,,,,,,,,,,,,117,2,2,2,73,,,,92
93,,35,,,,,,,,,,,,26,104,104,104,103,,,,93
94,,113,,,,,,,,,,,,52,97,97,97,6,,,,94
96,,20,,,,,,,,,,,,111,63,63,63,104,,,,96
97,,45,,,,,,,,,,,,44,151,151,151,158,,,,97
98,,75,,,,,,,,,,,,9,141,141,141,159,,,,98
99,,111,,,,,,,,,,,,17,26,26,26,146,,,,99
101,,69,,,,,,,,,,,,31,11,11,11,25,,,,101
102,,152,,,,,,,,,,,,115,123,123,123,35,,,,102
103,,59,,,,,,,,,,,,158,86,86,86,131,,,,103
104,,85,,,,,,,,,,,,107,87,87,87,132,,,,104
106,,42,,,,,,,,,,,,94,19,19,19,40,,,,106
107,,21,,,,,,,,,,,,151,77,77,77,80,,,,107
108,,103,,,,,,,,,,,,133,6,6,6,121,,,,108
109,,101,,,,,,,,,,,,129,100,100,100,11,,,,109
111,,39,,,,,,,,,,,,147,93,93,93,8,,,,111
112,,41,,,,,,,,,,,,150,145,145,145,27,,,,112
113,,141,,,,,,,,,,,,37,134,134,134,74,,,,113
114,,34,,,,,,,,,,,,50,59,59,59,17,,,,114
116,,137,,,,,,,,,,,,81,61,61,61,23,,,,116
117,,115,,,,,,,,,,,,29,96,96,96,93,,,,117
118,,147,,,,,,,,,,,,48,144,144,144,28,,,,118
119,,100,,,,,,,,,,,,95,90,90,90,41,,,,119
121,,98,,,,,,,,,,,,1,142,142,142,81,,,,121
122,,135,,,,,,,,,,,,73,133,133,133,12,,,,122
123,,76,,,,,,,,,,,,75,146,146,146,105,,,,123
124,,66,,,,,,,,,,,,127,24,24,24,42,,,,124
126,,57,,,,,,,,,,,,70,38,38,38,9,,,,126
127,,97,,,,,,,,,,,,143,20,20,20,55,,,,127
128,,133,,,,,,,,,,,,112,22,22,22,3,,,,128
129,,107,,,,,,,,,,,,134,105,105,105,29,,,,129
131,,33,,,,,,,,,,,,5,36,36,36,36,,,,131
132,,119,,,,,,,,,,,,59,4,4,4,113,,,,132
133,,1,,,,,,,,,,,,156,8,8,8,43,,,,133
134,,10,,,,,,,,,,,,141,21,21,21,106,,,,134
136,,2,,,,,,,,,,,,32,147,147,147,82,,,,136
137,,26,,,,,,,,,,,,130,23,23,23,1,,,,137
138,,58,,,,,,,,,,,,22,85,85,85,37,,,,138
139,,96,,,,,,,,,,,,72,40,40,40,133,,,,139
141,,68,,,,,,,,,,,,61,33,33,33,152,,,,141
142,,24,,,,,,,,,,,,103,121,121,121,156,,,,142
143,,11,,,,,,,,,,,,3,54,54,54,97,,,,143
144,,142,,,,,,,,,,,,104,80,80,80,75,,,,144
146,,128,,,,,,,,,,,,18,92,92,92,84,,,,146
147,,44,,,,,,,,,,,,99,25,25,25,134,,,,147
148,,95,,,,,,,,,,,,28,139,139,139,64,,,,148
149,,74,,,,,,,,,,,,128,39,39,39,135,,,,149
151,,12,,,,,,,,,,,,142,119,119,119,56,,,,151
152,,126,,,,,,,,,,,,53,73,73,73,136,,,,152
153,,38,,,,,,,,,,,,152,65,65,65,160,,,,153
154,,143,,,,,,,,,,,,116,106,106,106,13,,,,154
156,,92,,,,,,,,,,,,30,140,140,140,57,,,,156
157,,15,,,,,,,,,,,,45,150,150,150,98,,,,157
158,,53,,,,,,,,,,,,68,9,9,9,76,,,,158
159,,19,,,,,,,,,,,,96,138,138,138,5,,,,159
