puzzle_n,r_address_payload,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
52,29,29,50,79,10,40,40,79,50,50,43,54,73,6,10,124,124,124,117,29,49,52,52
88,30,30,,,,,,,,,,,,,65,3,3,3,130,,,,88
135,31,31,12,38,51,59,59,38,12,12,71,22,54,,85,79,79,79,96,71,68,,135
64,32,32,8,28,61,45,45,28,8,8,28,69,82,31,8,43,43,43,50,69,5,64,64
131,33,33,,,,,,,,,,,,,5,36,36,36,36,,,,131
114,34,34,,,,,,,,,,,,,50,59,59,59,17,,,,114
93,35,35,,,,,,,,,,,,,26,104,104,104,103,,,,93
56,36,36,28,80,9,5,5,80,28,28,41,68,38,29,27,62,62,62,70,31,4,56,56
120,37,37,77,15,74,66,66,15,77,77,58,15,46,34,64,160,160,160,94,78,59,80,120
153,38,38,,,,,,,,,,,,,152,65,65,65,160,,,,153
111,39,39,,,,,,,,,,,,,147,93,93,93,8,,,,111
33,40,40,66,4,85,2,2,4,66,66,65,17,65,19,110,28,28,28,143,73,42,33,33
112,41,41,,,,,,,,,,,,,150,145,145,145,27,,,,112
106,42,42,,,,,,,,,,,,,94,19,19,19,40,,,,106
65,43,43,21,82,7,13,13,82,21,21,35,46,18,66,159,158,158,158,91,20,40,65,65
147,44,44,,,,,,,,,,,,,99,25,25,25,134,,,,147
97,45,45,,,,,,,,,,,,,44,151,151,151,158,,,,97
29,46,46,46,85,4,43,43,85,46,46,73,60,27,27,122,128,128,128,109,79,71,29,29
145,47,47,71,33,56,33,33,33,71,71,54,7,7,,102,75,75,75,83,21,84,,145
89,48,48,,,,,,,,,,,,,139,67,67,67,22,,,,89
70,49,49,60,78,11,31,31,78,60,60,22,45,87,59,76,45,45,45,52,17,82,70,70
3,50,50,41,40,49,73,73,40,41,41,31,18,74,33,98,42,42,42,150,16,57,3,3
95,51,51,63,58,31,12,12,58,63,63,78,44,40,21,80,78,78,78,24,83,24,75,95
69,52,52,36,73,16,86,86,73,36,36,6,6,55,77,144,127,127,127,51,42,70,69,69
158,53,53,,,,,,,,,,,,,68,9,9,9,76,,,,158
92,54,54,,,,,,,,,,,,,117,2,2,2,73,,,,92
79,55,55,,,,,,,,,,,,,57,136,136,136,112,,,,79
61,56,56,34,75,14,67,67,75,34,34,38,12,81,38,60,74,74,74,60,22,31,61,61
126,57,57,,,,,,,,,,,,,70,38,38,38,9,,,,126
138,58,58,,,,,,,,,,,,,22,85,85,85,37,,,,138
103,59,59,,,,,,,,,,,,,158,86,86,86,131,,,,103
155,60,60,42,86,3,88,88,86,42,42,84,16,47,,62,135,135,135,148,84,48,,155
80,61,61,53,36,53,15,15,36,53,53,51,28,25,23,74,70,70,70,151,36,50,72,80
16,62,62,64,49,40,1,1,49,64,64,60,52,48,63,6,27,27,27,157,85,77,16,16
67,63,63,10,84,5,38,38,84,10,10,42,76,4,41,79,71,71,71,101,26,62,67,67
36,64,64,73,41,48,53,53,41,73,73,26,87,84,64,154,152,152,152,88,4,43,36,36
1,65,65,51,26,63,24,24,26,51,51,11,82,76,54,132,51,51,51,44,48,3,1,1
124,66,66,,,,,,,,,,,,,127,24,24,24,42,,,,124
77,67,67,,,,,,,,,,,,,24,37,37,37,33,,,,77
141,68,68,,,,,,,,,,,,,61,33,33,33,152,,,,141
101,69,69,,,,,,,,,,,,,31,11,11,11,25,,,,101
105,70,70,75,5,84,55,55,5,75,75,15,34,58,24,87,64,64,64,141,52,6,77,105
84,71,71,,,,,,,,,,,,,125,148,148,148,61,,,,84
9,72,72,31,51,38,3,3,51,31,31,3,50,3,18,42,91,91,91,107,74,65,9,9
2,73,73,86,21,68,82,82,21,86,86,37,64,59,80,46,112,112,112,122,27,81,2,2
149,74,74,,,,,,,,,,,,,128,39,39,39,135,,,,149
98,75,75,,,,,,,,,,,,,9,141,141,141,159,,,,98
123,76,76,,,,,,,,,,,,,75,146,146,146,105,,,,123
22,77,77,27,43,46,74,74,43,27,27,7,10,72,44,14,153,153,153,100,13,54,22,22
44,78,78,43,44,45,71,71,44,43,43,24,65,52,74,140,34,34,34,49,2,34,44,44
12,79,79,57,35,54,87,87,35,57,57,16,37,83,36,149,89,89,89,46,14,72,12,12
48,80,80,61,32,57,85,85,32,61,61,59,14,80,68,4,115,115,115,116,25,35,48,48
76,81,81,,,,,,,,,,,,,77,103,103,103,102,,,,76
58,82,82,9,29,60,41,41,29,9,9,21,31,77,42,11,118,118,118,59,39,76,58,58
42,83,83,81,13,76,18,18,13,81,81,82,27,34,71,119,16,16,16,69,45,86,42,42
5,84,84,23,18,71,51,51,18,23,23,47,35,20,28,78,120,120,120,137,61,79,5,5
104,85,85,,,,,,,,,,,,,107,87,87,87,132,,,,104
40,86,86,65,47,42,9,9,47,65,65,75,40,60,7,146,117,117,117,39,57,51,40,40
4,87,87,20,31,58,62,62,31,20,20,62,70,69,13,33,48,48,48,99,63,66,4,4
14,88,88,74,45,44,19,19,45,74,74,70,58,41,58,19,44,44,44,65,53,41,14,14
91,89,89,,,,,,,,,,,,,126,52,52,52,120,,,,91
46,90,90,87,59,30,34,34,59,87,87,64,79,43,17,71,88,88,88,15,46,39,46,46
32,91,91,4,27,62,20,20,27,4,4,81,59,45,57,35,14,14,14,87,28,10,32,32
156,92,92,,,,,,,,,,,,,30,140,140,140,57,,,,156
74,93,93,,,,,,,,,,,,,83,95,95,95,140,,,,74
130,94,94,44,62,27,58,58,62,44,44,57,19,51,45,93,12,12,12,18,19,52,82,130
148,95,95,,,,,,,,,,,,,28,139,139,139,64,,,,148
139,96,96,,,,,,,,,,,,,72,40,40,40,133,,,,139
127,97,97,,,,,,,,,,,,,143,20,20,20,55,,,,127
121,98,98,,,,,,,,,,,,,1,142,142,142,81,,,,121
18,99,99,5,53,36,63,63,53,5,5,5,85,68,67,43,130,130,130,58,54,7,18,18
119,100,100,,,,,,,,,,,,,95,90,90,90,41,,,,119
109,101,101,,,,,,,,,,,,,129,100,100,100,11,,,,109
59,102,102,30,8,81,37,37,8,30,30,53,11,17,61,84,68,68,68,79,80,22,59,59
108,103,103,,,,,,,,,,,,,133,6,6,6,121,,,,108
38,104,104,76,20,69,60,60,20,76,76,88,66,50,55,56,137,137,137,89,55,53,38,38
17,105,105,29,22,67,69,69,22,29,29,33,88,42,8,15,156,156,156,123,56,87,17,17
20,106,106,25,52,37,79,79,52,25,25,18,29,22,20,121,30,30,30,66,38,44,20,20
129,107,107,,,,,,,,,,,,,134,105,105,105,29,,,,129
75,108,108,49,57,32,54,54,57,49,49,13,47,85,35,157,110,110,110,129,68,80,71,75
72,109,109,,,,,,,,,,,,,34,15,15,15,128,,,,72
26,110,110,37,6,83,47,47,6,37,37,23,49,75,82,49,41,41,41,78,1,88,26,26
99,111,111,,,,,,,,,,,,,17,26,26,26,146,,,,99
86,112,112,,,,,,,,,,,,,7,29,29,29,54,,,,86
94,113,113,,,,,,,,,,,,,52,97,97,97,6,,,,94
100,114,114,78,50,39,35,35,50,78,78,34,56,11,76,97,47,47,47,147,50,30,76,100
117,115,115,,,,,,,,,,,,,29,96,96,96,93,,,,117
54,116,116,35,1,88,7,7,1,35,35,14,75,35,3,123,99,99,99,118,10,12,54,54
85,117,117,18,9,80,26,26,9,18,18,4,81,29,62,124,5,5,5,62,65,28,73,85
60,118,118,33,72,17,36,36,72,33,33,77,67,61,1,40,116,116,116,111,33,58,60,60
132,119,119,,,,,,,,,,,,,59,4,4,4,113,,,,132
90,120,120,40,60,29,81,81,60,40,40,2,80,67,39,20,132,132,132,34,58,37,74,90
23,121,121,85,55,34,6,6,55,85,85,1,53,57,73,138,143,143,143,86,49,27,23,23
41,122,122,72,56,33,75,75,56,72,72,50,77,70,37,148,113,113,113,115,60,67,41,41
30,123,123,6,63,26,42,42,63,6,6,66,2,32,50,105,10,10,10,48,59,18,30,30
10,124,124,69,77,12,27,27,77,69,69,56,41,24,51,135,111,111,111,77,66,45,10,10
31,125,125,56,24,65,10,10,24,56,56,39,51,63,11,88,55,55,55,142,35,11,31,31
152,126,126,,,,,,,,,,,,,53,73,73,73,136,,,,152
55,127,127,55,10,79,25,25,10,55,55,74,26,33,2,137,107,107,107,145,24,74,55,55
146,128,128,,,,,,,,,,,,,18,92,92,92,84,,,,146
8,129,129,2,74,15,11,11,74,2,2,36,4,64,26,69,57,57,57,4,43,29,8,8
50,130,130,83,83,6,52,52,83,83,83,25,43,13,75,82,102,102,102,110,87,55,50,50
150,131,131,11,87,2,16,16,87,11,11,87,32,66,,58,7,7,7,125,32,60,,150
68,132,132,16,11,78,77,77,11,16,16,32,13,16,4,36,35,35,35,126,3,2,68,68
128,133,133,,,,,,,,,,,,,112,22,22,22,3,,,,128
7,134,134,62,66,23,76,76,66,62,62,69,9,9,52,89,50,50,50,45,18,9,7,7
122,135,135,,,,,,,,,,,,,73,133,133,133,12,,,,122
62,136,136,17,23,66,50,50,23,17,17,48,73,71,78,21,159,159,159,72,8,56,62,62
116,137,137,,,,,,,,,,,,,81,61,61,61,23,,,,116
160,138,138,79,68,21,78,78,68,79,79,40,30,62,,101,56,56,56,85,72,46,,160
115,139,139,32,39,50,46,46,39,32,32,55,5,1,47,91,94,94,94,149,62,25,79,115
19,140,140,54,25,64,68,68,25,54,54,17,55,79,32,131,84,84,84,153,23,15,19,19
113,141,141,,,,,,,,,,,,,37,134,134,134,74,,,,113
144,142,142,,,,,,,,,,,,,104,80,80,80,75,,,,144
154,143,143,,,,,,,,,,,,,116,106,106,106,13,,,,154
63,144,144,45,30,59,80,80,30,45,45,76,8,12,10,23,98,98,98,124,34,73,63,63
51,145,145,59,48,41,14,14,48,59,59,85,39,49,43,2,53,53,53,154,9,21,51,51
45,146,146,48,61,28,57,57,61,48,48,72,57,86,30,113,109,109,109,90,86,8,45,45
118,147,147,,,,,,,,,,,,,48,144,144,144,28,,,,118
34,148,148,26,71,18,23,23,71,26,26,8,24,23,25,25,155,155,155,138,7,16,34,34
35,149,149,84,54,35,28,28,54,84,84,29,86,53,60,153,125,125,125,139,44,33,35,35
71,150,150,,,,,,,,,,,,,90,108,108,108,127,,,,71
125,151,151,22,14,75,70,70,14,22,22,10,72,37,79,38,82,82,82,95,64,85,81,125
102,152,152,,,,,,,,,,,,,115,123,123,123,35,,,,102
47,153,153,24,67,22,64,64,67,24,24,67,42,15,15,16,149,149,149,10,51,61,47,47
11,154,154,58,12,77,21,21,12,58,58,9,84,14,49,155,60,60,60,19,67,20,11,11
43,155,155,68,69,20,56,56,69,68,68,27,25,5,46,55,114,114,114,31,82,14,43,43
13,156,156,70,17,72,83,83,17,70,70,86,33,30,12,66,49,49,49,47,47,78,13,13
6,157,157,82,81,8,30,30,81,82,82,30,1,19,65,145,81,81,81,114,5,32,6,6
87,158,158,,,,,,,,,,,,,106,32,32,32,63,,,,87
15,159,159,88,70,19,65,65,70,88,88,61,83,28,16,100,101,101,101,20,75,75,15,15
140,160,160,15,88,1,8,8,88,15,15,80,21,88,,118,72,72,72,155,88,26,,140
