puzzle_n,r_sha256_vh,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
24,51,3,47,76,13,48,48,76,47,47,52,20,36,72,51,1,1,1,30,70,83,24,24
94,52,113,,,,,,,,,,,,,52,97,97,97,6,,,,94
152,53,126,,,,,,,,,,,,,53,73,73,73,136,,,,152
25,54,22,1,64,25,61,61,64,1,1,12,78,56,40,54,83,83,83,67,76,13,25,25
43,55,155,68,69,20,56,56,69,68,68,27,25,5,46,55,114,114,114,31,82,14,43,43
38,56,104,76,20,69,60,60,20,76,76,88,66,50,55,56,137,137,137,89,55,53,38,38
79,57,55,,,,,,,,,,,,,57,136,136,136,112,,,,79
150,58,131,11,87,2,16,16,87,11,11,87,32,66,,58,7,7,7,125,32,60,,150
132,59,119,,,,,,,,,,,,,59,4,4,4,113,,,,132
61,60,56,34,75,14,67,67,75,34,34,38,12,81,38,60,74,74,74,60,22,31,61,61
141,61,68,,,,,,,,,,,,,61,33,33,33,152,,,,141
155,62,60,42,86,3,88,88,86,42,42,84,16,47,,62,135,135,135,148,84,48,,155
83,63,16,,,,,,,,,,,,,63,69,69,69,7,,,,83
120,64,37,77,15,74,66,66,15,77,77,58,15,46,34,64,160,160,160,94,78,59,80,120
88,65,30,,,,,,,,,,,,,65,3,3,3,130,,,,88
13,66,156,70,17,72,83,83,17,70,70,86,33,30,12,66,49,49,49,47,47,78,13,13
66,67,14,38,46,43,39,39,46,38,38,20,23,31,22,67,154,154,154,16,12,36,66,66
158,68,53,,,,,,,,,,,,,68,9,9,9,76,,,,158
8,69,129,2,74,15,11,11,74,2,2,36,4,64,26,69,57,57,57,4,43,29,8,8
126,70,57,,,,,,,,,,,,,70,38,38,38,9,,,,126
46,71,90,87,59,30,34,34,59,87,87,64,79,43,17,71,88,88,88,15,46,39,46,46
139,72,96,,,,,,,,,,,,,72,40,40,40,133,,,,139
122,73,135,,,,,,,,,,,,,73,133,133,133,12,,,,122
80,74,61,53,36,53,15,15,36,53,53,51,28,25,23,74,70,70,70,151,36,50,72,80
123,75,76,,,,,,,,,,,,,75,146,146,146,105,,,,123
70,76,49,60,78,11,31,31,78,60,60,22,45,87,59,76,45,45,45,52,17,82,70,70
76,77,81,,,,,,,,,,,,,77,103,103,103,102,,,,76
5,78,84,23,18,71,51,51,18,23,23,47,35,20,28,78,120,120,120,137,61,79,5,5
67,79,63,10,84,5,38,38,84,10,10,42,76,4,41,79,71,71,71,101,26,62,67,67
95,80,51,63,58,31,12,12,58,63,63,78,44,40,21,80,78,78,78,24,83,24,75,95
116,81,137,,,,,,,,,,,,,81,61,61,61,23,,,,116
50,82,130,83,83,6,52,52,83,83,83,25,43,13,75,82,102,102,102,110,87,55,50,50
74,83,93,,,,,,,,,,,,,83,95,95,95,140,,,,74
59,84,102,30,8,81,37,37,8,30,30,53,11,17,61,84,68,68,68,79,80,22,59,59
135,85,31,12,38,51,59,59,38,12,12,71,22,54,,85,79,79,79,96,71,68,,135
37,86,17,52,34,55,84,84,34,52,52,63,36,39,48,86,126,126,126,21,77,69,37,37
105,87,70,75,5,84,55,55,5,75,75,15,34,58,24,87,64,64,64,141,52,6,77,105
31,88,125,56,24,65,10,10,24,56,56,39,51,63,11,88,55,55,55,142,35,11,31,31
7,89,134,62,66,23,76,76,66,62,62,69,9,9,52,89,50,50,50,45,18,9,7,7
71,90,150,,,,,,,,,,,,,90,108,108,108,127,,,,71
115,91,139,32,39,50,46,46,39,32,32,55,5,1,47,91,94,94,94,149,62,25,79,115
110,92,7,3,2,87,72,72,2,3,3,19,38,2,69,92,46,46,46,26,6,19,78,110
130,93,94,44,62,27,58,58,62,44,44,57,19,51,45,93,12,12,12,18,19,52,82,130
106,94,42,,,,,,,,,,,,,94,19,19,19,40,,,,106
119,95,100,,,,,,,,,,,,,95,90,90,90,41,,,,119
159,96,19,,,,,,,,,,,,,96,138,138,138,5,,,,159
100,97,114,78,50,39,35,35,50,78,78,34,56,11,76,97,47,47,47,147,50,30,76,100
3,98,50,41,40,49,73,73,40,41,41,31,18,74,33,98,42,42,42,150,16,57,3,3
147,99,44,,,,,,,,,,,,,99,25,25,25,134,,,,147
15,100,159,88,70,19,65,65,70,88,88,61,83,28,16,100,101,101,101,20,75,75,15,15
160,101,138,79,68,21,78,78,68,79,79,40,30,62,,101,56,56,56,85,72,46,,160
145,102,47,71,33,56,33,33,33,71,71,54,7,7,,102,75,75,75,83,21,84,,145
142,103,24,,,,,,,,,,,,,103,121,121,121,156,,,,142
144,104,142,,,,,,,,,,,,,104,80,80,80,75,,,,144
30,105,123,6,63,26,42,42,63,6,6,66,2,32,50,105,10,10,10,48,59,18,30,30
87,106,158,,,,,,,,,,,,,106,32,32,32,63,,,,87
104,107,85,,,,,,,,,,,,,107,87,87,87,132,,,,104
49,108,6,39,65,24,17,17,65,39,39,49,61,10,5,108,13,13,13,144,81,38,49,49
53,109,23,7,37,52,29,29,37,7,7,45,62,6,14,109,76,76,76,32,40,23,53,53
33,110,40,66,4,85,2,2,4,66,66,65,17,65,19,110,28,28,28,143,73,42,33,33
96,111,20,,,,,,,,,,,,,111,63,63,63,104,,,,96
128,112,133,,,,,,,,,,,,,112,22,22,22,3,,,,128
45,113,146,48,61,28,57,57,61,48,48,72,57,86,30,113,109,109,109,90,86,8,45,45
73,114,8,,,,,,,,,,,,,114,17,17,17,119,,,,73
102,115,152,,,,,,,,,,,,,115,123,123,123,35,,,,102
154,116,143,,,,,,,,,,,,,116,106,106,106,13,,,,154
92,117,54,,,,,,,,,,,,,117,2,2,2,73,,,,92
140,118,160,15,88,1,8,8,88,15,15,80,21,88,,118,72,72,72,155,88,26,,140
42,119,83,81,13,76,18,18,13,81,81,82,27,34,71,119,16,16,16,69,45,86,42,42
21,120,18,13,16,73,22,22,16,13,13,44,74,78,9,120,31,31,31,14,11,1,21,21
20,121,106,25,52,37,79,79,52,25,25,18,29,22,20,121,30,30,30,66,38,44,20,20
29,122,46,46,85,4,43,43,85,46,46,73,60,27,27,122,128,128,128,109,79,71,29,29
54,123,116,35,1,88,7,7,1,35,35,14,75,35,3,123,99,99,99,118,10,12,54,54
85,124,117,18,9,80,26,26,9,18,18,4,81,29,62,124,5,5,5,62,65,28,73,85
84,125,71,,,,,,,,,,,,,125,148,148,148,61,,,,84
91,126,89,,,,,,,,,,,,,126,52,52,52,120,,,,91
124,127,66,,,,,,,,,,,,,127,24,24,24,42,,,,124
149,128,74,,,,,,,,,,,,,128,39,39,39,135,,,,149
109,129,101,,,,,,,,,,,,,129,100,100,100,11,,,,109
137,130,26,,,,,,,,,,,,,130,23,23,23,1,,,,137
19,131,140,54,25,64,68,68,25,54,54,17,55,79,32,131,84,84,84,153,23,15,19,19
1,132,65,51,26,63,24,24,26,51,51,11,82,76,54,132,51,51,51,44,48,3,1,1
108,133,103,,,,,,,,,,,,,133,6,6,6,121,,,,108
129,134,107,,,,,,,,,,,,,134,105,105,105,29,,,,129
10,135,124,69,77,12,27,27,77,69,69,56,41,24,51,135,111,111,111,77,66,45,10,10
78,136,27,,,,,,,,,,,,,136,157,157,157,2,,,,78
55,137,127,55,10,79,25,25,10,55,55,74,26,33,2,137,107,107,107,145,24,74,55,55
23,138,121,85,55,34,6,6,55,85,85,1,53,57,73,138,143,143,143,86,49,27,23,23
89,139,48,,,,,,,,,,,,,139,67,67,67,22,,,,89
44,140,78,43,44,45,71,71,44,43,43,24,65,52,74,140,34,34,34,49,2,34,44,44
134,141,10,,,,,,,,,,,,,141,21,21,21,106,,,,134
151,142,12,,,,,,,,,,,,,142,119,119,119,56,,,,151
127,143,97,,,,,,,,,,,,,143,20,20,20,55,,,,127
69,144,52,36,73,16,86,86,73,36,36,6,6,55,77,144,127,127,127,51,42,70,69,69
6,145,157,82,81,8,30,30,81,82,82,30,1,19,65,145,81,81,81,114,5,32,6,6
40,146,86,65,47,42,9,9,47,65,65,75,40,60,7,146,117,117,117,39,57,51,40,40
111,147,39,,,,,,,,,,,,,147,93,93,93,8,,,,111
41,148,122,72,56,33,75,75,56,72,72,50,77,70,37,148,113,113,113,115,60,67,41,41
12,149,79,57,35,54,87,87,35,57,57,16,37,83,36,149,89,89,89,46,14,72,12,12
112,150,41,,,,,,,,,,,,,150,145,145,145,27,,,,112
107,151,21,,,,,,,,,,,,,151,77,77,77,80,,,,107
153,152,38,,,,,,,,,,,,,152,65,65,65,160,,,,153
35,153,149,84,54,35,28,28,54,84,84,29,86,53,60,153,125,125,125,139,44,33,35,35
36,154,64,73,41,48,53,53,41,73,73,26,87,84,64,154,152,152,152,88,4,43,36,36
11,155,154,58,12,77,21,21,12,58,58,9,84,14,49,155,60,60,60,19,67,20,11,11
133,156,1,,,,,,,,,,,,,156,8,8,8,43,,,,133
75,157,108,49,57,32,54,54,57,49,49,13,47,85,35,157,110,110,110,129,68,80,71,75
103,158,59,,,,,,,,,,,,,158,86,86,86,131,,,,103
65,159,43,21,82,7,13,13,82,21,21,35,46,18,66,159,158,158,158,91,20,40,65,65
28,160,9,80,7,82,49,49,7,80,80,79,71,21,81,160,66,66,66,68,41,64,28,28
