puzzle_n,r_h160_hamming,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
56,70,36,28,80,9,5,5,80,28,28,41,68,38,29,27,62,62,62,31,4,56,56
57,71,25,67,42,47,44,44,42,67,67,83,63,44,56,41,18,18,18,15,17,57,57
62,72,136,17,23,66,50,50,23,17,17,48,73,71,78,21,159,159,159,8,56,62,62
92,73,54,,,,,,,,,,,,,117,2,2,2,,,,92
113,74,141,,,,,,,,,,,,,37,134,134,134,,,,113
144,75,142,,,,,,,,,,,,,104,80,80,80,,,,144
158,76,53,,,,,,,,,,,,,68,9,9,9,,,,158
10,77,124,69,77,12,27,27,77,69,69,56,41,24,51,135,111,111,111,66,45,10,10
26,78,110,37,6,83,47,47,6,37,37,23,49,75,82,49,41,41,41,1,88,26,26
59,79,102,30,8,81,37,37,8,30,30,53,11,17,61,84,68,68,68,80,22,59,59
107,80,21,,,,,,,,,,,,,151,77,77,77,,,,107
121,81,98,,,,,,,,,,,,,1,142,142,142,,,,121
136,82,2,,,,,,,,,,,,,32,147,147,147,,,,136
145,83,47,71,33,56,33,33,33,71,71,54,7,7,,102,75,75,75,21,84,,145
146,84,128,,,,,,,,,,,,,18,92,92,92,,,,146
160,85,138,79,68,21,78,78,68,79,79,40,30,62,,101,56,56,56,72,46,,160
23,86,121,85,55,34,6,6,55,85,85,1,53,57,73,138,143,143,143,49,27,23,23
32,87,91,4,27,62,20,20,27,4,4,81,59,45,57,35,14,14,14,28,10,32,32
36,88,64,73,41,48,53,53,41,73,73,26,87,84,64,154,152,152,152,4,43,36,36
38,89,104,76,20,69,60,60,20,76,76,88,66,50,55,56,137,137,137,55,53,38,38
45,90,146,48,61,28,57,57,61,48,48,72,57,86,30,113,109,109,109,86,8,45,45
65,91,43,21,82,7,13,13,82,21,21,35,46,18,66,159,158,158,158,20,40,65,65
81,92,28,,,,,,,,,,,,,39,129,129,129,,,,81
117,93,115,,,,,,,,,,,,,29,96,96,96,,,,117
120,94,37,77,15,74,66,66,15,77,77,58,15,46,34,64,160,160,160,78,59,80,120
125,95,151,22,14,75,70,70,14,22,22,10,72,37,79,38,82,82,82,64,85,81,125
135,96,31,12,38,51,59,59,38,12,12,71,22,54,,85,79,79,79,71,68,,135
143,97,11,,,,,,,,,,,,,3,54,54,54,,,,143
157,98,15,,,,,,,,,,,,,45,150,150,150,,,,157
4,99,87,20,31,58,62,62,31,20,20,62,70,69,13,33,48,48,48,63,66,4,4
22,100,77,27,43,46,74,74,43,27,27,7,10,72,44,14,153,153,153,13,54,22,22
67,101,63,10,84,5,38,38,84,10,10,42,76,4,41,79,71,71,71,26,62,67,67
76,102,81,,,,,,,,,,,,,77,103,103,103,,,,76
93,103,35,,,,,,,,,,,,,26,104,104,104,,,,93
96,104,20,,,,,,,,,,,,,111,63,63,63,,,,96
123,105,76,,,,,,,,,,,,,75,146,146,146,,,,123
134,106,10,,,,,,,,,,,,,141,21,21,21,,,,134
9,107,72,31,51,38,3,3,51,31,31,3,50,3,18,42,91,91,91,74,65,9,9
27,108,5,14,3,86,4,4,3,14,14,68,48,8,70,47,122,122,122,37,47,27,27
29,109,46,46,85,4,43,43,85,46,46,73,60,27,27,122,128,128,128,79,71,29,29
50,110,130,83,83,6,52,52,83,83,83,25,43,13,75,82,102,102,102,87,55,50,50
60,111,118,33,72,17,36,36,72,33,33,77,67,61,1,40,116,116,116,33,58,60,60
79,112,55,,,,,,,,,,,,,57,136,136,136,,,,79
132,113,119,,,,,,,,,,,,,59,4,4,4,,,,132
6,114,157,82,81,8,30,30,81,82,82,30,1,19,65,145,81,81,81,5,32,6,6
41,115,122,72,56,33,75,75,56,72,72,50,77,70,37,148,113,113,113,60,67,41,41
48,116,80,61,32,57,85,85,32,61,61,59,14,80,68,4,115,115,115,25,35,48,48
52,117,29,50,79,10,40,40,79,50,50,43,54,73,6,10,124,124,124,29,49,52,52
54,118,116,35,1,88,7,7,1,35,35,14,75,35,3,123,99,99,99,10,12,54,54
73,119,8,,,,,,,,,,,,,114,17,17,17,,,,73
91,120,89,,,,,,,,,,,,,126,52,52,52,,,,91
108,121,103,,,,,,,,,,,,,133,6,6,6,,,,108
2,122,73,86,21,68,82,82,21,86,86,37,64,59,80,46,112,112,112,27,81,2,2
17,123,105,29,22,67,69,69,22,29,29,33,88,42,8,15,156,156,156,56,87,17,17
63,124,144,45,30,59,80,80,30,45,45,76,8,12,10,23,98,98,98,34,73,63,63
150,125,131,11,87,2,16,16,87,11,11,87,32,66,,58,7,7,7,32,60,,150
68,126,132,16,11,78,77,77,11,16,16,32,13,16,4,36,35,35,35,3,2,68,68
71,127,150,,,,,,,,,,,,,90,108,108,108,,,,71
72,128,109,,,,,,,,,,,,,34,15,15,15,,,,72
75,129,108,49,57,32,54,54,57,49,49,13,47,85,35,157,110,110,110,68,80,71,75
88,130,30,,,,,,,,,,,,,65,3,3,3,,,,88
103,131,59,,,,,,,,,,,,,158,86,86,86,,,,103
104,132,85,,,,,,,,,,,,,107,87,87,87,,,,104
139,133,96,,,,,,,,,,,,,72,40,40,40,,,,139
147,134,44,,,,,,,,,,,,,99,25,25,25,,,,147
149,135,74,,,,,,,,,,,,,128,39,39,39,,,,149
152,136,126,,,,,,,,,,,,,53,73,73,73,,,,152
5,137,84,23,18,71,51,51,18,23,23,47,35,20,28,78,120,120,120,61,79,5,5
34,138,148,26,71,18,23,23,71,26,26,8,24,23,25,25,155,155,155,7,16,34,34
35,139,149,84,54,35,28,28,54,84,84,29,86,53,60,153,125,125,125,44,33,35,35
74,140,93,,,,,,,,,,,,,83,95,95,95,,,,74
105,141,70,75,5,84,55,55,5,75,75,15,34,58,24,87,64,64,64,52,6,77,105
31,142,125,56,24,65,10,10,24,56,56,39,51,63,11,88,55,55,55,35,11,31,31
33,143,40,66,4,85,2,2,4,66,66,65,17,65,19,110,28,28,28,73,42,33,33
49,144,6,39,65,24,17,17,65,39,39,49,61,10,5,108,13,13,13,81,38,49,49
55,145,127,55,10,79,25,25,10,55,55,74,26,33,2,137,107,107,107,24,74,55,55
99,146,111,,,,,,,,,,,,,17,26,26,26,,,,99
100,147,114,78,50,39,35,35,50,78,78,34,56,11,76,97,47,47,47,50,30,76,100
155,148,60,42,86,3,88,88,86,42,42,84,16,47,,62,135,135,135,84,48,,155
115,149,139,32,39,50,46,46,39,32,32,55,5,1,47,91,94,94,94,62,25,79,115
3,150,50,41,40,49,73,73,40,41,41,31,18,74,33,98,42,42,42,16,57,3,3
80,151,61,53,36,53,15,15,36,53,53,51,28,25,23,74,70,70,70,36,50,72,80
141,152,68,,,,,,,,,,,,,61,33,33,33,,,,141
19,153,140,54,25,64,68,68,25,54,54,17,55,79,32,131,84,84,84,23,15,19,19
51,154,145,59,48,41,14,14,48,59,59,85,39,49,43,2,53,53,53,9,21,51,51
140,155,160,15,88,1,8,8,88,15,15,80,21,88,,118,72,72,72,88,26,,140
142,156,24,,,,,,,,,,,,,103,121,121,121,,,,142
16,157,62,64,49,40,1,1,49,64,64,60,52,48,63,6,27,27,27,85,77,16,16
97,158,45,,,,,,,,,,,,,44,151,151,151,,,,97
98,159,75,,,,,,,,,,,,,9,141,141,141,,,,98
153,160,38,,,,,,,,,,,,,152,65,65,65,,,,153
