puzzle_n,r_Py,r_h160,r_Px,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_r,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
80,36,61,53,53,15,15,36,53,53,51,28,25,23,74,70,70,70,151,36,50,72,80
53,37,23,7,52,29,29,37,7,7,45,62,6,14,109,76,76,76,32,40,23,53,53
135,38,31,12,51,59,59,38,12,12,71,22,54,,85,79,79,79,96,71,68,,135
115,39,139,32,50,46,46,39,32,32,55,5,1,47,91,94,94,94,149,62,25,79,115
3,40,50,41,49,73,73,40,41,41,31,18,74,33,98,42,42,42,150,16,57,3,3
36,41,64,73,48,53,53,41,73,73,26,87,84,64,154,152,152,152,88,4,43,36,36
57,42,25,67,47,44,44,42,67,67,83,63,44,56,41,18,18,18,71,15,17,57,57
22,43,77,27,46,74,74,43,27,27,7,10,72,44,14,153,153,153,100,13,54,22,22
44,44,78,43,45,71,71,44,43,43,24,65,52,74,140,34,34,34,49,2,34,44,44
14,45,88,74,44,19,19,45,74,74,70,58,41,58,19,44,44,44,65,53,41,14,14
66,46,14,38,43,39,39,46,38,38,20,23,31,22,67,154,154,154,16,12,36,66,66
40,47,86,65,42,9,9,47,65,65,75,40,60,7,146,117,117,117,39,57,51,40,40
51,48,145,59,41,14,14,48,59,59,85,39,49,43,2,53,53,53,154,9,21,51,51
16,49,62,64,40,1,1,49,64,64,60,52,48,63,6,27,27,27,157,85,77,16,16
100,50,114,78,39,35,35,50,78,78,34,56,11,76,97,47,47,47,147,50,30,76,100
9,51,72,31,38,3,3,51,31,31,3,50,3,18,42,91,91,91,107,74,65,9,9
20,52,106,25,37,79,79,52,25,25,18,29,22,20,121,30,30,30,66,38,44,20,20
18,53,99,5,36,63,63,53,5,5,5,85,68,67,43,130,130,130,58,54,7,18,18
35,54,149,84,35,28,28,54,84,84,29,86,53,60,153,125,125,125,139,44,33,35,35
23,55,121,85,34,6,6,55,85,85,1,53,57,73,138,143,143,143,86,49,27,23,23
41,56,122,72,33,75,75,56,72,72,50,77,70,37,148,113,113,113,115,60,67,41,41
75,57,108,49,32,54,54,57,49,49,13,47,85,35,157,110,110,110,129,68,80,71,75
95,58,51,63,31,12,12,58,63,63,78,44,40,21,80,78,78,78,24,83,24,75,95
46,59,90,87,30,34,34,59,87,87,64,79,43,17,71,88,88,88,15,46,39,46,46
90,60,120,40,29,81,81,60,40,40,2,80,67,39,20,132,132,132,34,58,37,74,90
45,61,146,48,28,57,57,61,48,48,72,57,86,30,113,109,109,109,90,86,8,45,45
130,62,94,44,27,58,58,62,44,44,57,19,51,45,93,12,12,12,18,19,52,82,130
30,63,123,6,26,42,42,63,6,6,66,2,32,50,105,10,10,10,48,59,18,30,30
25,64,22,1,25,61,61,64,1,1,12,78,56,40,54,83,83,83,67,76,13,25,25
49,65,6,39,24,17,17,65,39,39,49,61,10,5,108,13,13,13,144,81,38,49,49
7,66,134,62,23,76,76,66,62,62,69,9,9,52,89,50,50,50,45,18,9,7,7
47,67,153,24,22,64,64,67,24,24,67,42,15,15,16,149,149,149,10,51,61,47,47
160,68,138,79,21,78,78,68,79,79,40,30,62,,101,56,56,56,85,72,46,,160
43,69,155,68,20,56,56,69,68,68,27,25,5,46,55,114,114,114,31,82,14,43,43
15,70,159,88,19,65,65,70,88,88,61,83,28,16,100,101,101,101,20,75,75,15,15
34,71,148,26,18,23,23,71,26,26,8,24,23,25,25,155,155,155,138,7,16,34,34
60,72,118,33,17,36,36,72,33,33,77,67,61,1,40,116,116,116,111,33,58,60,60
69,73,52,36,16,86,86,73,36,36,6,6,55,77,144,127,127,127,51,42,70,69,69
8,74,129,2,15,11,11,74,2,2,36,4,64,26,69,57,57,57,4,43,29,8,8
61,75,56,34,14,67,67,75,34,34,38,12,81,38,60,74,74,74,60,22,31,61,61
24,76,3,47,13,48,48,76,47,47,52,20,36,72,51,1,1,1,30,70,83,24,24
10,77,124,69,12,27,27,77,69,69,56,41,24,51,135,111,111,111,77,66,45,10,10
70,78,49,60,11,31,31,78,60,60,22,45,87,59,76,45,45,45,52,17,82,70,70
52,79,29,50,10,40,40,79,50,50,43,54,73,6,10,124,124,124,117,29,49,52,52
56,80,36,28,9,5,5,80,28,28,41,68,38,29,27,62,62,62,70,31,4,56,56
6,81,157,82,8,30,30,81,82,82,30,1,19,65,145,81,81,81,114,5,32,6,6
65,82,43,21,7,13,13,82,21,21,35,46,18,66,159,158,158,158,91,20,40,65,65
50,83,130,83,6,52,52,83,83,83,25,43,13,75,82,102,102,102,110,87,55,50,50
67,84,63,10,5,38,38,84,10,10,42,76,4,41,79,71,71,71,101,26,62,67,67
29,85,46,46,4,43,43,85,46,46,73,60,27,27,122,128,128,128,109,79,71,29,29
155,86,60,42,3,88,88,86,42,42,84,16,47,,62,135,135,135,148,84,48,,155
150,87,131,11,2,16,16,87,11,11,87,32,66,,58,7,7,7,125,32,60,,150
140,88,160,15,1,8,8,88,15,15,80,21,88,,118,72,72,72,155,88,26,,140
71,,150,,,,,,,,,,,,90,108,108,108,127,,,,71
72,,109,,,,,,,,,,,,34,15,15,15,128,,,,72
73,,8,,,,,,,,,,,,114,17,17,17,119,,,,73
74,,93,,,,,,,,,,,,83,95,95,95,140,,,,74
76,,81,,,,,,,,,,,,77,103,103,103,102,,,,76
77,,67,,,,,,,,,,,,24,37,37,37,33,,,,77
78,,27,,,,,,,,,,,,136,157,157,157,2,,,,78
79,,55,,,,,,,,,,,,57,136,136,136,112,,,,79
81,,28,,,,,,,,,,,,39,129,129,129,92,,,,81
82,,13,,,,,,,,,,,,12,131,131,131,53,,,,82
83,,16,,,,,,,,,,,,63,69,69,69,7,,,,83
84,,71,,,,,,,,,,,,125,148,148,148,61,,,,84
86,,112,,,,,,,,,,,,7,29,29,29,54,,,,86
87,,158,,,,,,,,,,,,106,32,32,32,63,,,,87
88,,30,,,,,,,,,,,,65,3,3,3,130,,,,88
89,,48,,,,,,,,,,,,139,67,67,67,22,,,,89
91,,89,,,,,,,,,,,,126,52,52,52,120,,,,91
92,,54,,,,,,,,,,,,117,2,2,2,73,,,,92
93,,35,,,,,,,,,,,,26,104,104,104,103,,,,93
94,,113,,,,,,,,,,,,52,97,97,97,6,,,,94
96,,20,,,,,,,,,,,,111,63,63,63,104,,,,96
97,,45,,,,,,,,,,,,44,151,151,151,158,,,,97
98,,75,,,,,,,,,,,,9,141,141,141,159,,,,98
99,,111,,,,,,,,,,,,17,26,26,26,146,,,,99
101,,69,,,,,,,,,,,,31,11,11,11,25,,,,101
102,,152,,,,,,,,,,,,115,123,123,123,35,,,,102
103,,59,,,,,,,,,,,,158,86,86,86,131,,,,103
104,,85,,,,,,,,,,,,107,87,87,87,132,,,,104
106,,42,,,,,,,,,,,,94,19,19,19,40,,,,106
107,,21,,,,,,,,,,,,151,77,77,77,80,,,,107
108,,103,,,,,,,,,,,,133,6,6,6,121,,,,108
109,,101,,,,,,,,,,,,129,100,100,100,11,,,,109
111,,39,,,,,,,,,,,,147,93,93,93,8,,,,111
112,,41,,,,,,,,,,,,150,145,145,145,27,,,,112
113,,141,,,,,,,,,,,,37,134,134,134,74,,,,113
114,,34,,,,,,,,,,,,50,59,59,59,17,,,,114
116,,137,,,,,,,,,,,,81,61,61,61,23,,,,116
117,,115,,,,,,,,,,,,29,96,96,96,93,,,,117
118,,147,,,,,,,,,,,,48,144,144,144,28,,,,118
119,,100,,,,,,,,,,,,95,90,90,90,41,,,,119
121,,98,,,,,,,,,,,,1,142,142,142,81,,,,121
122,,135,,,,,,,,,,,,73,133,133,133,12,,,,122
123,,76,,,,,,,,,,,,75,146,146,146,105,,,,123
124,,66,,,,,,,,,,,,127,24,24,24,42,,,,124
126,,57,,,,,,,,,,,,70,38,38,38,9,,,,126
127,,97,,,,,,,,,,,,143,20,20,20,55,,,,127
128,,133,,,,,,,,,,,,112,22,22,22,3,,,,128
129,,107,,,,,,,,,,,,134,105,105,105,29,,,,129
131,,33,,,,,,,,,,,,5,36,36,36,36,,,,131
132,,119,,,,,,,,,,,,59,4,4,4,113,,,,132
133,,1,,,,,,,,,,,,156,8,8,8,43,,,,133
134,,10,,,,,,,,,,,,141,21,21,21,106,,,,134
136,,2,,,,,,,,,,,,32,147,147,147,82,,,,136
137,,26,,,,,,,,,,,,130,23,23,23,1,,,,137
138,,58,,,,,,,,,,,,22,85,85,85,37,,,,138
139,,96,,,,,,,,,,,,72,40,40,40,133,,,,139
141,,68,,,,,,,,,,,,61,33,33,33,152,,,,141
142,,24,,,,,,,,,,,,103,121,121,121,156,,,,142
143,,11,,,,,,,,,,,,3,54,54,54,97,,,,143
144,,142,,,,,,,,,,,,104,80,80,80,75,,,,144
146,,128,,,,,,,,,,,,18,92,92,92,84,,,,146
147,,44,,,,,,,,,,,,99,25,25,25,134,,,,147
148,,95,,,,,,,,,,,,28,139,139,139,64,,,,148
149,,74,,,,,,,,,,,,128,39,39,39,135,,,,149
151,,12,,,,,,,,,,,,142,119,119,119,56,,,,151
152,,126,,,,,,,,,,,,53,73,73,73,136,,,,152
153,,38,,,,,,,,,,,,152,65,65,65,160,,,,153
154,,143,,,,,,,,,,,,116,106,106,106,13,,,,154
156,,92,,,,,,,,,,,,30,140,140,140,57,,,,156
157,,15,,,,,,,,,,,,45,150,150,150,98,,,,157
158,,53,,,,,,,,,,,,68,9,9,9,76,,,,158
159,,19,,,,,,,,,,,,96,138,138,138,5,,,,159
