puzzle_n,r_r,r_h160,r_Px,r_Py,r_neg_y,r_Y2p,r_X3p,r_y2_full,r_x3plus7_full,r_p_carry,r_s,r_z,r_Ry,r_sVH,r_sCHK,r_checksum4,r_addr_y,r_h160_hamming,r_s_inv_z_mod_N,r_sha256_pubkey,r_d,r_n
160,40,138,79,68,21,78,78,68,79,79,30,62,,101,56,56,56,85,72,46,,160
56,41,36,28,80,9,5,5,80,28,28,68,38,29,27,62,62,62,70,31,4,56,56
67,42,63,10,84,5,38,38,84,10,10,76,4,41,79,71,71,71,101,26,62,67,67
52,43,29,50,79,10,40,40,79,50,50,54,73,6,10,124,124,124,117,29,49,52,52
21,44,18,13,16,73,22,22,16,13,13,74,78,9,120,31,31,31,14,11,1,21,21
53,45,23,7,37,52,29,29,37,7,7,62,6,14,109,76,76,76,32,40,23,53,53
39,46,4,19,19,70,32,32,19,19,19,3,26,53,13,58,58,58,38,30,63,39,39
5,47,84,23,18,71,51,51,18,23,23,35,20,28,78,120,120,120,137,61,79,5,5
62,48,136,17,23,66,50,50,23,17,17,73,71,78,21,159,159,159,72,8,56,62,62
49,49,6,39,65,24,17,17,65,39,39,61,10,5,108,13,13,13,144,81,38,49,49
41,50,122,72,56,33,75,75,56,72,72,77,70,37,148,113,113,113,115,60,67,41,41
80,51,61,53,36,53,15,15,36,53,53,28,25,23,74,70,70,70,151,36,50,72,80
24,52,3,47,76,13,48,48,76,47,47,20,36,72,51,1,1,1,30,70,83,24,24
59,53,102,30,8,81,37,37,8,30,30,11,17,61,84,68,68,68,79,80,22,59,59
145,54,47,71,33,56,33,33,33,71,71,7,7,,102,75,75,75,83,21,84,,145
115,55,139,32,39,50,46,46,39,32,32,5,1,47,91,94,94,94,149,62,25,79,115
10,56,124,69,77,12,27,27,77,69,69,41,24,51,135,111,111,111,77,66,45,10,10
130,57,94,44,62,27,58,58,62,44,44,19,51,45,93,12,12,12,18,19,52,82,130
120,58,37,77,15,74,66,66,15,77,77,15,46,34,64,160,160,160,94,78,59,80,120
48,59,80,61,32,57,85,85,32,61,61,14,80,68,4,115,115,115,116,25,35,48,48
16,60,62,64,49,40,1,1,49,64,64,52,48,63,6,27,27,27,157,85,77,16,16
15,61,159,88,70,19,65,65,70,88,88,83,28,16,100,101,101,101,20,75,75,15,15
4,62,87,20,31,58,62,62,31,20,20,70,69,13,33,48,48,48,99,63,66,4,4
37,63,17,52,34,55,84,84,34,52,52,36,39,48,86,126,126,126,21,77,69,37,37
46,64,90,87,59,30,34,34,59,87,87,79,43,17,71,88,88,88,15,46,39,46,46
33,65,40,66,4,85,2,2,4,66,66,17,65,19,110,28,28,28,143,73,42,33,33
30,66,123,6,63,26,42,42,63,6,6,2,32,50,105,10,10,10,48,59,18,30,30
47,67,153,24,67,22,64,64,67,24,24,42,15,15,16,149,149,149,10,51,61,47,47
27,68,5,14,3,86,4,4,3,14,14,48,8,70,47,122,122,122,108,37,47,27,27
7,69,134,62,66,23,76,76,66,62,62,9,9,52,89,50,50,50,45,18,9,7,7
14,70,88,74,45,44,19,19,45,74,74,58,41,58,19,44,44,44,65,53,41,14,14
135,71,31,12,38,51,59,59,38,12,12,22,54,,85,79,79,79,96,71,68,,135
45,72,146,48,61,28,57,57,61,48,48,57,86,30,113,109,109,109,90,86,8,45,45
29,73,46,46,85,4,43,43,85,46,46,60,27,27,122,128,128,128,109,79,71,29,29
55,74,127,55,10,79,25,25,10,55,55,26,33,2,137,107,107,107,145,24,74,55,55
40,75,86,65,47,42,9,9,47,65,65,40,60,7,146,117,117,117,39,57,51,40,40
63,76,144,45,30,59,80,80,30,45,45,8,12,10,23,98,98,98,124,34,73,63,63
60,77,118,33,72,17,36,36,72,33,33,67,61,1,40,116,116,116,111,33,58,60,60
95,78,51,63,58,31,12,12,58,63,63,44,40,21,80,78,78,78,24,83,24,75,95
28,79,9,80,7,82,49,49,7,80,80,71,21,81,160,66,66,66,68,41,64,28,28
140,80,160,15,88,1,8,8,88,15,15,21,88,,118,72,72,72,155,88,26,,140
32,81,91,4,27,62,20,20,27,4,4,59,45,57,35,14,14,14,87,28,10,32,32
42,82,83,81,13,76,18,18,13,81,81,27,34,71,119,16,16,16,69,45,86,42,42
57,83,25,67,42,47,44,44,42,67,67,63,44,56,41,18,18,18,71,15,17,57,57
155,84,60,42,86,3,88,88,86,42,42,16,47,,62,135,135,135,148,84,48,,155
51,85,145,59,48,41,14,14,48,59,59,39,49,43,2,53,53,53,154,9,21,51,51
13,86,156,70,17,72,83,83,17,70,70,33,30,12,66,49,49,49,47,47,78,13,13
150,87,131,11,87,2,16,16,87,11,11,32,66,,58,7,7,7,125,32,60,,150
38,88,104,76,20,69,60,60,20,76,76,66,50,55,56,137,137,137,89,55,53,38,38
71,,150,,,,,,,,,,,,90,108,108,108,127,,,,71
72,,109,,,,,,,,,,,,34,15,15,15,128,,,,72
73,,8,,,,,,,,,,,,114,17,17,17,119,,,,73
74,,93,,,,,,,,,,,,83,95,95,95,140,,,,74
76,,81,,,,,,,,,,,,77,103,103,103,102,,,,76
77,,67,,,,,,,,,,,,24,37,37,37,33,,,,77
78,,27,,,,,,,,,,,,136,157,157,157,2,,,,78
79,,55,,,,,,,,,,,,57,136,136,136,112,,,,79
81,,28,,,,,,,,,,,,39,129,129,129,92,,,,81
82,,13,,,,,,,,,,,,12,131,131,131,53,,,,82
83,,16,,,,,,,,,,,,63,69,69,69,7,,,,83
84,,71,,,,,,,,,,,,125,148,148,148,61,,,,84
86,,112,,,,,,,,,,,,7,29,29,29,54,,,,86
87,,158,,,,,,,,,,,,106,32,32,32,63,,,,87
88,,30,,,,,,,,,,,,65,3,3,3,130,,,,88
89,,48,,,,,,,,,,,,139,67,67,67,22,,,,89
91,,89,,,,,,,,,,,,126,52,52,52,120,,,,91
92,,54,,,,,,,,,,,,117,2,2,2,73,,,,92
93,,35,,,,,,,,,,,,26,104,104,104,103,,,,93
94,,113,,,,,,,,,,,,52,97,97,97,6,,,,94
96,,20,,,,,,,,,,,,111,63,63,63,104,,,,96
97,,45,,,,,,,,,,,,44,151,151,151,158,,,,97
98,,75,,,,,,,,,,,,9,141,141,141,159,,,,98
99,,111,,,,,,,,,,,,17,26,26,26,146,,,,99
101,,69,,,,,,,,,,,,31,11,11,11,25,,,,101
102,,152,,,,,,,,,,,,115,123,123,123,35,,,,102
103,,59,,,,,,,,,,,,158,86,86,86,131,,,,103
104,,85,,,,,,,,,,,,107,87,87,87,132,,,,104
106,,42,,,,,,,,,,,,94,19,19,19,40,,,,106
107,,21,,,,,,,,,,,,151,77,77,77,80,,,,107
108,,103,,,,,,,,,,,,133,6,6,6,121,,,,108
109,,101,,,,,,,,,,,,129,100,100,100,11,,,,109
111,,39,,,,,,,,,,,,147,93,93,93,8,,,,111
112,,41,,,,,,,,,,,,150,145,145,145,27,,,,112
113,,141,,,,,,,,,,,,37,134,134,134,74,,,,113
114,,34,,,,,,,,,,,,50,59,59,59,17,,,,114
116,,137,,,,,,,,,,,,81,61,61,61,23,,,,116
117,,115,,,,,,,,,,,,29,96,96,96,93,,,,117
118,,147,,,,,,,,,,,,48,144,144,144,28,,,,118
119,,100,,,,,,,,,,,,95,90,90,90,41,,,,119
121,,98,,,,,,,,,,,,1,142,142,142,81,,,,121
122,,135,,,,,,,,,,,,73,133,133,133,12,,,,122
123,,76,,,,,,,,,,,,75,146,146,146,105,,,,123
124,,66,,,,,,,,,,,,127,24,24,24,42,,,,124
126,,57,,,,,,,,,,,,70,38,38,38,9,,,,126
127,,97,,,,,,,,,,,,143,20,20,20,55,,,,127
128,,133,,,,,,,,,,,,112,22,22,22,3,,,,128
129,,107,,,,,,,,,,,,134,105,105,105,29,,,,129
131,,33,,,,,,,,,,,,5,36,36,36,36,,,,131
132,,119,,,,,,,,,,,,59,4,4,4,113,,,,132
133,,1,,,,,,,,,,,,156,8,8,8,43,,,,133
134,,10,,,,,,,,,,,,141,21,21,21,106,,,,134
136,,2,,,,,,,,,,,,32,147,147,147,82,,,,136
137,,26,,,,,,,,,,,,130,23,23,23,1,,,,137
138,,58,,,,,,,,,,,,22,85,85,85,37,,,,138
139,,96,,,,,,,,,,,,72,40,40,40,133,,,,139
141,,68,,,,,,,,,,,,61,33,33,33,152,,,,141
142,,24,,,,,,,,,,,,103,121,121,121,156,,,,142
143,,11,,,,,,,,,,,,3,54,54,54,97,,,,143
144,,142,,,,,,,,,,,,104,80,80,80,75,,,,144
146,,128,,,,,,,,,,,,18,92,92,92,84,,,,146
147,,44,,,,,,,,,,,,99,25,25,25,134,,,,147
148,,95,,,,,,,,,,,,28,139,139,139,64,,,,148
149,,74,,,,,,,,,,,,128,39,39,39,135,,,,149
151,,12,,,,,,,,,,,,142,119,119,119,56,,,,151
152,,126,,,,,,,,,,,,53,73,73,73,136,,,,152
153,,38,,,,,,,,,,,,152,65,65,65,160,,,,153
154,,143,,,,,,,,,,,,116,106,106,106,13,,,,154
156,,92,,,,,,,,,,,,30,140,140,140,57,,,,156
157,,15,,,,,,,,,,,,45,150,150,150,98,,,,157
158,,53,,,,,,,,,,,,68,9,9,9,76,,,,158
159,,19,,,,,,,,,,,,96,138,138,138,5,,,,159
