puzzle_n,address_payload,n,d,log2d,Px,Py,Pmy,neg_y,y2_mod_p,x3_plus_7_mod_p,y2_full,x3plus7_full,p_carry,rmd160_cubed_plus_7_mod_p,address_payload_sq_mod_p,rmd160_sq_mod_p,address_payload_cubed_plus_7_mod_p,r,s,z,Ry,rmd160,address_base58_lex,sha256_pubkey,sha256_vh,sha256_chk,checksum4,d_value
105,70,105,77,77,75,5,84,84,55,55,5,75,75,131,33,77,33,15,34,58,24,70,68,6,87,64,64,29083230144918045706788529192435
84,71,84,,,,,,,,,,,,151,47,27,16,,,,,71,69,,125,148,148,
9,72,9,9,9,31,51,38,38,3,3,51,31,31,156,46,32,17,3,50,3,18,72,70,65,42,91,91,467
2,73,2,2,2,86,21,68,68,82,82,21,86,86,53,23,152,132,37,64,59,80,73,71,81,46,112,112,3
149,74,149,,,,,,,,,,,,143,89,118,69,,,,,74,72,,128,39,39,
98,75,98,,,,,,,,,,,,67,131,60,63,,,,,75,73,,9,141,141,
123,76,123,,,,,,,,,,,,27,69,129,131,,,,,76,74,,75,146,146,
22,77,22,22,22,27,43,46,46,74,74,43,27,27,71,64,41,21,7,10,72,44,77,75,54,14,153,153,3007503
44,78,44,44,44,43,44,45,45,71,71,44,43,43,75,50,98,70,24,65,52,74,78,76,34,140,34,34,15404761757071
12,79,12,12,12,57,35,54,54,87,87,35,57,57,84,81,117,14,16,37,83,36,79,77,72,149,89,89,2683
48,80,48,48,48,61,32,57,57,85,85,32,61,61,73,9,46,46,59,14,80,68,80,78,35,4,115,115,191206974700443
76,81,76,,,,,,,,,,,,122,48,6,152,,,,,81,79,,77,103,103,
58,82,58,58,58,9,29,60,60,41,41,29,9,9,132,120,110,130,21,31,77,42,82,80,76,11,118,118,199976667976342049
42,83,42,42,42,81,13,76,76,18,18,13,81,81,70,71,52,144,82,27,34,71,83,81,86,119,16,16,2895374552463
5,84,5,5,5,23,18,71,71,51,51,18,23,23,97,15,51,98,47,35,20,28,84,82,79,78,120,120,21
104,85,104,,,,,,,,,,,,46,32,71,37,,,,,85,83,,107,87,87,
40,86,40,40,40,65,47,42,42,9,9,47,65,65,115,40,120,26,75,40,60,7,86,84,51,146,117,117,1003651412950
4,87,4,4,4,20,31,58,58,62,62,31,20,20,82,20,30,64,62,70,69,13,87,85,66,33,48,48,8
14,88,14,14,14,74,45,44,44,19,19,45,74,74,62,10,101,58,70,58,41,58,88,86,41,19,44,44,10544
91,89,91,,,,,,,,,,,,89,7,15,79,,,,,89,87,,126,52,52,
46,90,46,46,46,87,59,30,30,34,34,59,87,87,105,86,128,146,64,79,43,17,90,88,39,71,88,88,51408670348612
32,91,32,32,32,4,27,62,62,20,20,27,4,4,48,6,73,129,81,59,45,57,91,89,10,35,14,14,3093472814
156,92,156,,,,,,,,,,,,74,5,34,65,,,,,92,90,,30,140,140,
74,93,74,,,,,,,,,,,,45,37,143,117,,,,,93,91,,83,95,95,
130,94,130,82,82,44,62,27,27,58,58,62,44,44,116,28,142,92,57,19,51,45,94,92,52,93,12,12,1103873984953507439627945351144005829577
148,95,148,,,,,,,,,,,,18,155,150,31,,,,,95,93,,28,139,139,
139,96,139,,,,,,,,,,,,123,14,108,53,,,,,96,94,,72,40,40,
127,97,127,,,,,,,,,,,,41,91,40,158,,,,,97,95,,143,20,20,
121,98,121,,,,,,,,,,,,140,129,85,95,,,,,98,96,,1,142,142,
18,99,18,18,18,5,53,36,36,63,63,53,5,5,15,12,59,119,5,85,68,67,99,97,7,43,130,130,198669
119,100,119,,,,,,,,,,,,69,35,103,40,,,,,100,98,,95,90,90,
109,101,109,,,,,,,,,,,,51,90,57,135,,,,,101,99,,129,100,100,
59,102,59,59,59,30,8,81,81,37,37,8,30,30,36,98,99,50,53,11,17,61,102,100,22,84,68,68,525070384258266191
108,103,108,,,,,,,,,,,,141,36,65,159,,,,,103,101,,133,6,6,
38,104,38,38,38,76,20,69,69,60,60,20,76,76,154,154,53,101,88,66,50,55,104,102,53,56,137,137,146971536592
17,105,17,17,17,29,22,67,67,69,69,22,29,29,24,142,82,116,33,88,42,8,105,103,87,15,156,156,95823
20,106,20,20,20,25,52,37,37,79,79,52,25,25,106,73,55,61,18,29,22,20,106,104,44,121,30,30,863317
129,107,129,,,,,,,,,,,,104,132,130,13,,,,,107,105,,134,105,105,
75,108,75,71,71,49,57,32,32,54,54,57,49,49,59,136,160,156,13,47,85,35,108,106,80,157,110,110,22538323240989823823367
72,109,72,,,,,,,,,,,,34,44,113,133,,,,,109,107,,34,15,15,
26,110,26,26,26,37,6,83,83,47,47,6,37,37,57,42,104,87,23,49,75,82,110,108,88,49,41,41,54538862
99,111,99,,,,,,,,,,,,118,13,3,125,,,,,111,109,,17,26,26,
86,112,86,,,,,,,,,,,,130,96,7,138,,,,,112,110,,7,29,29,
94,113,94,,,,,,,,,,,,7,159,137,36,,,,,113,111,,52,97,97,
100,114,100,76,76,78,50,39,39,35,35,50,78,78,152,61,81,137,34,56,11,76,114,112,30,97,47,47,868221233689326498340379183142
117,115,117,,,,,,,,,,,,17,157,44,157,,,,,115,113,,29,96,96,
54,116,54,54,54,35,1,88,88,7,7,1,35,35,79,125,125,2,14,75,35,3,116,114,12,123,99,99,9974455244496707
85,117,85,73,73,18,9,80,80,26,26,9,18,18,99,128,145,124,4,81,29,62,117,115,28,124,5,5,21090315766411506144426920
60,118,60,60,60,33,72,17,17,36,36,72,33,33,134,146,45,1,77,67,61,1,118,116,58,40,116,116,1135041350219496382
132,119,132,,,,,,,,,,,,5,83,83,51,,,,,119,117,,59,4,4,
90,120,90,74,74,40,60,29,29,81,81,60,40,40,21,118,25,59,2,80,67,39,120,118,37,20,132,132,868012190417726402719548863
23,121,23,23,23,85,55,34,34,6,6,55,85,85,13,49,31,85,1,53,57,73,121,119,27,138,143,143,5598802
41,122,41,41,41,72,56,33,33,75,75,56,72,72,148,38,36,139,50,77,70,37,122,120,67,148,113,113,1458252205147
30,123,30,30,30,6,63,26,26,42,42,63,6,6,90,110,58,66,66,2,32,50,123,121,18,105,10,10,1033162084
10,124,10,10,10,69,77,12,12,27,27,77,69,69,72,114,89,153,56,41,24,51,124,122,45,135,111,111,514
31,125,31,31,31,56,24,65,65,10,10,24,56,56,33,55,157,107,39,51,63,11,125,123,11,88,55,55,2102388551
152,126,152,,,,,,,,,,,,145,77,136,145,,,,,126,124,,53,73,73,
55,127,55,55,55,55,10,79,79,25,25,10,55,55,16,147,93,52,74,26,33,2,127,125,74,137,107,107,30045390491869460
146,128,146,,,,,,,,,,,,127,141,87,57,,,,,128,126,,18,92,92,
8,129,8,8,8,2,74,15,15,11,11,74,2,2,139,112,50,24,36,4,64,26,129,127,29,69,57,57,224
50,130,50,50,50,83,83,6,6,52,52,83,83,83,110,82,75,147,25,43,13,75,130,128,55,82,102,102,611140496167764
150,131,150,,,11,87,2,2,16,16,87,11,11,96,135,69,68,87,32,66,,131,129,60,58,7,7,
68,132,68,68,68,16,11,78,78,77,77,11,16,16,101,105,138,99,32,13,16,4,132,130,2,36,35,35,219898266213316039825
128,133,128,,,,,,,,,,,,146,87,153,97,,,,,133,131,,112,22,22,
7,134,7,7,7,62,66,23,23,76,76,66,62,62,124,62,74,28,69,9,9,52,134,132,9,89,50,50,76
122,135,122,,,,,,,,,,,,10,63,14,47,,,,,135,133,,73,133,133,
62,136,62,62,62,17,23,66,66,50,50,23,17,17,135,68,115,90,48,73,71,78,136,134,56,21,159,159,3908372542507822062
116,137,116,,,,,,,,,,,,50,138,33,27,,,,,137,135,,81,61,61,
160,138,160,,,79,68,21,21,78,78,68,79,79,39,156,122,34,40,30,62,,138,136,46,101,56,56,
115,139,115,79,79,32,39,50,50,46,46,39,32,32,150,26,17,154,55,5,1,47,139,137,25,91,94,94,31464123230573852164273674364426950
19,140,19,19,19,54,25,64,64,68,68,25,54,54,95,78,96,81,17,55,79,32,140,138,15,131,84,84,357535
113,141,113,,,,,,,,,,,,144,41,26,42,,,,,141,139,,37,134,134,
144,142,144,,,,,,,,,,,,11,149,84,19,,,,,142,140,,104,80,80,
154,143,154,,,,,,,,,,,,112,130,4,88,,,,,143,141,,116,106,106,
63,144,63,63,63,45,30,59,59,80,80,30,45,45,120,109,13,18,76,8,12,10,144,142,73,23,98,98,8993229949524469768
51,145,51,51,51,59,48,41,41,14,14,48,59,59,98,104,124,22,85,39,49,43,145,143,21,2,53,53,2058769515153876
45,146,45,45,45,48,61,28,28,57,57,61,48,48,31,122,158,4,72,57,86,30,146,144,8,113,109,109,19996463086597
118,147,118,,,,,,,,,,,,83,88,134,155,,,,,147,145,,48,144,144,
34,148,34,34,34,26,71,18,18,23,23,71,26,26,30,84,38,141,8,24,23,25,148,146,16,25,155,155,14133072157
35,149,35,35,35,84,54,35,35,28,28,54,84,84,136,74,63,15,29,86,53,60,149,147,33,153,125,125,20112871792
71,150,71,,,,,,,,,,,,28,94,97,6,,,,,150,148,,90,108,108,
125,151,125,81,81,22,14,75,75,70,70,14,22,22,56,103,9,23,10,72,37,79,151,149,85,38,82,82,37650549717742544505774009877315221420
102,152,102,,,,,,,,,,,,22,92,90,25,,,,,152,150,,115,123,123,
47,153,47,47,47,24,67,22,22,64,64,67,24,24,43,115,20,100,67,42,15,15,153,151,61,16,149,149,119666659114170
11,154,11,11,11,58,12,77,77,21,21,12,58,58,54,121,141,72,9,84,14,49,154,152,20,155,60,60,1155
43,155,43,43,43,68,69,20,20,56,56,69,68,68,58,45,35,75,27,25,5,46,155,153,14,55,114,114,7409811047825
13,156,13,13,13,70,17,72,72,83,83,17,70,70,94,140,29,11,86,33,30,12,156,154,78,66,49,49,5216
6,157,6,6,6,82,81,8,8,30,30,81,82,82,125,3,47,134,30,1,19,65,157,155,32,145,81,81,49
87,158,87,,,,,,,,,,,,55,16,61,67,,,,,158,156,,106,32,32,
15,159,15,15,15,88,70,19,19,65,65,70,88,88,76,134,121,123,61,83,28,16,159,157,75,100,101,101,26867
140,160,140,,,15,88,1,1,8,8,88,15,15,6,111,133,103,80,21,88,,160,158,26,118,72,72,
