puzzle_n,H,rmd160,r_Px,R160_Px,E_Px,r_Py,R160_Py,E_Py,r_neg_y,R160_neg_y,E_neg_y,r_y2_full,R160_y2_full,E_y2_full,r_x3plus7_full,R160_x3plus7_full,E_x3plus7_full,r_p_carry,R160_p_carry,E_p_carry,r_r,R160_r,E_r,r_s,R160_s,E_s,r_z,R160_z,E_z,r_Ry,R160_Ry,E_Ry,r_d,R160_d,E_d,y2_full,x3plus7_full,p_carry,H_hat,B,B_E
57,25,288446282595067968546013571889449807045549408929,67,121.620690,96.620690,42,75.931034,50.931034,47,85.068966,60.068966,42,75.931034,50.931034,67,121.620690,96.620690,67,121.620690,96.620690,83,150.862069,125.862069,63,114.310345,89.310345,44,79.586207,54.586207,56,108.962963,83.962963,57,110.925926,85.925926,2552280173265816604016033866885710646873932796355832889424074346142547234244968854827268778365259803384591640252186014631748122599803346820160644985904400,416682642094384420557631356184003135676536675551219713875434719236071779041682990119905817788613143131279347361119447700588038930953898334671230201979667634730527480255367965415945774505080005433923510403357448744920772624662362735,3598541531109195510939310949733458067324203418679383352185489485155299440080249917291200775371801605469645594028552602263323875781836720987161101406254545,86.950653,61.950653,61.950653
137,26,299788272674797114125645650092407727936098356380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,27,302581759018585366810500576223602477509924946316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,28,303253928545191905666729829858498338001917941198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,29,312196984432035396752469331924175937073177770727,50,90.551724,61.551724,79,143.551724,114.551724,10,17.448276,-11.551724,79,143.551724,114.551724,50,90.551724,61.551724,50,90.551724,61.551724,43,77.758621,48.758621,54,97.862069,68.862069,73,132.586207,103.586207,6,10.814815,-18.185185,52,101.111111,72.111111,9606304692991210132228973180000465606075032526072708313051609918035830600718086683178261106596420262720613841024046782965047266129673599480475655558970729,147308700778929127666491685092125712411379197218826751908373569799092195263418216810490234925877448012454614700266076445104152278881386754852517099007219035469139536560249983053160302554596322171137729288448986491965327251273715006,1272182769558804253988152178278263227663365030705441095530421590845041599691170732464935526372003415276288638955974822926150032288905859195138602399768379,89.374351,60.374351,60.374351
88,30,323481455207859318196811937059934253257606019905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,31,339313561024031265435986695011695739557734064934,12,21.103448,-9.896552,38,68.620690,37.620690,51,92.379310,61.379310,38,68.620690,37.620690,12,21.103448,-9.896552,12,21.103448,-9.896552,71,128.931034,97.931034,22,39.379310,8.379310,54,97.862069,66.862069,,,,,,,2148462173807790720104625870053720617176214972925934201003717892644689216467745472285388612085270990752723147529668451092567054504286572589401508955040000,781442844999823570180687756686769401983426204825264796137944565997591859356256666683248414128209729910252220480045059648470686320642494797753675635984664818779640736340712466538664129735888420613483886035628657981608921146479007,6748672125591018374099144633561370875368115526597691309052989030161016954248076489895037255118891744016671471702653958435380935561367662507549862547089,69.080888,38.080888,38.080888
64,32,359043673790534646037006540730459475416853924004,8,13.793103,-18.206897,28,50.344828,18.344828,61,110.655172,78.655172,28,50.344828,18.344828,8,13.793103,-18.206897,8,13.793103,-18.206897,28,50.344828,18.344828,69,125.275862,93.275862,82,149.034483,117.034483,31,59.888889,27.888889,64,124.666667,92.666667,1347447335102463211198563898600120119274366739373009921068371185544028117952692110753750902894525279210028969767871385529461304073359075861776119635782841,380720177502853955158743896872278486907537865044321816006387590556852418834516204870075162627647872809130813088872802726876862112300423196493332493733338031010059643302926803116949700156710335384016125158522701910688453805303388,3287963625240122724840606503475195105323135763620184989771650913909536223307670223714157779594768897947898660335377890389619891371660410974559433406669,65.763322,33.763322,33.763322
131,33,375114163551972017189478196983396162425165017566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,34,379451362975576555275566055077390313470706275052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,35,400701514705121706839146850283519298151475293325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,36,411789911050205055549480569502908195550632201421,28,50.344828,14.344828,80,145.379310,109.379310,9,15.620690,-20.379310,80,145.379310,109.379310,28,50.344828,14.344828,28,50.344828,14.344828,41,74.103448,38.103448,68,123.448276,87.448276,38,68.620690,32.620690,29,55.962963,19.962963,56,108.962963,72.962963,10269533337440917465196965237507871034436047500513399199600787400890929124616507789038536412618072466705243926351560570216882873491235470036948588433328609,23335905600266732761773362033185954103293598971809759307235129493221860472467196953633523460750883807746657579780225467933543535792358697020459433120803766990748606031194160437164648136935904998778301071147007158259186973633922735,201532814149675907952283877302089631539975391149374694035222519095114851329294962748827197802127086287167150925997686735907483370481155000816317070931602,82.766832,46.766832,46.766832
120,37,429754963754638417526069230406242595932172005518,77,139.896552,102.896552,15,26.586207,-10.413793,74,134.413793,97.413793,15,26.586207,-10.413793,77,139.896552,102.896552,77,139.896552,102.896552,58,105.172414,68.172414,15,26.586207,-10.413793,46,83.241379,46.241379,34,65.777778,28.777778,80,156.074074,119.074074,380023839229234201089236096042818952551241924380754009661677132331620054877623139307552567779458552696439929750667625523739221379360983649204712243506064,817385140502104883755032607848577883193528189350256291002116329836492441814316889212918480003573195189868767398479666246216334620964198782819207890068065295469346879606497925535192482065236318041395427824473699061543074720796356615,7059075847805732741788234810016801715467968970984867911928185775953275846112577066933383606535874322386485690315470818175590581016204211581000563414827577,84.436840,47.436840,47.436840
153,38,438512500477676049084978069824432762602147085503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,39,439509009352293584448532965993889360610814035702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,40,445789552854827258519679623158235196608435468663,66,119.793103,79.793103,4,6.482759,-33.517241,85,154.517241,114.517241,4,6.482759,-33.517241,66,119.793103,79.793103,66,119.793103,79.793103,65,117.965517,77.965517,17,30.241379,-9.758621,65,117.965517,77.965517,19,36.333333,-3.666667,33,63.814815,23.814815,3416713383324718192709332754118283087172194867565808949104000792720494475921539209295196889664477478282288822943608917915183962126160115315514226987329,403228852611027465492918957395765398090259697278297552095070177741522063711091213154898932156102160315202672443119964436195255843918864674950971354632032342850022643592656711361850690941917345226095593141604425959902103270290290480,3482352337426167841661111253209011215948585183138067744813496642908555131033249039971054764424137209027749340069435901348050283674809968880033309494067777,78.742909,38.742909,38.742909
112,41,448198976487927889778597657621737981239201686670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,42,458741171730833921097604557197223386194016439879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,43,473297396586642889676789498927544571546534609207,21,37.551724,-5.448276,82,149.034483,106.034483,7,11.965517,-31.034483,82,149.034483,106.034483,21,37.551724,-5.448276,21,37.551724,-5.448276,35,63.137931,20.137931,46,83.241379,40.241379,18,32.068966,-10.931034,66,128.592593,85.592593,65,126.629630,83.629630,10590021658574211281541120145938431453499671666253997306289298373755239565339387588669671994802507970920155182832968600568222210448889930798313296904130576,10316675373542755017097369732926569725751404719908589492269170803350837973453073095405792029547112227377504515485170340721693216205851827689092648115083828942739304992067428833489382535306841342389378818860174135454385236328474090,89096547454107174367611639028241070744253889820001311604168408437340306972220251109573061198729703181146220003075186160084587155087568584770762239012678,81.013990,38.013990,38.013990
147,44,474397641132759930723256928909800015183218411502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,45,499839569762987285421747565448537139089124745202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,46,515268194363014992560971554439871005288137993708,46,83.241379,37.241379,85,154.517241,108.517241,4,6.482759,-39.517241,85,154.517241,108.517241,46,83.241379,37.241379,46,83.241379,37.241379,73,132.586207,86.586207,60,108.827586,62.827586,27,48.517241,2.517241,27,52.037037,6.037037,29,55.962963,9.962963,12359177359826230561134318457857504704352539362007940597179260181500112121166480970756229154699603515934469195399756815331899137762340051272595401366010000,118744574364005216809496761616511564380779980621162095466928374448393369359411470014335917314479478448191439839206467350721362844474931205589238091304809458666504903492996924967503954586535233105722070832477592002109629771622877983,1025498159210495764108603631749438746874100503930743869488839027808660070963982848678676733458651613117052466548755699780227175456593822766212734069364641,89.382240,43.382240,43.382240
145,47,518073365973944588491746167881348747634254849833,71,128.931034,81.931034,33,59.482759,12.482759,56,101.517241,54.517241,33,59.482759,12.482759,71,128.931034,81.931034,71,128.931034,81.931034,54,97.862069,50.862069,7,11.965517,-35.034483,7,11.965517,-35.034483,,,,,,,1844949724612568271837439993873028254898875357914288229271609402505501361277495534673860274635989043111573722362678604694777294726648932426697887150838089,503339363768997858008133603383747877466846414740363110917827418368555779522684156599639538423185018391143678580521614436495683982796621917760870641879711748374738114703146177415977348363879071327029976259785225489210974747733892132,4346923585923063282845566049919866713750609268471153949226418219006312321971308185173325030764982897579186388242715976798062645464678458421479302686250261,86.319241,39.319241,39.319241
89,48,526484540621208074518327605183262185279235361150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,49,535057393045998874059714060903434364160149232400,60,108.827586,59.827586,78,141.724138,92.724138,11,19.275862,-29.724138,78,141.724138,92.724138,60,108.827586,59.827586,60,108.827586,59.827586,22,39.379310,-9.620690,45,81.413793,32.413793,87,158.172414,109.172414,59,114.851852,65.851852,70,136.444444,87.444444,9474089732334727142206921426360761460555982193171075976794092808655596958860245644869212741029255061881733407402478169002422250155295804711747286366536704,281531920881429754243635863460509406851921150643674677109087463909084680468202282817542742508176649950409722247760285844857233938306919012255958258826019636562933694980617790758518782391803763351086900746095086713514855550545836450,2431357122371540703842212537561622267000533235851302715804377605866712680198007373057629723988018034142382076025928583277660235181570221858528373153657342,92.264402,43.264402,43.264402
3,50,536243368524251735213067994289559226314232905577,41,74.103448,24.103448,40,72.275862,22.275862,49,88.724138,38.724138,40,72.275862,22.275862,41,74.103448,24.103448,41,74.103448,24.103448,31,55.827586,5.827586,18,32.068966,-17.931034,74,134.413793,84.413793,33,63.814815,13.814815,3,4.925926,-45.074074,2338860498449335932540006835903418330192641398502308426161091595096088766779607843285903440896790132040528954065492043983989762606306143326565742672021924,73815137709721328232407485760841551838967190141710279016657289267616870924682142056774221383587341682762724695798221020013320111919927506365841940774006458209111822813462171773941091367627947493298714301919118935197451626099381191,637479971178661495722387866130820553397399648614844353293525580608520074703449222347982056148793890435631144845276980795374474039145132758361810599596109,78.480454,28.480454,28.480454
95,51,541465061473978956208018762469779110556238966152,63,114.310345,63.310345,58,105.172414,54.172414,31,55.827586,4.827586,58,105.172414,54.172414,63,114.310345,63.310345,63,114.310345,63.310345,78,141.724138,90.724138,44,79.586207,28.586207,40,72.275862,21.275862,21,40.259259,-10.740741,75,146.259259,95.259259,5085471469431928472349494311406579230743662138610609861353887312997797230629296581786524780087391276806091537713988220957182364088031515261363230975921636,315308094593655338216784076044618694034656863634787629429759128943134267297974043483883090880422885372987436608610244311115121391148844619351313116208945606838735463816944423019104275244686964969521517485354487130665445009110328132,2723053851696470889290862586260700420143734475108704244402179099493977679660149029945780255899109801445024585493653124429572795842715510120359662698514592,89.036951,38.036951,38.036951
69,52,559024828876016353727014141016900571036246267306,36,64.965517,12.965517,73,132.586207,80.586207,16,28.413793,-23.586207,73,132.586207,80.586207,36,64.965517,12.965517,36,64.965517,12.965517,6,10.137931,-41.862069,6,10.137931,-41.862069,55,99.689655,47.689655,77,150.185185,98.185185,69,134.481481,82.481481,9090500842209029967208785905952791196976940296840790549379338273881400622667281610182024845338998086937121730706443871004446769885774407056445858408321796,40095779731832367921315862625536054539823087624312933770139431162597854996416461138813984449357596523442155305980945048322034011159892298499121448973589637477862056938844596303581073039834288492185351815209855117170055280197736338,346273912112043859269605354770372861306995113103991012183928050644384996376354280777212163733368133814403522693215965130714937105767808592380063896206034,83.790258,31.790258,31.790258
158,53,562640564128511188711478918003836450268562812969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,54,577783305839750673717077702817077337984848608056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,55,590325581182733434801721127707688642479055123418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,56,594164164031002552475729414164827687038935960765,34,61.310345,5.310345,75,136.241379,80.241379,14,24.758621,-31.241379,75,136.241379,80.241379,34,61.310345,5.310345,34,61.310345,5.310345,38,68.620690,12.620690,12,21.103448,-34.896552,81,147.206897,91.206897,38,73.629630,17.629630,61,118.777778,62.777778,9163398717102921960625352683624642432060074544661903102572655887244503524207099710915089171158537549171917178100524222252714400416826428353181593593032976,36955951748656275113322465277880404207296183205381054990319998425626043733321876646994339905341291366310959083932451588262874157385931893613827912322303106359522210127652866538559421499194082655217902566329935228990211323182653382,319157828415332877655802473164539692420810416304671961596572760312255730546964272459009191401570247625454245563775261788349287490465091629990486530597162,83.586362,27.586362,27.586362
126,57,595132376335207227321553267328301777165354926321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,58,600393062199263539860547409466303341296569852044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,59,601581318945004638047254703148842866373951532996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,60,613972286197244727413767505767766228563642651364,42,75.931034,15.931034,86,156.344828,96.344828,3,4.655172,-55.344828,86,156.344828,96.344828,42,75.931034,15.931034,42,75.931034,15.931034,84,152.689655,92.689655,16,28.413793,-31.586207,47,85.068966,25.068966,,,,,,,12378684364381345186378132997466209189342736537131730094196314394114530442187974349207924409184112956725819513498653629265351660485054630835818492124504409,73997930200115476888350582263068814606766970675727816082817630664804438275776621372683394113903125948530543819727411354426767351744576629276968269789486621115027861896165111369594782333867946536413206956535241138983293177540051999,639058597936310845669117863703860630824929160195819234937201683264372860446350198668760458129721106565688673073818439532754392149083575204843889172027930,88.350925,28.350925,28.350925
80,61,638819083263296274033048035452588456376781467563,53,96.034483,35.034483,36,64.965517,3.965517,53,96.034483,35.034483,36,64.965517,3.965517,53,96.034483,35.034483,53,96.034483,35.034483,51,92.379310,31.379310,28,50.344828,-10.655172,25,44.862069,-16.137931,23,44.185185,-16.814815,72,140.370370,79.370370,1979359180031966959530446416650533803458444388756311961967514189637104051059245051615562834850700834889138257087801725024517557586573253297484724098738361,185423274137963161358839627063436869163342460986508849577856338767791455725306981984641347061726169926484311699885199048211275759111318954411523833498323215919377139546835671994002219337389672302926159404324684506836377598472890823,1601346649492934417539472614941281800082597883203043625300795052861859742020510150393400422425893893628449139514201180585085067314182596880613421916513874,81.366560,20.366560,20.366560
16,62,640247855682826274945079107018173139769079882717,64,116.137931,54.137931,49,88.724138,26.724138,40,72.275862,10.275862,49,88.724138,26.724138,64,116.137931,54.137931,64,116.137931,54.137931,60,108.827586,46.827586,52,94.206897,32.206897,48,86.896552,24.896552,63,122.703704,60.703704,16,30.444444,-31.555556,3551685801761480733494618709914993569851164094460063586027054427896911865570884604285931317565638609353010920838417025930649161402840688914046012258698304,361874445148640687717469941990299701551474554164846089170564719890528940661133201265607083082874075718808705154160549449133853832033440411343262860082743900746976093100741742994046382346246366493349197804365571296617917754202413359,3125208704084940104668145942168557299348192514728340638596155405365972395333230004472450709457713793686816690364439749994047863141186989437156161505329985,87.476172,25.476172,25.476172
67,63,659839303824851248897023097662559050620196000625,10,17.448276,-45.551724,84,152.689655,89.689655,5,8.310345,-54.689655,84,152.689655,89.689655,10,17.448276,-45.551724,10,17.448276,-45.551724,42,75.931034,12.931034,76,138.068966,75.068966,4,6.482759,-56.517241,41,79.518519,16.518519,67,130.555556,67.555556,11811536344384062548751071145913907430296747776889830524077791945998149631664758729042436212963196810857184739226363511178409618016951379019045371537833156,551220820682628530086840973941770411044884101864000546647921746618145300846450839058648340780444238349130948077220035108900195123130797432451892360430529716986900065592592677001365266795467384399230474780481342843454484574754132,4760435918492669990196375724864943490231777703142743951872689502596130178998301754862129046933646402067886462354777512321577592946565495970697965501552,78.021991,15.021991,15.021991
36,64,666209680845499668942276208778031274768217029943,73,132.586207,68.586207,41,74.103448,10.103448,48,86.896552,22.896552,41,74.103448,10.103448,73,132.586207,68.586207,73,132.586207,68.586207,26,46.689655,-17.310345,87,158.172414,94.172414,84,152.689655,88.689655,64,124.666667,60.666667,36,69.703704,5.703704,2480221856550428540394613162351249589529171055168329448392681401348551891096965934158244374891527860757361548228471590164678076464364287880507857249820816,538815214172385719598641962545006574915341709179944956680054146080898946677481583947162362981361308564063151533340998980589656446227999886631224468280170053224646410542426307389636479128107662896053225747376301631893310005702947871,4653299009642036101983816853978219923297451673611895944138702125915181458016626499905365931058579353084621326658323638886251609522463850191613059171853985,88.601547,24.601547,24.601547
1,65,668631300771580858519448973337422070966705667030,51,92.379310,27.379310,26,46.689655,-18.310345,63,114.310345,49.310345,26,46.689655,-18.310345,51,92.379310,27.379310,51,92.379310,27.379310,11,19.275862,-45.724138,82,149.034483,84.034483,76,138.068966,73.068966,54,105.037037,40.037037,1,1.000000,-64.000000,1067362225016502275772194909503713869376985974142797512091458491530306631211206623652669436957676354343630306950631573032330832513385319878364322508915776,166977061698153803977729810299616665720111080589888563362701662779994291659333477169534477572723704285154275133397811778652651956291844366636068483203593094558427352525126936769086968791554813695916119291254705683450242657305024007,1442042049659660869506300006036683750029629333882594701370927246876626245108435922902327776681700708714008192087431130951749952236093997894375239788520937,78.668573,13.668573,13.668573
124,66,673466163209366754557075241241841294431689622670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,67,686418639569180635640190628097581103131399445289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,68,701961902767661508059361428154984989764514246598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,69,708505052330687834349934766768853773741718227307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
