idx	priority	label	center_dec	center_hex	lo_dec	hi_dec	lo_hex	hi_hex	width_bits
37	3	wavg2a(b2[10],b4[45])	34389905052324029412014922528151428321992	0x651016cae0a7dbe6c6daa400fc9726d2c8	34389905052324029411996475784077718770376	34389905052324029412033369272225137873608	000000000000000000000000000000651016CAE0A7DBE6C5DAA400FC9726D2C8	000000000000000000000000000000651016CAE0A7DBE6C7DAA400FC9726D2C8	65
38	3	wavg2a(b3[45],b4[30])	34389749191559523262826553342602823589786	0x650ff8c6593c3ab8c75f3af32493cbdf9a	34389749191559523262808106598529114038170	34389749191559523262845000086676533141402	000000000000000000000000000000650FF8C6593C3AB8C65F3AF32493CBDF9A	000000000000000000000000000000650FF8C6593C3AB8C85F3AF32493CBDF9A	65
39	3	avg(b1[60],b3[40])	34404178557557133362704950461991707789213	0x651ad3c504cc29ac68d315d1d91a80c79d	34404178557557133362686503717917998237597	34404178557557133362723397206065417340829	000000000000000000000000000000651AD3C504CC29AC67D315D1D91A80C79D	000000000000000000000000000000651AD3C504CC29AC69D315D1D91A80C79D	65
40	3	avg(b3[35],b4[6])	34389382618531398401615396864222335963555	0x650fb22ce7247cfb193a6906f1344191a3	34389382618531398401596950120148626411939	34389382618531398401633843608296045515171	000000000000000000000000000000650FB22CE7247CFB183A6906F1344191A3	000000000000000000000000000000650FB22CE7247CFB1A3A6906F1344191A3	65
41	3	diff_low(b1[62],b4[1])	34388896802891739704771223029980224447827	0x650f549c57b2bc42500346eddaeeb66553	34388896802891739704752776285906514896211	34388896802891739704789669774053933999443	000000000000000000000000000000650F549C57B2BC424F0346EDDAEEB66553	000000000000000000000000000000650F549C57B2BC42510346EDDAEEB66553	65
42	3	diff_low(b1[55],b4[55])	34388776127219584730886532267590060223454	0x650f3d5e92941edc00ff8697873f562bde	34388776127219584730868085523516350671838	34388776127219584730904979011663769775070	000000000000000000000000000000650F3D5E92941EDBFFFF8697873F562BDE	000000000000000000000000000000650F3D5E92941EDC01FF8697873F562BDE	65
43	3	wavg2b(b3[29],b4[50])	34405512880881281138812393602055064605431	0x651bd4c03ce20e05e49239d678e76d52f7	34405512880881281138793946857981355053815	34405512880881281138830840346128774157047	000000000000000000000000000000651BD4C03CE20E05E39239D678E76D52F7	000000000000000000000000000000651BD4C03CE20E05E59239D678E76D52F7	65
44	3	diff_low(b3[40],b3[44])	34405538992176849881147337150213532887697	0x651bd9c79fc46520e2cd7ee56fed9f2a91	34405538992176849881128890406139823336081	34405538992176849881165783894287242439313	000000000000000000000000000000651BD9C79FC46520E1CD7EE56FED9F2A91	000000000000000000000000000000651BD9C79FC46520E3CD7EE56FED9F2A91	65
45	3	wavg2b(b1[40],b1[67])	34405646026348964162209645404316831306548	0x651bee64d0f31ab9c50f1817a52f1fd334	34405646026348964162191198660243121754932	34405646026348964162228092148390540858164	000000000000000000000000000000651BEE64D0F31AB9C40F1817A52F1FD334	000000000000000000000000000000651BEE64D0F31AB9C60F1817A52F1FD334	65
46	3	wavg2b(b2[28],b3[1])	34387956365078991986716973624765313015345	0x650e9f7d2db5bb92737d69ce1a97f15e31	34387956365078991986698526880691603463729	34387956365078991986735420368839022566961	000000000000000000000000000000650E9F7D2DB5BB92727D69CE1A97F15E31	000000000000000000000000000000650E9F7D2DB5BB92747D69CE1A97F15E31	65
47	3	avg(b3[42],b4[27])	34387790906869463556223915986256626670855	0x650e7f9f7580b5eaf0f48a9f7c3ffb5d07	34387790906869463556205469242182917119239	34387790906869463556242362730330336222471	000000000000000000000000000000650E7F9F7580B5EAEFF48A9F7C3FFB5D07	000000000000000000000000000000650E7F9F7580B5EAF1F48A9F7C3FFB5D07	65
48	3	avg(b2[11],b4[53])	34406262090566139481928005543535262553658	0x651c650b2090f1cedfaf40da7cd23fd63a	34406262090566139481909558799461553002042	34406262090566139481946452287608972105274	000000000000000000000000000000651C650B2090F1CEDEAF40DA7CD23FD63A	000000000000000000000000000000651C650B2090F1CEE0AF40DA7CD23FD63A	65
49	3	avg(b1[9],b4[15])	34387568059963507704074305936786473663136	0x650e54b4421c87cf1b126f9d0cd764baa0	34387568059963507704055859192712764111520	34387568059963507704092752680860183214752	000000000000000000000000000000650E54B4421C87CF1A126F9D0CD764BAA0	000000000000000000000000000000650E54B4421C87CF1C126F9D0CD764BAA0	65
50	3	avg(b1[39],b4[2])	34406564782937723332555321323020106949763	0x651c9f57036b0faa949ff03bb08fed6483	34406564782937723332536874578946397398147	34406564782937723332573768067093816501379	000000000000000000000000000000651C9F57036B0FAA939FF03BB08FED6483	000000000000000000000000000000651C9F57036B0FAA959FF03BB08FED6483	65
51	3	diff_low(b4[4],b4[70])	34386967571210114619460100950234999000141	0x650de10de07c78e9ce079f712107ab8c4d	34386967571210114619441654206161289448525	34386967571210114619478547694308708551757	000000000000000000000000000000650DE10DE07C78E9CD079F712107AB8C4D	000000000000000000000000000000650DE10DE07C78E9CF079F712107AB8C4D	65
52	3	wavg2a(b2[10],b4[1])	34386609876537544354641891890649357889236	0x650d9c2a2afebd4977a04fe17bb81c2ed4	34386609876537544354623445146575648337620	34386609876537544354660338634723067440852	000000000000000000000000000000650D9C2A2AFEBD4976A04FE17BB81C2ED4	000000000000000000000000000000650D9C2A2AFEBD4978A04FE17BB81C2ED4	65
53	3	diff_low(b2[28],b4[15])	34386385344861644721696564490264241452033	0x650d70ebe6d145121abfa85e2ff3c73401	34386385344861644721678117746190531900417	34386385344861644721715011234337951003649	000000000000000000000000000000650D70EBE6D1451219BFA85E2FF3C73401	000000000000000000000000000000650D70EBE6D145121BBFA85E2FF3C73401	65
54	3	wavg2a(b1[22],b3[46])	34407537910562843921093238311737205258579	0x651d5ac1e8d89f3016342699b4e1e0f953	34407537910562843921074791567663495706963	34407537910562843921111685055810914810195	000000000000000000000000000000651D5AC1E8D89F3015342699B4E1E0F953	000000000000000000000000000000651D5AC1E8D89F3017342699B4E1E0F953	65
55	3	diff_low(b1[10],b3[2])	34407892167740942653026924462814303016291	0x651d9efc230eac3435636fb68cc2ded563	34407892167740942653008477718740593464675	34407892167740942653045371206888012567907	000000000000000000000000000000651D9EFC230EAC3434636FB68CC2DED563	000000000000000000000000000000651D9EFC230EAC3436636FB68CC2DED563	65
56	3	diff_low(b1[48],b3[9])	34385942191418158377233155395813988900044	0x650d1b92bffdff0d82aead585186081ccc	34385942191418158377214708651740279348428	34385942191418158377251602139887698451660	000000000000000000000000000000650D1B92BFFDFF0D81AEAD585186081CCC	000000000000000000000000000000650D1B92BFFDFF0D83AEAD585186081CCC	65
57	3	avg(b1[22],b4[1])	34385718222363111109467808225655053198358	0x650cf07039168c218c8637b892e859a416	34385718222363111109449361481581343646742	34385718222363111109486254969728762749974	000000000000000000000000000000650CF07039168C218B8637B892E859A416	000000000000000000000000000000650CF07039168C218D8637B892E859A416	65
58	3	avg(b1[1],b3[8])	34385581999919942519640016838295044145968	0x650cd633f0217c7787d7a60b8ce91ac330	34385581999919942519621570094221334594352	34385581999919942519658463582368753697584	000000000000000000000000000000650CD633F0217C7786D7A60B8CE91AC330	000000000000000000000000000000650CD633F0217C7788D7A60B8CE91AC330	65
59	3	diff_low(b4[16],b4[27])	34385531666286757372964127404080791902988	0x650ccc824c5d225b9e87eadd50bc995b0c	34385531666286757372945680660007082351372	34385531666286757372982574148154501454604	000000000000000000000000000000650CCC824C5D225B9D87EADD50BC995B0C	000000000000000000000000000000650CCC824C5D225B9F87EADD50BC995B0C	65
60	3	wavg2b(b1[34],b1[65])	34409111194420687376350673113592079918677	0x651e89c2cae601ed7bf48c1d86ea212655	34409111194420687376332226369518370367061	34409111194420687376369119857665789470293	000000000000000000000000000000651E89C2CAE601ED7AF48C1D86EA212655	000000000000000000000000000000651E89C2CAE601ED7CF48C1D86EA212655	65
61	3	diff_low(b1[30],b2[6])	34384366274236604981637821561446069207931	0x650bec1008b8ccdfc3cc00e4e02510837b	34384366274236604981619374817372359656315	34384366274236604981656268305519778759547	000000000000000000000000000000650BEC1008B8CCDFC2CC00E4E02510837B	000000000000000000000000000000650BEC1008B8CCDFC4CC00E4E02510837B	65
62	3	diff_low(b1[17],b2[32])	34409630883667589138312148649519459474943	0x651eedd9735fd759491a1f5823f48a1dff	34409630883667589138293701905445749923327	34409630883667589138330595393593169026559	000000000000000000000000000000651EEDD9735FD759481A1F5823F48A1DFF	000000000000000000000000000000651EEDD9735FD7594A1A1F5823F48A1DFF	65
63	3	wavg2b(b2[38],b3[19])	34384085552221681130280191735369514555048	0x650bb5ff5ec1c70ae3d2316a69326b16a8	34384085552221681130261744991295805003432	34384085552221681130298638479443224106664	000000000000000000000000000000650BB5FF5EC1C70AE2D2316A69326B16A8	000000000000000000000000000000650BB5FF5EC1C70AE4D2316A69326B16A8	65
64	3	wavg2a(b1[5],b1[52])	34383830634436955560413948616701509346370	0x650b84e6f3f75f15b66f80c33a76cba442	34383830634436955560395501872627799794754	34383830634436955560432395360775218897986	000000000000000000000000000000650B84E6F3F75F15B56F80C33A76CBA442	000000000000000000000000000000650B84E6F3F75F15B76F80C33A76CBA442	65
65	3	wavg2a(b1[65],b4[58])	34410093904908952386813464880527273259559	0x651f470629105f4391b179316e40f27227	34410093904908952386795018136453563707943	34410093904908952386831911624600982811175	000000000000000000000000000000651F470629105F4390B179316E40F27227	000000000000000000000000000000651F470629105F4392B179316E40F27227	65
66	3	diff_low(b1[37],b1[38])	34383684261993533125035155812944835365013	0x650b68b63bfeac08055c1cbeb5301dc895	34383684261993533125016709068871125813397	34383684261993533125053602557018544916629	000000000000000000000000000000650B68B63BFEAC08045C1CBEB5301DC895	000000000000000000000000000000650B68B63BFEAC08065C1CBEB5301DC895	65
67	3	wavg2b(b4[39],b4[55])	34383206453416684792807104866421207257005	0x650b0cb073e43b89986a3ac1543028cfad	34383206453416684792788658122347497705389	34383206453416684792825551610494916808621	000000000000000000000000000000650B0CB073E43B89976A3AC1543028CFAD	000000000000000000000000000000650B0CB073E43B89996A3AC1543028CFAD	65
68	3	avg(b1[73],b4[3])	34410992064434387568059963507704074305936	0x651ff400d80b5312e4edca6c0021bf8190	34410992064434387568041516763630364754320	34410992064434387568078410251777783857552	000000000000000000000000000000651FF400D80B5312E3EDCA6C0021BF8190	000000000000000000000000000000651FF400D80B5312E5EDCA6C0021BF8190	65
69	3	avg(b3[7],b4[18])	34411085555580450091779905804498742208136	0x652006025034bf5b5479866ef659a6e688	34411085555580450091761459060425032656520	34411085555580450091798352548572451759752	000000000000000000000000000000652006025034BF5B5379866EF659A6E688	000000000000000000000000000000652006025034BF5B5579866EF659A6E688	65
70	3	diff_low(b1[25],b1[61])	34411196803719975368601024516553268117781	0x65201b6f452285428aa4b24f17676dc115	34411196803719975368582577772479558566165	34411196803719975368619471260626977669397	00000000000000000000000000000065201B6F4522854289A4B24F17676DC115	00000000000000000000000000000065201B6F452285428BA4B24F17676DC115	65
71	3	wavg2b(b2[10],b2[34])	34382244521951791212939262540088312302576	0x650a536d91df7ed5b8c3fe2a47a6738bf0	34382244521951791212920815796014602750960	34382244521951791212957709284162021854192	000000000000000000000000000000650A536D91DF7ED5B7C3FE2A47A6738BF0	000000000000000000000000000000650A536D91DF7ED5B9C3FE2A47A6738BF0	65
72	3	wavg2a(b1[14],b2[22])	34411688656407437158601505969113986306877	0x65207a297ad5c9c199f3af9d6a87fd133d	34411688656407437158583059225040276755261	34411688656407437158619952713187695858493	00000000000000000000000000000065207A297AD5C9C198F3AF9D6A87FD133D	00000000000000000000000000000065207A297AD5C9C19AF3AF9D6A87FD133D	65
73	3	wavg2a(b2[26],b3[38])	34411742516632688291277506778663077360273	0x65208488fe73ad3b737fed44a4ef8d3291	34411742516632688291259060034589367808657	34411742516632688291295953522736786911889	00000000000000000000000000000065208488FE73AD3B727FED44A4EF8D3291	00000000000000000000000000000065208488FE73AD3B747FED44A4EF8D3291	65
74	3	diff_low(b3[18],b4[12])	34411795170696121920620341651221386804617	0x65208ead0a2a89aaf02155d75f9606bd89	34411795170696121920601894907147677253001	34411795170696121920638788395295096356233	00000000000000000000000000000065208EAD0A2A89AAEF2155D75F9606BD89	00000000000000000000000000000065208EAD0A2A89AAF12155D75F9606BD89	65
75	3	wavg2b(b4[12],b4[24])	34411866680726487333101531423915217501202	0x65209c72c1a48b03e6429e6d051343bc12	34411866680726487333083084679841507949586	34411866680726487333119978167988927052818	00000000000000000000000000000065209C72C1A48B03E5429E6D051343BC12	00000000000000000000000000000065209C72C1A48B03E7429E6D051343BC12	65
76	3	wavg2a(b3[26],b3[39])	34381948888413279458991609138279268674419	0x650a1a7db60529768f32881421a842eb73	34381948888413279458973162394205559122803	34381948888413279459010055882352978226035	000000000000000000000000000000650A1A7DB60529768E32881421A842EB73	000000000000000000000000000000650A1A7DB60529769032881421A842EB73	65
77	3	wavg2b(b2[47],b4[6])	34381554486282806497890387646292254582295	0x6509ce882f46049eb961591962d89ce617	34381554486282806497871940902218545030679	34381554486282806497908834390365964133911	0000000000000000000000000000006509CE882F46049EB861591962D89CE617	0000000000000000000000000000006509CE882F46049EBA61591962D89CE617	65
78	3	avg(b3[52],b4[17])	34381428269485638156567934428045542046047	0x6509b6393752d86e21131b651eb8ae395f	34381428269485638156549487683971832494431	34381428269485638156586381172119251597663	0000000000000000000000000000006509B6393752D86E20131B651EB8AE395F	0000000000000000000000000000006509B6393752D86E22131B651EB8AE395F	65
79	3	diff_low(b1[18],b3[19])	34412507725807306854038266009518020874439	0x652117e8b8162d6964b289a2fdd919d0c7	34412507725807306854019819265444311322823	34412507725807306854056712753591730426055	000000000000000000000000000000652117E8B8162D6963B289A2FDD919D0C7	000000000000000000000000000000652117E8B8162D6965B289A2FDD919D0C7	65
80	3	avg(b2[9],b3[29])	34381332723299991129956478765459570279100	0x6509a3d26cea65d1425c800aa05b79c2bc	34381332723299991129938032021385860727484	34381332723299991129974925509533279830716	0000000000000000000000000000006509A3D26CEA65D1415C800AA05B79C2BC	0000000000000000000000000000006509A3D26CEA65D1435C800AA05B79C2BC	65
81	3	diff_low(b1[54],b3[25])	34381204206131002306289311373770098068048	0x65098b120a30fe0fb0688e9f6cdc35ca50	34381204206131002306270864629696388516432	34381204206131002306307758117843807619664	00000000000000000000000000000065098B120A30FE0FAF688E9F6CDC35CA50	00000000000000000000000000000065098B120A30FE0FB1688E9F6CDC35CA50	65
82	3	wavg2b(b2[13],b2[19])	34412942003362163603735895867581187153787	0x65216b8c417281d9572c2eb66adc6edf7b	34412942003362163603717449123507477602171	34412942003362163603754342611654896705403	00000000000000000000000000000065216B8C417281D9562C2EB66ADC6EDF7B	00000000000000000000000000000065216B8C417281D9582C2EB66ADC6EDF7B	65
83	3	diff_low(b4[16],b4[17])	34413263713931742167464689066673518947534	0x6521a981cfb49aa0f68ad828f35b482cce	34413263713931742167446242322599809395918	34413263713931742167483135810747228499150	0000000000000000000000000000006521A981CFB49AA0F58AD828F35B482CCE	0000000000000000000000000000006521A981CFB49AA0F78AD828F35B482CCE	65
84	3	diff_low(b4[7],b4[75])	34380613427222956615171920622875717345936	0x6509194a640b5d6aee34331f9c85672290	34380613427222956615153473878802007794320	34380613427222956615190367366949426897552	0000000000000000000000000000006509194A640B5D6AED34331F9C85672290	0000000000000000000000000000006509194A640B5D6AEF34331F9C85672290	65
85	3	avg(b1[56],b4[52])	34413427345125305237805472600208849201697	0x6521c90573baa6e98e2aa0bf87a1cf6a21	34413427345125305237787025856135139650081	34413427345125305237823919344282558753313	0000000000000000000000000000006521C90573BAA6E98D2AA0BF87A1CF6A21	0000000000000000000000000000006521C90573BAA6E98F2AA0BF87A1CF6A21	65
86	3	wavg2a(b1[9],b1[44])	34380371234056237231748513824475533789209	0x6508eaa558833a52104790e0c9a4a7c819	34380371234056237231730067080401824237593	34380371234056237231766960568549243340825	0000000000000000000000000000006508EAA558833A520F4790E0C9A4A7C819	0000000000000000000000000000006508EAA558833A52114790E0C9A4A7C819	65
87	3	diff_low(b1[23],b2[44])	34380087747680510190296135794281656513712	0x6508b40c6368b5fd1891d34fa0850a74b0	34380087747680510190277689050207946962096	34380087747680510190314582538355366065328	0000000000000000000000000000006508B40C6368B5FD1791D34FA0850A74B0	0000000000000000000000000000006508B40C6368B5FD1991D34FA0850A74B0	65
